   Kalhaṇa: Ardhanārīśvarastotra	KalhaNa: ArDanArISvara-stotra
   bhālaṃ vahniśikhāṅkitaṃ dadhad adhiśrotraṃ vahan	BAlam vahni-SiKA-aFkitam daDat aDiSrotram vahan
   saṃbhṛtakrīḍatkuṇḍalijṛmbhitaṃ jaladhijacchāyācchakaṇṭhacchaviḥ /	saMBRta-krIxat-kuNxa-li-jRmBitam jalaDi-jacCAyA-acCa-kaNWa=-CaviH /
   vakṣo bibhrad ahīnakañcukacitaṃ baddhāṅganārdhasya vo bhāgaḥ	vakzaH biBrat ahIna-kaQcuka-citam badDa-aFganA-arDasya vaH BAgaH
   puṃgavalakṣmaṇo 'stu yaśase vāmo 'tha vā dakṣiṇaḥ // 1 [= RT 1.2] //	puMgava-lakzmaNaH astu yaSase vAmaH aTa vA dakziNaH // 1 [ RT 1.2] //
   vāme sāñjanam akṣi dakṣiṇadiśi śyāmāyamāno galaḥ pāṇau tiṣṭhati darpaṇo	vAme sa-aQjanam akzi dakziNa-diSi SyAmAyamAnaH galaH pANO tizWati darpaNaH-
   'tra mukuṭe 'mutra sthitaś candramāḥ /	atra mukuwe amutra sTitaH candramAH /
   tan māteyam ayaṃ piteti sucirāt sapratyabhijñaṃ śanair yasyotsaṅgam agād	tat mAtA-iyam ayam pitA-iti su-cirAt sa-pratyaBijQam SanEs yasya-utsaFgam agAt-
   guho bhavatu vaḥ prītyai sa gaurīśvaraḥ // 2 //	guhaH Bavatu vaH prItyE sa gOrISvaraH // 2 //
   muñcebhājinam asya kumbhakuhare muktāḥ kucāgrocitāḥ kiṃ bhālajvalanena	muQca-iBAjinam asya kumBakuhare muktAH kuca-agra-ucitAH kim BAla-jvalanena
   kajjalam ataḥ kāryaṃ tavākṣṇoḥ kṛte /	kajjalam atas kAryam tava-akzNoH kRte /
   saṃdhāne vapurardhayor bhagavator itthaṃ niṣedhe 'py aheḥ kartavye	saMDAne vapuH-arDayoH BagavatoH itTam nizeDe api aheH kartavye
   priyayottarānusaraṇodyukto haraḥ pātu vaḥ // 3 [= RT 3.1] //	priyayA-uttara-anusaraNa-udyuktaH haraH pAtu vaH // 3 [ RT 3.1] //
   vihitam ajagośṛṅgāgrābhyāṃ dhanur ghaṭitaṃ tathā narakaraṭinor	vihitam ajagoSRFga-agrAByAm DanuH Gawitam taTA narakarawinoH-
   dehārdhābhyāṃ gaṇaṃ parigṛhṇataḥ /	deha-arDAByAm gaNam parigRhNataH /
   dvividharacanāvāllabhyānāṃ nidher ucitā vibhor jayati laṭabhāpuṃbhāgābhyāṃ	dviviDa-racanAvAt-laByAnAm niDeH ucitA viBoH jayati lawaBA-puMBAgAByAm
   śarīravinirmitiḥ // 4 [= RT 2.1] //	SarIra-vinirmitiH // 4 [ RT 2.1] //
   nedaṃ parṇasamīraṇāśanatapomāhātmyam ukṣoragau paśyaitāv ata eva saṃprati	na-idam parNa-samIraNa-aSana-tapaH-mAhAtmyam ukza-uragO paSya-etO atas eva saMprati
   kṛtau tanmātravṛttī bahiḥ /	kRtO tanmAtra-vRttI bahis /
   premṇaivārdham idaṃ carācaraguroḥ prāpeyam ātmastutīr itthaṃ	premNA-eva-arDam idam carAcara-guroH prApeyam Atma-stutIH itTam
   devavadhūmukhāc chrutisukhāḥ śṛṇvaty aparṇāvatāt // 5 [= RT 6.1] //	deva-vaDU-muKAt Sruti-suKAH SRNvati aparNAvatAt // 5 [ RT 6.1] //
   kāpy eteṣu ruciḥ kaceṣu phaṇināṃ puṃskokilasyeva te gobhiḥ kaṇṭhataṭasya	kA-api etezu ruciH kacezu PaNinAm puMskokilasya-iva te goBiH kaNWa-tawasya
   hṛṣyati puro dṛk paśya cakṣuḥśruteḥ /	hRzyati puras dRS paSya cakzuH-SruteH /
   saṃdhāne 'bhinave mitho bhagavator jihvāpṛthakspandinī bhinnārthāṃ	saMDAne aBinave miTas BagavatoH jihvA-pRTak-spandinI Binna-arTAm
   sadṛśākṣarām api vadanty evaṃ giraṃ pātu vaḥ // 6 [= RT 5.1] //	sadRSa-akzarAm api vadanti evam giram pAtu vaH // 6 [ RT 5.1] //
   dātuṃ vāñchati dakṣiṇe 'pi nayane vāmaḥ karaḥ kajjalaṃ bhaujaṅgaṃ ca bhuje	dAtum vAQCati dakziNe api nayane vAmaH karaH kajjalam BOjaFgam ca Buje
   'ṅgadaṃ ghaṭayituṃ vāme 'pi vāmetaraḥ /	aFgadam Gawayitum vAme api vAmetaraH /
   itthaṃ svaṃ svam aśikṣitaṃ bhagavator ardhaṃ vapuḥ paśyatoḥ	itTam svam svam aSikzitam BagavatoH arDam vapuH paSyatoH
   sādhārasmitalāñchitaṃ diśatu vo vaktraṃ manovāñchitam // 7 //	sADAra-smita-lAQCitam diSatu vaH vaktram manaH-vAQCitam // 7 //
   gāḍhāliṅgana maṅgalaṃ bhavatu te svasty astu vaś cāṭavaḥ kiṃ brūmaḥ	gAXa-AliFgana maFgalam Bavatu te svasti astu vaH ca-awavaH kim brUmaH
