   (Vajraṭ_95)	(Vajraj-_95)
   ācāryakamalaśīlaviracitayā	AcArya-kamala-SIla-viracitayA
   āryaprajñāpāramitāyā vajracchedikāyā	Arya-prajQApAramitAyAH vajra=-CedikAyAH-
   vistṛtaṭīkayā sahitam	vistRtawIkayA sahitam
   namo mañcuśriye kumārabhūtāya	namaH maQcu-Sriye kumAra-BUtAya
   maṅgalācaraṇam	maFgala-AcaraNam
   kāyaḥ prasiddhaḥ paridṛśyamāno janeṣu sarveṣu sphuṭaṃ tathāpi |	kAyaH prasidDaH paridRSyamAnaH janezu sarvezu sPuwam taTA-api |
   svabhāvato vastutayā na prāpto nidarśitaḥ so 'pi ca prāptihetuḥ ||	svaBAvataH vastu-tayA na prAptaH nidarSitaH saH api ca prApti-hetuH ||
   phalasya śreṣṭhasya ca nityabhūtaparamasya cāgryasya jinaiḥ samastaiḥ |	Palasya SrezWasya ca nitya-BUta-paramasya ca-agryasya jinEH samastEH |
   ataśya traiyadhvikasarvabuddhaprasūṃ namasyāmyaniśaṃ hṛdā tām || 1 ||	ataSya trEyaDvika-sarva-budDa-prasUm namasyAmi-aniSam hRdA tAm || 1 ||
   (Vajraṭ_96)	(Vajraj-_96)
   alpīyasābhyāsabalena yasyāḥ, mahānti puṇyāni hi sañcinoti |	alpIyasA-aByAsa-balena yasyAH, mahAnti puNyAni hi saQcinoti |
   utkhātamūlāni ca pāpakāni, sarvāṇi cāpādayati kṣaṇena ||	utKAta-mUlAni ca pApakAni, sarvANi ca-ApAdayati kzaNena ||
   ataśca tasyāścirabhāvanārthaṃ, mārgaṃ pravakṣye svabalānurūpam |	atas-ca tasyAH-cira-BAvanA-arTaM, mArgam pravakzye sva-bala-anurUpam |
   gurūpadiṣṭaṃ suparīkṣitaṃ ca matiṃ svakīyāmanuvartayitvā || 2 ||	guru-upadizwam su-parIkzitam ca matim svakIyAm-anuvartayitvA || 2 ||
   tatrādau sūtraṃ vyācikhyāsuḥ sādhyavasāya (viṣaya-) grahaṇādau	tatra-AdO sUtram vyAciKyAsuH sADyavasAya (vizaya-) grahaNa-AdO
   śrotṝṇāmavatāraṇārthaṃ prayojanamāha | na hi prayojanamantareṇa prekṣāvān	SrotLNAm-avatAraNa-arTam prayojanam-Aha | na hi prayojanam-antareNa prekzAvAn
   kvacit pravartate | tadanantaraṃ	kvacid pravartate | tad-anantaram
   prayojanopāyamupadarśayitumabhidheyastāvad vakṣyate, (yato hi)	prayojana-upAyam-upadarSayitum-aBiDeyaH-tAvat vakzyate, (yataH hi)
   abhidheyarahitaṃ sūtraṃ daśadāḍimānītyādivākyavanneṣṭaprayojanaṃ sādhayati	aBiDeya-rahitam sUtram daSa-dAximAni-ityAdi-vAkya-vat-nezwa-prayojanam sADayati
   | tataḥ saukaryeṇa tadabhidheyagrahaṇārthaṃ piṇḍārtho vakṣyate |	| tatas sOkaryeNa tad-aBiDeya-grahaNa-arTam piNxa-arTaH vakzyate |
   tadanantaraṃ samāsārthapratipattaye padārtho 'bhidhāsyate | tataḥ	tad-anantaram samAsa-arTa-pratipattaye padArTaH aBiDAsyate | tatas-
   kramasyāvirodhaṃ nidarśayituṃ padānāmanusandhirdarśayiṣyate | tadanantaraṃ	kramasya-aviroDam nidarSayitum padAnAm-anusanDiH-darSayizyate | tad-anantaram
   pūrvāparayuktivirodhāpanodanāya codakaṃ prati samādhānaṃ vakṣyata ityeva	pUrva-apara-yukti-viroDa-apanodanAya ca-udakam prati samADAnam vakzyate iti-eva
   nyāyaḥ | tatra vajracchedikā iti sūtrasya nāmadheyam | anenaiva tāvad	nyAyaH | tatra vajra=-CedikAH iti sUtrasya nAmaDeyam | anena-eva tAvat-
   abhidheyaḥ prayojanaṃ cābhidhīyete |	aBiDeyaH prayojanam ca-aBiDIyete |
   (Vajraṭ_97)	(Vajraj-_97)
   atra dvidhā vajracchedikā | sūkṣmakleśajñeyāvaraṇāni vajravaddurbhedyāni,	atra dviDA vajra=-CedikA | sUkzma-kleSa-jQeya-AvaraNAni vajra-vat-durBedyAni,
   teṣāṃ chedanāt | etenāsya (granthasya) āvaraṇadvayaprahāṇaṃ tāvat	tezAm CedanAt | etena-asya (granTasya) AvaraNa-dvaya-prahANam tAvat-
   prayojanaṃ nirdiṣṭam | athavā chedanaṃ hi vajrākārasādṛśyena vajravaditi |	prayojanam nirdizwam | aTavA Cedanam hi vajra-AkAra-sAdRSyena vajra-vat-iti |
   vajrasya hi ubhe śikhare sthūle madhyaṃ ca sūkṣmam | tathaiveyaṃ	vajrasya hi uBe SiKare sTUle maDyam ca sUkzmam | taTA-eva-iyam
   prajñāmitāpyādāvadhimukticaryābhūmim ante ca buddhabhūmiṃ vistareṇa	prajQA-amita-Api-Ada-avaDi-mukti-caryA-BUmim ante ca budDa-BUmim vistareNa
   nirdiśati | sūkṣmeṇa tāvanmadhyabhāgena śūddhādhyāśayabhūmiṃ nirdiśati |	nirdiSati | sUkzmeNa tAvat-maDya-BAgena SUdDa-aDyASaya-BUmim nirdiSati |
   ata eveyaṃ vajrākāravaditi | etena bhūmitritayamasyāḥ (vajracchedikāyāḥ)	atas eva-iyam vajra-AkAra-vat-iti | etena BUmi-tritayam-asyAH (vajra=-CedikAyAH)
   abhidheyo nirdiṣṭaḥ |	aBiDeyaH nirdizwaH |
   piṇḍārthastu saṃkṣepeṇa pañcadhā, tadyathā- nidānam, upodghātaḥ,	piNxa-arTaH-tu saMkzepeNa paQcaDA, tat-yaTA nidAnam, upodGAtaH,
   buddhavaṃśānupacchedaḥ pratipattilakṣaṇam, tatsthānañca |	budDa-vaMSAnupacCedaH pratipatti-lakzaNam, tad-sTAnaQca |
   tatra nidānaṃ tu sūtrārambhanimittam, taccāpi evaṃ mayā śrutam ityārabhya	tatra nidAnam tu sUtra-AramBa-nimittam, tat-ca-api evam mayA Srutam iti-AraBya
   tena khalu āyuṣmān subhūtiḥ ityetāvatparyantaṃ deśitam | tasya ca	tena Kalu AyuzmAn suBUtiH iti-etAvat-paryantam deSitam | tasya ca
   saṅgītikārairātmaprāmāṇyapratipādanāyoktatvāt | evaṃ sutrāntareṣvapi	saFgItikArEH-Atma-prAmANya-pratipAdanAya-ukta-tvAt | evam sutra-antarezu-api
   vācyam |	vAcyam |
   upodghātastāvat prakaraṇena sūtrārthavyutpādanārthaṃ saṃyujyate |	upodGAtaH-tAvat prakaraNena sUtra-arTa-vyutpAdana-arTam saMyujyate |
   aprastutābhidhānena sarvam asamañjasaṃ syāditi tannirākartuṃ sarvatrāpi	aprastuta-aBiDAnena sarvam asamaQjasam syAt-iti tat-nirAkartum sarvatra-api
   prakaraṇena yojyam | atha khalvāyuṣmān subhūtirutthāyāsanāt ityādinā	prakaraNena yojyam | aTa Kalu-AyuzmAn suBUtiH-utTAya-AsanAt ityAdinA
   tannirdiṣṭam | buddhavaṃśānupacchedo 'pi ca tenaiva darśitaḥ |	tat-nirdizwam | budDa-vaMSAnupacCedaH api ca tena-eva darSitaH |
   āryasubhūtinā imāṃ prajñāpāramitāṃ buddhavaṃśānupacchedakatvena viditvā	Arya-suBUtinA imAm prajQApAramitAm budDa-vaMSa-anupacCedaka-tvena viditvA
   yathā buddhavaṃśānupacchedo bhavet tathaivādau saṃsthāpitā |	yaTA budDa-vaMSAnupacCedaH Bavet taTA-eva-AdO saMsTApitA |
   pratipattilakṣaṇaṃ tu bodhisattvayānasamprasthitena kathaṃ sthātavyam?	pratipatti-lakzaNam tu boDisattva-yAna-samprasTitena kaTam sTAtavyam?
   ityādinā proktam |	ityAdinA proktam |
   (Vajraṭ_98)	(Vajraj-_98)
   tasya pratipattilakṣaṇasya sthānaṃ tāvat kasmin viṣaye bodhisattvena	tasya pratipatti-lakzaNasya sTAnam tAvat kasmin vizaye boDisattvena
   sthātavyam? pratipattavyam? cittaṃ pragrahītavyam? yadetat tattasya	sTAtavyam? pratipattavyam? cittam pragrahItavyam? yat-etat tat-tasya
   sthānamiti | tadapi iha subhūte ! bodhisattvayānasamprasthitena evaṃ mayā	sTAnam-iti | tat-api iha suBUte ! boDisattva-yAna-samprasTitena evam mayA
   ityādinārabhya tārakā timiram ityantimagāthāṃ yāvadabhihitam |	ityAdinA-AraBya tArakA timiram iti-antim-agATAm yAvat-aBihitam |
   pratipattilakṣaṇaṃ tasya sthānaṃ cetyetābhyāṃ dvābhyāṃ	pratipatti-lakzaNam tasya sTAnam ca-iti-etAByAm dvAByAm
   bodhisattvānāmaśeṣakaraṇīyaparipūrṇatā samprakāśitā, ityeṣa tāvat	boDisattvAnAm-aSeza-karaNIya-paripUrNa-tA samprakASitA, iti-eza tAvat-
   piṇḍārthaḥ |	piNxa-arTaH |
   nidānam :	nidAnam :
   padārthādayaśceme sāmpratamabhidhīyante- tatra evam iti śabdo	padArTa-AdayaH-ca-ime sAmpratam-aBiDIyante tatra evam iti SabdaH-
   'bhyupagamādinānārtheṣu dṛśyate | atra prakaraṇādibalena saṃnnidhāpitārtho	aByupagama-Adi-nAnA-arTezu dRSyate | atra prakaraNa-Adi-balena saM=-niDApita-arTaH-
   grāhyaḥ | ayaṃ hi vakṣyamāṇasakalasūtrārthaṃ vyavasthāpayati | mayā	grAhyaH | ayam hi vakzyamANa-sakala-sUtra-arTam vyavasTApayati | mayA
   ityanyavyavacchedena arthasya sākṣācchravaṇaṃ nirdiśyate | ātmanaiva	iti-anya-vyavacCedena arTasya sAkzAt-SravaNam nirdiSyate | AtmanA-eva
   śrutaṃ na śravaṇaparamparāyātamityarthaḥ | śrutam ityadhigamo niṣedhyate |	Srutam na SravaNa-paramparA-AyAtam-iti-arTaH | Srutam iti-aDigamaH nizeDyate |
   tathāgatād ṛte nānye svatastāthābhūtadharmādhigamavanto bhavanti |	taTAgatAt Rte na-anye svatas-tATA-BUta-Darma-aDigamavantaH Bavanti |
   etenānāptapvaṃ nirākriyate | ekasmin samaye iti ekasmin kāle,	etena-anAptapvam nirAkriyate | ekasmin samaye iti ekasmin kAle,
   sarvakālamevaṃvidhadharmaratnaśravaṇaṃ durlabhamityākhyātam | (Vajraṭ_99)	sarva-kAlam-evaMviDa-Darma-ratna-SravaNam durlaBam-iti-AKyAtam | (Vajraj-_99)
   yadvā svagataṃ bāhuśrutyamupadarśitam | ekasmin kāle idaṃ śrutamanyadā	yat-vA sva-gatam bAhu-Srutyam-upadarSitam | ekasmin kAle idam Srutam-anyadA
   anyadapi śrutamiti darśyate | atha vā, ekasmin samaye bhagavān viharati	anyat-api Srutam-iti darSyate | aTa vA, ekasmin samaye BagavAn viharati
   sma ityuttareṇa sambadhyate | aparimitāvineyānāṃ teṣāṃ hitāya anyadā	smaH iti-uttareNa sambaDyate | aparimita-AvineyAnAm tezAm hitAya anyadA
   anyatra viharati sma iti pratipādyate | kleśaskandhamṛtyudevaputrarūpāṇāṃ	anyatra viharati smaH iti pratipAdyate | kleSa-skanDa-mRtyu-deva-putra-rUpANAm
   caturṇāṃ mārāṇāṃ bhañjakatvānnirūktayā bhagavān iti smaryate | atha vā	caturNAm mArANAm BaQjaka-tvAt-nirUktayA BagavAn iti smaryate | aTa vA
   īśvaryādimattvāt 'bhagavān'; ityucyate | yathoktam-	ISvarI-Adimat-tvAt aBagavAn-a; iti-ucyate | yaTA-uktam-
   aiśvaryasya samagrasya rūpasya yaśasaḥ śriyaḥ |	ESvaryasya samagrasya rUpasya yaSasaH SriyaH |
   jñānasyātha prayatnasya ṣaṇṇāṃ bhaga iti śrutiḥ ||	jQAnasya-aTa prayatnasya zaNNAm BagaH iti SrutiH ||
   (Vajraṭ_100)	(Vajraj-_100)
   śrāvastī iti śravastestannāmakarṣerāśramatvācchrāvastī nagarī,	SrAvastI iti SravaH-teH-tad-nAma-karzeH-ASrama-tvAt-SrAvastI nagarI,
   tayopalakṣito deśaviśeṣo 'pi tatsambandhena śrāvastītyucyate | deśoktayā	tayA-upalakzitaH deSa-viSezaH api tad-sambanDena SrAvastI-iti-ucyate | deSa-uktayA
   ayaṃ deśo 'pi caityabhūto 'bhidhīyate, tadyathā caityabhūtaḥ sa	ayam deSaH api cEtya-BUtaH aBiDIyate, tat-yaTA cEtya-BUtaH sa
   pṛthivīpradeśo bhaviṣyati ityatrāpyuktam | atha ca	pRTivI-pradeSaH Bavizyati iti-atra-api-uktam | aTa ca
   saṅgītikārairātmavacanānāmādeyatāpratipādanāyaitat sarvamuktam |	saFgItikArEH-Atma-vacanAnAm-AdeyatA-pratipAdanAya-etat sarvam-uktam |
   lokapratyāyanārthaṃ tāvat [sa] pradeśaḥ sākāraḥ samṛddhaścetyuktaḥ, evaṃ	loka-pratyAyana-arTam tAvat [sa] pradeSaH sa-AkAraH samRdDaH-ca-iti-uktaH, evam
   sati paraiḥ grāhyaṃ bhavati vacanam, nānyathā tadādeyavacanamiti |	sati parEH grAhyam Bavati vacanam, na-anyaTA tad-Adeya-vacanam-iti |
   śrāvastīpradeśasya atyantaṃ vistīrṇatvāt kutra viharatīti	SrAvastI-pradeSasya atyantam vistIrNa-tvAt kutra viharati-iti
   sthānaniścayābhāvād jetavane ityuktam | 'jetṛ'; ityākhyasya rājakumārasya	sTAna-niScaya-aBAvAt jetavane iti-uktam | ajetR-a; iti-AKyasya rAja-kumArasya
   vanatvād jetavanamiti | tadapi tāvat kasyacidaprasiddhamiti sambhāvanāyām	vana-tvAt jetavanam-iti | tat-api tAvat kasyacid-aprasidDam-iti samBAvanAyAm
   anāthapiṇḍadasyārāme ityuktam | gṛhapati-anāthapiṇḍada ityanāthebhyo	anATapiNxadasya-ArAme iti-uktam | gRhapati-anATapiNxadaH iti-anATeByaH-
   dayayā piṇḍadānena tathā prasiddhaḥ, sa khalu bhagavadarthaṃ nirantarayā	dayayA piNxa-dAnena taTA prasidDaH, sa Kalu Bagavat-arTam nirantarayA
   ratnāni vikīrya jetuḥ rājaputrādārāmaṃ krītavān | rājaputrajetṛṇāpi tatra	ratnAni vikIrya jetuH rAja-putrAt-ArAmam krItavAn | rAja-putra-jetRNA-api tatra
   kācid bhūmirāvāsādibhiḥ samalaṅkṛtā, atastayostad vanamiti prasiddhiṃ	kAcid BUmiH-AvAsa-AdiBiH samalaFkRtA, atas-tayoH-tat vanam-iti prasidDim
   gatam | kasyacidekasyopādānena abhipretadeśaviśeṣasyānavabodhāt	gatam | kasyacid-ekasya-upAdAnena aBipreta-deSa-viSezasya-anavaboDAt
   padatrayamuktam | athavā śrāvastītyanena bahunāṃ madhye viharaṇāt	pada-trayam-uktam | aTavA SrAvasti-iti-anena bahunAm maDye viharaNAt-
   parārthasampadabhihitā | jetavane 'nāthapiṇḍadasyārāma ityanena (ca)	para-arTa-sampad-aBihitAH | jetavane anATapiNxadasya-ArAmaH iti-anena (ca)
   vivekaviharaṇāt svārthasampat |	viveka-viharaNAt sva-arTa-sampad |
   (Vajraṭ_101)	(Vajraj-_101)
   atra kaḥ sākṣīti cintyamāne mahatābhikṣusaṃghena ityuktam | bhinnakleśā hi	atra kaH sAkzi-iti cintyamAne mahatA-aBikzu-saMGena iti-uktam | Binna-kleSAH hi
   bhikṣavaḥ | mārādibhiḥ pratyarthibhirabhedyatvāt teṣāṃ samūhaḥ saṃghaḥ	BikzavaH | mAra-AdiBiH pratyarTiBiH-aBedya-tvAt tezAm samUhaH saMGaH
   ityucyate | mahān bhikṣusaṃghastāvat bhūyastvena ānubhāveneti	iti-ucyate | mahAn Bikzu-saMGaH-tAvat BUyastvena AnuBAvena-iti
   dvaividhyena, ānubhāvastāvad darśitaḥ | kathaṃ bhūyasvamiti ced?	dvEviDyena, AnuBAvaH-tAvat darSitaH | kaTam BUyasvam-iti ced-?
   sārdhamardhatrayodaśabhiḥ (bhikṣu) śataiḥ ityādyucyate | tasmin samaye	sArDam-arDa-trayodaSaBiH (Bikzu) SatEH ityAdi-ucyate | tasmin samaye
   tāvatāmeva sattvāt | bhikṣusaṃghāt bodhisattvānāṃ bāhulyaṃ tu	tAvatAm-eva sattvAt | Bikzu-saMGAt boDisattvAnAm bAhulyam tu
   teṣāmevārthāya sūtrāṇāṃ bhāṣitatvāt | bodhau sattvamāśayo yeṣāṃ te	tezAm-eva-arTAya sUtrANAm BAzita-tvAt | boDO sattvam-ASayaH yezAm te
   'bodhisattvāḥ'; | śrāvakeṣvapi bodhau sattvaṃ vidyate, atasteṣāṃ	aboDisattvAH-a; | SrAvakezu-api boDO sattvam vidyate, atas-tezAm
   vyavacchedāya mahāsattvaiḥ ityāha |	vyavacCedAya mahAsattvEH iti-Aha |
   dharma-cittotpāda-adhimukti-adhyāśaya-sambhāra-kāla-sampratipattilakṣaṇaiḥ	Darma---citta-utpAda--aDi-mukti--aDyASaya--samBAra--kAla--sampratipatti-lakzaNEH
   saptabhirmahattvairupetvād mahāsattvāḥ |	saptaBiH-mahat-tvEH-upetvAt mahAsattvAH |
   tatra dharmahattvaṃ tu bodhisattvebhyaḥ	tatra Darmahattvam tu boDisattveByaH
