   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   agamyagamanāc caivam KDA_248c	agamya-gamanAt ca-evam KDA_248c
   agamyagamanāc caivaṃ KDA_243c	agamya-gamanAt ca-evam KDA_243c
   agnikalpaḥ sutīkṣṇadhīḥ KDA_38b	agni-kalpaH su-tIkzNa-DIH KDA_38b
   agnikalpo mahātīkṣṇaḥ KDA_83a	agni-kalpaH mahAtIkzNaH KDA_83a
   agneḥ śabdaś ca sparśaś ca KDA_103a	agneH SabdaH ca sparSaH ca KDA_103a
   agro 'raṇāvihāriṇām* KDA_454d	agraH araNa-avihAriNAm* KDA_454d
   agro 'raṇāvihāriṇām* KDA_455d	agraH araNa-avihAriNAm* KDA_455d
   atīva roṣasaṃkruṣṭo KDA_79c	atIva roza-saMkruzwaH KDA_79c
   atyayād bodhimānasaḥ KDA_351b	atyayAt boDimAnasaH KDA_351b
   atha te bhikṣavaḥ sarve KDA_456a	aTa te BikzavaH sarve KDA_456a
   atharvam apy adhītuṃ sa KDA_36c	aTarvam api aDItum sa KDA_36c
   atharvādhītasaṃratam* KDA_37b	aTarva-aDIta-saMratam* KDA_37b
   atha śrībhagavān buddhaḥ KDA_452a	aTa SrI-BagavAn budDaH KDA_452a
   atha saṅge 'pi grāmeṣu KDA_344a	aTa saFge api grAmezu KDA_344a
   atha subhūtir āyuṣmān KDA_329a	aTa suBUtiH AyuzmAn KDA_329a
   atha so 'rhaṃs trimāsānām KDA_351a	aTa saH arhan tri-mAsAnAm KDA_351a
   atha svarddhibalenaiva KDA_358a	aTa sva-RdDi-balena-eva KDA_358a
   athāśoko mahārājaḥ KDA_1a	aTa-aSokaH mahA-rAjaH KDA_1a
   adattaṃ naiva gṛhṇāti KDA_254c	adattam na-eva gRhNAti KDA_254c
   adyāgreṇa jagadbandho KDA_321a	adya-agreNa jagat-banDo KDA_321a
   adyāpi cet tathā cātra KDA_341a	adya-api ced taTA ca-atra KDA_341a
   adhamottamam adhyamāḥ KDA_97b	aDama-uttamam aDyamAH KDA_97b
   adharma eva saṃbhavet* KDA_248d	aDarmaH eva saMBavet* KDA_248d
   adharmapraṇayāśivam* KDA_414d	aDarma-praNaya-aSivam* KDA_414d
   adhītya caturo vedān KDA_112a	aDItya caturaH vedAn KDA_112a
   adhairyatvād bhaven mūḍho KDA_406a	aDErya-tvAt Bavet mUXaH KDA_406a
   adhyūṣur dhyānatatparāḥ KDA_18d	aDyUzuH DyAna-tatparAH KDA_18d
   anapekṣya svajīve 'pi KDA_434c	anapekzya svajIve api KDA_434c
   anādṛtya bhayaṃ pāpā KDA_382c	anAdRtya Bayam pApA KDA_382c
   anuśocan muhuś cāpi KDA_435c	anuSocat muhur ca-api KDA_435c
   anena kuśalenāhaṃ KDA_466a	anena kuSalena-aham KDA_466a
   anena ruṣṭacittena KDA_473a	anena ruzwa-cittena KDA_473a
   anyathāpi ca no bhūtā KDA_480a	anyaTA-api ca naH BUtA KDA_480a
   anye 'pi bahavaḥ santi KDA_229a	anye api bahavaH santi KDA_229a
   anyonyaṃ vigrahaṃ kṛtvā KDA_389c	anyonyam vigraham kRtvA KDA_389c
   apaśyat sa tataś ceti KDA_330a	apaSyat sa tatas ca-iti KDA_330a
   aprameyaṃ yudhiṣṭhira KDA_264d	aprameyam yuDizWira KDA_264d
   abhakṣyabhakṣaṇāc caiva KDA_216c	aBakzya-BakzaNAt ca-eva KDA_216c
   abhidrutāni nāgena KDA_360c	aBidrutAni nAgena KDA_360c
   abhuktaṃ kṣīyate naiva KDA_479a	aBuktam kzIyate na-eva KDA_479a
   abhuñjānaḥ svayaṃ sukham* KDA_429b	aBuQjAnaH svayam suKam* KDA_429b
   ayaṃ pravrajito bhūtvā KDA_464c	ayam pravrajitaH BUtvA KDA_464c
   araṇāvihāriṇāṃ cāgro KDA_477a	araNA-vihAriNAm ca-agraH KDA_477a
   araṇīgarbhasaṃbhūtaḥ KDA_122a	araNI-garBa-saMBUtaH KDA_122a
   arthibhyaḥ prārthitaṃ vastu KDA_439c	arTiByaH prArTitam vastu KDA_439c
   arhatām agrasaṃprāpto KDA_469c	arhatAm agra-saMprAptaH KDA_469c
   arhatāṃ jyeṣṭhatāṃ prāptas KDA_470c	arhatAm jyezWa-tAm prAptaH KDA_470c
   arhan saṃbuddhasevakaḥ KDA_364b	arhan saMbudDa-sevakaH KDA_364b
   avadānārthakovidaiḥ KDA_162d	avadAna-arTa-kovidEH KDA_162d
   avasanti puṇyatīrtheṣu KDA_46c	avasanti puNya-tIrTezu KDA_46c
   avigaṇayya pāpāni KDA_381c	avigaNayya pApAni KDA_381c
