   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   akasmādyuvayoḥ kasmād KDarp_4.57c	akasmAt-yuvayoH kasmAt KDarp_4.57c
   akāṇḍakhaṇḍitoccaṇḍa- KDarp_5.41a	akANxa-KaNxita-uccaNxa KDarp_5.41a
   akṣīṇakṣudvikāriṇā KDarp_6.43b	akzINa-kzuD-vikAriNA KDarp_6.43b
   agnyāgāraṃ viśanruddhaḥ KDarp_3.120c	agni-AgAram viSan-rudDaH KDarp_3.120c
   agnyāgārāgrataḥ sthitam KDarp_3.106b	agni-AgAra-agratas sTitam KDarp_3.106b
   agnyāgārāntare tāvan KDarp_4.53a	agni-AgAra-antare tAvat KDarp_4.53a
   aṅge jagallocanavargamasya KDarp_7.42c	aFge jagat-locana-vargam-asya KDarp_7.42c
   acchinnaguṇanāgateḥ KDarp_2.40b	acCinna-guNanA-gateH KDarp_2.40b
   ajñātabhāvicaurādi- KDarp_2.52a	ajQAta-BAvi-cOra-Adi KDarp_2.52a
   ajñātamanudīritam KDarp_6.7b	ajQAtam-anudIritam KDarp_6.7b
   atyalpaparituṣṭasya KDarp_2.59c	ati-alpa-parituzwasya KDarp_2.59c
   atyunnatirlokaparābhavāya KDarp_2.9c	ati-unnatiH-loka-parABavAya KDarp_2.9c
   atrāntare candanasya KDarp_2.84a	atra-antare candanasya KDarp_2.84a
   atrāntare bharadvājaḥ KDarp_3.122a	atra-antare BaradvAjaH KDarp_3.122a
   atrāntare bhramadbhṛṅga- KDarp_3.76a	atra-antare Bramat-BRFga KDarp_3.76a
   atha gatvā nirāhāraḥ KDarp_1.77a	aTa gatvA nirAhAraH KDarp_1.77a
   atha yāte śanaiḥ kāle KDarp_3.128a	aTa yAte SanEs kAle KDarp_3.128a
   atha rājā kṛtasnānaḥ KDarp_4.55a	aTa rAjA kRta-snAnaH KDarp_4.55a
   atha vṛddhadvijo bhūtvā KDarp_3.55a	aTa vRdDa-dvijaH BUtvA KDarp_3.55a
   atha sa bhagavānbhargaḥ svargāpagāpṛthunirjhara- KDarp_7.67a	aTa sa BagavAn-BargaH svarga-ApagA-pRTu-nirJara KDarp_7.67a
   athāsya tīvratapasā KDarp_3.62a	aTa-asya tIvra-tapasA KDarp_3.62a
