   Kṣemendra: Narmamālā	Kzema-indra: Narma-mAlA
   prathamaḥ parihāsaḥ	praTamaH parihAsaH
   yenedaṃ svecchayā sarvaṃ māyayā mohitaṃ jagat /	yena-idam sva-icCayA sarvam mAyayA mohitam jagat /
   sa jayatyajitaḥ śrīmān kāyasthaḥ parameśvaraḥ // KNarm_1.1 //	sa jayati-ajitaH SrImAn kAyasTaH parameSvaraH // KNarm_1.1 //
   asti svastimatāmagryaṃ maṇḍitaṃ budhamaṇḍalaiḥ /	asti svastimatAm-agryam maNxitam buDa-maNxalEH /
   khaṇḍitākhaṇḍalāvāsadarpaṃ kaśmīramaṇḍalam // KNarm_1.2 //	KaNxita-AKaNxala-AvAsa-darpam kaSmIra-maNxalam // KNarm_1.2 //
   yasmin prājyabhujastambhastambhitāhitavikramaḥ /	yasmin prAjya-Buja-stamBa-stamBita-Ahita-vikramaH /
   trivikrama iva śrīmānananto balijinnṛpaḥ // KNarm_1.3 //	trivikramaH iva SrImAn-anantaH bali-jit-nRpaH // KNarm_1.3 //
   tena prajopasargeṣu vāriteṣu vivekinā /	tena prajA-upasargezu vAritezu vivekinA /
   durniyogiṣu .. .. .. nīteṣu smṛtiśeṣatām // KNarm_1.4 //	durniyogizu .. .. .. nItezu smRti-Seza-tAm // KNarm_1.4 //
   vidagdhacūḍāmaṇinā kenacitkeliśālinā /	vidagDa-cUxAmaNinA kenacid-keli-SAlinA /
   vidvadgoṣṭhīgariṣṭhena kaścitsahṛdayo janaḥ // KNarm_1.5 //	vidvat-gozWI-garizWena kaScid-sahRdayaH janaH // KNarm_1.5 //
   hāsāyātītakāyasthacaritaṃ kartumīritaḥ /	hAsAya-atIta-kAyasTa-caritam kartum-IritaH /
   karoti tatprasaṅgena durācāraviḍambanām // KNarm_1.6 //	karoti tad-prasaFgena durAcAra-vixambanAm // KNarm_1.6 //
   kṛtaviśvaprapañcāya namo māyāvidhāyine /	kRta-viSva-prapaQcAya namaH mAyA-viDAyine /
   utpattisthitisaṃhārakāriṇe purahāriṇe // KNarm_1.7 //	utpatti-sTiti-saMhAra-kAriNe pura-hAriNe // KNarm_1.7 //
   vyāpine janmahīnāya nirguṇāya kalābhṛte /	vyApine janma-hInAya nirguNAya kalA-BRte /
   sarvādhikāriṇe sarvakālakūṭāśanāya te // KNarm_1.8 //	sarva-aDikAriNe sarva-kAlakUwa-aSanAya te // KNarm_1.8 //
   purā hateṣu daityeṣu viṣṇunā prabhaviṣṇunā /	purA hatezu dEtyezu vizNunA praBavizNunA /
   duḥkhito dīrghavairāgyastadgehagaṇanāpatiḥ // KNarm_1.9 //	duHKitaH dIrGa-vErAgyaH-tad-geha-gaNanA-patiH // KNarm_1.9 //
   gatvā vaitaraṇītīraṃ tapo vārṣasahasrakam /	gatvA vEtaraNI-tIram tapaH vArza-sahasrakam /
   svamūtraculakāhāraḥ suravairāccakāra saḥ // KNarm_1.10 //	sva-mUtra-culaka-AhAraH sura-vErAt-cakAra saH // KNarm_1.10 //
   tuṣṭastametya varadaḥ kaliḥ sākṣādabhāṣata /	tuzwaH-tam-etya vara-daH kaliH sAkzAt-aBAzata /
   sarvadevavināśāya gaccha vatsa mahītalam // KNarm_1.11 //	sarva-deva-vinASAya gacCa vatsa mahI-talam // KNarm_1.11 //
   anena kalamāstreṇa maddattena prahāriṇā /	anena kalama-astreNa mad-dattena prahAriNA /
   vicchinnadīpakusumāndhūpahīnānnirambarān // KNarm_1.12 //	vicCinna-dIpa-kusumAn-DUpa-hInAn-nirambarAn // KNarm_1.12 //
   bhraṣṭālayāndhūliliptānhāhābhūtānśvabhirvṛtān /	Brazwa-AlayAn-DUli-liptAn-hAhA-BUtAn-SvaBiH-vRtAn /
   kariṣyasi surānsarvānbhaktapānīyakāṅkṣiṇaḥ // KNarm_1.13 //	karizyasi surAn-sarvAn-Bakta-pAnIya-kAFkziNaH // KNarm_1.13 //
   jagati brāhmaṇānāṃ ca vṛtticchede tvayā kṛte /	jagati brAhmaNAnAm ca vRtti=-Cede tvayA kRte /
   yajñacchedādvinaṅkṣyanti divi devā na saṃśayaḥ // KNarm_1.14 //	yajQa=-CedAt-vinaFkzyanti divi devAH na saMSayaH // KNarm_1.14 //
   daityakṣaye kṛte yasmādbhavatā divi roditam /	dEtya-kzaye kRte yasmAt-BavatA divi roditam /
   tasmāttvaṃ diviro nāma bhuvi khyāto bhaviṣyasi // KNarm_1.15 //	tasmAt-tvam diviraH nAma Buvi KyAtaH Bavizyasi // KNarm_1.15 //
   maṣī sakalamā yasya kālī kavalitākhilā /	mazI sakalamA yasya kAlI kavalita-aKilAH /
   sadā sakalamāyasya tasya sarvārthasiddhidā // KNarm_1.16 //	sadA sakala-mAyasya tasya sarva-arTa-sidDi-dA // KNarm_1.16 //
   tvadvaṃśe 'tra bhaviṣyanti daityā divirarūpiṇaḥ /	tvad-vaMSe atra Bavizyanti dEtyAH divira-rUpiNaH /
   yairiyaṃ labdhavibhavaiḥ pṛthivī na bhaviṣyati // KNarm_1.17 //	yEH-iyam labDa-viBavEH pRTivI na Bavizyati // KNarm_1.17 //
   ityuktvāntarhite tasminkalau kalmaṣamānasaḥ /	iti-uktvA-antarhite tasmin-kalO kalmaza-mAnasaH /
   yāti kāle suvipule mahīmavatatāra saḥ // KNarm_1.18 //	yAti kAle su-vipule mahIm-avatatAra saH // KNarm_1.18 //
   saunikena prajāto 'tha bhūtale marmaghātinā /	sOnikena prajAtaH aTa BU-tale marma-GAtinA /
   sa *kuddālikabhāryāyāṃ jagadunmūlanavrataḥ // KNarm_1.19 //	sa *kuddAlika-BAryAyAm jagat-unmUlana-vrataH // KNarm_1.19 //
   tīkṣṇaistadanvaye jātaiḥ sarvavṛttivilopibhiḥ /	tIkzNEH-tad-anvaye jAtEH sarva-vRtti-vilopiBiH /
   rūkṣairna kasyacinmitraiḥ pāpaiḥ sarvāpahāribhiḥ // KNarm_1.20 //	rUkzEH-na kasyacid-mitrEH pApEH sarva-apahAriBiH // KNarm_1.20 //
   kalpāntairiva sarvatra grastasthāvarajaṅgamaiḥ /	kalpa-antEH-iva sarvatra grasta-sTAvara-jaFgamEH /
   maṣīviliptasarvāṅgaiḥ kālenāliṅgitairiva // KNarm_1.21 //	mazI-vilipta-sarva-aFgEH kAlena-AliFgitEH-iva // KNarm_1.21 //
   adhogatairmṛdutaraiḥ stabdhairabhyudgataiḥ kṣaṇāt /	aDas-gatEH-mRdutarEH stabDEH-aByudgatEH kzaNAt /
   purīṣairiva kāyasthaiḥ kāyasthairdoṣakāribhiḥ // KNarm_1.22 //	purIzEH-iva kAyasTEH kAyasTEH-doza-kAriBiH // KNarm_1.22 //
   sevākāle bahumukhairlubdhakairbahubāhubhiḥ /	sevA-kAle bahu-muKEH-lubDakEH-bahu-bAhuBiH /
   vañcane bahumāyaiśca bahurūpaiḥ surāribhiḥ // KNarm_1.23 //	vaQcane bahu-mAyEH-ca bahu-rUpEH surAriBiH // KNarm_1.23 //
   vyāptāsu nagaragrāmapurapattanabhūmiṣu /	vyAptAsu nagara-grAma-pura-pattana-BUmizu /
   tasminkāle maṣīliptakalamena khamullikhan // KNarm_1.24 //	tasmin-kAle mazI-lipta-kalamena Kam-ulliKan // KNarm_1.24 //
   nanarta kartarīhasto bhūrjaprāvaraṇaḥ kaliḥ /	nanarta kartarI-hastaH BUrja-prAvaraNaH kaliH /
   bhastrākakṣyābhidhāno 'yaṃ sarvabhakṣo mahāsuraḥ /	BastrA-kakzyA-aBiDAnaH ayam sarva-BakzaH mahA-asuraH /
   jāto jagatkṣayāyeti piśācanicayā jaguḥ // KNarm_1.25 //	jAtaH jagat-kzayAya-iti piSAca-nicayAH jaguH // KNarm_1.25 //
   devāpahāriṇā tena goghāsalavaṇacchidā /	deva-apahAriNA tena go-GAsa-lavaNa=-CidA /
   bhujyate pīyate bhūri divireṇa divāniśam // KNarm_1.26 //	Bujyate pIyate BUri divireNa divAniSam // KNarm_1.26 //
   bhaktyā bhagavato viṣṇostrailokyākramaṇe purā /	BaktyA BagavataH vizNoH-trElokya-AkramaNe purA /
   dharmaḥ prayāto dravatāṃ maṣīrūpeṇa tiṣṭhati // KNarm_1.27 //	DarmaH prayAtaH dravatAm mazI-rUpeNa tizWati // KNarm_1.27 //
   devanāgamanuṣyāṇāṃ nityanaimittikacchidaḥ /	deva-nAga-manuzyANAm nitya-nEmittika=-CidaH /
   tasya kāyasthanāthasya trailokyākramaṇe punaḥ // KNarm_1.28 //	tasya kAyasTa-nATasya trElokya-AkramaNe punar // KNarm_1.28 //
   kaliḥ prayāto dravatāṃ maṣīrūpeṇa tiṣṭhati /	kaliH prayAtaH dravatAm mazI-rUpeNa tizWati /
   yathā svargapradā gaṅgā tathaiṣā narakapradā // KNarm_1.29 //	yaTA svarga-pradA gaFgA taTA-ezA naraka-pradA // KNarm_1.29 //
   vyathitaḥ prathitairgrāmairnigaḍairlaguḍaistathā /	vyaTitaH praTitEH-grAmEH-nigaxEH-laguxEH-taTA /
   bhayādvairāgyamāpannaḥ sa babhūva mahāvratī // KNarm_1.30 //	BayAt-vErAgyam-ApannaH sa baBUva mahAvratI // KNarm_1.30 //
   bhagnavyatho 'tha santyajya vrataṃ prāyāddigantaram /	Bagna-vyaTaH aTa santyajya vratam prAyAt-digantaram /
   kālena vismṛto 'bhyetya bhūrjajño 'līkaniḥspṛhaḥ // KNarm_1.31 //	kAlena vismRtaH aByetya BUrja-jQaH alIka-niHspRhaH // KNarm_1.31 //
   kramādgrāmaniyogena nagare gaṇanāpateḥ /	kramAt-grAma-niyogena nagare gaNanA-pateH /
   dambhasambhāvitaḥ prāpa gṛhakṛtyaṃ vidhervaśāt // KNarm_1.32 //	damBa-samBAvitaH prApa gRha-kRtyam viDeH-vaSAt // KNarm_1.32 //
   tasyānujīvibhiḥ krūrairanuvartanajīvibhiḥ /	tasya-anujIviBiH krUrEH-anuvartana-jIviBiH /
   vasuhīnā vasumatī kṛtā prakaṭataskaraiḥ // KNarm_1.33 //	vasu-hInA vasumatI kRtA prakawa-taskarEH // KNarm_1.33 //
   dambhadhvajo niṣprapañco lubdhakaḥ kalamākaraḥ /	damBa-DvajaH nizprapaQcaH lubDakaH kalama-AkaraH /
   sūcīmukho bhūrjagupto mahīmaṇḍaśca duḥsahāḥ // KNarm_1.34 //	sUcImuKaH BUrjaguptaH mahI-maNxaH-ca duHsahAH // KNarm_1.34 //
   daityāvatārāḥ saptaite tanmāhātmyānniyoginaḥ /	dEtya-avatArAH saptA-ete tad-mAhAtmyAn-niyoginaH /
   luṇṭhyā vadhyāśca pūjyā ye sarva ityavadanmadāt // KNarm_1.35 //	luNWyAH vaDyAH-ca pUjyAH ye sarve iti-avadat-madAt // KNarm_1.35 //
   upatāpo vajrapātaḥ parigho dvārabhañjakaḥ /	upatApaH vajrapAtaH pariGaH dvAraBaQjakaH /
   dhūmaketuḥ kapimukhaḥ kukṣibhedo gṛholmukaḥ // KNarm_1.36 //	DUmaketuH kapimuKaH kukzi-BedaH gRha-ulmukaH // KNarm_1.36 //
   aṣṭau piśācāstasyaite bhaṭamukhyāḥ puraḥsarāḥ /	azwO piSAcAH-tasya-ete Bawa-muKyAH puraHsarAH /
   martyalokavināśāya babhramuryaṣṭipāṇayaḥ // KNarm_1.37 //	martya-loka-vinASAya baBramuH-yazwi-pANayaH // KNarm_1.37 //
   sa vṛtaḥ sevakaśataiḥ sadā dambhaharārcane /	sa vRtaH sevaka-SatEH sadA damBa-hara-arcane /
   stotraṃ paṭhati hāheti kurvansāsruvilocanaḥ // KNarm_1.38 //	stotram paWati hAhA-iti kurvan-sa-asru-vilocanaH // KNarm_1.38 //
   sugirā cittahāriṇyā paśyantyā dṛśyamānayā /	sugirA citta-hAriNyA paSyantyAH dRSyamAnayA /
   hyaḥ kiyanto mayā dattāḥ prāyasthā vijayeśvare // KNarm_1.39 //	hyaH kiyantaH mayA dattAH prAya-sTAH vijayeSvare // KNarm_1.39 //
   jayatyullāsitānantamahimā parameśvaraḥ /	jayati-ullAsita-ananta-mahimA parameSvaraH /
   ādau sthitānāmupari prayāntvete trisaptatiḥ // KNarm_1.40 //	AdO sTitAnAm-upari prayAntu-ete trisaptatiH // KNarm_1.40 //
   yaḥ sphītaḥ śrīdayābodhaparamānandasampadā /	yaH sPItaH SrIdayA-boDa-parama-Ananda-sampadA /
   prāyasthāne mṛtā bhaṭṭāḥ kṛṣyantāṃ gulphadāmabhiḥ // KNarm_1.41 //	prAya-sTAne mRtAH BawwAH kRzyantAm gulPa-dAmaBiH // KNarm_1.41 //
   vidyoddyotitamāhātmyaḥ sa jayatyaparājitaḥ /	vidyA-uddyotita-mAhAtmyaH sa jayati-aparAjitaH /
   {nirdhāmadhūmakartāro} grāmānyāntu niyoginaḥ // KNarm_1.42 //	{nirDAma-DUma-kartAro} grAmAn-yAntu niyoginaH // KNarm_1.42 //
   sarvānandasvarūpāya sarvamaṅgalyahetave /	sarva-Ananda-svarUpAya sarva-maFgalya-hetave /
   sarvasvaharaṇaṃ kṛtvā vadhyā daṇḍaniṣedhinaḥ // KNarm_1.43 //	sarva-sva-haraNam kRtvA vaDyAH daNxa-nizeDinaH // KNarm_1.43 //
   sarvakleśāpahartre ca cidrūpabrahmaṇe namaḥ /	sarva-kleSa-apahartre ca cit-rUpa-brahmaNe namaH /
   pīḍitāḥ prasravantyeva prajā guggulubījavat // KNarm_1.44 //	pIxitAH prasravanti-eva prajAH guggulu-bIja-vat // KNarm_1.44 //
   ityādistotramukharo ghaṇṭābadhiritākhilaḥ /	ityAdi-stotra-muKaraH GaNwA-baDirita-aKilaH /
   samādiśyāviśaccāśu niyoginibiḍāṃ sabhām // KNarm_1.45 //	samAdiSya-aviSat-ca-ASu niyogi-nibixAm saBAm // KNarm_1.45 //
   marīcaḥ prathitasthānamāsthito janaduṣkṛtaiḥ /	marIcaH praTita-sTAnam-AsTitaH jana-duzkRtEH /
