   %p. 58	%p. 58
   bhāvārthāḥ karmaśabdās tebhyaḥ kriyā pratīyetaiṣa hy artho vidhīyate ||	BAva-arTAH karma-SabdAH teByaH kriyA pratIyeta-eza hi arTaH viDIyate ||
   Jaim_2,1.1 ||	JEm_2,1.1 ||
   saṃbandhaṃ tāval lakṣaṇadvayasya karoti |	saMbanDam tAvat lakzaNa-dvayasya karoti |
   tatra prathame 'dhyāye pramāṇalakṣaṇaṃ vṛttam ity uktam |	tatra praTame aDyAye pramANa-lakzaNam vRttam iti uktam |
   tad ayuktam |	tat ayuktam |
   kutaḥ |	kutas |
   naiva hi prathame 'dhyāye sūtrakāreṇa kiṃcana /	na-eva hi praTame aDyAye sUtrakAreNa kiMcana /
   lakṣaṇena pramāṇādeḥ svarūpam upavarṇitam // 1 //	lakzaNena pramANa-AdeH svarUpam upavarNitam // 1 //
   tan nāma lakṣaṇam ucyate yena tadvyatiriktebhyas tasya svarūpaṃ	tat nAma lakzaNam ucyate yena tad-vyatirikteByaH tasya svarUpam
   vyāvṛttākāraṃ nirūpyate |	vyAvRtta-AkAram nirUpyate |
   na caivaṃ pramāṇādilakṣaṇam uktam |	na ca-evam pramANa-Adi-lakzaNam uktam |
   anumānādīni tāvan naiva sūtritāni |	anumAna-AdIni tAvat na-eva sUtritAni |
   pratyakṣam api dharmaṃ praty animittatvenopanyastaṃ na lakṣyatveneti	pratyakzam api Darmam prati animitta-tvena-upanyastam na lakzya-tvena-iti
   vyākhyātam |	vyAKyAtam |
   na ca śabdo 'pi dharmapramāṇabhūtaḥ kaścil lakṣitaḥ, asminn evādhikaraṇe	na ca SabdaH api Darma-pramANa-BUtaH kaScid lakzitaH, asmin eva-aDikaraNe
   tasya lakṣyamāṇatvāt |	tasya lakzyamANa-tvAt |
   yad api vṛttikāreṇa sarveṣāṃ lakṣaṇaṃ pradarśitaṃ na tad	yat api vRtti-kAreNa sarvezAm lakzaNam pradarSitam na tat-
   adhyāyārthatvenopasaṃhartuṃ yuktam |	aDyAya-arTa-tvena-upasaMhartum yuktam |
   sūtrādhyāyārthānupasaṃhārāt |	sUtra-aDyAya-arTa-anupasaMhArAt |
   kathaṃ ca samastalakṣaṇārthavyatirikta evārthe sūtrāṇi kṣīyeran |	kaTam ca samasta-lakzaNa-arTa-vyatiriktaH eva-arTe sUtrANi kzIyeran |
   api ca	api ca
   vṛttikāreṇa yo 'py uktaḥ ṣaṭkaḥ pratyakṣapūrvakaḥ /	vRtti-kAreNa yaH api uktaH zawkaH pratyakza-pUrvakaH /
   aparīkṣyatayā so 'pi naiva lakṣaṇagocaraḥ // 2 //	aparIkzyatayA saH api na-eva lakzaNa-gocaraH // 2 //
   %p. 59	%p. 59
   lokaprasiddhārthāni hi tāny aparīkṣyatvenoktāni na	loka-prasidDa-arTAni hi tAni aparIkzya-tvena-uktAni na
   prathamādhyāyaviṣayatvenopasaṃhāram arhanti |	praTama-aDyAya-vizaya-tvena-upasaMhAram arhanti |
   tasmād yat prathame 'dhyāye vṛttaṃ tad ālocyaitad bhāṣyaṃ neyam |	tasmAt yat praTame aDyAye vRttam tat Alocya-etat BAzyam na-iyam |
   tatra	tatra
   pramāṇalakṣaṇaṃ tāvac codanālakṣaṇāśrayam /	pramANa-lakzaNam tAvat codanA-lakzaNa-ASrayam /
   vidhyāditattvanirṇītiḥ pramāṇenaiva ca sthitā // 3 //	viDi-Adi-tattva-nirNItiH pramANena-eva ca sTitAH // 3 //
   samasto hi prathamaḥ pādaś codanālakṣaṇasūtraparikaraḥ |	samastaH hi praTamaH pAdaH codanA-lakzaNa-sUtra-parikaraH |
   tatra ca dharmasya codanālakṣaṇatvam uktam |	tatra ca Darmasya codanA-lakzaNa-tvam uktam |
