   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   granthārambhe vighnavighātāya samuciteṣṭadevatāṃ granthakṛt parāmṛśati	granTa-AramBe viGna-viGAtAya samucita-izwadevatAm granTa-kRt parAmRSati
   niyatikṛtaniyamarahitāṃ hlādaikamayīmananyaparatantrām /	niyati-kRta-niyama-rahitAm hlAda-eka-mayIm-ananya-paratantrAm /
   navarasarucirāṃ nirmitimādadhatī bhāratī kaverjayati // 1 //	nava-rasa-rucirAm nirmitim-AdaDatI BAratI kaveH-jayati // 1 //
   niyatiśaktyā niyatarūpā sukhaduḥkhamohakhabhāvā	niyati-SaktyA niyata-rUpA suKa-duHKa-moha-Ka-BAvA
   paramāṇvādyupādānakarmādisahakārikāraṇaparatantrā ṣaḍrasā na ca hṛdyaiva	paramANu-Adi-upAdAna-karma-Adi-sahakAri-kAraNa-paratantrA zaz-rasAH na ca hRdyA-eva
   taiḥ, tādṛśī brahyaṇo nirmitirnirmāṇam /	tEH, tAdRSI brahyaNaH nirmitiH-nirmANam /
   etadvilakṣaṇa tu kavivāṅūnirmitiḥ /	etat-vilakzaNa tu kavi-vAFUnirmitiH /
   ata eva jayati /	atas eva jayati /
   jayatyarthena ca namaskāra ākṣipyate, iti tāṃ pratyasmi praṇata iti	jayati-arTena ca namaskAraH Akzipyate, iti tAm pratyasmi praNataH iti
   labhyate //	laByate //
   ihābhidheyaṃ saprayojanamityāha	iha-aBiDeyam sa-prayojanam-iti-Aha
   kāvyaṃ yaśase'; rthakṛte vyavahāravide śivetarakṣataye /	kAvyam yaSase-a; rTa-kRte vyavahAra-vide Siva-itara-kzataye /
   sadyaḥ paranirvṛtaye kāntāsaṃmitatayopadeśayuje // 2 //	sadyas para-nirvRtaye kAntA-saMmita-tayA-upadeSa-yuje // 2 //
   kālidāsānādīnāmiva yaśaḥ śrīharṣāderdhāvakādīnāmiva dhanam	kAli-dAsAn-a-AdInAm-iva yaSaH SrI-harza-AdeH-DAvaka-AdInAm-iva Danam
   rājādigatocitācāraparijñānam ādityādermayūrādīnāmivānarthanivāraṇam	rAja-Adi-gata-ucita-AcAra-parijQAnam Aditya-AdeH-mayUra-AdInAm-iva-anarTa-nivAraNam
   sakalaprayojanamaulibhūtaṃ samanantarameva rasāsvādanasamudbhūrta	sakala-prayojana-mOli-BUtam samanantaram-eva rasa-AsvAdana-samudBUrta
   vigalidavedyāntaramānandam prabhusaṃmitaśabdapradhānavedādiśāstrebhyaḥ	vigalida-vedya-antaram-Anandam praBu-saMmita-Sabda-praDAna-veda-Adi-SAstreByaH
   suhṛtsaṃmitārthatātparyavatpurāṇādītihāsebhyaśva śabdārthayorguṇabhāvena	suhRd-saMmita-arTa-tAtparya-vat-purANa-Adi-itihAseByaSva Sabda-arTayoH-guNa-BAvena
   rasāṅgabhūtavyāpārapravaṇatayā vilakṣaṇaṃ yat kāvyaṃ	rasAFga-BUta-vyApAra-pravaNa-tayA vilakzaNam yat kAvyam
   lokottaravarṇanānipuṇakavikarma tat kānteva sarasatāpādanenābhimukhīkṛtya	loka-uttara-varNa-nAni-puNaka-vikarma tat kAntA-iva sarasa-tA-ApAdanena-aBimuKIkRtya
   rāmādivadvartitavyaṃ na rāvaṇādivadityupadeśaṃ ca yathāyogaṃ kaveḥ	rAma-Adi-vat-vartitavyam na rAvaNa-Adi-vat-iti-upadeSam ca yaTAyogam kaveH
   sahṛdayasya ca karotīti sarvathā tatra yatanīyam //	sahRdayasya ca karoti-iti sarvaTA tatra yatanIyam //
   evamasya prayojanamuktvā kāraṇamāha	evam-asya prayojanam-uktvA kAraNam-Aha
   śaktirnipuṇatā lokaśāstrakāvyādyavekṣaṇāt /	SaktiH-nipuNa-tA loka-SAstra-kAvya-Adi-avekzaNAt /
   kāvyajñaśikṣayābyāsa iti hetustadudbhave // 3 //	kAvya-jQa-SikzayA-AbyAsaH iti hetuH-tad-udBave // 3 //
   śaktiḥ kavitvabījarūpaḥ saṃskāraviśeṣaḥ, yāṃ vinā kāvyaṃ na prasaret,	SaktiH kavi-tva-bIja-rUpaH saMskAra-viSezaH, yAm vinA kAvyam na prasaret,
   prasṛtaṃ vā, upahasanīyaṃ syāt /	prasRtam vA, upahasanIyam syAt /
   lokasya sthāvarajaṅgamātmakalokavṛttasya /	lokasya sTAvara-jaFgama-Atmaka-loka-vRttasya /
   śāstrāṇāṃ chandovyākaraṇābhidhānakośakalācaturvargagajaturagakhaḍgād	SAstrANAm CandaH-vyAkaraNa-aBiDAna-koSa-kalA-caturvarga-gaja-turaga-KaxgAt-
   ilakṣaṇagranthānām /	ilakzaNa-granTAnAm /
   kāvyānāṃ ca mahākavisaṃbandhinām /	kAvyAnAm ca mahA-kavi-saMbanDinAm /
   ādigrahaṇāditihāsānāṃ ca vimarśanādvyutpattiḥ /	Adi-grahaNAt-itihAsAnAm ca vimarSanAt-vyutpattiH /
   kāvyaṃ kartuṃ vicārayituṃ ca ye jānanti tadupadeśena karaṇe yojane ca	kAvyam kartum vicArayitum ca ye jAnanti tad-upadeSena karaNe yojane ca
