   oṃ namaḥ śivāya	om namaH SivAya
   kāvyaprakāśakārikāvalī	kAvya-prakASa-kArika-AvalI
   niyatikṛtaniyamarahitāṃ hlādaikamayīmananyaparatantrām /	niyati-kRta-niyama-rahitAm hlAda-eka-mayIm-ananya-paratantrAm /
   navarasarucitāṃ nirmitimādadhatī bhāratī kaverjayati // MKpr-K_1 //	nava-rasa-rucitAm nirmitim-AdaDatI BAratI kaveH-jayati // MKpr-K_1 //
   kāvyaṃ yaśase 'rthakṛte vyavahāravide śivetarakṣataye /	kAvyam yaSase arTa-kRte vyavahAra-vide Siva-itara-kzataye /
   sadyaḥ paranirvṛtaye kāntāsaṃmitatayopadeśayuje // MKpr-K_2 //	sadyas para-nirvRtaye kAntA-saMmita-tayA-upadeSa-yuje // MKpr-K_2 //
   śaktirnipuṇatā lokaśāstrakāvyādyavekṣaṇāt /	SaktiH-nipuNa-tA loka-SAstra-kAvya-Adi-avekzaNAt /
   kāvyajñaśikṣayābhyāsa iti hetustadudbhave // MKpr-K_3 //	kAvya-jQa-SikzayA-aByAsaH iti hetuH-tad-udBave // MKpr-K_3 //
   tadadoṣau śabdārthau saguṇāvanalaṅkṛtī punaḥ kvāpi /	tad-adozO Sabda-arTO sa-guNO=-analaFkRtI punar kvApi /
   idamuttamamatiśayini vyaṅgye vācyāddhvanirbudhaiḥ kathitaḥ // MKpr-K_4 //	idam-uttamam-atiSayini vyaFgye vAcyAt-Dva-niH-buDEH kaTitaH // MKpr-K_4 //
   atādṛśi guṇībhūtavyaṅgyaṃ vyaṅgye tu madhyamam /	atAdRSi guNIBUta-vyaFgyam vyaFgye tu maDyamam /
   śabdacitraṃ vācyacitramavyaṅgyaṃ tvavaraṃ smṛtam // MKpr-K_5 //	Sabda-citram vAcya-citram-avyaFgyam tu-avaram smRtam // MKpr-K_5 //
   syādvācako lākṣaṇikaḥ śabdo 'tra vyañjakastridhā /	syAt-vAcakaH lAkzaNikaH SabdaH atra vyaQjakaH-triDA /
   vācyādayastadarthāḥ syustātparyārtho 'pi keṣucit // MKpr-K_6 //	vAci-AdayaH-tad-arTAH syuH-tAtparya-arTaH api kezucid // MKpr-K_6 //
   sarveṣāṃ prāyaśo 'rthānāṃ vyañjakatvamapīṣyate /	sarvezAm prAyaSas arTAnAm vyaQjaka-tvam-api-izyate /
   sākṣātsaṃketitaṃ yo 'rthamabhidhatte sa v=acakaḥ // MKpr-K_7 //	sAkzAt-saMketitam yaH arTam-aBiDatte sa v=acakaH // MKpr-K_7 //
   saṅketitaścaturbhedo jātyādirjātireva vā /	saFketitaH-catur-BedaH jAti-AdiH-jAtiH-eva vA /
   sa mukhyo 'rthastatra mukhyo vyāpāro 'syābhidhocyate // MKpr-K_8 //	sa muKyaH arTaH-tatra muKyaH vyApAraH asya-aBiDA-ucyate // MKpr-K_8 //
   mukhyārthabādhe tadyoge rūḍhito 'tha prayojanāt /	muKya-arTa-bADe tad-yoge rUXitaH aTa prayojanAt /
   anyo 'rtho lakṣyate yatsā lakṣaṇāropitā kriyā // MKpr-K_9 //	anyaH arTaH lakzyate yat-sA lakzaNa-AropitA kriyA // MKpr-K_9 //
