   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   Msv_5, = Mīmāṃsāślokavārttika, Autpattikasūtra	Msu _5,  MImAMsa aSloka vArttika, Autpattika sUtra
   Msv_5,4. = Anumāna	Msu _5,4.  AnumAna
   Msv_5,5. = Śabda	Msu _5,5.  Śabda
   Msv_5,6. = Upamāna (incomplete!)	Msu _5,6.  UpamAnaH (inca umplete!)
   Msv_5,7. = Arthāpatti (incomplete!)	Msu _5,7.  ArTa apatti (inca umplete!)
   Msv_5,8. = Abhāva	Msu _5,8.  ABAva
   Msv_5,9. = Citrakṣepa	Msu _5,9.  Citra kzepa
   (?) = unclear	(?)  unclear
   mīmāṃsāślokavārttikaṃ	mImAMsA Sloka vArttikam
   sucaritamiśrapraṇītayā	su carita miSra praNItayA
   kāśikākhyayā ṭīkayā sametam /	kASika AKyayA wIkayA sametam /
   (tṛtīyo bhāga')	(tRtIyaH BAga a)
   pratyakṣāvyabhicāritvādevaṃlakṣaṇakaṃ ca yat /	pratyakza avyaBicAri tvAt evaMlakzaNakam ca yat /
   prasidadhdamanumānādi na parīkṣyaṃ tadapyata' // Msv_5,4.1 //	prasidaDdamanu mAna Adi na parIkzyam tat api ata a // Msu _5,4.1 //
   atra bhāṣyakāreṇa vijñānavādānte"ato na vyabhicarati pratyakṣam"iti	atra BAzya kAreNa vijQAna vAda ante"ataH na vyaBicarati pratyakzam "iti
   pratyakṣāvyabhicāritvamupasaṃhṛtya 'anumānaṃ jñātasambandhasye'	pratyakza avyaBicAri tvam upasaMhRtya aanumAnam jQAta sambanDasye a
   tyādinānumānalakṣaṇaṃ praṇītam /	tyAdinA anumAna lakzaNam praNItam /
   tasya tātparya darśayati pratyakṣeti /	tasya tAtparya darSayati  pratyakzA iti /
   ayamartha' /	ayam arTa a /
   vṛttikāragranthe hi 'tena vyabhicarati pratyakṣam /	vRtti kAra granTe hi atena vyaBicarati pratyakzam /
   tatpūrvavakatvāccānumānādyapi' iti	tad pUrvavaka tvAt ca anumAna Adi api a iti
   pratyakṣavyabhicārapūrvakamanumānādīnāmapi vyabhicārāta parīkṣyatvamuktam	pratyakza vyaBicAra pUrvakam anumAna AdInAm api vyaBicArAta parIkzyatvam uktam
   tatra pratyakṣāvyabhicāritve pratipādite vyabhicārikaraṇaprabhavatvena	tatra pratyakza avyaBicAri tve pratipAdite vyaBicAri karaNa praBava tvena
   tāvad vyabhicāraśaṅkā prayuktā /	tAvat vyaBicAra SaFkA prayuktAH /
   yadi paraṃ svarūpāśrayo vyabhicāra' sambhavati /	yadi param svarUpa ASrayaH vyaBicAra a samBavati /
   so 'pi vakṣyamāṇalakṣaṇakeṣu nāśaṅkanīya eva /	saH api vakzyamANa lakzaNakezu na aSaFkanIyaH eva /
   na hi pratibuddhadṛśa' pratibandhakasaṃvidviditavyabhicāra' /	na hi pratibudDa dRSa a pratibanDaka saMvid vidita vyaBicAra a /
   sakalavyavahārocchedaprasaṅgāt /	sakala vyavahAra ucCeda prasaFgAt /
   evamitareṣvapi yathāsvamavasare vakṣyāma' /	evam itarezu api yaTAsvam avasare vakzyAma a /
   tasmādanumānādyapi lokaprasiddhaṃ na parīkṣitavyamiti||	tasmAt anumAna Adi api loka prasidDam na parIkzitavyam iti||
   iyaṃ ca sarvavakṣyamāṇapramāṇalakṣaṇabhāṣyatātparyavyākhyā sādhāraṇī	iyam ca sarva vakzyamANa pramANa lakzaNa BAzya tAtparyavyAKyA sADAraNI
