   śrīḥ	SrIH
   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   (tatra prathamaḥ pādaḥ)	(tatra praTamaH pAdaH)
   START MJaiNy 2,1.1	START MJENi 2,1.1
   pramāṇamupajīvyatvātprathame 'dhyāya īritam /	pramANam-upajIvya-tvAt-praTame aDyAyaH Iritam /
   mānādhīnasya dharmasya dbitīye bheda ucyate // MJaiNy_2,1.1 //	mAna-aDInasya Darmasya dbitIye BedaH ucyate // MJENI-_2,1.1 //
   anena prathamadvitīyayoradhyāyayoḥ pūrvottarabhāva upapāditaḥ || 1 ||	anena praTama-dvitIyayoH-aDyAyayoH pUrva-uttara-BAvaH upapAditaH || 1 ||
   (prathame 'pūrvasyā'khyātapritipādyatvādhikaraṇe sūtrāṇi 1 - 4)	(praTame apUrvasyA-aKyAta-priti-pAdya-tva-aDikaraNe sUtrANi 1  4)
   bhāvārthāḥ karmaśabdās tebhyaḥ kriyā pratīyeta eṣa hy artho vidhīyate /	BAva-arTAH karma-SabdAH teByaH kriyA pratIyeta eza hi arTaH viDIyate /
   Jaim_2,1.1 /	JEm_2,1.1 /
   sarveṣāṃ bhāvo 'rtha iti cet / Jaim_2,1.2 /	sarvezAm BAvaH arTaH iti ced / JEm_2,1.2 /
   yeṣām utpattau sve prayoge rūpopalabdhis tāni nāmāni tasmāt tebhyaḥ	yezAm utpattO sve prayoge rUpa-upalabDiH tAni nAmAni tasmAt teByaH
   parākāṅkṣā bhūtatvāt sve prayogai / Jaim_2,1.3 /	parAkAFkzA BUta-tvAt sve prayogEH / JEm_2,1.3 /
   yeṣāṃ tūtpattāv arthe sve prayogo na vidyate tāny ākhyātāni tasmāt tebhyaḥ	yezAm tu-utpattO arTe sve prayogaH na vidyate tAni AKyAtAni tasmAt teByaH
   pratīyetāśritatvāt prayogasya / Jaim_2,1.4 /	pratIyeta-ASrita-tvAt prayogasya / JEm_2,1.4 /
   START MJaiNy 2,1.2-3	START MJENi 2,1.2-3
   dvitīyādhyāyasya prathame pāde prathamādhikaraṇe prathamaṃ	dvitIya-aDyAyasya praTame pAde praTama-aDikaraNe praTamam
   varṇakamāracayati -	varNakam-Aracayati -
   vidhivākye padaiḥ sarvairapūrve pratipādyate /	viDi-vAkye padEH sarvEH-apUrve pratipAdyate /
   pratyekamathavaikyena sarvaistatpratipādanam // MJaiNy_2,1.2 //	pratyekam-aTa-vA-Ekyena sarvEH-tad-pratipAdanam // MJENI-_2,1.2 //
   phalānvayitvātsarveṣāṃ pradhānānvayalābhataḥ /	Pala-anvayitvAt-sarvezAm praDAna-anvaya-lABataH /
   lāghavādekabodhyatvaṃ taccheṣastu padāntaram // MJaiNy_2,1.3 //	lAGavAt-eka-boDya-tvam tat-SezaH-tu pada-antaram // MJENi-_2,1.3 //
   vidhivākyamadṛṣṭārthamakhilamatrodāharaṇama |	viDi-vAkyam-adRzwa-arTam-aKilam-atra-udAharaNama |
   vidhivākye yāvanti padāni santi tāni sarvāṇi kriyākārakasaṃbandhamanādṛtya	viDi-vAkye yAvanti padAni santi tAni sarvANi kriyA-kAraka-saMbanDam-anAdRtya
   pratyekamapūrvasya pratipādakāni |	pratyekam-apUrvasya pratipAdakAni |
   kutaḥ |	kutas |
   apūrvasya phalatvena sarveṣāṃ padānāṃ phalānvayitvāta |	apUrvasya Pala-tvena sarvezAm padAnAm Pala-anvayitvAtas |
   apūrvapratipādanābhāve 'pi kriyākārakayoḥ parasparānvayo 'styeveti cet |	apUrva-pratipAdana-aBAve api kriyA-kArakayoH paraspara-anvayaH asti-eva-iti ced |
   satyam |	satyam |
