   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   oṃ namo bhagavatyai āryamahāmāyūryai	om namaH BagavatyE Arya-mahA-mAyUryE
   mṛtasaṃjīvanīṃ devīṃ duṣṭasatvanivāraṇīṃ	mRtasaMjIvanIm devIm duzwa-satva-nivAraNIm
   vidyā rājñīṃ mahātmānīṃ māyūrīṃ praṇamāmy ahaṃ	vidyA rAjQIm mahAtmAnIm mAyUrIm praNamAmi aham
   namaḥ sarvabuddhabodhisatvebhyo 'rhadbhyaḥ samyaksaṃbuddhebhyo	namaH sarva-budDa-boDisatveByaH arhadByaH samyaksaMbudDeByaH-
   'tītānāgatapratyutpannebhyaḥ sarvadharmamahāsaṃghebhyaḥ.	atIta-anAgata-pratyutpanneByaH sarva-Darma-mahA-saMGeByaH.
   namo buddhāya namo dharmāya namaḥ saṃghāya, namaḥ saptānāṃ	namaH budDAya namaH DarmAya namaH saMGAya, namaH saptAnAm
   samyaksaṃbuddhānāṃ saśrāvakasaṃghānāṃ, namo loke 'rhatāṃ, namo	samyaksaMbudDAnAm sa-SrAvaka-saMGAnAM, namaH loke arhatAM, namaH-
   maitreyapramukhānāṃ bodhisatvānāṃ mahāsatvānāṃ, namo 'nāgāmināṃ, namaḥ	mEtreya-pramuKAnAm boDisatvAnAm mahA-satvAnAn, namaH anAgAminAM, namaH
   sakṛdāgāmināṃ, namaḥ śrotāpannānāṃ, namo loke samyaggatānāṃ, namaḥ	sakRdAgAminAM, namaH SrotApannAnAM, namaH loke samyak-gatAnAn, namaH
   samyakpratipannānāṃ. eṣāṃ namaskṛtvā imāṃ mahāmāyūrīṃ vidyārājñīṃ	samyak-pratipannAnAn. ezAm namaskRtvA imAm mahAmAyUrIm vidyA-rAjQIm
   prayojayiṣyāmi. iyaṃ me vidyā samṛdhyatu, śṛṇvantu me bhūtagaṇāḥ. ye kecit	prayojayizyAmi. iyam me vidyA samRDyatu, SRNvantu me BUta-gaNAH. ye kecid-
   pṛthivīcarāḥ khacarā jalacarā devā nāgā asurā marutā garuḍā gandharvāḥ	pRTivI-carAH Ka-carAH jala-carAH devAH nAgAH asurAH marutAH garuxAH ganDarvAH
   kinnarā mahoragā yakṣā rākṣasāḥ pretāḥ piśācā bhūtāḥ kumbhāṇḍāḥ pūtanāḥ	kinnarAH mahA-uragAH yakzAH rAkzasAH pretAH piSAcAH BUtAH kumBANxAH pUtanAH
   kaṭapūtanāḥ skandā unmādāś cchāyā apasmārā ostārakāḥ śṛṇvantu me ojāhārā	kawa-pUtanAH skandAH unmAdAH cCAyAH apasmArAH oH-tArakAH SRNvantu me oja-AhArA
   bhūtagaṇā garbhāhārā rudhirāharā vasāhārā (Mmvr Taku 2) māṃsāhārā medāhārā	BUta-gaNAH garBa-AhArAH ruDira-AharA vasA-AhArAH (MmvH Taku 2) mAMsa-AhArA medA-AhArA
   majjāhārā jātāhārā jīvitāhārā balyāhārā mālyāhārā gandhāhārā dhūpāhārāḥ	majja-AhArAH jAta-AhArAH jIvita-AhArAH balyAhArAH mAlya-AhArAH ganDa-AhArAH DUpa-AhArAH
   puṣpāhārāḥ phalāhārāḥ sasyāhārā āhutyāhārāḥ pūjāhārārā viṣṭyāhārā	puzpa-AhArAH Pala-AhArAH sasya-AhArAH Ahuti-AhArAH pUjA-AhArArA vizwyAhArA
   mūtrāhārāḥ kheṭāhārāḥ śleṣmāhārāḥ śiṃghāṇakāhārā ucchiṣṭāhārā vāntāhārā	mUtra-AhArAH Kewa-AhArAH Slezma-AhArAH SiMGANaka-AhArAH ucCizwa-AhArA vAnta-AhArA
   aśucyāhārāḥ syandanikāhārāḥ, pāpacittāḥ duṣṭacittā raudracittāḥ	aSuci-AhArAH syandanikA-AhArAH, pApa-cittAH duzwa-cittAH rOdra-cittAH
