   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   Maṇḍanamiśra: Vibhramaviveka	MaNxana-miSra: ViBrama-viveka
   ātmakhyātir asatkhyātir $ akhyātiḥ khyātir anyathā &	Atma-KyAtiH asat-KyAtiH $ aKyAtiH KyAtiH anyaTA &
   parīkṣakāṇāṃ vibhrāntau % vivādāt sā vivicyate // MVibhr_1 //	parIkzakANAm viBrAntO % vivAdAt sA vivicyate // MViBH-_1 //
   asac cakasti na vyoma- $ kusuma? na ............. &	asat cakasti na vyoma $ kusuma? na ............. &
   arthaḥ prakāśate 'to dhīs % tadākāreti kecana // MVibhr_2 //	arTaH prakASate atas DIH % tat-AkAra-iti kecana // MViBH-_2 //
   asaṃbhavi ca yāvac ca $ tāvat saṃparihīyatām &	asaMBavi ca yAvat ca $ tAvat saMparihIyatAm &
   saṃvedyākārasaṃtyāgo % na bhrāntitve 'vakalpate // MVibhr_3 //	saMvedya-AkAra-saMtyAgaH % na BrAnti-tve avakalpate // MViBH-_3 //
   ekadeśāpabādhena $ kalpamāne ca bādhake &	eka-deSa-apabADena $ kalpamAne ca bADake &
   na sarvabādhanaṃ yuktam % iti nyāyavidaḥ sthitāḥ // MVibhr_4 //	na sarva-bADanam yuktam % iti nyAya-vidaH sTitAH // MViBH-_4 //
   anyo bahir bhāsamāno $ nāntar arhati dhāraṇam &	anyaH bahis BAsamAnaH $ na-antar arhati DAraNam &
   asattaiva varaṃ tasya % bhrāntitvānuguṇā hi sā // MVibhr_5 //	asat-tA-eva varam tasya % BrAnti-tva-anuguNAH hi sA // MViBH-_5 //
   nāntarvartitayā bhrāntir $ asattvena tu seṣyate &	na-antar-varti-tayA BrAntiH $ asattvena tu sezyate &
   akalpayitvāntas tasmād % asattāṃ khalv acīkḷpat // MVibhr_6 //	akalpayitvA-antar tasmAt % asattAm Kalu acIk?pad // MViBH-_6 //
   nāntarvartibahirbhāso $ bhrāntitvānupapattitaḥ &	na-antarvarti-bahis-BAsaH $ BrAntitva-anupapattitaH &
   asattvenaiva tatkḷptau % na pramāṇavatī hi sā // MVibhr_7 //	asattvena-eva tad-k?ptO % na pramANavatI hi sA // MViBH-_7 //
   yathāvabhāsamānasya $ kalpyāsattā niyogataḥ &	yaTA-avaBAsamAnasya $ kalpyA-sattA niyogataH &
   antarbhāve 'pi ca bahir- % bhāve bhrāntir na yujyate // MVibhr_8 //	antarBAve api ca bahis- % BAve BrAntiH na yujyate // MViBH-_8 //
   akhyāter aviśeṣeṇa $ syāt suṣupte 'pi vibhramaḥ &	aKyAteH aviSezeNa $ syAt suzupte api viBramaH &
   akhyātiḥ khalu tatrāpi % na cākhyātir viśiṣyate // MVibhr_9 //	aKyAtiH Kalu tatra-api % na ca-AKyAtiH viSizyate // MViBH-_9 //
   upālambhasya na padam $ asato 'tra prakāśanam &	upAlamBasya na padam $ asataH atra prakASanam &
   ata eva yato bhrāntiḥ % samyakkhyātau tathā bhavet // MVibhr_10 //	atas eva yatas BrAntiH % samyak-KyAtO taTA Bavet // MViBH-_10 //
   yujyate nānyathākhyātir $ niradhiṣṭhānavibhrame &	yujyate na-anyaTA-KyAtiH $ niraDizWAna-viBrame &
   svapne hi niradhiṣṭhāno % vibhramo vītasaṃśayaḥ // MVibhr_11 //	svapne hi niraDizWAnaH % viBramaH vIta-saMSayaH // MViBH-_11 //
   tatrāpy avartamānaṃ ced $ gṛhyate vartamānavat &	tatra-api avartamAnam ced $ gRhyate vartamAna-vat &
   avartamānasyāsattā % khapuṣpān na viśiṣyate // MVibhr_12 //	avartamAnasya-asattA % Ka-puzpAt na viSizyate // MViBH-_12 //
   atyantānanubhūtānāṃ $ parasparaparāṇudām &	atyantAn-anuBUtAnAm $ paraspara-parANu-dAm &
   dṛṣṭeś cāvartamānasya % na khyānaṃ vartamānavat // MVibhr_13 //	dRzweH ca-AvartamAnasya % na KyAnam vartamAna-vat // MViBH-_13 //
   khapuṣpatulye kā khyātir $ nīrūpeṇaiva bhāsanāt &	Kapuzpa-tulye kA KyAtiH $ nIrUpeNa-eva BAsanAt &
   tad api vyavahārāṅgaṃ % rūpavattvena bhāsanāt // MVibhr_14 //	tat api vyavahAra-aFgam % rUpavat-tvena BAsanAt // MViBH-_14 //
   kalpanāyām api tv evaṃ $ nāsatkhyātivivarjanam &	kalpanAyAm api tu evam $ na-asat-KyAti-vivarjanam &
   prakārāntarasaṃsargo % nanv asann eva bhāsate // MVibhr_15 //	prakAra-antara-saMsargaH % nanu asan eva BAsate // MViBH-_15 //
   tasmād asata evedaṃ $ rūpavattvena bhāsanam &	tasmAt asataH eva-idam $ rUpavat-tvena BAsanam &
   avaśyakalpanīyatvāt % kalpanāyāś ca lāghavāt // MVibhr_16 //	avaSya-kalpanIya-tvAt % kalpanAyAH ca lAGavAt // MViBH-_16 //
   prāktattvajñānasaṃskāras $ tatprabodhas sakāranaḥ &	prAk-tattva-jQAna-saMskAraH $ tad-praboDaH sa-kAranaH &
   smarāmīti pramoṣas sa- % hetur indriyayoginaḥ // MVibhr_17 //	smarAmi-iti pramozaH sa % hetuH indriya-yoginaH // MViBH-_17 //
   bhrāntau sahākṣair manaso $ duṣṭatāntarvivartitā &	BrAntO saha-akzEH manasaH $ duzwatA-antar-vivartitA &
   kāmaprakarṣamaraṇa- % mūrcchāśokāmayādiṣu // MVibhr_18 //	kAma-prakarza-maraNa % mUrcCA-Soka-Amaya-Adizu // MViBH-_18 //
   ucchedakeṣu bahulaṃ $ saṃskārasyānuvartanam &	ucCedakezu bahulam $ saMskArasya-anuvartanam &
   parapakṣeṣu kalpyāni % bhūyiṣṭhānīti dṛśyate // MVibhr_19 //	para-pakzezu kalpyAni % BUyizWAni-iti dRSyate // MViBH-_19 //
   sarvasaṃskāravicchedi- $ maraṇāntarite 'smṛteḥ &	sarva-saMskAra-vicCedi $ maraNa-antarite asmRteH &
   janmāntarānubhūtaṃ ca % na smaryata iti sthitam // MVibhr_20 //	janma-antara-anuBUtam ca % na smaryate iti sTitam // MViBH-_20 //
   prāk[ ....... ........ ] // MVibhr_21 //	prAk[ ....... ........ ] // MViBH-_21 //
   mandasaṃskārasahakṛd $ ucchede tena vā vinā &	manda-saMskAra-sahakRt $ ucCede tena vA vinA &
   doṣaiḥ kṣataṃ manaḥ kāryi % praṇidhānādivarjitam // MVibhr_22 //	dozEH kzatam manaH kAryi % praNiDAna-Adi-varjitam // MViBH-_22 //
   doṣair avikṛtaṃ svasthaṃ $ praṇidhānādisaṃskṛtam &	dozEH avikRtam svasTam $ praNiDAna-Adi-saMskRtam &
   na kāryavaj jāgarāyām % aho nayavidāṃ paraḥ // MVibhr_23 //	na kArya-vat jAgarAyAm % aho naya-vidAm paraH // MViBH-_23 //
   doṣakṣatiḥ kāryaśakti- $ hānirūpā ca vidyate &	doza-kzatiH kArya-Sakti $ hAni-rUpA ca vidyate &
   atirekaś ca kāryasyety % aho nyāyavivekitā // MVibhr_24 //	atirekaH ca kAryasya-iti % aho nyAya-viveki-tAH // MViBH-_24 //
   adhyārope bhaved gauṇī $ vāhīke gomatir yathā &	aDyArope Bavet gONI $ vAhIke gomatiH yaTA &
   na saṃvidānuguṇyaṃ syān % na vivekamatir yadi // MVibhr_25 //	na saMvid-AnuguNyam syAt % na viveka-matiH yadi // MViBH-_25 //
   akhyātir api saṃvittiṃ $ naivānveti yato matiḥ &	aKyAtiH api saMvittim $ na-eva-anveti yatas matiH &
   sāmānādhikaraṇyena % rūpyam etad iti sthitā // MVibhr_26 //	sAmAnADikaraNyena % rUpyam etat iti sTitAH // MViBH-_26 //
   tasmād vibhrama evāyam $ iti yukto viniścayaḥ &	tasmAt viBramaH eva-ayam $ iti yuktaH viniScayaH &
   na saṃvidanusāreṇa % nimittaṃ tasya yujyate // MVibhr_27 //	na saMvid-anusAreNa % nimittam tasya yujyate // MViBH-_27 //
