   akalpayitvāntas tasmād MVibhr_6c	akalpayitvA-antar tasmAt MViBH-_6c
   akṣāṇāṃ vyabhicāriṇām MVibhr_108d	akzANAm vyaBicAriNAm MViBH-_108d
   akhyātir api saṃvittiṃ MVibhr_26a	aKyAtiH api saMvittim MViBH-_26a
   akhyātiḥ khalu tatrāpi MVibhr_9c	aKyAtiH Kalu tatra-api MViBH-_9c
   akhyātiḥ khyātir anyathā MVibhr_1b	aKyAtiH KyAtiH anyaTA MViBH-_1b
   akhyāter aviśeṣeṇa MVibhr_9a	aKyAteH aviSezeNa MViBH-_9a
   akhyātau no tattvamithyāvibhāgas MVibhr_164c	aKyAtO no tattva-miTyA-viBAgaH MViBH-_164c
   akhyātau śūnyam eva syāt MVibhr_32a	aKyAtO SUnyam eva syAt MViBH-_32a
   agrahaḥ kasyacid grahaḥ MVibhr_50b	agrahaH kasyacid grahaH MViBH-_50b
   agrahe prāptyabhāvena MVibhr_160c	agrahe prApti-aBAvena MViBH-_160c
   agrāhyam eva gṛhṇāti MVibhr_146c	agrAhyam eva gRhNAti MViBH-_146c
   aṅgabhāvo 'sya sammataḥ MVibhr_104b	aFga-BAvaH asya sammataH MViBH-_104b
   aṅgulyagre hastiyūtham MVibhr_137c	aFgulI-agre hasti-yUTam MViBH-_137c
   ata eva na yujyate MVibhr_39b	atas eva na yujyate MViBH-_39b
   ata eva yato bhrāntiḥ MVibhr_10c	atas eva yatas BrAntiH MViBH-_10c
   atirekaś ca kāryasyety MVibhr_24c	atirekaH ca kAryasya-iti MViBH-_24c
   ato 'taddeśakālatva- MVibhr_124a	atas atad-deSa-kAla-tva MViBH-_124a
   ato nāvartamānatvā- MVibhr_53a	atas na-AvartamAna-tvA MViBH-_53a
   ato 'nirvacanīyatvaṃ MVibhr_28a	atas anirvacanIya-tvam MViBH-_28a
   ato brahmavidāṃ matam MVibhr_36d	atas brahma-vidAm matam MViBH-_36d
   ato bhāvāntaraṃ muktvā MVibhr_134c	atas BAva-antaram muktvA MViBH-_134c
   ato 'vadhāraṇābhāsa- MVibhr_113c	atas avaDAraNa-ABAsa MViBH-_113c
   atyantānanubhūtatvam MVibhr_140c	atyantAn-anuBUta-tvam MViBH-_140c
   atyantānanubhūtānāṃ MVibhr_13a	atyantAn-anuBUtAnAm MViBH-_13a
   atyāsannasya saṃvittir MVibhr_77c	ati-Asannasya saMvittiH MViBH-_77c
   athavānityatāpatet MVibhr_34d	aTavA-anitya-tApatet MViBH-_34d
   atha sarvaprakārāṇām MVibhr_50a	aTa sarva-prakArANAm MViBH-_50a
   athāsti viparītārthā MVibhr_63c	aTa-asti viparIta-arTAH MViBH-_63c
   aduṣṭe 'pi tato hetau MVibhr_116a	aduzwe api tatas hetO MViBH-_116a
   adṛṣṭatvād apravṛttiḥ MVibhr_64a	adRzwa-tvAt apravRttiH MViBH-_64a
