   PADA MARKERS	PADAH MARKERS
   For a four pada verse:	FoH a fouH  pada verse:
   For a six pada verse:	FoH a six pada verse:
   Matsya Purāṇa 1	Matsya PurANaH 1
   pracaṇḍatāṇḍavāṭope $ prakṣiptā yena diggajāḥ &	pracaNxa tANxava Awope $ prakziptAH yena diggajAH &
   bhavantu vighnabhaṅgāya % bhavasya caraṇāmbujāḥ // MatsP_Mang.1 //	Bavantu viGna BaFgAya % Bavasya caraNa ambujAH // Mat sP_Mang.1 //
   pātālādutpatiṣṇor makaravasatayo yasya pucchābhighātād $ ūrdhvaṃ	pAtAlAt utpatizNoH makara vasatayaH yasya pucCa aBiGAtAt $ UrDvam
   brahmāṇḍakhaṇḍavyatikaravihitavyatyayenāpatanti &	brahmANxa KaNxa vyatikara vihita vyatyayena apatanti &
   viṣṇormatsyāvatāre sakalavasumatīmaṇḍalaṃ vyaśnuvānās % tasyāsyodīritānāṃ	vizNoH matsya avatAre sakala vasumatI maNxalam vyaSnuvAnAH % tasya asya udIritAnAm
   dhvanir apaharatād aśriyaṃ vaḥ śrutīnām // MatsP_1.1 //	DvaniH apaharatAt aSriyam vaH SrutInAm // Mat sP_1.1 //
   nārāyaṇaṃ namaskṛtya $ naraṃ caiva narottamam &	nArAyaNam namaskRtya $ naram ca eva narottamam &
   devīṃ sarasvatīṃ caiva % tato jayam udīrayet // MatsP_1.2 //	devIm sarasvatIm ca eva % tatas jayam udIrayet // Mat sP_1.2 //
   ajo 'pi yaḥ kriyāyogān $ nārāyaṇa iti smṛtaḥ &	ajaH api yaH kriyA yogAn $ nArAyaNaH iti smRtaH &
   triguṇāya trivedāya % namas tasmai svayambhuve // MatsP_1.3 //	triguNAya tri vedAya % namaH tasmE svayamBuve // Mat sP_1.3 //
   sūtamekāgramāsīnaṃ $ naimiṣāraṇyavāsinaḥ &	sUtam ekAgram AsInam $ nEmiza araNya vAsinaH &
   munayo dīrghasattrānte % papracchur dīrghasaṃhitām // MatsP_1.4 //	munayaH dIrGasattra ante % papracCuH dIrGa saMhitAm // Mat sP_1.4 //
   pravṛttāsu purāṇīṣu $ dharmyāsu lalitāsu ca &	pravRttAsu purANIzu $ DarmyAsu lalitAsu ca &
   kathāsu śaunakādyās tu % abhinandya muhurmuhuḥ // MatsP_1.5 //	kaTAsu SOnaka AdyAH tu % aBinandya muhur muhur // Mat sP_1.5 //
   kathitāni purāṇāni $ yānyasmākaṃ tvayānagha &	kaTitAni purANAni $ yAni asmAkam tvayA anaGa &
   tānyevāmṛtakalpāni % śrotum icchāmahe punaḥ // MatsP_1.6 //	tAni eva amRta kalpAni % Srotum icCAmahe punar // Mat sP_1.6 //
   kathaṃ sasarja bhagavaṃl $ lokanāthaścarācaram &	kaTam sasarja Bagavan $ lokanATaH carAcaram &
   kasmācca bhagavān viṣṇur % matsyarūpatvam āśritaḥ // MatsP_1.7 //	kasmAt ca BagavAn vizNuH % matsya rUpa tvam ASritaH // Mat sP_1.7 //
   bhairavatvaṃ bhavasyāpi $ purāritvaṃ ca kena hi &	BErava tvam Bavasya api $ purAri tvam ca kena hi &
   kasya hetoḥ kapālitvaṃ % jagāma vṛṣabhadhvajaḥ // MatsP_1.8 //	kasya hetoH kapAli tvam % jagAma vRzaBaDvajaH // Mat sP_1.8 //
   sarvam etat samācakṣva $ sūta vistaraśaḥ kramāt &	sarvam etat samAcakzva $ sUta vistaraSaH kramAt &
   tvadvākyenāmṛtasyeva % na tṛptiriha jāyate // MatsP_1.9 //	tvad vAkyena amRtasya iva % na tRptiH iha jAyate // Mat sP_1.9 //
   *sūta uvāca	*sUtaH uvAca
   puṇyaṃ pavitram āyuṣyam $ idānīṃ śṛṇuta dvijāḥ &	puNyam pavitram Ayuzyam $ idAnIm SRNuta dvijAH &
   mātsyaṃ purāṇamakhilaṃ % yajjagāda gadādharaḥ // MatsP_1.10 //	mAtsyam purANam aKilam % yat jagAda gadADaraH // Mat sP_1.10 //
   purā rājā manur nāma $ cīrṇavān vipulaṃ tapaḥ &	purA rAjA manuH nAma $ cIrNavAn vipulam tapaH &
   putre rājyaṃ samāropya % kṣamāvān ravinandanaḥ // MatsP_1.11 //	putre rAjyam samAropya % kzamAvAn ravinandanaH // Mat sP_1.11 //
   malayasyaikadeśe tu $ sarvātmaguṇasaṃyutaḥ &	malayasya eka deSe tu $ sarva Atma guNa saMyutaH &
   samaduḥkhasukho vīraḥ % prāptavān yogam uttamam // MatsP_1.12 //	sama duHKa suKaH vIraH % prAptavAn yogam uttamam // Mat sP_1.12 //
   babhūva varadaś cāsya $ varṣāyutaśate gate &	baBUva vara daH ca asya $ varza ayuta Sate gate &
   varaṃ vṛṇīṣva provāca % prītaḥ sa kamalāsanaḥ // MatsP_1.13 //	varam vRNIzva provAca % prItaH sa kamalAsanaH // Mat sP_1.13 //
   evamukto 'bravīd rājā $ praṇamya sa pitāmaham &	evam uktaH abravIt rAjA $ praNamya sa pitAmaham &
   ekam evāham icchāmi % tvatto varamanuttamam // MatsP_1.14 //	ekam eva aham icCAmi % tvattaH varam anuttamam // Mat sP_1.14 //
   bhūtagrāmasya sarvasya $ sthāvarasya carasya ca &	BUta grAmasya sarvasya $ sTAvarasya carasya ca &
   bhaveyaṃ rakṣaṇāyālaṃ % pralaye samupasthite // MatsP_1.15 //	Baveyam rakzaNAya alam % pralaye samupasTite // Mat sP_1.15 //
   evamastviti viśvātmā $ tatraivāntaradhīyata &	evam astu iti viSvAtmA $ tatra eva antaraDIyata &
   puṣpavṛṣṭiḥ sumahatī % khātpapāta surārpitā // MatsP_1.16 //	puzpa vRzwiH su mahatI % KAt papAta sura arpitAH // Mat sP_1.16 //
   kadācidāśrame tasya $ kurvataḥ pitṛtarpaṇam &	kadAcid ASrame tasya $ kurvataH pitR tarpaNam &
   papāta pāṇyor upari % śapharī jalasaṃyutā // MatsP_1.17 //	papAta pANyoH upari % SaParI jala saMyutAH // Mat sP_1.17 //
   dṛṣṭvā tacchapharīrūpaṃ $ sa dayālurmahīpatiḥ &	dRzwvA tat SaParI rUpam $ sa dayAluH mahIpatiH &
   rakṣaṇāyākarodyatnaṃ % sa tasminkarakodare // MatsP_1.18 //	rakzaNAya akarot yatnam % sa tasmin karaka udare // Mat sP_1.18 //
   ahorātreṇa caikena $ ṣoḍaśāṅgulavistṛtaḥ &	ahorAtreNa ca ekena $ zoxaSa aFgula vistRtaH &
   so 'bhavanmatsyarūpeṇa % pāhi pāhīti cābravīt // MatsP_1.19 //	saH aBavat matsya rUpeNa % pAhi pAhi iti ca abravIt // Mat sP_1.19 //
   sa tamādāya maṇike $ prākṣipajjalacāriṇam &	sa tam AdAya maNike $ prAkzipat jala cAriNam &
   tatrāpi caikarātreṇa % hastatrayam avardhata // MatsP_1.20 //	tatra api ca ekarAtreNa % hasta trayam avarData // Mat sP_1.20 //
   punaḥ prāhārtanādena $ sahasrakiraṇātmajam &	punar prAha Arta nAdena $ sahasra kiraNa Atmajam &
   sa matsyaḥ pāhi pāhīti % tvāmahaṃ śaraṇaṃ gataḥ // MatsP_1.21 //	sa matsyaH pAhi pAhi iti % tvAm aham SaraNam gataH // Mat sP_1.21 //
   tataḥ sa kūpe taṃ matsyaṃ $ prāhiṇod ravinandanaḥ &	tatas sa kUpe tam matsyam $ prAhiNot ravinandanaH &
   yadā na māti tatrāpi % kūpe matsyaḥ sarovare // MatsP_1.22 //	yadA na mA ati tatra api % kUpe matsyaH sarovare // Mat sP_1.22 //
   kṣipto 'sau pṛthutāmāgāt $ punar yojanasaṃmitām &	kziptaH asO pRTu tAm AgAt $ punar yojana saMmitAm &
   tatrāpyāha punar dīnaḥ % pāhi pāhi nṛpottama // MatsP_1.23 //	tatra api Aha punar dInaH % pAhi pAhi nRpa uttamaH // Mat sP_1.23 //
   tataḥ sa manunā kṣipto $ gaṅgāyāmapyavardhata &	tatas sa manunA kziptaH $ gaFgAyAm api avarData &
