   {MV S_1}	{MV H _1}
   śrīgaṇeśāya namaḥ /	SrI gaNeSAya namaH /
   atha vīramitrodayasya samayaprakāśaḥ /	aTa vIramitra udayasya samaya prakASaH /
   kopāṭopanaṭatsaṭodbhaṭamaṭadbhrūbhīṣaṇabhrūkuṭi	kopa Awa upa nawat sawA udBawa mawat BrU BIzaNa BrU kuwi
   bhrāmyadbhairavadṛṣṭi nirbharanamaddarvīkarorvīdharam /	BrAmyat BErava dRzwi nirBara namat darvI kara UrvIDaram /
   nīrvāṇārivapurvipāṭavikaṭābhogatruṭaddhāṭaka 	nIrvANa ari vapuH vipAwa vikawa ABoga truwat DAwaka 
   brahmāṇḍorukaṭāhakoṭi nṛhareravyādapūrvaṃ vapuḥ // 1 //	brahmANxa uru kawAha kowi nRhareH avyAda pUrvam vapuH // 1 //
   saṭāgravyagrendusravadamṛtabinduprativalan 	sawA agra vyagra indu sravat amRta bindu prativalan 
   mahādaityārambhamphuritagurusaṃrambharabhasaḥ /	mahA dEtya AramBa mPurita guru saMramBa raBasaH /
   lihannāśācakraṃ hutavahaśikhāvadrasanayā	lihan= ASAcakram hutavaha SiKA vat rasanayA
   nṛsiṃho raṃhobhirdamayatu madaṃho madakalam // 2 //	nRsiMhaH raMhoBiH damayatu mad aMhaH mada kalam // 2 //
   saṃsāradhvaṃsikaṃsapramukhasuraripuprāṃśuvaśāvatasabhraṃśī vaṃśīdharo vaḥ	saMsAra DvaMsi kaMsa pramuKa sura ripu prAMSu va SAvatasa BraMSI vaMSIDaraH vaH
   pracurayatu ciraṃ śaṃ sa rādhāriraṃsī /	pracurayatu ciram Sam sa rADa ari raMsI /
   yaccūḍārūḍhagūḍhāsmatamadhuramukhāmbhojaśobāṃ didṛkṣurguñjābhiḥ	yat cUxa ArUXa gUXa asmata maDura muKa amBoja SobAm didRkzuH guQjABiH
   sānurāgālikānakaṭanaṭaccandrakavyaktacakṣuḥ // 3 //	sa anuH AgAlikAn akawanawat candraka vyakta cakzuH // 3 //
   līlābhrāntivisarpadamvaratayā vyagrāddhakāntaṃ	lIlA BrAnti visarpa damvara tayA vyagrAt haka antam
   padanyāsanyañcadudañcadadrivasudhābhogīndrakūrmādhipam /	padanI AsanyaQcat udaQcat adriva suDA Bogi indra kUrma aDipam /
   phūtkārasphuradutpatatphaṇikulaṃ	PUtkAra sPurat utpatat PaNi kulam
   riṅgajjaṭātāḍanadhmātavyomagabharidundubhi naṭannavyātsa vo dhūrjjaṭiḥ //	riFgat jawA tAxana DmAta vyoma ga Bari dunduBi nawan= avyAt sa vaH DUrjjawiH //
   kumbhodbhrāntamadhuvratāvalivalaṭjhaṅkārakolāhalaiḥ śuṇḍāsphālanavihvalaiḥ	kumBa udBrAnta maDu vratA valivalawJaFkAra kolAhalEH SuNxa AsPAlana vihvalEH
   stuta iva vyālairviyatplāvibhiḥ /	stutaH iva vyAlEH viyat plAviBiH /
   majjatkumbhamahāvagāhanakṛtārambho mahāmbhonidhau herambaḥ kurutāṃ	majjatkumBa mahA avagAhana kRta AramBaH mahA amBoniDO herambaH kurutAm
   kṛtāmbarakarālambaściraṃ vaḥ śivam // 5 //	kRta ambara kara AlambaH ciram vaH Sivam // 5 //
   samantātpaśyantī samasamayameva tribhuvanaṃ	samantAt paSyantI sama samayam eva triBuvanam
   tribhirnnaitrairdderbhirdaśabhirapi pāntī daśa diśaḥ /	triBiH nnEtrEH dderBiH daSaBiH api pAntI daSa diSaH /
   dadhānā pārīndropari caraṇamekaṃ parapadā	daDAnA pAri indra upari caraNam ekam para padA
   hatārirvo hanyānmahiṣamathanī mohamahiṣam // 6 //	hatOriH vaH hanyAt mahiza maTanI moha mahizam // 6 //
   vāmān bhindannavāmān bhuvamanu sukhayanpūrayannarthikāmān	vAmAn Bindan= avAmAn Buvam anu suKayan pUrayan= arTi kAmAn
   śrīmān bhīmānukārī bahalabalabharairmedinīmallanāmā /	SrImAn BIma anukArI bahala bala BarEH medinI malla nAmA /
   āsīdāsīviṣendradyutidhavalayaśā bhūpacakrāvatasaḥ	AsIt AsIviza indra dyuti Davala yaSAH BU pacakrAvatasaH
   sīkāśīrājavaṃśe vidhuriva jaladhau sarvabhūsārvabhaumaḥ // 7 //	sIkA SIrAja vaMSe viDuH iva jalaDO sarva BU sArvaBOmaH // 7 //
   {MV S_2}	{MV H _2}
   saṅgrāmagrāmakāmo nirupamamahimā sattvaviśrāmadhāma	saFgrAma grAma kAmaH nirupama mahimA sattva viSrAma DAma
   krāmannevāricakraṃ mihira iva tamo vikramorukrameṇa /	krAman= eva ari cakram mihiraH iva tamaH vikrama uru krameNa /
   sārairmerorudārairapara iva girirmedinīmallanena	sArEH meroH udArEH aparaH iva giriH medinI mallanena
   prakhyātaḥ kṣoṇicakra samajani nupātirmedinīmallanāmā // 8 //	praKyAtaH kzoNicakra samajani nupAtiH medinI malla nAmA // 8 //
   niryadbhistarjjayadbhirvidhumiva jagatīmarjjunābhairyaśobhiḥ	niryadBiH tarjjayadBiH viDum iva jagatI marjjuna ABEH yaSoBiH
   sampūryāvāryavīryo viśikhavitaraṇairarjjuno durjjanānām /	sampUryA vArya vIryaH viSiKa vitaraNEH arjjunaH durjjanAnAm /
   sāmrājyopārjjarnaśrīragaṇitaguṇabhūrarjjunaprāṃśubāhur 	sAmrAjya upArd jarna SrIH agaNita guNa BUH arjjuna prAMSu bAhuH  
   nāmnābhūdarjjuno 'smānnarapatiratulo medinīmallabhūpāt // 9 //	nAmnA aBUt arjjunaH asmAn narapatiH atulaH medinI malla BUpAt // 9 //
   buddhiḥ śuddhimatī kṣamā nirupamā vidyānavadyā mano	budDiH SudDimatI kzamA nirupamA vidyA anavadyAH manaH 
   gāmbhīryaikaniketanaṃ vitaraṇe dīnārtinirdāraṇam /	gAmBIrya eka niketanam vitaraNe dIna Arti nirdAraNam /
   āsīdarjjunabhūpatervidadheto vidrāvaṇe vidviṣāṃ	AsIt arjjuna BUpateH vidaDetaH vidrAvaNe vidvizAm
   bhūmīnāmavanaṃ ca kāraṇaguṇātkāryaṃ yaśo 'pyarjjunam // 10 //	BUmInAm avanam ca kAraNa guNAt kAryam yaSaH api arjjunam // 10 //
   tasmādāvirabhūtprabhūtamahimā bhūmapiterarjjunā 	tasmAt AviraBUt praBUta mahimA BUmapiteH arjjunA 
   tsaujanyaikanidhirguṇairanavadhirlāvaṇyavārāṃnidhiḥ /	tsOjanya eka niDiH guNEH anavaDiH lAvaNya vArAMniDiH /
   bhindan durjanamarjjayan bahuyaśaḥ prauḍhapratāpodayair 	Bindan durjanam arjjayan bahu yaSaH prOXa pratApa udayEH  
   durjeyo malakhānanāma nikhilakṣmāmaṇḍalākhaṇḍalaḥ // 11 //	durjeyaH malaKAna nAma niKi lakzmA maNxalA KaNxalaH // 11 //
   yasmin śāsati nītibhiḥ kṣitimimāṃ nirvairamāsījjagatpārīndreṇa samaṃ	yasmin SAsati nItiBiH kzitim imAm nirvEram AsIt jagat pAri indreNa samam
   karīndrarabhasārambho 'pi sambhāvitaḥ /	karIndra raBasa AramBaH api samBAvitaH /
   śyenaḥ krīḍati kautukī sma vihagaiścikrīḍa nakrairjhaṣaḥ kiṃ vānyadgahane	SyenaH krIxati kOtukI sma vihagEH cikrIxa nakrEH JazaH kim vA anyat gahane
   'bhavatsaha mṛgaiḥ śārdūlavikrīḍitam // 12 //	aBavat saha mRgEH SArdUla vikrIxitam // 12 //
   himaviśadayaśo 'bhiśobhitāśo mahimatirohitavāridhiprabhāvaḥ /	hima viSada yaSaH aBiSoBita ASaH mahima ti rohita vAriDi praBAvaH /
   samajani malakhānataḥ pratāpaistrijagati rudra iva pratāparudraḥ // 13 //	samajani mala KAnataH pratApEH trijagati rudraH iva pratApa rudraH // 13 //
   śuci dhanamarthiṃni sahasā yaśasā samamānane guṇo jagataḥ /	Suci Danam arTiMni sahasA yaSasA samam Anane guNaH jagataH /
   putre bhūrabhidadhre ceto rudre pratāparudreṇa // 14 //	putre BUH aBidaDre cetaH rudre pratApa rudreNa // 14 //
   jātaḥ pratāparudrātsasamudrāṃ pālayannavanīm /	jAtaH pratApa rudrAt sa samudrAm pAlayat = avanIm /
   kṛtaripukānanadāho madhukarasāhau mahīpatiḥ śuśubhe // 15 //	kRtaripu kAnana dAhaH maDukara sAhO mahIpatiH SuSuBe // 15 //
   pṛthuḥ puṇyābhogairvihitahitayogairanudayatkhalāyogairyogaiḥ	pRTuH puNya ABogEH vihita hita yogEH anudayat KalA yogEH yogEH
   kṛtasukatiyogairapi guruḥ /	kRta sukati yogEH api guruH /
   bhujastambhālambāsaśayitaviśvambharatayā babhau prauḍhotsāhaḥ sa	Buja stamBa AlambAsa Sayita viSu amBara tayA baBO prOXA utsAhaH sa
   madhukarasāhaḥ kṣitipatiḥ // 16 //	maDukara sAhaH kzitipatiH // 16 //
   prajāgaṇarujāpaho dyutimahodayāviṣkṛtaḥ	prajA gaNa rujA apahaH dyuti mahA udayA AvizkRtaH
   sudhāṃśuriva māṃsalo rasabharaiḥ sabhārañjanaḥ /	suDAMSuH iva mAMsalaH rasa BarEH saBA raQjanaH /
   {MV S_3}	{MV H _3}
   pradīptakumudāvalirdvijapatiśca nakṣatrapo	pradIpta kumuda AvaliH dvija patiH ca nakzatrapaH 
   nṛpo jayati satkṛpo madhukaraḥ kṛtāritrapaḥ // 17 //	nRpaH jayati satkRpaH maDukaraH kRta aritrapaH // 17 //
   vinyasya vīrasiṃhe bhūpatisiṃhe mahībhāram /	vinyasya vIra siMhe BUpati siMhe mahIBAram /
   jñānānalamaladāho madhukarasāho divaṃ bheje // 18 //	jQAna anala mala dAhaH maDukara sAhaH divam Beje // 18 //
   antargambhīratāndhūkṛtaripunivaho nṛtyasaṅgītaraṅgī /	antargamBIra tA anDU kRtaripu nivahaH nRtya saFgI taraFgI /
   sanmātaṅgī turaṅgī dharaṇipatirabhūdvīrasiṃho nṛsiṃhaḥ // 19 //	sat mAtaFgI turaFgI DaraNi patiH aBUt vIra siMhaH nRsiMhaH // 19 //
   amuṣya prasthāne sati sapadi nānebhanivahairihaiko 'pi dveṣī na khalu	amuzya prasTAne sati sapadi na anA iBa nivahEH iha ekaH api dvezI na Kalu
   raṇaśeṣī samajani /	raNa SezI samajani /
