   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   (saṃskṛta - punaruddhāraḥ)	(saMskRta  punar-udDAraH)
   bhāratīyabhāṣāyām - āryaśālistambakamahāyānasūtraṭīkā |	BAratIya-BAzAyAm  Arya-SAli-stambaka-mahAyAna-sUtra-wIkA |
   bhoṭabhāṣāyām - hphagaspā - salu - jaṅapā - śesvyavā - thegpā - chenapoī -	BowaBAzAyAm  hPagaspAH  salu  jaFapAH  SesvI-avA  TegpAH  Cena-poI -
   doī - gyācher bśadpā	doI  gyACeH bSadpA
   atha śālistambavibhāṣāyāḥ prathamaṃ paṭalam	aTa SAli-stamba-viBAzAyAH praTamam pawalam
   nama āryamañjuśrīkumārabhūtāya |	namaH Arya-maQjuSrI-kumAra-BUtAya |
   tatra 'anantācintyaguṇyaṃ hi' ityādiṣu anantaguṇyamiti guṇaṃ hi	tatra aananta-acintya-guNyam hi-a ityAdizu ananta-guNyam-iti guNam hi
   balābhayāsaṃsṛṣṭādiguṇārthe devamanuṣyaiḥ pariceyatvāt, sevyatvāt,	bala-aBayA-saMsRzwa-Adi-guNa-arTe deva-manuzyEH pariceyatva-at, sevya-tva-at,
   abhyasanīyatvād, bhāvanīyatvāt, sākṣātkaraṇīyatvāt prāptakaraṇīyatvācca	aByasanIya-tvAt-, BAvanIya-tvAt, sAkzAt-karaNIya-tvAt prApta-karaNIya-tvAt-ca
   guṇāḥ | te guṇāstu bahavaḥ | anantācintyeti samastaṃ padam |	guNAH | te guNAH-tu bahavaH | ananta-acintya-iti samastam padam |
   acintyaguṇatvaṃ tu	acintya-guNa-tvam tu
   śrāvaka-pratyekabuddha-sarva-pṛthagjana-sarvatārkikagaṇa-cittagocaraṃ	SrAvaka--pratyekabudDa--sarva--pRTagjana--sarva-tArkika-gaNa--citta-gocaram
   samatikramaṇāt | tataḥ so 'nantācintyaguṇa samanvitaḥ | katama iti cet,	samatikramaNAt | tatas saH ananta-acintya-guNa samanvitaH | katamaH iti ced-,
   ucyate - sambuddhaṃ karuṇātmakam | ityuktam | samyagaviparyastañca	ucyate  sambudDam karuNa-Atmakam | iti-uktam | samyak-aviparyaH-taQca
   buddhatvāt sambuddhaḥ | sarvadharmānityatvasya	budDa-tvAt sambudDaH | sarva-Darma-anitya-tvasya
   duḥkha-śūnya-nairātmyādi-dharmān-pudgalanairātmyasvabhāvatayā yathāvad	duHKa--SUnya--nErAtmya-Adi-DarmAn-pudgala-nErAtmya-svaBAvatayA yaTAvat-
   avabodhatvād buddhaḥ |	avaboDa-tvAt budDaH |
   praphullakamalavad buddhervikāsād buddho, bodhatvād vā buddhaḥ |	praPulla-kamala-vat budDeH-vikAsAt budDo, boDa-tvAt vA budDaH |
   ajñānanidrā suptajaganmadhye jāgratapuruṣavat,	ajQAna-nidrA supta-jagat-maDye jAgrata-puruzavat,
   yathāvadaviparyastasamyagjñānodayād buddha iti | athavājñajanāvabodhanād	yaTAvat-aviparyasta-samyak-jQAna-udayAt budDaH iti | aTavA-ajQa-jana-avaboDanAt-
   buddhaḥ | yathā - parādhīnasya svayameva	budDaH | yaTA  para-aDInasya svayam-eva
   pratisaṃvedana-dharmatattvāva-bodhavad unmārgabhrāntacittasya	pratisaMvedana--Darma-tattva-ava-boDa-vat unmArga-BrAnta-cittasya
   saṃsārāṭavīkāntāre janma-jarā-vyādhi-maraṇādi-pīḍitasya	saMsAra-awavI-kAntAre janma---jarA--vyADi--maraNa-Adi--pIxitasya
   vividhadarśanagahanavane kleśāśīviṣabhayāplutāna itastataḥ paribhramato	viviDa-darSana-gahana-vane kleSa-ASIviza-Baya-AplutAnaH itas-tatas pariBramataH-
   'nyāṃścāpi sanmārge sanniveśya mokṣānuttaramahānagare praveśakāritvād	anyAn=-ca-api sat-mArge sanniveSya mokza-anuttara-mahA-nagare praveSa-kAri-tvAt-
   buddha iti |	budDaH iti |
   karuṇātmakamiti tu karuṇasvabhāvam | kleśakarmaduḥkhanivārakatvāt karuṇaḥ	karuNa-Atmakam-iti tu karuNa-svaBAvam | kleSa-karma-duHKa-nivAraka-tvAt karuNaH
   | yasmin karuṇātmakatvaṃ svabhāvataḥ sa karuṇātmakaḥ | sa sambuddhaḥ ;	| yasmin karuNA-Atmaka-tvam svaBAvataH sa karuNA-AtmakaH | sa sambudDaH ;
   karuṇātmakatāyā api bhūtatvāt saṃbuddhaḥ karuṇātmakaḥ | tasmāt taṃ buddhaṃ	karuNA-Atmaka-tAyAH api BUta-tvAt saMbudDaH karuNA-AtmakaH | tasmAt tam budDam
   karuṇātmakaṃ praṇipatya śālistambamiti ityuktam | praṇipatyeti	karuNa-Atmakam praNipatya SAli-stambam-iti iti-uktam | praNipatya-iti
   samyakpūjayitvā vandanā-gaurava-pravaṇatayā praṇipatya | praṇipatya kiṃ	samyak-pUjayitvA vandanA--gOrava--pravaNa-tayA praNipatya | praNipatya kim
   karomīti cet- śālistambamiti sūtrasya upanibaddhaśāstrakārikāṃ pravakṣyāmi	karomi-iti cet SAli-stambam-iti sUtrasya upanibadDa-SAstra-kArikAm pravakzyAmi
   | ityuktam | tatra anantācintyaguṇyo hi ityanena svārthasampattirdarśitā |	| iti-uktam | tatra ananta-acintya-guNyaH hi iti-anena sva-arTa-sampattiH-darSitA |
   karuṇātmaka ityanena parārthasampattiruktā | sambuddhaṃ iti buddho hi	karuNA-AtmakaH iti-anena para-arTa-sampattiH-uktAH | sambudDam iti budDaH hi
   (adhigatārthatvāt) sarvajña eva | 'anantācintyaguṇyaṃ hi' ityanena	(aDi-gata-arTa-tvAt) sarvajQaH eva | aananta-acintya-guNyam hi-a iti-anena
   rāgādirahitatvam, kleśopakleśānāmaguṇānāṃ guṇavirodhatvāt | tasmāt tādṛśaṃ	rAga-Adi-rahita-tvam, kleSa-upakleSAnAm-aguNAnAm guNa-viroDa-tvAt | tasmAt tAdRSam
   sarvajñaṃ viraktaṃ sambuddhaṃ karuṇātmaka iti yaḥ sarvaṃjānan vītarāgaḥ,	sarvajQam viraktam sambudDam karuNA-AtmakaH iti yaH sarvaMjAnan vIta-rAgaH,
   sa ācāryamuṣṭerabhāvād aparān yathāvagataṃ dharmaṃ diśati | anena tu	saH AcArya-muzweH-aBAvAt aparAn yaTA-avagatam Darmam diSati | anena tu
   parahitakāritvāt parārthopasampadā diṣṭā | evaṃ svaparārthopasampannaṃ taṃ	para-hita-kAri-tvAt para-arTa-upasampadA dizwA | evam sva-para-arTa-upasampannam tam
   sambuddhaṃ praṇamāmi | tathāpi, vivakṣitapadasya vidyamānatvād vivakṣuṇā	sambudDam praNamAmi | taTA-api, vivakzita-padasya vidyamAna-tvAt vivakzuNA
   kimiṣyate? iti praśnaḥ | uttaraṃ - pravakṣyāmi | kiṃ vakṣyāmi? ucyate -	kim-izyate? iti praSnaH | uttaram  pravakzyAmi | kim vakzyAmi? ucyate -
   śālistambasūtropanibaddha-śāstra-kārikām | śāstraṃ racayitum ādau	SAli-stamba-sUtra-upanibadDa-SAstra-kArikAm | SAstram racayitum AdO
   sambandha-prayojana-abhidhānābhidheyacatuṣṭayaṃ kiṃ na nirvacanīyam?	sambanDa--prayojana--aBiDAna-aBiDeya-catuzwayam kim na nirvacanIyam?
   atra tadabhāvāt tadārambhaṇam anucitam | asambaddhāditvāt	atra tad-aBAvAt tad-AramBaNam anucitam | asambadDa-Adi-tvAt
   pramattapralāpavad ityanārambhaṇīyamiti dharmaḥ | śāstramiti dharmī |	pramatta-pralApa-vat iti-anAramBaNIyam-iti DarmaH | SAstram-iti DarmI |
   dharmadharmisāmānyaṃ hi pakṣaḥ | asambaddhāditvāditi hetuḥ |	Darma-Darmi-sAmAnyam hi pakzaH | asambadDa-Adi-tvAt-iti hetuH |
   avabodhakatvāt hetuḥ, hetvarthasya tu avabodhakatvāt | tasmāt	avaboDaka-tvAt hetuH, hetu-arTasya tu avaboDaka-tvAt | tasmAt-
   asambandhāditvādanārambhaṇīyamiti | pramattapralāpavaditi upamā | evaṃ	asambanDa-Adi-tvAt-anAramBaNIyam-iti | pramatta-pralApa-vat-iti upamA | evam
   vādine ucyate - asambandhāditvāditi yaduktaṃ ityuktahetorasiddham uktāyām	vAdine ucyate  asambanDa-Adi-tvAt-iti yat-uktam iti-ukta-hetoH-asidDam uktAyAm
   atroktau sambandhādayaścatvāraḥ santyeva | te ca katame? ucyate -	atra-uktO sambanDa-AdayaH-catvAraH santi-eva | te ca katame? ucyate -
   śālistambasūtropanibaddha-śāstrakārikāyāḥ vakṣyamāṇatvād atra sambandhaḥ	SAli-stamba-sUtra-upanibadDa-SAstra-kArikAyAH vakzyamANa-tvAt atra sambanDaH
   syād eva | śālistambasūtramiti tīrthikādyanyeṣu granthaviśeṣaṇatayā	syAt eva | SAli-stamba-sUtram-iti tIrTika-Adi-anyezu granTa-viSezaNa-tayA
   anupalabdhatvāt śāstramidaṃ buddhasambaddham | tasmāt hetvaertho 'siddha	anupalabDa-tvAt SAstram-idam budDa-sambadDam | tasmAt hetvaerTaH asidDa
   eva | sambandhabhāvaśca prayojanasyāpyabhāve nāsti | tasmāduktam atra	eva | sambanDa-BAvaH-ca prayojanasya-api-aBAve na-asti | tasmAt-uktam atra
   prayojanam - hetupratyayārthāvagamārthaṃ	prayojanam  hetu-pratyaya-arTa-avagama-arTam
   pudgala-nairātmya-dharmanairātmya-grāhya-grāhakābhāvāva gamāt	pudgala-nErAtmya--Darma-nErAtmya--grAhya--grAhaka-aBAvAva gamAt-
   kleśajñeyāvaraṇaṃ vibhajya anuttara-samyaksaṃbuddhopalabdhiḥ atra	kleSa-jQeya-AvaraNam viBajya anuttara--samyaksaMbudDa-upalabDiH atra
   prayojanamastyeva |	prayojanam-asti-eva |
   tasmāt saprayojanatvāt cikitsādiśāstravad viracanīyameva | yadyad	tasmAt sa-prayojana-tvAt cikitsA-Adi-SAstra-vat viracanIyam-eva | yat-yat-
   sārthakaṃ tat tat tu viracanīyam | yathā cikitsādiśāstravad bhūtatvād	sArTakam tat tat tu viracanIyam | yaTA cikitsA-Adi-SAstra-vat BUta-tvAt-
   upamāsiddhiṃ vakṣyāmi | asyābhidhānena śālistambopamayā	upamA-sidDim vakzyAmi | asya-aBiDAnena SAli-stamba-upamayA
   ādhyātmika-bāhya-pratītyasamutpāda-samupayogād anenābhidhānena	ADyAtmika--bAhya--pratItya-samutpAda--samupayogAt anena-aBiDAnena
   śālistambamiti cāpi bhavati | tasmādapi artho 'siddha eva | abhidheyamiti	SAli-stambam-iti ca-api Bavati | tasmAt-api arTaH asidDaH eva | aBiDeyam-iti
   pratītyasamutpādasya dvādaśāṅgasya sapratyayasya pṛthaktaḥ yathākramaṃ	pratItyasamutpAdasya dvAdaSa-aFgasya sa-pratyayasya pRTaktaH yaTAkramam
   lakṣaṇavyavasthāpanāt kartrādīn ahetūn pratikūlahetūn ca vihāya	lakzaNa-vyavasTApanAt kartR-AdIn ahetUn pratikUla-hetUn ca vihAya
   kleśopakleśa prahāṇāt samyagjñānam utpādya anuttaradharmakāyopalambhād	kleSa-upakleSa prahANAt samyak-jQAnam utpAdya anuttara-Darma-kAya-upalamBAt-
   idamabhidheyamapyastyeva | tasmācca hetvartho 'siddha eva | tasmāt	idam-aBiDeyam-api-asti-eva | tasmAt-ca hetu-arTaH asidDaH eva | tasmAt-
   cikitsādiśāstravad idaṃ śāstraṃ sambandhādisamanvitatvād, ārambhaṇīyameva|	cikitsA-Adi-SAstra-vat idam SAstram sambanDa-Adi-samanvita-tvAd, AramBaNIyam-eva|
