   Sekoddeśaḥ	Seka-uddeSaH
   om namaḥ kālacakrāya	om namaH kAlacakrAya
   sucandra āha -	sucandraH Aha -
   sekaḥ saptavidhaḥ śāstastrividho 'nuttarastathā /	sekaH saptaviDaH SAstaH-triviDaH anuttaraH-taTA /
   laukikottarasiddhyarthaṃ saṃkṣepāt kathayasva me // Sekod_1 //	lOkika-uttara-sidDi-arTam saMkzepAt kaTayasva me // Sekot-_1 //
   bhagavānāha -	BagavAn-Aha -
   śṛṇu sucandra sekārthaṃ saptadhā trividhaṃ param /	SRNu sucandra seka-arTam saptaDA triviDam param /
   nāḍīsaṃcāramāyāmamuddeśāt kathayāmi te // Sekoddeśa_2 //	nAxI-saMcAram-AyAmam-uddeSAt kaTayAmi te // Seka-uddeSaH-_2 //
   uddeśastrividhastantre nirdeśastrividho bhavet /	uddeSaH-triviDaH-tantre nirdeSaH-triviDaH Bavet /
   pratyuddeśo mahoddeśaḥ pratinirdeśako 'paraḥ // Sekoddeśa_3 //	pratyuddeSaH mahA-uddeSaH pratinirdeSakaH aparaH // Seka-uddeSaH-_3 //
   uddeśa eva nirdeśastantrasaṃgītirucyate /	uddeSaH eva nirdeSaH-tantra-saMgItiH-ucyate /
   pratyuddeśaśca nirdeśaḥ pañjikā padabhañjikā // Sekoddeśa_4 //	pratyuddeSaH-ca nirdeSaH paQjikA padaBaQjikA // Seka-uddeSaH-_4 //
   mahoddeśaśca nirdeśaṣṭīkā sarvārthasūcikā /	mahoddeSaH-ca nirdeSazwIkA sarva-arTa-sUcikA /
   abhijñālābhibhiḥ sā tu kartavyā naiva paṇḍitaiḥ // Sekoddeśa_5 //	aBijQAlABiBiH sA tu kartavyA na-eva paNxitEH // Seka-uddeSaH-_5 //
   evaṃ ṣaṭkoṭibhiḥ śuddhaṃ vajrayogaiścaturvidhaiḥ /	evam zaz-kowiBiH SudDam vajra-yogEH-caturviDEH /
   catuḥsambodhibhiḥ skandhadhātvāyatanaṣaṭkulaiḥ // Sekoddeśa_6 //	catur-samboDiBiH skanDa-DAtu-Ayatana-zaz-kulEH // Seka-uddeSaH-_6 //
   paṭalaiḥ pañcabhiḥ śuddhaṃ lokadhātvādikairmataiḥ /	pawalEH paQcaBiH SudDam lokaDAtu-AdikEH-matEH /
   satyābhyāmādibuddhaṃ syāt kālacakrābhidhānakam // Sekoddeśa_7 //	satyAByAm-Adi-budDam syAt kAla-cakra-aBiDAnakam // Seka-uddeSaH-_7 //
   ādau saptābhiṣeko yo bālānāmavatāraṇam /	AdO sapta-aBizekaH yaH bAlAnAm-avatAraNam /
   trividho lokasaṃvṛtyā caturthaḥ paramārthataḥ // Sekoddeśa_8 //	triviDaH loka-saMvRtyA caturTaH paramArTataH // Seka-uddeSaH-_8 //
   satyadvayena dharmāṇāṃ deśanā vajriṇo mama /	satya-dvayena DarmANAm deSanA vajriNaH mama /
   lokasaṃvṛtisatyena satyena paramārthataḥ // Sekoddeśa_9 //	loka-saMvRti-satyena satyena paramArTataH // Seka-uddeSaH-_9 //
   udakaṃ mukuṭaḥ paṭṭo vajraghaṇṭā mahāvratam /	udakam mukuwaH pawwaH vajra-GaNwA mahA-vratam /
   nāmānujñāsamāyuktaḥ sekaḥ saptavidho nṛpa // Sekoddeśa_10 //	nAma-anujQA-samAyuktaH sekaH saptaviDaH nRpa // Seka-uddeSaH-_10 //
   kāyavākcittasaṃśuddhirabhiṣekadvayaṃ dvayam /	kAya-vAc-citta-saMSudDiH-aBizeka-dvayam dvayam /
