   Nādabindūpaniṣat	NAdabindu-upanizad-
   oṃ	om
   akāro dakṣiṇaḥ pakṣa ukāras tūttaraḥ smṛtaḥ /	akAraH dakziNaH pakzaH ukAraH tu-uttaraH smRtaH /
   makāras tasya pucchaṃ vā ardhamātrā śiras tathā // NbiUp_1 //	makAraH tasya pucCam vA arDa-mAtrA SiraH taTA // NbiUB-_1 //
   pādau rajas tamas tasya śarīraṃ sattvam ucyate /	pAdO rajaH tamaH tasya SarIram sattvam ucyate /
   dharmaś ca dakṣiṇaṃ cakṣur adharmaś cottaraṃ smṛtam // NbiUp_2 //	DarmaH ca dakziNam cakzuH aDarmaH ca-uttaram smRtam // NbiUB-_2 //
   bhūr lokaḥ pādayos tasya bhuvar lokas tu jānunoḥ /	BUH lokaH pAdayoH tasya Buvar lokaH tu jAnunoH /
   svar lokaḥ kaṭideśe tu nābhideśe mahar jagat // NbiUp_3 //	svar lokaH kawi-deSe tu nABi-deSe mahar jagat // NbiUB-_3 //
   janalokas tu hṛdaye kaṇṭhadeśe tapas tataḥ /	janalokaH tu hRdaye kaNWa-deSe tapaH tatas /
   bhruvor lalāṭamadhye tu satyaloko vyavasthitaḥ // NbiUp_4 //	BruvoH lalAwa-maDye tu satyalokaH vyavasTitaH // NbiUB-_4 //
   sahasram iti cātra mantra eva pradarśitaḥ /	sahasram iti ca-atra mantraH eva pradarSitaH /
   evam enaṃ samārūḍho haṃsaṃ yogavicakṣaṇaḥ // NbiUp_5 //	evam enam samArUXaH haMsam yoga-vicakzaNaH // NbiUB-_5 //
   na badhyate karmacārī pāpakoṭiśatair api /	na baDyate karma-cArI pApa-kowi-SatEH api /
   āgneyī prathamā mātrā vāyavyaiṣā vaśānugā // NbiUp_6 //	AgneyI praTamA mAtrA vAyavyA-ezA vaSa-anugAH // NbiUB-_6 //
   bhānumaṇḍalasaṃkāśā bhaven mātrā tathottarā /	BAnu-maNxala-saMkASA Bavet mAtrA taTA-uttarA /
   paramā cārdhamātrā ca vāruṇīṃ tāṃ vidur budhāḥ // NbiUp_7 //	paramA ca-arDa-mAtrA ca vAruNIm tAm viduH buDAH // NbiUB-_7 //
   kalātrayānanā vāpi tāsāṃ mātrāpratiṣṭhitā /	kalA-traya-AnanA vA-api tAsAm mAtrA-pratizWitA /
   eṣa oṃkāra ākhyāto dhāraṇābhir nibodhata // NbiUp_8 //	ezaH oMkAraH AKyAtaH DAraNABiH niboData // NbiUB-_8 //
   yoṣiṇī prathamā mātrā vidyunmālā tathāparā /	yoziNI praTamA mAtrA vidyunmAlA taTA-aparA /
   pataṃgī ca tṛtīyā syāc caturthī vāyuveginī // NbiUp_9 //	pataMgI ca tRtIyA syAt caturTI vAyu-veginI // NbiUp_9 //
   pañcamīnām adheyā ca ṣaṣṭhī caindrī vidhīyate /	paQcamInAm aDeyA ca zazWI ca-EndrI viDIyate /
   saptamī vaiṣṇavī nāma śaṃkarī ca tathāṣṭamī // NbiUp_10 //	saptamI vEzNavI nAma SaMkarI ca taTA-azwamI // NbiUB-_10 //
   navamī mahatī nāma dhruveti daśamī matā /	navamI mahatI nAma Druva-iti daSamI matA /
   ekādaśī bhaven maunī brāhmīti dvādaśī matā // NbiUp_11 //	ekAdaSI Bavet mOnI brAhmI-iti dvAdaSI matAH // NbiUB-_11 //
   prathamāyāṃ tu mātrāyāṃ yadi prāṇair viyujyate /	praTamAyAm tu mAtrAyAm yadi prANEH viyujyate /
   sa rājā bhārate varṣe sārvabhaumaḥ prajāyate // NbiUp_12 //	sa rAjA BArate varze sArvaBOmaH prajAyate // NbiUB-_12 //
   dvitīyāyāṃ samutkrānto bhaved yakṣo mahātmavān /	dvitIyAyAm samutkrAntaH Bavet yakzaH mahAtmavAn /
   vidyādharas tṛtīyāyāṃ gandharvas tu caturthikām // NbiUp_13 //	vidyADaraH tRtIyAyAm ganDarvaH tu caturTikAm // NbiUB-_13 //
   pañcamyām atha mātrāyāṃ yadi prāṇair viyujyate /	paQcamyAm aTa mAtrAyAm yadi prANEH viyujyate /
   uṣitaḥ sahadevatvaṃ somaloke mahīyate // NbiUp_14 //	uzitaH sahadeva-tvam soma-loke mahIyate // NbiUB-_14 //
   ṣaṣṭhyām indrasya sāyujyaṃ saptamyāṃ vaiṣṇavaṃ padam /	zazWyAm indrasya sAyujyam saptamyAm vEzNavam padam /
   aṣṭamyāṃ vrajate rudraṃ paśūnāṃ ca patiṃ tathā // NbiUp_15 //	azwamyAm vrajate rudram paSUnAm ca patim taTA // NbiUB-_15 //
   navamyāṃ ca maharlokaṃ daśamyāṃ ca dhruvaṃ vrajet /	navamyAm ca mahar-lokam daSamyAm ca Druvam vrajet /
   ekādaśyāṃ tapolokaṃ dvādaśyāṃ brahma śāśvatam // NbiUp_16 //	ekAdaSyAm tapolokam dvAdaSyAm brahma SASvatam // NbiUB-_16 //
   tataḥ paraṃ śuddhaṃ vyāpakaṃ niṣkalaṃ śivam /	tatas param SudDam vyApakam nizkalam Sivam /
   sadoditaṃ paraṃ brahma jyotiṣām udayo yataḥ // NbiUp_17 //	sadA-uditam param brahma jyotizAm udayaH yatas // NbiUB-_17 //
   atīndriyaṃ guṇātītaṃ mano līnaṃ yadā bhavet /	atIndriyam guNa-atItam manaH lInam yadA Bavet /
   anaupamyam abhāvaṃ ca yogayuktaṃ tadādiśet // NbiUp_18 //	anOpamyam aBAvam ca yoga-yuktam tat-AdiSet // NbiUB-_18 //
   tadbhaktas tatsamāsaktaḥ śanair muñcet kalevaram /	tad-BaktaH tad-samAsaktaH SanEs muQcet kalevaram /
   susthito yogacāreṇa sarvasaṅgavivarjitaḥ // NbiUp_19 //	susTitaH yoga-cAreNa sarva-saFga-vivarjitaH // NbiUB-_19 //
   tato vilīnapāśo 'sau vimalaḥ kevalaḥ prabhuḥ /	tatas vilIna-pASaH asO vimalaH kevalaH praBuH /
   tenaiva brahmabhāvena paramānandam aśnute // NbiUp_20 //	tena-eva brahma-BAvena parama-Anandam aSnute // NbiUB-_20 //
