   // prathamādhyāye dvitīyāhnikam //	// praTama-aDyAye dvitIya-Ahnikam //
   // kathālakṣaṇaprakaraṇam //	// kaTA-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   evaṃ prathamāhnike sāṅgopāṅgo nyāyastāvallakṣitaḥ /	evam praTama-Ahnike sa-aFga-upAFgaH nyAyaH-tAvat-lakzitaH /
   sa ca parārtho 'pi pṛcchopakramapratiyoginyekavaktṛke vicāre vivicya	sa ca para-arTaH api pRcCA-upakrama-pratiyoginI-eka-vaktRke vicAre vivicya
   pravarttanīyaḥ /	pravarttanIyaH /
   tatra ca siddhiparatvam /	tatra ca sidDi-paratvam /
   nyāyasya dūṣaṇopakramapratiyoginī tu nānāpravaktṛke kathānāmni	nyAyasya dUzaNa-upakrama-pratiyoginI tu nAnA-pravaktRke kaTA-nAmni
   kriyāvyatihāre pravartyaṃ vivecanīyaḥ /	kriyA-vyatihAre pravartyam vivecanIyaH /
   tatra copālambhaparatvaṃ tasya /	tatra ca-upAlamBa-para-tvam tasya /
   evaṃ ca pravartanīyavivecanīyasiddhiparasāṅganyāyalakṣaṇaṃ	evam ca pravartanIya-vivecanIya-sidDi-para-sa-aFga-nyAya-lakzaNam
   prathamāhnikārthaḥ /	praTama-Ahnika-arTaH /
   dvitīyāhnikārthastu pravartanavivecana upālambhaparapadārthalakṣaṇamiti	dvitIya-Ahnika-arTaH-tu pravartana-vivecane upAlamBa-para-padArTa-lakzaNam-iti
   yukta idānīṃ tasyārambhaḥ /	yuktaH idAnIm tasya-AramBaH /
   tatrāpi pravartyavivecanīyadvāreṇa pravṛttiprakāratvācca kathāyāḥ	tatra-api pravarti-avivecanIya-dvAreNa pravRtti-prakAra-tvAt-ca kaTAyAH
   prathamaṃ kathāprakaraṇamārabhyate /	praTamam kaTA-prakaraNam-AraByate /
   yadyapi ca kathā sākṣāt noddiṣṭā, tathāpyasaṃgatibhitā bhāṣyakāraḥ	yadi-api ca kaTA sAkzAt na-uddizwA, taTA-api-asaMgati-BitAH BAzya-kAraH
   tadupasaṃgraheṇaiva vādādīn vibhajate /	tad-upasaMgraheNa-eva vAda-AdIn viBajate /
   anyathā hi vādādilakṣaṇasya pūrvāparaprakaraṇāpraveśāt āhnikāpraveśe	anyaTA hi vAda-Adi-lakzaNasya pUrva-apara-prakaraNa-apraveSAt Ahnika-apraveSe
   śāstrabahirbhāvaprasaṅgaḥ /	SAstra-bahirBAva-prasaFgaH /
   atha sūtrakṛtaiva kathā kathaṃ sākṣāt noddiṣṭa, vivakṣitaphale	aTa sUtra-kRtA-eva kaTA kaTam sAkzAt na-uddizwa, vivakzita-Pale
   ekānekatvānurodhena sāmānyaviśeṣayoryathāyathamuddeśāt? tad yathā caturṣu	eka-aneka-tva-anuroDena sAmAnya-viSezayoH-yaTAyaTam-uddeSAt? tat yaTA caturzu
   pramaiva vivakṣitaṃ phalamiti pramāṇatvena, saiva dvādaśaviṣayiṇī	pramA-eva vivakzitam Palam-iti pramANa-tvena, sA-eva dvAdaSa-vizayiNI
   vivakṣiteti prameyatvena, hānameva vivakṣitamiti sukhaṃ duḥkhatvena /	vivakzitA-iti prameya-tvena, hAnam-eva vivakzitam-iti suKam duHKa-tvena /
   iha tu tattvanirṇayaḥ, jalpe svaśaktiparāśaktikhyāpanam, vitaṇḍāyāṃ	iha tu tattva-nirNayaH, jalpe sva-Sakti-parASakti-KyApanam, vitaNxAyAm
   parāśaktimātraprakhyāpanaṃ ca phalāni vivakṣitāni /	para-aSakti-mAtra-praKyApanam ca PalAni vivakzitAni /
   tāni ca na kathāmātrasādhyānīti viśeṣata evoddeśaḥ /	tAni ca na kaTA-mAtra-sADyAni-iti viSezataH eva-uddeSaH /
   tatra yaugikaṃ kathāśabdamupādāyānavasaradusthatayā bhāṣyam ākṣipya	tatra yOgikam kaTA-Sabdam-upAdAya-anavasarat-usTa-tayA BAzyam Akzipya
   vārttikena samādhatte---tadayuktamityādinā /	vArttikena samADatte----tat-a-yuktam-ityAdinA /
   nāyaṃ kathāśabdo yogamātrānurodhī, api tu satyeva tasmin rūḍhiniyata iti /	na-ayam kaTA-SabdaH yoga-mAtra-anuroDI, api tu sati-eva tasmin rUXi-niyate iti /
   anavasaradoṣaṃ pariharannāha---api tviti /	anavasara-dozam pariharan=-Aha----api tu-iti /
   nanu pūrvapakṣottarapakṣabalābalanirūpaṇaṃ vicāraḥ, sa ca na kathāyā	nanu pUrva-pakza-uttara-pakza-bala-abala-nirUpaNam vicAraH, sa ca na kaTAyAH-
   āśrayaḥ kiṃ tu viṣaya ityata āha---vicāraviṣayeti /	ASrayaH kim tu vizayaH iti-atas Aha----vicAra-vizaya-iti /
   prauḍhagauḍanaiyāyikamate catasraḥ kathāḥ /	prOXa-gOxa-nEyAyika-mate catasraH kaTAH /
   sa pratipakṣasthāpanāhīno vitaṇḍā /	sa pratipakza-sTApanA-hInaH vitaNxA /
   ityatra jalpavad vādasyāpi parāmarśāt /	iti-atra jalpa-vat vAdasya-api parAmarSAt /
   puruṣābhiprāyānurodhena caturthodāharaṇasyāpyupapatteriti sānātaniḥ /	puruza-aBiprAya-anuroDena caturTa-udAharaNasya-api-upapatteH-iti sAnAtaniH /
   eka evāyaṃ kathāmārga iti bāhyāḥ /	ekaH eva-ayam kaTA-mArgaH iti bAhyAH /
   te dve api tisra eveti niyamayatā nirākṛte /	te dve api tisraH eva-iti niyamayatA nirAkRte /
   tattvabubhutsukathā ca vitaṇḍā ceti vyāhatam /	tattva-buButsu-kaTA ca vitaNxA ca-iti vyAhatam /
