   Adhyaya 2, Pada 1	ADyayaH 2, Pada 1
   // atha śrīmannyāyasudhāyāṃ smṛtyadhikaraṇam //	// aTa SrImat nyAya suDAyAm smRti aDikaraNam //
   yatpadaṃ vedasaṃvedyaṃ kaṭākṣeṇāpi vīkṣitum /	yat padam veda saMvedyam kawAkzeNa api vIkzitum /
   na kṣamante vimatayastamupāse śriyaḥ patim // 1 //	na kzamante vimatayaH tam upAse SriyaH patim // 1 //
   ekavākyatā(di)siddhaye prathamādhyāyārthasaṅgatatvena dvitīyādhyāyārthaṃ	eka vAkyatA( di)sidDaye praTama aDyAya arTa saFgata tvena dvitIya aDyAya arTam
   vivakṣurabuddhisthena saṅgaterdarśayitumaśakyatvāt prathamādhyāyārthaṃ	vivakzuH abudDi sTena saFgateH darSayitum aSakyatvAt praTama aDyAya arTam
   tāvadanuvadati  ukta iti //	tAvat anuvadati uktaH iti //
   uktaḥ samanvayaḥ sākṣād ... // MAnuv_2,1.1a //	uktaH samanvayaH sAkzAt ... // Ma anuv_2,1.1aH //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   (sakala)jagajjanmādinimittakāraṇe	(sakala) jagat janma Adi nimitta kAraNe
   sārvajjñasarvaiśvaryādyanantaguṇaparipūrṇe 'vidyādyavadyagandhavidhure	sArvajjQasarva ESvarya Adi ananta guNa paripUrNe avidyA At yavadyaganDa viDure
   pare brahmaṇi nārāyaṇe svaravarṇapadavākyamahāvākyarūpasya samastasya	pare brahmaNi nArAyaNe svara varNa pada vAkya mahA vAkya rUpasya samastasya
   śāstrasya, sākṣātparamamukhyayā vṛttyā natu lakṣaṇayā, tathā	SAstrasya, sAkzAt parama muKyayA vRttyA na tu lakzaNayA, taTA
   mahātātparyeṇa natu pārārthyena samanvayaḥ prathame 'dhyāye samarthita	mahAtAtparyeNa na tu pArArTyena samanvayaH praTame aDyAye samarTita
   ityarthaḥ /	iti arTaH /
   yadyapi samanvayaśabdenaiva sākṣādityartho labhyate /	yadi api samanvaya Sabdena eva sAkzAt iti arTaH laByate /
   tathāpi parakīyasaṃśabdavyākhyānanirasane 'vahitairbhavitavyamiti sūcanāya	taTA api parakIya saMSabda vyAKyAna nirasane avahitEH Bavitavyam iti sUcanAya
   tadvayākhyānamidaṃ kṛtamityadoṣaḥ /	tadvayA AKyAnam idam kRtam iti adozaH /
   athavā samanvayaśabdena mukhyayā vṛttyānvayaḥ pratīyate /	aTavA samanvaya Sabdena muKyayA vRttyA anvayaH pratIyate /
   paramamukhyayā tu vṛttyā anvayaṃ darśayituṃ sākṣādityuktam /	parama muKyayA tu vRttyA anvayam darSayitum sAkzAt iti uktam /
   yadvā na pradhānaparamāṇvādinirāsanena upādānatvādipratipādanena ca	yat vA na praDAna paramANu Adi nirAsanena upAdAna tva Adi pratipAdanena ca
   paramparayā kintu sākṣādevetyanenācaṣṭe /	paramparayA kintu sAkzAt eva iti anena Acazwe /
   evaṃ prathamādhyāyārthamabhidhāya tatsaṅgatatvena dvitīyādhyāyārthamāha 	evam praTama aDyAya arTam aBiDAya tad saFgata tvena dvitIya aDyAya arTam Aha 
   avirodha iti //	aviroDaH iti //
   ... avirodho 'tra sādhyate // MAnuv_2,1.1b //	... aviroDaH atra sADyate // Ma anuv_2,1.1B //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   atrokte 'rthe 'virodho virodhābhāvo 'tra vyācikhyāsitatayā buddhisannihite	atra ukte arTe aviroDaH viroDa aBAvaH atra vyAci KyAsita tayA budDi sannihite
   dvitīye('dhyāye) sādhyate /	dvitIye( aDyAye) sADyate /
   anenāsyādhyāsyātītādhyāyena kāryakāraṇabhāvalakṣaṇa(ṇā)saṅgatiḥ sūcitā	anena asya aDyAsya atIta aDyAyena kArya kAraNa BAva lakzaNa(NA)saFgatiH sUcitA
   bhavati /	Bavati /
   sakalaśāstrasya samanvayena jagajjanmādikāraṇatve samastagurapūrṇatve	sakala SAstrasya samanvayena jagat janma Adi kAraNa tve samasta gura pUrNa tve
   'śeṣadoṣavidhuratve ca parasya brahmaṇo 'bhihita eva(hi) tatra virodhaḥ	aSeza doza viDura tve ca parasya brahmaNaH aBihitaH eva(hi) tatra viroDaH
   sphurati /	sPurati /
   nānyathā nirāśrayatvāt /	na anyaTA nirASraya tvAt /
   virodhasphūrtāveva tadabhāvasādhanasyāvasaro netarathā /	viroDa sPUrtO= eva tad aBAva sADanasya avasaraH na itaraTA /
   aprāptapratiṣedhāyogāt /	aprApta pratizeDa ayogAt /
   ato 'tītādhyāyārthasya kāraṇatvametadadhyāyārthasya kāryatvaṃ niścīyate /	atas atIta aDyAya arTasya kAraNa tvam etat aDyAya arTasya kArya tvam niScIyate /
   athavā śrutisamanvayenopapādito 'pyartho na tāvacchrotṝṇāṃ dṛḍhanirūḍho	aTavA Sruti samanvayena upapAditaH api arTaH na tAvat SrotLNAm dRXa nirUXaH 
   bhavati, yāvadatra pratīte virodhābhāvo na sādhyate /	Bavati, yAvat atra pratIte viroDa aBAvaH na sADyate /
   virodhena śrutīnāmevāprāmāṇyaśaṅkanāt /	viroDena SrutInAm eva aprAmANya SaFkanAt /
   tathā cānupapāditakalpa evāpadyate /	taTA ca anupapAdita kalpaH eva Apadyate /
   virodhābhāvasādhane tu bhavatyeva dṛḍhanirūḍhaḥ /	viroDa aBAva sADane tu Bavati eva dRXa nirUXaH /
   yathoktam /	yaTA uktam /
   "vimṛśya pakṣapratipakṣābhyāmarthāvadhāraṇaṃ nirṇayaḥ'; iti /	"vimRSya pakza pratipakzAByAm arTa avaDAraNam nirNayaH a; iti /
   ato viparītakāryakāraṇabhāvalakṣaṇā anayossaṅgatiḥ /	atas viparIta kArya kAraNa BAva lakzaNAH anayossaFgatiH /
   nanūktārthe virodhastatra tatraiva parihṛtaḥ /	nanu ukta arTe viroDaH tatra tatra eva parihRtaH /
   kimatra pari(tatkimaparamava)śiṣyate yadarthamadhyāyāntarārambhaḥ /	kim atra pari(tat kim aparam ava)Sizyate yad arTa maDyAya antara AramBaH /
   satyam /	satyam /
   prativakṣyatyatrācāryaḥ /	prativakzyati atra AcAryaH /
   nanvevamadhyāyasyāvirodhalakṣaṇaikārthatvenaikavākyatve sati pādabhedaḥ	nanu evam aDyAyasya aviroDa lakzaNa eka arTa tvena eka vAkya tve sati pAda BedaH
   kinnibandhanaḥ /	kinnibanDanaH /
   tatrāpyasya pādasya prāthamyaṃ	tatra api asya pAdasya prATamyam
   kinnibandhanamityapekṣāyāmāha caturvidhasyeti //	kinnibanDanam iti apekzAyAmAha  caturviDasya iti //
   caturvidhasya tasyādau yauktas ... // MAnuv_2,1.1c //	caturviDasya tasya AdO yOktaH ... // Ma anuv_2,1.1t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tasyāvirodhasya /	tasya aviroDasya /
   nirdhāraṇe ṣaṣṭhī /	nirDAraNe zazWI /
   ādau prathamapāde /	AdO praTama pAde /
   avirodhaḥ sādhyata ityanuvartate /	aviroDaH sADyate iti anuvartate /
   caturvidhasya tasyetyanuvādātsa caturvidha iti labhyate /	caturviDasya tasya iti anuvAdAt sa caturviDaH iti laByate /
   tadayamarthaḥ /	tat ayam arTaH /
   yadyapyukte 'rthe virodhābhāva ityeko 'rthaḥ /	yadi api ukte arTe viroDa aBAvaH iti ekaH arTaH /
   tathāpi yuktisamayaśrutinyāyopetaśrutivirodhābhāvarūpāvāntarabhedena sa	taTA api yukti samaya Sruti nyAya upeta Sruti viroDa aBAva rUpa avAntara Bedena sa
   caturvidho bhavati /	caturviDaH Bavati /
   tatpratipādanena caturṇāṃ pādānāṃ bhedo yujyate /	tad pratipAdanena caturNAm pAdAnAm BedaH yujyate /
   tasya caturvidhasyāpi virodhābhāvasya madhye yuktivirodhābhāvaḥ	tasya caturviDasya api viroDa aBAvasya maDye yukti viroDa aBAvaH
   prathamapāde sādhyate /	praTama pAde sADyate /
   sarveṣāmapi virodhānāṃ yuktyupajīvitavena tadvirodhasya prabalatayā	sarvezAm api viroDAnAm yukti upajIvitavena tad viroDasya prabala tayA
   tadabhāvasādhanasya prāthamyopapatteḥ /	tad aBAva sADanasya prATamya upapatteH /
   yuktipuraskāreṇa yuktyupajīvitvena tadvirodhasya prabalatayā	yukti puraskAreNa yukti upajIvi tvena tad viroDasya prabala tayA
   tadabhāvasādhanasya prāthamyopapatteḥ /	tad aBAva sADanasya prATamya upapatteH /
   yuktipuraskāreṇa pravartanā(mānatvā)cca vicāraśāstrasyeti /	yukti puraskAreNa pravartanA(mAna tvA)t ca vicAra SAstrasya iti /
   nanu kathamabhāvasya cāturvidhyam /	nanu kaTam aBAvasya cAturviDyam /
   ucyate /	ucyate /
   caturvidhā hi virodhino(nyo)yuktyādayaḥ /	caturviDAH hi viroDinaH (nyo)yukti AdayaH /
   tadupadhānādvirodho 'pi caturvidho 'bhidhīyate /	tad upaDAnAt viroDaH api caturviDaH aBiDIyate /
   tatastatpratiyogiko 'bhāvo 'pi tathocyate /	tatas tad pratiyogikaH aBAvaH api taTA ucyate /
   ata eva yaukta ityupapannam /	atas eva yOktaH iti upapannam /
   abhāvasyāpi paramparayā yuktisambandhitvāt /	aBAvasya api paramparayA yukti sambanDi tvAt /
   athavāvirodhapadasannidhāpito virodhastasyeti parāmṛśate /	aTavA aviroDa pada sanniDApitaH viroDaH tasya iti parAmRSate /
   tathāca virodhasya yuktyādyupadhānena caturvidhatvāttadabhāvasādhanena	taTA ca viroDasya yukti Adi upaDAnena caturviDa tvAt tad aBAva sADanena
   pādabhedo yujyate /	pAda BedaH yujyate /
   caturvidhasya tasya virodhasya madhye yaukto virodha ādāvuktaprakāreṇa	caturviDasya tasya viroDasya maDye yOktaH viroDaH AdO= ukta prakAreNa
   prabalo yatastasmāttadabhāvo 'trādau sādhyata iti yojanīyam /	prabalaH yatas tasmAt tad aBAvaH atra AdO sADyate iti yojanIyam /
   yadvā tasyeti virodhiparāmarśo 'yam /	yat vA tasya iti viroDi parAmarSaH ayam /
   tasyāpyavirodhapadena buddhisannihitatvāt /	tasya api aviroDa padena budDi sannihita tvAt /
   avirodho hi virodha(nirūpaṇa)dhīnanirūpaṇaḥ /	aviroDaH hi viroDa( nirUpaNa )DIna nirUpaNaH /
   virodhaśca virodhinā vinā nopapadyate /	viroDaH ca viroDinA vinA na upapadyate /
   tataśca virodhino yuktyādibhedena caturvidhatvā(tta)dvirodhābhāvasādhanena	tatas ca viroDinaH yukti Adi Bedena caturviDa tva A(tta) t viroDa aBAva sADanena
   pādabhedopapattiḥ /	pAda Beda upapattiH /
   caturvidhasyāpi tasya virodhino madhye yukteḥ prabalatvādādau yaukto	caturviDasya api tasya viroDinaH maDye yukteH prabala tvAt AdO yOktaH 
   yuktisambandhī virodhābhāvaḥ sādhyata iti yojyam /	yukti sambanDI viroDa aBAvaH sADyate iti yojyam /
   prathamādhikaraṇe viśeṣamāha  tatrāpīti //	praTama aDikaraNe viSezam Aha tatra api iti //
   ... tatrāpi ca smṛteḥ // MAnuv_2,1.1d //	... tatra api ca smRteH // MA anuv_2,1.1d //
   *5,20f.*	*5,20f.*
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   apipadamādāvityasyānukaṣarṇārtham /	apipadam AdO= iti asya anukazarNa arTam /
   tatra yuktivirodhābhāvapratipādake 'pi pāda ityanaucityaśaṅkāsūcanārthaṃ	tatra yukti viroDa aBAva pratipAdake api pAdaH iti anOcitya SaFkA sUcana arTam
   vā /	vA /
   caśabdenāvirodhaḥ sādhyata ityetadanukṛṣṭate /	caSabdena aviroDaH sADyate iti etat anukRzwate /
   smṛteḥ pāśupatādikāyāḥ /	smRteH pASupata AdikAyAH /
   yadyapi smṛterityasya na nañarthena sambandho ghaṭate virodhaśca samāse	yadi api smRteH iti asya na naQarTena sambanDaH Gawate viroDaH ca samAse
   guṇabhūtaḥ /	guNa BUtaH /
   tathāpi buddhayā viviktena tena sambandhaḥ sambhavati /	taTA api budDayA viviktena tena sambanDaH samBavati /
   yuktivirodhaparihāralakṣaṇe 'tra pāde smṛtivirodhaparihāro na kartavyo	yukti viroDa parihAra lakzaNe atra pAde smRti viroDa parihAraH na kartavyaH 
   'saṅgatatvāt /	asaFgata tvAt /
   kartavyatāyāṃ vā prāthamyaṃ kuta ityata āha  tasyā iti //	kartavyatAyAm vA prATamyam kutas iti atas Aha tasyAH iti //
   tasyāścatuḥsvarūpatvāt ... // MAnuv_2,1.2a //	tasyAH catur svarUpa tvAt ... // Ma anuv_2,1.2aH //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tasyāḥ pāśupatādismṛteryuktisamayādivirodhicatussvarūpatvāt /	tasyAH pASupata Adi smRteH yukti samaya Adi viroDi catussva rUpa tvAt /
   etaduktaṃ bhavati /	etat uktam Bavati /
   pāśupatādismṛtayo hi svayamāptābhimatavākyatayā samayarūpā api	pASupata Adi smRtayaH hi svayam Apta aBimata vAkya tayA samaya rUpAH api
   svābhimatārthe yuktīḥ śrutīśca saṃvādayantyo	sva aBimata arTe yuktIH SrutIH ca saMvAdayantyaH 
   yuktisamayādivirodhicatuṣyayarūpāḥ /	yukti samaya Adi viroDi catuzyaya rUpAH /
   tataścokte 'rthe tadvirodhaparihāro 'dhyāye 'ntarbhavatyeva /	tatas ca ukte arTe tad viroDa parihAraH aDyAye antarBavati eva /
