   1.01.001 vṛd-dhir āT=aiC	1.01.001 vRd-DiH AT=a-eC
   1.01.002 aT=eṄ guṇaḥ	1.01.002 aT=eṄ guNaH
   1.01.003 iKo guṇa-vṛd-dhī	1.01.003 iKaH guNa-vRd-DI
   1.01.004 na dhātulope=ārdhadhātuke	1.01.004 na DAtu-lope=a-arDaDAtuke
   1.01.005 K-Ṅ-ITi ca	1.01.005 K-Ṅ-ITi ca
   1.01.006 dīdhī-vevī=iṬām	1.01.006 dIDI--vevI=iṬAm
   1.01.007 haLaḥ=anantarāḥ saṃyogaḥ	1.01.007 haLaH=anantarAH saMyogaH
   1.01.008 mukha-nāsikā-vacanaḥ=anunāsikaḥ	1.01.008 muKa-nAsikA--vacanaH=anunAsikaH
   1.01.009 tulya=āsya-prayatnam savarṇam	1.01.009 tulya-=Asya--prayatnam savarNam
   1.01.010 na=aC=haLau	1.01.010 na=a-C=haLO
   1.01.011 īT=ūT-eT=dvivacanam pragṛhyam	1.01.011 IT=UT-eT=-dvivacanam pragRhyam
   1.01.012 adaso māt	1.01.012 adasaH mAt
   1.01.013 Śe	1.01.013 Śe
   1.01.014 nipāta eka=aC=an-āṄ	1.01.014 nipAtaH eka=aC=an-AṄ
   1.01.015 oT	1.01.015 oT
   1.01.016 sambuddhau śākalyasya itau=an-ārṣe	1.01.016 sambudDO SAkalyasya itO=an-A-Arze
   1.01.017 uÑaḥ	1.01.017 uÑaH
   1.01.018 oṃ	1.01.018 om
   1.01.019 īT=ūT-au ca saptamy-arthe	1.01.019 IT=UT-O ca saptamI--arTe
   1.01.020 dā-dhā GHU=a-dāP	1.01.020 dA-DA GHU=a-da-aP
   1.01.021 ādy-antavat=ekasmin	1.01.021 Ady-antavat=ekasmin
   1.01.022 taraP-tamaPau GHAḥ	1.01.022 taraP-tam-aPO GHAH
   1.01.023 bahu-gaṇa-vatU-Ḍati saṃkhyā	1.01.023 bahu-gaNa-vatU-Ḍati saMKyA
   1.01.024 ṣ-ṇa=antā ṢAṬ	1.01.024 z-Na=antA ṢAṬ
   1.01.025 Ḍati ca	1.01.025 Ḍati ca
   1.01.026 Kta-KtavatŪ niṣṭhā	1.01.026 Kta-KtavatŪ nizWA
   1.01.027 sarva-ādīni sarvanāmāni	1.01.027 sarva--AdIni sarva-nAmAni
   1.01.028 vibhāṣā dik-samāse bahuvrīhau	1.01.028 viBAzA dik--samAse bahuvrIhO
