   =ācāra.kāṇḍam=	=a-AcAra.-kANxam=
   =cāturvarṇya.ācāram=	=cAturvarNya-.AcAram=
   Par1.1ab/.atha.ato.hima.śaila.agre.deva.dāru.vana.ālaye./	Par1.1ab/.aTa.a-to.-hima.-SEla.agre.-deva.dAru.vana.Alaye./
   Par1.1cd/.vyāsaṃ.eka.aggraṃ.āsīnaṃ.apṛcchann.ṛṣayaḥ.purā.//	Par1.1cd/.-vyAsaM.eka-.aggraM.A-AsInaM.a-pRcCan=-.RzayaH.purA.//
   Par1.2ab/.mānuṣāṇāṃ.hitaṃ.dharmaṃ.vartamāne.kalau.yuge./	Par1.2ab/.-mAnuzANAM.hitaM.DarmaM.vartamAne.-kalO.yuge./
   Par1.2cd/.śauca.ācāraṃ.yathāvac.ca.vada.satyavatī.sutaḥ.//	Par1.2cd/.-SOca.AcAraM.yaTA-avac.ca.vada.-satyavatI.-sutaH.//
   Par1.3ab/.tat.śrutvā.ṛṣi.vākyaṃ.tu.saśiṣyo.aṅgy.arka.samnibhaḥ./	Par1.3ab/.tat.-SrutvA-.Rzi.vAkyaM.tu.-sa-SizyaH-.aFgI-.arka.-samniBaH./
   Par1.3cd/.pratyuvāca.mahā.tejāḥ.śruti.smṛti.viśāradaḥ.//	Par1.3cd/.-pratyuvAca.-mahA.-tejAH.Sruti.-smRti.viSAradaH.//
   Par1.4ab/.na.ca.ahaṃ.sarva.tattvajñaḥ.kathaṃ.dharmaṃ.vadāmy.ahaṃ/	Par1.-4ab/.na.ca-.ahaM.-sarva.-tattva-jQaH.-kaTaM.DarmaM.vadAmi-.ahaM/
   Par1.4cd/.asmat.pitā.eva.praṣṭavya.iti.vyāsaḥ.suto.abravīt.//	Par1.4cd/.asmat.-pitA-.eva.-prazwavya-.iti.-vyAsaH.-sutaH-.abravIt.//
   Par1.5ab/.tatas.ta.ṛṣayaḥ.sarve.dharma.tattva.artha.kāṅkṣiṇaḥ./	Par1.5ab/.tata-s.ta-.RzayaH.-sarve.-Darma.-tattva-.arTa.-kAFkziNaH./
   Par1.5cd/.ṛṣiṃ.vyāsaṃ.puras.kṛtya.gatā.badarikā.āśramaṃ.//	Par1.5cd/.-RziM.vyAsaM.pura-s.kRtya.-gatA.-badarikA.-ASramaM.//
   Par1.6ab/.nānā.puṣpa.lalā.ākīrṇaṃ.phala.vṛṣkair.alaṃ.kṛtaṃ./	Par1.-6ab/.nAnA.-puzpa.-lalA.-a-AkIrNaM.Pala.-vRzkEH-.alaM.kRtaM./
   Par1.6cd/.nadī.prasravaṇa.upetaṃ.puṇya.tīrtha.upaśobhitaṃc.//	Par1.6cd/.-nadI.-prasravaNa-.upetan.puNya.tIrTa.upaSoBitaMc.//
   Par1.7ab/.mṛga.pakṣi.nināda.āḍhyaṃ.devatā.āyatana.āvṛtaṃ./	Par1.7ab/.-mRga.-pakzi.-ninAda-.AXyaM.devatA.-Ayatana-.AvRtaM./
   Par1.7cd/.yakṣa.gandharva.siddhaiś.ca.nṛtya.gītair.alaṃ.kṛtaṃ.//	Par1.7cd/.-yakza.-ganDarva.-sidDa-ES.ca.-nRtya.-gItEH-.alaM.kRtaM.//
   Par1.8ab/.tasminn.ṛṣi.sabhā.madhye.śakti.putraṃ.parāśaraṃ./	Par1.8ab/.tasmin=-.Rzi.saBA.-maDye.-Sakti.putraM.parASaraM./
   Par1.8cd/.sukha.āsīnaṃ.mahā.tejā.muni.mukhya.gaṇa.āvṛtaṃ.//	Par1.8cd/.-suKa-.AsInaM.mahA.-tejA.-muni.-muKya.-gaNa-.AvRtaM.//
   Par1.9ab/.kṛta.añjali.puṭo.bhūtvā.vyāsas.tu.ṛṣibhiḥ.saha./	Par1.9ab/.kRta-.aQjali.-puwaH-.BU-tvA.-vyAsa-s.tu.-RziBiH.saha./
   Par1.9cd/.pradakṣiṇa.abhivādaiś.ca.stutibhiḥ.samapūjayat.//	Par1.9cd/.-pradakziNa-.aBivAda-ES.ca.-stutiBiH.samapUjayat.//
   Par1.10ab/.tataḥ.saṃtuṣṭa.hṛdayaḥ.parāśara.mahā.muniḥ./	Par1.10ab/.tataH.-saMtuzwa.-hRdayaH.parASara.-mahA.-muniH./
   Par1.10cd/.āha.susvāgataṃ.brūhi.ity.āsīno.muni.puṅgavaḥ.//	Par1.10cd/.Aha.-su-svAgataM.brUhi-.iti-.AsIno.-muni.-puFgavaH.//
   Par1.11ab/.kuśalaṃ.samyag.ity.uktvā.vyāsaḥ.pṛcchaty.anantaraṃ./	Par1.11ab/.-kuSalaM.-samyak-.iti-.uktvA.-vyAsaH.pRcCati-.anantaraM./
   Par1.11cd/.yadi.jānāsi.bhaktiṃ.me.snehād.vā.bhakta.vatsala.//	Par1.11cd/.ya-di.jA-nAsi.-BaktiM.me.-snehAt-.vA.Bakta.-vatsala.//
   Par1.12ab/.dharma.kathaya.me.tāta.anugrāhyo.hy.ahaṃ.tava./	Par1.12ab/.-Darma.-kaTaya.-me.tAta.-anugrAhyaH-.hi-.ahaM.tava./
   Par1.12cd/.śrutā.me.mānavā.dharmā.vāsiṣṭhā.kāśyapās.tathā.//	Par1.12cd/.SrutA.-me.-mAnavA.-DarmA.-vAsizWA.-kASyapAs.-taTA.//
