   śrī gaṇapataye namaḥ |	SrI gaNapataye namaH |
   ādyantāntargatānantaśaktiviśrāntinirbharām |	Adi-anta-antargata-ananta-Sakti-viSrAnti-nirBarAm |
   anuccāryām ahaṃ vācam adhīye hṛdayaṃ vibhoḥ || 1 ||	anuccAryAm aham vAcam aDIye hRdayam viBoH || 1 ||
   sa eva bhairavo devas sarve devāś ca yanmayāḥ |	saH eva BEravaH devaH sarve devAH ca yat-mayAH |
   saivāsau bhairavī sattāsattāpi ca yanmayī || 2 ||	sA-eva-asO BEravI sattA-sat-tA-api ca yad-mayI || 2 ||
   tad eva bhairavaṃ jñānam ajñānam api yanmayam |	tat eva BEravam jQAnam ajQAnam api yad-mayam |
   sa hi bhairavasiddhāntaḥ pūrvapakṣo 'pi yanmayaḥ || 3 ||	sa hi BErava-sidDAntaH pUrva-pakzaH api yad-mayaH || 3 ||
   aikadhyam adhvanāṃ ṣa.ṅnāṃ yatra sā bhairavī sthitiḥ |	EkaDyam aDvanAm za.FnAm yatra sA BEravI sTitiH |
   paryante sarvatantrāṇām avācyā paramā gatiḥ || 4 ||	paryante sarva-tantrANAm avAcyA paramA gatiH || 4 ||
   sā cidānandamātrātmamagnecchājñānasatkriyā |	sA cit-Ananda-mAtra-Atmam-agna-icCA-jQAna-satkriyA |
   hṛdayaṃ devadevasya bhairavasyāvibhāgabhūḥ || 5 ||	hRdayam devadevasya BEravasya-aviBAga-BUH || 5 ||
   citsvābhāvyād asau devaḥ svātmanā vimṛṣan prabhuḥ |	cit-svABAvyAt asO devaH sva-AtmanA vimRzan praBuH |
   anāśritādibhūmyantā bhūmikāḥ pratipadyate || 6 ||	anASrita-Adi-BUmi-antAH BUmikAH pratipadyate || 6 ||
   tatra vācakavācyātmaspandayor ekaśaḥ prabhoḥ |	tatra vAcaka-vAcI-Atma-spandayoH ekaSas praBoH |
   sthūlasūkṣmaparābhāsakramayoḥ ṣaḍvidhādhvatā || 7 ||	sTUla-sUkzma-para-ABAsa-kramayoH zaxviDADvatA || 7 ||
   kramo yo deśakālātmā bhedaprāṇas sa saṃvidām |	kramaH yaH deSa-kAla-AtmA Beda-prANaH sa saMvidAm |
   vicchedād eṣa vijñātur vicitrābhāsatākṛtaḥ || 8 ||	vicCedAt eza vijQAtuH vicitra-ABAsatA-kRtaH || 8 ||
   ubhayo tatra vai rītiḥ śuddhāśuddhātmabhedataḥ |	uBayo tatra vE rItiH SudDa-aSudDa-Atma-BedataH |
   śuddhir bahiṣkṛtārthānāṃ svāhantāyāṃ nimajjanam || 9 ||	SudDiH bahizkRta-arTAnAm su-AhantAyAm nimajjanam || 9 ||
   aśuddhir api magnānāṃ naivaṃ hṛdayaviśramaḥ |	aSudDiH api magnAnAm na-evam hRdaya-viSramaH |
   atrāntare 'py anantās syuḥ sthitayas tāratamyataḥ || 10 ||	atra-antare api anantAH syuH sTitayaH tAratamyataH || 10 ||
   ucitocitameyānāṃ pramātṝṇāṃ prakāśane |	ucita-ucita-meyAnAm pramAtLNAm prakASane |
   sādhāraṇānyathābhāvau bhidyete mātṛmeyayoḥ || 11 ||	sADAraNAni-aTa-aBAvO Bidyete mAtR-meyayoH || 11 ||
   avikalpasphuṭābhāsā sā sṛṣṭiḥ śāmbhavī matā |	avikalpa-sPuwa-ABAsA sA sRzwiH SAmBavI matA |
   abhedenātmanirmāṇe svātmaiva karaṇīkṛtaḥ || 12 ||	aBedena-Atma-nirmANe sva-AtmA-eva karaNIkRtaH || 12 ||
   kriyājñānātmacicchaktir bhedāsūtraṇakāraṇāt |	kriyA-jQAna-Atma-cicCaktiH Beda-asUtraNa-kAraNAt |
   kalāvidyāpadaṃ prāpya bhedodbhede punar bhavet || 13 ||	kalA-avidyA-padam prApya Beda-udBede punar Bavet || 13 ||
