   oṃ	om
   śrīmatprabhākaragurutantradhurandhareṇa	SrImat-praBA-kara-guru-tantra-DuranDareNa
   mahāmahopādhyāya-śālikanāthamiśreṇa praṇītā prakaraṇapañcikā	mahA-mahA-upADyAya--SAlika-nATa-miSreNa praNItA prakaraNa-paQcikA
   nyāyasiddhyākhyayā vyākhyayā viṣamasthalaṭipparāyā	nyAya-sidDi-AKyayA vyAKyayA vizama-sTalawipparAyA
   ca samalaṅkṛtā	ca samalaFkRtA
   677 vimalāñjanaṃ nāma	677 vimalAQjanam nAma
   saptamaṃ prakaraṇam /	saptamam prakaraNam /
   prakaraṇārthapratijñā /	prakaraNa-arTa-pratijQA /
   678apauruṣeye sambandhe siddhe śabdārthayordvayoḥ /	678a-pOruzeye sambanDe sidDe Sabda-arTayoH-dvayoH /
   prāmāṇyaṃ vedavākyānāmiti sa pratipādyate // 1 //	prAmANyam veda-vAkyAnAm-iti sa pratipAdyate // 1 //
   iti /	iti /
   yadi pauruṣeya eva śabdānāmarthaissaha sambandho bhavet, tadā	yadi pOruzeyaH eva SabdAnAm-arTEH-saha sambanDaH Bavet, tadA
   pramāṇāntaragocareṣvevār'theṣu puruṣāṇāṃ saṅketakaraṇaśakteḥ,	pramANa-antara-gocarezu-evAr-aTezu puruzANAm saFketakaraNa-SakteH,
   679apūrvakāryātmani ca vedārthe 680pramāṇāntarāṇāmavakāśābhāvena tatra	679a-pUrva-kArya-Atmani ca veda-arTe 680pramANa-antarANAm-avakASa-aBAvena tatra
   saṅketābhāvāt, asaṅketite 681cāvācakatvābhyupagamāt682 durlabhameva	saFketa-aBAvAt, asaFketite 681cAvAcaka-tva-aByupaga-mAt682 durlaBam-eva
   vedavākyānāṃ prāmāṇyamāpadyate683 iti,	veda-vAkyAnAm prAmANyam-Apadyate683 iti,
   arthavānevāyamapauruṣeyaśabdārthasambandhapratipādanayatnaḥ /	arTavAn-eva-ayam-apOruzeya-Sabda-arTa-sambanDa-pratipAdana-yatnaH /
   vaiśaṣikamatena pūrvaḥ pakṣaḥ /	vESazika-matena pUrvaH pakzaH /
   684tatra śabdārthasambandhaṃ poruṣeyaṃ pracakṣate /	684tatra Sabda-arTa-sambanDam poruzeyam pracakzate /
   jagadīśvaranirmāṇāṃ vadanto vedavādinaḥ // 2 //	jagat-ISvara-nirmANAm vadantaH veda-vAdinaH // 2 //
   iti /	iti /
   anādau hi vṛddhavyavahāraparamparāyāṃ satyāṃ 685vṛddhavyavahārasiddho	anAdO hi vRdDa-vyavahAra-paramparAyAm satyAm 685vRdDa-vyavahAra-sidDaH-
   vācyavācakabhāvaśśabdārthayorapauruṣeyaḥ prasidhyet /	vAcya-vAcaka-BAvaH-Sabda-arTayoH-apOruzeyaH prasiDyet /
   tathāhi---vṛddhānāṃ svārthena 686vyavaharamāṇānāṃ vākyamupaśṛṇvanto	taTA-hi----vRdDAnAm sva-arTena 686-vyavaharamANAnAm vAkyam-upaSRNvantaH-
   bālāśśabdaśravaṇasamanantarabhāvinā ceṣṭāviśeṣeṇaviśiṣṭārthaviṣayāṃ	bAlAH-Sabda-SravaNa-samanantara-BAvinA cezwA-viSezeNa-viSizwa-arTa-vizayAm
   687manīṣāmākalayanto688vācakatāṃ śabdasyādhyavasyanti, te 'pi vṛddhā yadā	687manIzAm-AkalayantaH-688vAcaka-tAm Sabdasya-aDyavasyanti, te api vRdDA yadA
   bālā āsan, tadā te 'pyanayaiva diśā vyutpadyante sma /	bAlAH Asan, tadA te api-anayA-eva diSAH vyutpadyante sma /
   yebhyaśca vṛddhebhyaste vyutpattimalabhanta, te 'pyanayaiva diśā	yeByaH-ca vRdDeByaH-te vyutpattim-alaBanta, te api-anayA-eva diSA
   vyutpattimalabhanta, te 'pyanyebhyo vṛddhebhya iti, vināpi saṅketayitāraṃ	vyutpattim-alaBanta, te api-anyeByaH vRdDeByaH iti, vinA-api saFketayitAram
   puruṣam, upapadyata eva	puruzam, upapadyate eva
   śabdārthayoranādivṛ689ddhavyavahārasiddhassambandhaḥ690 /	Sabda-arTayoH-anAdi-vR689dDa-vyavahAra-sidDa-ssambanDaH690 /
   vṛddhavyavahārasyānāditvākṣepaḥ /	vRdDa-vyavahArasya-anAdi-tvAkzepaH /
   no khalvanāditaiva 691vṛddhavyavahāraparamparāyā upapattimatī /	no Kalu-anAditA-eva 691vRdDa-vyavahAra-paramparAyAH upapattimatI /
   tathā hi--- vidāṅkurvantu bhavantastanubhuvanādikaṃ sarvaṃ	taTA hi-- vidAFkurvantu BavantaH-tanu-Buvana-Adikam sarvam
   sāvayavamavasīyate /	sa-avayavam-avasIyate /
   yacca nāma sāvayavaṃ, tadavayavavyatiṣaṅgasamāsāditātmalābham692 /	yat-ca nAma sAvayavaM, tad-avayava-vyatizaFga-samAsAdita-AtmalABam692 /
   paśyāmo vayaṃ tantuvyatiṣaṅgasamāsāditātmalābhaṃ paṭam, kaṭañca	paSyAmaH vayam tantu-vyatizaFga-samAsAdita-Atma-lABam pawam, kawaQca
   vīṇāsaṃyogasampāditasattākaṃ sāvayavam /	vINA-saMyoga-sampAdita-sattAkam sa-avayavam /
   eṣā dik antyāvayavibhyo 'vatarantī ādvyaṇukamavatiṣṭhate /	ezA diS antya-avayaviByaH avatarantI AdvyaNukam-avatizWate /
   paramāṇvośca parasparasaṃyogo niyato 'nyatarakarmajaḥ, ubhayakarmajo	paramANvoH-ca paraspara-saMyogaH niyataH anyatara-karma-jaH, uBaya-karma-jaH-
   vābhyupagamanīyaḥ /	vA-aByupagamanIyaH /
   karma ca paramāṇuṣvadṛṣṭavatkṣetrajñasaṃyogāt pratijñāyate /	karma ca paramANuzu-adRzwa-vat-kzetrajQa-saMyogAt pratijQAyate /
