   praśnopaniṣad	praSna-upanizad
   oṃ bhadraṃ karṇebhiḥ śṛṇuyāma devā bhadraṃ paśyemākṣibhiryajatrāḥ /	om Badram karNeBiH SRNuyAma devAH Badram paSyema-akziBiH-yajatrAH /
   sthirairaṅgaistuṣṭuvāṃ sastanūbhirvyaśema devahitaṃ yadāyuḥ //	sTirEH-aFgEH-tuzwuvAm saH-tanUBiH-vyaSema deva-hitam yat-AyuH //
   oṃ śāntiḥ! śāntiḥ!! śāntiḥ!!!	om SAntiH! SAntiH!! SAntiH!!!
   svasti na indro vṛddhaśravāḥ svasti naḥ pūṣā viśvavedāḥ /	svasti naH indraH vRdDaSravAH svasti naH pUzA viSva-vedAH /
   svasti nastārkṣyo ariṣṭanemiḥ svasti no bṛhaspatirdadhātu //	svasti naH-tArkzyaH arizwanemiH svasti naH bRhaspatiH-daDAtu //
   oṃ śāntiḥ!śāntiḥ!!śāntiḥ!!!	om SAntiH!SAntiH!!-SAntiH!!!
   prathama praśnaḥ	praTama praSnaH
   mantroktasyārthasya vistarānuvādīdaṃ brāhmaṇamārabhyate /	mantra-uktasya-arTasya vistara-anuvAdi-idam brAhmaNam-AraByate /
   ṛṣipraśnaprativacanākhyāyikā tu vidyāstutaye /	Rzi-praSna-prativacana-AKyAyikA tu vidyA-stutaye /
   evaṃ saṃvatsarabrahmacaryasaṃvāsādiyuktairgrāhyā	evam saMvatsara-brahmacarya-saMvAsa-Adi-yuktEH-grAhyA
   pippalādādivatsarvajñakalpairācāryairvaktavyā ca, na sā yena kenaciditi	pippalAda-Adi-vat-sarvajQa-kalpEH-AcAryEH-vaktavyA ca, na sA yena kenacid-iti
   vidyāṃ stauti /	vidyAm stOti /
   brahmacaryādisādhanāsūcanācca tatkartavyatā syāt /	brahmacarya-Adi-sADanA-sUcanAt-ca tad-kartavyatA syAt /
   oṃ	om
   START PrUp 1.1	START PrUp 1.1
   sukeśā ca bhāradvājaḥ śaibyaś ca satyakāmaḥ sauryāyaṇī ca gārgyaḥ	su-keSA ca BAradvAjaH SEbyaH ca satyakAmaH sOryAyaNI ca gArgyaH
   kausalyaś cāśvalāyano bhārgavo vaidarbhiḥ kabandhī kātyāyanas te haite	kOsalyaH ca-aSvalAyanaH BArgavaH vEdarBiH kabanDI kAtyAyanaH te ha-ete
   brahmaparā brahmaniṣṭhā paraṃ brahmānveṣamāṇā eṣa ha vai tatsarvaṃ	brahma-parA brahma-nizWA param brahma-anvezamANAH eza ha vE tat-sarvam
   vakṣyatīti te ha samitpāṇayo bhagavantaṃ pippalādam upasannāḥ || PrUp_1.1	vakzyati-iti te ha samiD-pANayaH Bagavantam pippalAdam upasannAH || PrUp_1.1
   PrUpBh_1.1	PrUpB=-_1.1
   sukeśā ca nāmataḥ, bharadvājasyāpatyaṃ bhāradvājaḥ, śaibyaśca śiveḥ	su-keSA ca nAmataH, BaradvAjasya-apatyam BAradvAjaH, SEbyaH-ca SiveH
   apatyaṃ śaibyaḥ satyakāmo nāmataḥ;sauryāyaṇī sūryastasyāpatyaṃ sauryaḥ	apatyam SEbyaH satyakAmaH nAmataH;-sOryAyaNI sUryaH-tasya-apatyam sOryaH
   tasyāpatyaṃ sauryāyaṇiśachāndasaḥ sauryāyaṇīti, gārgyo gargagotrāpatyaṃ	tasya-apatyam sOryAyaNiSa-CAndasaH sOryAyaNi-iti, gArgyaH garga-gotra-apatyam
   bhargavo vaidarbhiḥ vidarbhe bhavaḥ;kabandhī nāmataḥ, katyasyāpasyaṃ	BargavaH vEdarBiH vidarBe BavaH;kabanDI nAmataH, kati-asya-apasyam
   kātyāyanaḥ, vidyamāna prapitāmaho yasya saḥ, yuvapratyayaḥ /	kAtyAyanaH, vidyamAna prapitAmahaH yasya saH, yuva-pratyayaH /
