   namaḥ sarvajñāya //	namaH sarvajQAya //
   praṇamya pūrvaṃ jagati pradhānaṃ duḥkhālayottīrṇam anantapāram* /	praNamya pUrvam jagati praDAnam duHKa-Alaya-uttIrNam ananta-pAram* /
   sarvajñaśikṣāpadaratnakośam udghāṭayāmy āryagaṇasya madhye // 1 //	sarvajQa-SikzA-pada-ratna-koSam udGAwayAmi Arya-gaNasya maDye // 1 //
   trailokyavikhyātayaśaḥpatākaṃ saddharmanādoditasiṃhanādam* /	trElokya-viKyAta-yaSaH-patAkam sat-Darma-nAda-udita-siMhanAdam* /
   sarvaṃ kaṣāsāditaratnakośaṃ brahmāṇḍacūḍāmaṇighṛṣṭapādam* // 2 //	sarvam kazAsAdita-ratna-koSam brahmANxa-cUxAmaNi-GRzwa-pAdam* // 2 //
   kṛtsnasyāgādhapārasya bauddhasya vinayodadheḥ /	kRtsnasya-agADa-pArasya bOdDasya vinaya-udaDeH /
   pratiṣṭhāhṛdayaṃ sāraṃ prātimokṣo 'yam ucyate // 3 //	pratizWA-hRdayam sAram prAtimokzaH ayam ucyate // 3 //
   eṣa saddharmarājasya saddharmālekhyasaṃgrahaḥ /	eza sadDarmarAjasya sat-Darma-AleKya-saMgrahaH /
   eṣa bhikṣuvaṇiggrāmaḥ śikṣāpaṇyamahāpaṇaḥ // 4 //	eza Bikzu-vaNiggrAmaH SikzA-paNya-mahA-paNaH // 4 //
   eṣa dauḥśīlyaduṣṭānāṃ viṣaviṣkambhaṇo 'gadaḥ /	eza dOHSIlya-duzwAnAm viza-vizkamBaNaH agadaH /
   eṣa yauvanavibhrāntakumāradvipadāṅkuśaḥ // 5 //	eza yOvana-viBrAnta-kumAra-dvipada-aFkuSaH // 5 //
   eṣa sāgaragambhīrasaṃsārottaraṇaplavaḥ /	eza sAgara-gamBIra-saMsAra-uttaraNa-plavaH /
   eṣa kleśajayo mārgo nṛpater agranāyakaḥ // 6 //	eza kleSa-jayaH mArgaH nRpateH agra-nAyakaH // 6 //
   eṣa mokṣapurārohe mūlasopānavat sthitaḥ /	eza mokza-pura-Arohe mUla-sopAna-vat sTitaH /
   nirvṛte mayi yuṣmākam eṣa śāstety abhiṣṭutaḥ // 7 //	nirvRte mayi yuzmAkam eza SAstA-iti aBizwutaH // 7 //
   svayaṃ + + + + + kṣumamakṣam caiva yatnataḥ /	svayam + + + + + kzumam-akzam ca-eva yatnatas /
   nihatākṣaḥ samantaḥ + + + + + + + + + //	nihata-akzaH samantaH + + + + + + + + + //
   + + + + + + + + + + naibhyaty adīkṣitaiḥ /	+ + + + + + + + + + na-EByati adIkzitEH /
   prātimokṣaḥ sadā rakṣo bhikṣubhir nirmumukṣubhiḥ //	prAtimokzaH sadA rakzaH BikzuBiH nirmumukzuBiH //
   jita pravṛtte 'py ahitāya + + + + + + + /	jita pravRtte api ahitAya + + + + + + + /
   kṛtopakāre 'py apakartumīhate + + + + + //	kRta-upakAre api apakartum-Ihate + + + + + //
   prātimokṣasya śravaṇaṃ durlabhaṃ kalpakoṭibhiḥ /	prAtimokzasya SravaNam durlaBam kalpa-kowiBiH /
   grahaṇaṃ dharaṇaṃ caivatipattiḥ sudurlabhā // 8 //	grahaNam DaraNam ca-evatipattiH su-durlaBA // 8 //
   buddhānāṃ sukham utpādaḥ sukhā dharmasya dhīṣaṇā	budDAnAm suKam utpAdaH suKAH Darmasya DIzaNA
