   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   evaṃ mayā śrutam ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhrakūte	evam mayA Srutam ekasmin samaye BagavAn rAjagRhe viharati sma gRDra kUte
   parvate mahatā bhikṣusaṃghena sārdhaṃ pañcamātrair bhikṣusahasraiḥ sarvair	parvate mahatA Bikzu saMGena sArDam paQca mAtrEH Bikzu sahasrEH sarvEH 
   arhadbhiḥ kṣīṇāsravair niḥkleśair vaśībhūtaiḥ suvimuktacittaiḥ	arhadBiH kzINa AsravEH niHkleSEH vaSIBUtEH su vimukta cittEH
   suvimuktaprajñair ājāneyair mahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyair	su vimukta prajQEH AjAneyEH mahA nAgEH kRtakRtyEH kRta karaNIyEH 
   apahṛtabhārair anuprāptasvakārthaiḥ parikṣīṇabhavasaṃyojanaiḥ	apahRta BArEH anuprApta svaka arTEH parikzINa Bava saMyojanEH
   samyagājñāsuvimuktacittaiḥ sarvacetovaśiparamapāramitāprāptaiḥ	samyak AjQA su vimukta cittEH sarva cetaH vaSi parama pAramitA prAptEH
   pañcamātrair bhikṣunīśatair upāsakair upāsikābhiś ca sārdhaṃ sarvair	paQca mAtrEH BikzunI SatEH upAsakEH upAsikABiH ca sArDam sarvEH 
   dṛṣṭadharmair aparimāṇaiś ca bodhisattvakoṭīniyutaśatasahasraiḥ sārdhaṃ	dRzwa DarmEH aparimANEH ca boDisattva kowI niyuta Sata sahasrEH sArDam
   sarvair dhāraṇīpratilabdhaiḥ śūnyatāvihāribhir ānimittagocaraiḥ	sarvEH DAraNI pratilabDEH SUnyatA vihAriBiH Animitta gocarEH
   praṇidhānākalpitaiḥ kṣāntisamatāpratilabdhair asaṅgadhāraṇīpratilabdhair	praNiDAna akalpitEH kzAnti samatA pratilabDEH asaFga DAraNI pratilabDEH 
   acyutābhijñair ādeyavacanair akūhakair alapakair apagatajñātralābhacittair	acyuta aBijQEH Adeya vacanEH akUhakEH alapakEH apagata jQAtra lABa cittEH 
   nirāmiṣadharmadeśakair gambhīradharmakṣāntipāraṅgatair vaiśāradyaprāptair	nirAmiza Darma deSakEH gamBIra Darma kzAnti pAraFgatEH vESAradya prAptEH 
   mārakarmasamatikrāntaiḥ karmāvaraṇapratiprasrabdhair	mAra karma samatikrAntEH karma AvaraNa pratiprasrabDEH 
   dharmapravicayavibhaktinirdeśakuśalair	Darma pravicaya viBakti nirdeSa kuSalEH 
   asaṃkhyeyakalpapraṇidhānasusamārabdhaiḥ smitamukhaiḥ pūrvālāpibhir	asaMKyeya kalpa praNiDAna su samArabDEH smita muKEH pUrva AlApiBiH 
   vigatabhṛkuṭīmukhair gāthābhir gītālapanakuśalair apagatalīnacittair	vigata BRkuwI muKEH gATABiH gIta Alapana kuSalEH apagata lIna cittEH 
   anācchedyapratibhānair anantaparṣadabhibhavanavaiśāradyasamanvāgatair	anAcCedya pratiBAnEH ananta parzad aBiBavana vESAradya samanvAgatEH 
   anantakalpakoṭīniḥsaraṇakuśalair	ananta kalpa kowI niHsaraNa kuSalEH 
   māyāmarīcidakacandrasvapnapratiśrutkāpratibhāsapratibimbanirmāṇopamadharmādhimuktaiḥ	mAyA marIci daka candra svapna pratiSrutka apratiBAsa pratibimba nirmANa upama Darma aDimuktEH
   sattvagaticaritasūkṣmanānādhimuktyavatārakuśalair apratihatacittair	sattva gati carita sUkzma nAnA aDimukti avatAra kuSalEH apratihata cittEH 
   adhimātrakṣāntisamanvāgatair yāthātmyāvatāraṇakuśalaiḥ	aDimAtra kzAnti samanvAgatEH yATAtmya avatAraNa kuSalEH
   sarvabuddhakṣetrānantavyūhapraṇidhānaprasthānaparigṛhītair	sarva budDa kzetra ananta vyUha praNiDAna prasTAna parigRhItEH 
   asaṃkhyeyalokadhātubuddhānusmṛtisamāhitasatatasamitābhimukhībhūtair	asaMKyeya loka DAtu budDa anusmRti samAhita satata samita aBimuKIBUtEH 
   aparimitabuddhādhyeṣaṇakuśalair	aparimita budDa aDyezaNa kuSalEH 
   nānādṛṣṭyanuśayaparyavasthānakleśapraśamanakuśalaiḥ	nAnA dRzwi anuSaya paryavasTAna kleSa praSamana kuSalEH
   samādhivikrīḍitaśatasahasranirhārakuśalaiḥ. tadyathā bhadrapālena ca	samADi vikrIxita Sata sahasra nirhAra kuSalEH. tat yaTA BadrapAlena ca
   bodhisattvena mahāsattvena ratnākareṇa ca sārthavāhena ca naradattena ca	boDisattvena mahAsattvena ratna AkareNa ca sArTavAhena ca naradattena ca
   varuṇadattena ca śubhaguptena ca (PvsP1 1: 2) indradattena ca uttaramatinā	varuNa dattena ca SuBaguptena ca (Pu sP1 1: 2) indradattena ca uttara matinA
   ca viśeṣamatinā ca vardhamānamatinā ca amoghadarśinā ca susaṃprasthitena	ca viSeza matinA ca varDamAna matinA ca amoGa darSinA ca su saMprasTitena
   ca suvikrāntavikrāmiṇā ca nityodyuktena ca anikṣiptadhūreṇa ca	ca su vikrAnta vikrAmiNA ca nitya udyuktena ca anikzipta DUreNa ca
   sūryagarbheṇa ca anupamacintinā ca avalokiteśvareṇa ca mahāsthāmaprāptena	sUrya garBeNa ca anupama cintinA ca avalokita ISvareNa ca mahA sTAma prAptena
   ca mañjuśriyā ca vajramatinā ca ratnamudrāhastena ca nityotkṣiptahastena	ca maQjuSriyA ca vajramatinA ca ratnamudrA hastena ca nitya utkzipta hastena
   ca maitreyeṇa ca bodhisattvena mahāsattvena, evaṃ pramukhair anekair	ca mEtreyeNa ca boDisattvena mahAsattvena, evam pramuKEH anekEH 
   bodhisattvakoṭīniyutaśatasahasraiḥ sārdham.	boDisattva kowI niyuta Sata sahasrEH sArDam.
