   Pañcaviṃśatisāhasrikā prajñāpāramitā	PaQcaviMSati sAhasrikA prajQApAramitA
   00101 namo bhagavadyai āryaprajñāpāramitāyai//	00101 namaH Bagavat yEH Arya prajQApAramitA AyE//
   00102 nirvikalpe namas tubhyaṃ prajñāpāramite 'mite/	00102 nirvikalpe namaH tuByam prajQApAramite amite/
   00103 yā tvaṃ sarvān avadyāṅgi niravadyair nirīkṣyase//	00103 yA tvam sarvAn avadya aFgi niravadyEH nirIkzyase//
   00104 ākāśam iva nirlepāṃ niṣprapañcāṃ nirakṣarām//	00104 AkASam iva nirlepAm nizprapaQcAm nirakzarAm//
   00105 yas tvāṃ paśyati bhāvena sa paśyati tathāgatam//	00105 yaH tvAm paSyati BAvena sa paSyati taTAgatam//
   00106 tava cāryaguṇādyāyā buddhasya ca jagadguroḥ/	00106 tava ca Arya guNa AdyAyAH budDasya ca jagadguroH/
   00107 na paśyanty antaraṃ santaś candracandrikayor iva//	00107 na paSyanti antaram santaH candra candrikayoH iva//
   00108 kṛpātmakāḥ prapadya tvāṃ buddhadharmapuraḥsarām/	00108 kRpA AtmakAH prapadya tvAm budDa Darma puraHsarAm/
   00109 sukhenāyānti māhātmām atulaṃ bhaktivatsale//	00109 suKena AyAnti mAhAtmAm atulam Bakti vatsale//
   00110 sakṛd apy āśaye śuddhe yas tvāṃ vidhivad īkṣate/	00110 sakRt api ASaye SudDe yaH tvAm viDivat Ikzate/
   00111 tenāpi niyataṃ siddhiḥ prāpyate 'moghadarśane//	00111 tena api niyatam sidDiH prApyate amoGa darSane//
   00201 sarveṣām api vīrāṇāṃ parārthe niyatātmanām/	00201 sarvezAm api vIrANAm para arTe niyata AtmanAm/
   00202 poṣikā janayitrī ca mātā tvam asi vatsalā//	00202 pozikA janayitrI ca mAtA tvam asi vatsalA//
   00203 yad buddhā lokaguravaḥ putrās tava kṛpālavaḥ/	00203 yat budDAH loka guravaH putrAH tava kRpAlavaH/
   00204 tena tvam asi kalyāṇi sarvasattvapitāmahī//	00204 tena tvam asi kalyANi sarva sattva pitAmahI//
   00205 sarvapāramitābhis tvaṃ nirmalābhir anindite/	00205 sarva pAramitABiH tvam nirmalABiH anindite/
   00206 candralekheva tārābhir anuyātāsi sarvadā//	00206 candra leKA iva tArABiH anuyAtA asi sarva dA//
   00207 vineyaṃ janamāsādya tatra tatra tathāgathaiḥ/	00207 vineyam janam AsAdya tatra tatra taTAgaTEH/
   00208 bahurūpā tvam evaikā nānānāmabhir īḍyase//	00208 bahu rUpA tvam eva ekAH nAnA nAmaBiH Ixyase//
   00209 prabhāṃ prāpyeva dīptāṃśor avaśyāyodabindavaḥ/	00209 praBAm prApya iva dIptAMSoH avaSyAya uda bindavaH/
