   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   śrīkaṇṭhācalamekhalāpariṇamatkumbhīndrabuddhyā	SrIkaNWa acala meKalA pariNamat kumBi indra budDyA
   radaprāntottambhitasaṃbhṛtābdagalitaiḥ śītair apāṃ śīkaraiḥ /	rada prAnta uttamBita saMBRta abda galitEH SItEH apAm SIkarEH /
   nirvāṇe madasaṃjvare pramuditas tenātapatraśriyaṃ tanvānena nirantaraṃ	nirvANe mada saMjvare pramuditaH tena Atapatra Sriyam tanvAnena nirantaram
   diśatu vaḥ śrīvighnarājo mudam // Rajni_M.1	diSatu vaH SrI viGnarAjaH mudam // Rajni_M.1
   karpūrakṣodagauraṃ dhṛtakapilajaṭaṃ trīkṣaṇaṃ candramauliṃ saudhaṃ kuṇḍaṃ	karpUra kzoda gOram DRta kapila jawam trIkzaNam candramOlim sODam kuNxam
   sudhāṃśuṃ varayutam abhayaṃ doścatuṣke dadhānam /	suDAMSum vara yutam aBayam dos catuzke daDAnam /
   vāmotsaṅge vahantaṃ vividhamaṇigaṇālaṅkṛtām ujjvalāṅgīṃ śarvāṇīṃ	vAma utsaFge vahantam viviDa maNi gaNa alaFkRtAm ujjvala aFgIm SarvANIm
   svānurūpāṃ tamaniśamamṛteśākhyam īśaṃ smarāmi // Rajni_M.2	sva anurUpAm tam aniSam amRteSa AKyam ISam smarAmi // Rajni_M.2
   śrīmanmaheśanalināsananirjarendrās tatrāśvināv atha tato tritanūdbhavaś ca	SrImat maheSa nalina Asana nirjara indrAH tatra aSvinO aTa tatas tri tanu udBavaH ca
   dhanvantariś carakasuśrutasūrimukhyās te 'py āyurāgamakṛtaḥ kṛtino jayantu	DanvantariH caraka suSruta sUri muKyAH te api AyuH Agama kRtaH kRtinaH jayantu
   // Rajni_M.3	// Rajni_M.3
   śambhuṃ praṇamya śirasā svagurūn upāsya pitroḥ padābjayugale praṇipatya	SamBum praNamya SirasA sva gurUn upAsya pitroH pada abja yugale praNipatya
   bhaktyā /	BaktyA /
   vighneśitāram adhigamya sarasvatīṃ ca prārambhi bhaiṣajahitāya	viGneSitAram aDigamya sarasvatIm ca prAramBi BEzaja hitAya
   nighaṇṭurājaḥ // Rajni_M.4	niGaNwu rAjaH // Rajni_M.4
   Rājanighaṇṭu, Granthaprastāvanā	RAjani GaNwu, GranTa prastAvanA
   dhanvantarīyamadanādihalāyudhādīn viśvaprakāśyamarakoṣasaśeṣarājau /	DanvantarIya madana Adi hala AyuDa AdIn viSva prakASi amara koza sa Seza rAjO /
   ālokya lokaviditāṃś ca vicintya śabdān dravyābhidhānagaṇasaṃgraha eṣa	Alokya loka viditAn ca vicintya SabdAn dravya aBiDAna gaNa saMgrahaH eza
   sṛṣṭaḥ // Rajni_Gpr.1	sRzwaH // Rajni_Gpr.1
   āyuḥśrutīnāmatulopakārakaṃ dhanvantarigranthamatānusārakam /	AyuH SrutInAm atula upakArakam Danvantari granTa mata anusArakam /
   ācakṣmahe lakṣaṇalakṣmadhārakaṃ nāmoccayaṃ sarvarujāpasārakam //	Acakzmahe lakzaNa lakzma DArakam nAma uccayam sarva rujA apasArakam //
   Rajni_Gpr.2	Rajni_Gpr.2
   nirdeśalakṣaṇaparīkṣaṇanirṇayena nānāvidhauṣadhavicāraparāyaṇo yaḥ /	nirdeSa lakzaNa parIkzaNa nirNayena nAnAviDa OzaDa vicAra parAyaNaH yaH /
   so 'dhītya yat sakalam enam avaiti sarvaṃ tasmād ayaṃ jayati	saH aDItya yat sakalam enam avEti sarvam tasmAt ayam jayati
   sarvanighaṇṭurājaḥ // Rajni_Gpr.3	sarva niGaNwu rAjaH // Rajni_Gpr.3
   nānāvidhauṣadhirasāhvayavīryapākaprastāvanistaraṇapaṇḍitacetano 'pi /	nAnAviDa ozaDi rasa Ahvaya vIrya pAka prastAva nistaraNa paNxita cetanaH api /
   muhyaty avaśyam anavekṣya nighaṇṭum enaṃ tasmād ayaṃ viracito bhiṣajāṃ	muhyati avaSyam anavekzya niGaNwum enam tasmAt ayam viracitaH BizajAm
   hitāya // Rajni_Gpr.4	hitAya // Rajni_Gpr.4
   nighaṇṭunā vinā vaidyo vidvān vyākaraṇaṃ vinā /	niGaNwunA vinA vEdyaH vidvAn vyAkaraNam vinA /
   anabhyāsena dhānuṣkas trayo hāsyasya bhājanam // Rajni_Gpr.5	anaByAsena DAnuzkaH trayaH hAsyasya BAjanam // Rajni_Gpr.5
   nānādeśaviśeṣabhāṣitavaśād yat saṃskṛtaprākṛtāpabhraṃśādikanāmni naiva	nAnA deSa viSeza BAzita vaSAt yat saMskRta prAkRta apaBraMSa Adika nAmni na eva
   gaṇanā dravyoccayavyāhṛtau /	gaNanA dravya uccaya vyAhRtO /
   tasmād atra tu yāvatāsty upakṛtis tāvan mayā gṛhyate pāthodaiḥ paripīyate	tasmAt atra tu yAvatA asti upakRtiH tAvat mayA gRhyate pATa udEH paripIyate
   kim akhilaṃ tad vāri vārāṃ nidheḥ // Rajni_Gpr.6	kim aKilam tat vAri vArAm niDeH // Rajni_Gpr.6
   ābhīragopālapulindatāpasāḥ pānthās tathānye 'pi ca vanyapāragāḥ /	ABIra gopAla pulinda tApasAH pAnTAH taTA anye api ca vanya pAragAH /
   parīkṣya tebhyo vividhoṣadhābhidhārasādilakṣmāṇi tataḥ prayojayet //	parIkzya teByaH viviDa uzaDa aBiDA rasa Adi lakzmANi tatas prayojayet //
   Rajni_Gpr.7	Rajni_Gpr.7
   nānābhidheyam atha yatra śivāsamaṅgāśyāmādināma nigameṣu niveśitaṃ yat /	nAnA aBiDeyam aTa yatra SivA samaFgA SyAmA Adi nAma nigamezu niveSitam yat /
   prastāvavīryarasayogavaśād amuṣya buddhyā vimṛśya bhiṣajāṃ ca dhṛtir	prastAva vIrya rasa yoga vaSAt amuzya budDyA vimRSya BizajAm ca DRtiH 
   vidheyā // Rajni_Gpr.8	viDeyAH // Rajni_Gpr.8
   nāmāni kvacid iha rūḍhitaḥ svabhāvāt deśyoktyā kvacana ca	nAmAni kvacid iha rUXitaH svaBAvAt deSya uktyA kvacana ca
   lāñchanopamābhyām /	lAQCana upamAByAm /
   vīryeṇa kvacid itarāhvayādideśāt dravyāṇāṃ dhruvam iti saptadhoditāni //	vIryeNa kvacid itara Ahvaya Adi deSAt dravyANAm Druvam iti saptaDA uditAni //
   Rajni_Gpr.9	Rajni_Gpr.9
   atrauṣadhīnivahanāmaguṇābhidhānaprastāvatas tadupayuktatayetarāṇi /	atra ozaDI nivaha nAma guNa aBiDAna prastAvataH tad upayukta tayA itarANi /
   kṣetrāvanīdharanadīnaratiryagādīn vyākhyāguṇair atisavistaram īritāni //	kzetra avanIDara nadI nara tiryak AdIn vyAKyA guNEH ati sa vistaram IritAni //
   Rajni_Gpr.10	Rajni_Gpr.10
   ekaḥ ko 'pi sacetasāṃ yadi mude kalpeta jalpe guṇas tatrānye 'pi	ekaH kaH api sacetasAm yadi mude kalpeta jalpe guNaH tatra anye api
   vinārthanāṃ bahumatiṃ santaḥ svayaṃ tanvate /	vinA arTanAm bahu matim santaH svayam tanvate /
   apy ārdrīkṛtaśailasānugaśilām āpīya cāndrīṃ sudhām ambhodhiḥ kumudair	api ArdrIkRta SEla sAnuga SilAm ApIya cAndrIm suDAm amBoDiH kumudEH 
   dṛśaś ca jagatāṃ nandanti kenārditāḥ // Rajni_Gpr.11	dRSaH ca jagatAm nandanti kena arditAH // Rajni_Gpr.11
   aprasiddhābhidhaṃ cātra yad auṣadham udīritam /	aprasidDa aBiDam ca atra yat OzaDam udIritam /
   tasyābhidhāvivekaḥ syād ekārthādinirūpaṇe // Rajni_Gpr.12	tasya aBiDA vivekaH syAt eka arTa Adi nirUpaNe // Rajni_Gpr.12
   rambhāśyāmādināmnā ye svargastrītaruṇīti ca /	ramBA SyAmA Adi nAmnA ye svarga strI taruNI iti ca /
   arthā nānārthatantroktās tyaktās te 'sminn apārthakāḥ // Rajni_Gpr.13	arTAH nAnA arTa tantra uktAH tyaktAH te asmin apArTakAH // Rajni_Gpr.13
   vyaktiḥ kṛtātra karṇāṭamahārāṣṭrīyabhāṣayā /	vyaktiH kRtA atra karNAwa mahArAzwrIya BAzayA /
   āndhralāṭādibhāṣās tu jñātavyās taddvayāśrayāḥ // Rajni_Gpr.14	AnDra lAwa Adi BAzAH tu jQAtavyAH tad dvaya ASrayAH // Rajni_Gpr.14
   etattrinetraguṇanīyaguṇānuviddhavarṇāḍhyavṛttasitamauktikavargasāram /	etat tri netra guNanIya guNa anuvidDa varNa AXya vRtta sita mOktika varga sAram /
   kaṇṭhe satāṃ sakalanivṛtidhāmanāmacintāmaṇiprakaradāma karotu kelim //	kaNWe satAm sakala nivRti DAmanAm a cintAmaNi prakara dAma karotu kelim //
   Rajni_Gpr.15	Rajni_Gpr.15
