   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   śrīrāmodantam |	SrI-rAmodantam |
        atha bālakāṇḍaḥ || RmUD_*1.a ||	aTa bAla-kANxaH || RmUD_*1.aH ||
   śrīpatiṃ praṇipatyāhaṃ $ śrīvatsāṅkitavakṣasam &	SrIpatim praNipatya-aham $ SrIvatsa-aFkita-vakzasam &
   śrīrāmodantam ākhyāsye % śrīvālmīkiprakīrtitam // RmUD_1*1.1 //	SrI-rAmodantam AKyAsye % SrIvAlmIki-prakIrtitam // RmUD_1*1.1 //
   purā viśravasaḥ putro $ rāvaṇo nāma rākṣasaḥ &	purA viSravasaH putraH $ rAvaNaH nAma rAkzasaH &
   āsīd asyānujau cāstāṃ % kumbhakarṇavibhīṣaṇau // RmUD_2*1.2 //	AsIt asya-anujO ca-AstAm % kumBakarNa-viBIzaNO // RmUD_2*1.2 //
   te tu tīvreṇa tapasā $ pratyakṣīkṛtya vedhasam &	te tu tIvreNa tapasA $ pratyakzIkRtya veDasam &
   vavrire ca varān iṣṭān % asmād āśritavatsalāt // RmUD_3*1.3 //	vavrire ca varAn izwAn % asmAt ASrita-vatsalAt // RmUD_3*1.3 //
   rāvaṇo mānuṣād anyair $ avadhyatvaṃ tathānujaḥ &	rAvaNaH mAnuzAt anyEH $ avaDya-tvam taTA-anujaH &
   nirdevatvecchayā nidrāṃ % kumbhakarṇo 'vṛṇīta ca // RmUD_4*1.4 //	nirdeva-tva-icCayA nidrAm % kumBakarNaH avRNIta ca // RmUD_4*1.4 //
   vibhīṣaṇo viṣṇubhaktiṃ $ vavre sattvaguṇānvitaḥ &	viBIzaNaH vizNu-Baktim $ vavre sattva-guNa-anvitaH &
   tebhya etān varān dattvā % tatraivāntardadhe prabhuḥ // RmUD_5*1.5 //	teByaH etAn varAn dattvA % tatra-eva-antardaDe praBuH // RmUD_5*1.5 //
   rāvaṇas tu tato gatvā $ raṇe jitvā dhanādhipam &	rAvaNaH tu tatas gatvA $ raNe jitvA DanADipam &
   laṅkāpurīṃ puṣpakaṃ ca % hṛtvā tatrāvasat sukham // RmUD_6*1.6 //	laFkA-purIm puzpakam ca % hRtvA tatra-avasat suKam // RmUD_6*1.6 //
   yātudhānās tataḥ sarve $ rasātalanivāsinaḥ &	yAtuDAnAH tatas sarve $ rasAtala-nivAsinaH &
   daśānanaṃ samāśritya % laṅkāyāṃ sukham āvasan // RmUD_7*1.7 //	daSAnanam samASritya % laFkAyAm suKam Avasan // RmUD_7*1.7 //
   mandodarīṃ mayasutāṃ $ pariṇīya daśānanaḥ &	mandodarIm maya-sutAm $ pariNIya daSAnanaH &
   tasyām utpādayām āsa % meghanādāhvayaṃ sutam // RmUD_8*1.8 //	tasyAm utpAdayAm Asa % meGanAda-Ahvayam sutam // RmUD_8*1.8 //
   rasāṃ rasātalaṃ caiva $ vijitya sa tu rāvaṇaḥ &	rasAm rasAtalam ca-eva $ vijitya sa tu rAvaNaH &
   lokān ākramayan sarvāñ % jahāra ca vilāsinīḥ // RmUD_9*1.9 //	lokAn Akramayan sarvAn % jahAra ca vilAsinIH // RmUD_9*1.9 //
   dūṣayan vaidikaṃ karma $ dvijān ardayati sma saḥ &	dUzayan vEdikam karma $ dvijAn ardayati sma saH &
   ātmajenānvito yuddhe % vāsavaṃ cāpy apīḍayat // RmUD_10*1.10 //	Atmajena-anvitaH yudDe % vAsavam ca-api apIxayat // RmUD_10*1.10 //
   tadīyataruratnāni $ punar ānāyya kiṅkaraiḥ &	tadIya-taru-ratnAni $ punar AnAyya kiFkarEH &
   sthāpayitvā tu laṅkāyām % avasac ca cirāya saḥ // RmUD_11*1.11 //	sTApayitvA tu laFkAyAm % avasat ca cirAya saH // RmUD_11*1.11 //
   tatas tasminn avasare $ vidhātāraṃ divaukasaḥ &	tatas tasmin avasare $ viDAtAram divOkasaH &
   upagamyocire sarvaṃ % rāvaṇasya viceṣṭitam // RmUD_12*1.12 //	upagamya-Ucire sarvam % rAvaNasya vicezwitam // RmUD_12*1.12 //
   tad ākarṇya suraiḥ sākaṃ $ prāpya dugdhodadhes taṭam &	tat AkarNya surEH sAkam $ prApya dugDa-udaDeH tawam &
   tuṣṭāva ca hṛṣīkeśaṃ % vidhātā vividhaiḥ stavaiḥ // RmUD_13*1.13 //	tuzwAva ca hRzIkeSam % viDAtA viviDEH stavEH // RmUD_13*1.13 //
   āvirbhūyātha daityāriḥ $ papraccha ca pitāmaham &	AvirBUya-aTa dEtyAriH $ papracCa ca pitAmaham &
   kim artham āgato 'si tvaṃ % sākaṃ devagaṇair iti // RmUD_14*1.14 //	kim arTam AgataH asi tvam % sAkam deva-gaNEH iti // RmUD_14*1.14 //
   tato daśānanāt pīḍām $ ajas tasmai nyavedayat &	tatas daSAnanAt pIxAm $ ajaH tasmE nyavedayat &
   tac chrutvovāca dhātāraṃ % harṣayan viṣṭaraśravāḥ // RmUD_15*1.15 //	tat SrutvA-uvAca DAtAram % harzayan vizwaraSravAH // RmUD_15*1.15 //
   alaṃ bhayenātmayone $ gaccha devagaṇaiḥ saha &	alam Bayena-Atmayone $ gacCa deva-gaNEH saha &
   ahaṃ dāśarathir bhūtvā % haniṣyāmi daśānanam // RmUD_16*1.16 //	aham dASaraTiH BUtvA % hanizyAmi daSAnanam // RmUD_16*1.16 //
   ātmāṃśaiś ca surāḥ sarve $ bhūmau vānararūpiṇaḥ &	Atma-aMSEH ca surAH sarve $ BUmO vAnara-rUpiNaH &
   jāyeran mama sāhāyyaṃ % kartuṃ rāvaṇanigrahe // RmUD_17*1.17 //	jAyeran mama sAhAyyam % kartum rAvaNa-nigrahe // RmUD_17*1.17 //
   evam uktvā vidhātāraṃ $ tatraivāntardadhe prabhuḥ &	evam uktvA viDAtAram $ tatra-eva-antardaDe praBuH &
   padmayonis tu gīrvāṇaiḥ % samaṃ prāyāt prahṛṣṭadhīḥ // RmUD_18*1.18 //	padmayoniH tu gIrvANEH % samam prAyAt prahRzwa-DIH // RmUD_18*1.18 //
   ajījanat tataḥ śakro $ vālinaṃ nāma vānaram &	ajIjanat tatas SakraH $ vAlinam nAma vAnaram &
   sugrīvam api mārtāṇḍo % hanumantaṃ ca mārutaḥ // RmUD_19*1.19 //	sugrIvam api mArtANxaH % hanumantam ca mArutaH // RmUD_19*1.19 //
   puraiva janayām āsa $ jāmbavantaṃ ca padmajaḥ &	purA-eva janayAm Asa $ jAmbavantam ca padmajaH &
   evam anye ca vibudhāḥ % kapīn ajanayan bahūn // RmUD_20*1.20 //	evam anye ca vibuDAH % kapIn ajanayan bahUn // RmUD_20*1.20 //
   tato vānarasaṃghānāṃ $ vālī parivṛḍho 'bhavat &	tatas vAnara-saMGAnAm $ vAlI parivRXaH aBavat &
   amībhir akhilaiḥ sākaṃ % kiṣkindhām adhyuvāsa ca // RmUD_21*1.21 //	amIBiH aKilEH sAkam % kizkinDAm aDyuvAsa ca // RmUD_21*1.21 //
   āsīd daśaratho nāma $ sūryavaṃśe 'tha pārthivaḥ &	AsIt daSaraTaH nAma $ sUrya-vaMSe aTa pArTivaH &
   bhāryās tisro 'pi labdhvāsau % tāsu lebhe na saṃtatim // RmUD_22*1.22 //	BAryAH tisraH api labDvA-asO % tAsu leBe na saMtatim // RmUD_22*1.22 //
   tataḥ sumantravacanād $ ṛṣyaśṛṅgaṃ sa bhūpatiḥ &	tatas sumantra-vacanAt $ RzyaSRFgam sa BUpatiH &
   ānīya putrakāmeṣṭim % ārebhe sapurohitaḥ // RmUD_23*1.23 //	AnIya putrakAma-izwim % AreBe sa-purohitaH // RmUD_23*1.23 //
   athāgner utthitaḥ kaś cid $ gṛhītvā pāyasaṃ carum &	aTa-agneH utTitaH kaH cit $ gRhItvA pAyasam carum &
