   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   Prathamaḥ paṭalaḥ	PraTamaH pawalaH
   yasmin sarvaṃ yataḥ sarvaṃ $ yaḥ sarvaṃ sarvataśca yaḥ &	yasmin sarvam yatas sarvam $ yaH sarvam sarvatas-ca yaH &
   yaśca sarvamayo nityaṃ % tasmai sarvātmane namaḥ // Ras_1.1 //	yaH-ca sarva-mayaH nityam % tasmE sarva-Atmane namaH // RaH-_1.1 //
   kailāsaśikhare ramye $ nānāratnavibhūṣite &	kElAsa-SiKare ramye $ nAnA-ratna-viBUzite &
   nānādrumalatākīrṇe % guptasambandhavarjite // Ras_1.2 //	nAnA-druma-latA-AkIrNe % gupta-sambanDa-varjite // RaH-_1.2 //
   devadevaṃ sukhāsīnaṃ $ nīlakaṇṭhaṃ trilocanam &	devadevam suKa-AsInam $ nIlakaNWam trilocanam &
   praṇamya śirasā devī % pārvatī paripṛcchati // Ras_1.3 //	praNamya SirasA devI % pArvatI paripRcCati // RaH-_1.3 //
   śrīdevyuvāca	SrI-devI-uvAca
   devadeva mahādeva $ kāla kāmāṅgadāhaka &	devadeva mahAdeva $ kAla kAmAFga-dAhaka &
   kulakaulamahākaula- % siddhakaulādināśana // Ras_1.4 //	kula-kOla-mahA-kOla % sidDa-kOla-Adi-nASanaH // RaH-_1.4 //
   tvatprasādācchrutaṃ sarvam $ aśeṣamavadhāritam &	tvad-prasAdAt-Srutam sarvam $ aSezam-avaDAritam &
   yadi te 'ham anugrāhyā % yadyahaṃ tava vallabhā // Ras_1.5 //	yadi te aham anugrAhyA % yadi-aham tava vallaBAH // RaH-_1.5 //
   sūcitā sarvatantreṣu $ yā punarna prakāśitā &	sUcitA sarva-tantrezu $ yA punar-na prakASitA &
   jīvanmuktiriyaṃ nātha % kīdṛśī vaktumarhasi // Ras_1.6 //	jIvanmuktiH-iyam nATa % kIdRSI vaktum-arhasi // RaH-_1.6 //
   śrībhairava uvāca	SrI-BEravaH uvAca
   sādhu sādhu mahābhāge $ sādhu parvatanandini &	sADu sADu mahABAge $ sADu parvata-nandini &
   sādhu pṛṣṭaṃ tvayā devi % bhaktānāṃ hitakāmyayā // Ras_1.7 //	sADu pRzwam tvayA devi % BaktAnAm hita-kAmyayA // RaH-_1.7 //
   ajarāmaradehasya $ śivatādātmyavedanam &	ajara-amara-dehasya $ Siva-tAdAtmya-vedanam &
   jīvanmuktirmahādevi % devānāmapi durlabhā // Ras_1.8 //	jIvanmuktiH-mahAdevi % devAnAm-api durlaBAH // RaH-_1.8 //
   piṇḍapāte ca yo mokṣaḥ $ sa ca mokṣo nirarthakaḥ &	piNxa-pAte ca yaH mokzaH $ sa ca mokzaH nirarTakaH &
   piṇḍe tu patite devi % gardabho 'pi vimucyate // Ras_1.9 //	piNxe tu patite devi % gardaBaH api vimucyate // RaH-_1.9 //
   yadi muktirbhagakṣobhe $ kiṃ na muñcanti gardabhāḥ &	yadi muktiH-Baga-kzoBe $ kim na muQcanti gardaBAH &
   ajāśca vṛṣabhāścaiva % kiṃna muktā gaṇāmbike // Ras_1.10 //	ajAH-ca vRzaBAH-ca-eva % kiMna muktA gaNa-ambike // RaH-_1.10 //
   tasmāt saṃrakṣayet piṇḍaṃ $ rasaiścaiva rasāyanaiḥ &	tasmAt saMrakzayet piNxam $ rasEH-ca-eva rasAyanEH &
   śukramūtrapurīṣāṇāṃ % yadi muktirniṣevaṇāt // Ras_1.11 //	Sukra-mUtra-purIzANAm % yadi muktiH-nizevaNAt // RaH-_1.11 //
   kiṃna muktā mahādevi $ śvānaśūkarajātayaḥ &	kiMna muktAH mahAdevi $ SvAna-SUkara-jAtayaH &
   ṣaḍdarśane 'pi muktistu % darśitā piṇḍapātane // Ras_1.12 //	zaz-darSane api muktiH-tu % darSitA piNxa-pAtane // RaH-_1.12 //
   karāmalakavat sāpi $ pratyakṣaṃ nopalabhyate &	kara-Amalaka-vat sA-api $ pratyakzam na-upalaByate &
   akathyamapi deveśi % sadbhāvaṃ kathayāmi te // Ras_1.13 //	akaTyam-api deveSi % sadBAvam kaTayAmi te // RaH-_1.13 //
   śūnyapāpo mantrayājī $ na piṇḍaṃ dhārayet kvacit &	SUnya-pApaH mantra-yAjI $ na piNxam DArayet kvacid &
   devānāmapi deveśi % durlabhaṃ piṇḍadhāraṇam // Ras_1.14 //	devAnAm-api deveSi % durlaBam piNxa-DAraNam // RaH-_1.14 //
   kiṃ punarmānuṣāṇāṃ tu $ dharaṇītalavāsinām &	kim punar-mAnuzANAm tu $ DaraNI-tala-vAsinAm &
   dharme naṣṭe kuto dharmaḥ % dharme naṣṭe kutaḥ kriyā // Ras_1.15 //	Darme nazwe kutas DarmaH % Darme nazwe kutas kriyA // RaH-_1.15 //
   kriyānaṣṭe kuto yogaḥ $ yoge naṣṭe kuto gatiḥ &	kriyA-nazwe kutas yogaH $ yoge nazwe kutas gatiH &
   gatinaṣṭe kuto mokṣo % mokṣe naṣṭe na kiṃcana // Ras_1.16 //	gati-nazwe kutas mokzaH % mokze nazwe na kiMcana // RaH-_1.16 //
   śrīdevyuvāca	SrI-devI-uvAca
   jīvanmuktisvarūpaṃ tu $ devadeva śrutaṃ mayā &	jIvanmukti-svarUpam tu $ devadeva Srutam mayA &
   tatpratyupāyaṃ me brūhi % yadyasti karuṇā mayi // Ras_1.17 //	tat-pratyupAyam me brUhi % yadi-asti karuNA mayi // RaH-_1.17 //
   śrībhairava uvāca	SrI-BEravaH uvAca
   karmayogena deveśi $ prāpyate piṇḍadhāraṇam &	karma-yogena deveSi $ prApyate piNxa-DAraNam &
   rasaśca pavanaśceti % karmayogo dvidhā mataḥ // Ras_1.18 //	rasaH-ca pavanaH-ca-iti % karma-yogaH dviDA mataH // RaH-_1.18 //
   mūrchito harati vyādhiṃ $ mṛto jīvayati svayam &	mUrCitaH harati vyADim $ mRtaH jIvayati svayam &
   baddhaḥ khecaratāṃ kuryāt % raso vāyuśca bhairavi // Ras_1.19 //	badDaH KecaratAm kuryAt % rasaH vAyuH-ca BEravi // RaH-_1.19 //
   jñānānmokṣaḥ sureśāni $ jñānaṃ pavanadhāraṇāt &	jQAnAt-mokzaH sureSAni $ jQAnam pavana-DAraNAt &
   tatra devi sthiraṃ piṇḍaṃ % yatra sthairye rasaḥ prabhuḥ // Ras_1.20 //	tatra devi sTiram piNxam % yatra sTErye rasaH praBuH // RaH-_1.20 //
   acirājjāyate devi $ śarīram ajarāmaram &	acirAt-jAyate devi $ SarIram ajara-amaram &
   manasaśca yathā dhyānaṃ % rasayogādavāpyate // Ras_1.21 //	manasaH-ca yaTA DyAnam % rasa-yogAt-avApyate // RaH-_1.21 //
   satyaṃ sa labhate devi $ jñānaṃ vijñānapūrvakam &	satyam sa laBate devi $ jQAnam vijQAna-pUrvakam &
   tasya mantrāśca sidhyanti % yo 'śnāti mṛtasūtakam // Ras_1.22 //	tasya mantrAH-ca siDyanti % yaH aSnAti mRta-sUtakam // RaH-_1.22 //
   yāvanna śaktipātastu $ na yāvat pāśakṛntanam &	yAvat-na SaktipAtaH-tu $ na yAvat pASa-kRntanam &
   tāvattasya kuto buddhiḥ % jāyate mṛtasūtake // Ras_1.23 //	tAvat-tasya kutas budDiH % jAyate mRta-sUtake // RaH-_1.23 //
   madyamāṃsaratā nityaṃ $ bhagaliṅgeṣu ye ratāḥ &	madya-mAMsa-ratAH nityam $ Baga-liFgezu ye ratAH &
   teṣāṃ vinaṣṭabuddhīnāṃ % rasajñānaṃ sudurlabham // Ras_1.24 //	tezAm vinazwa-budDInAm % rasa-jQAnam su-durlaBam // RaH-_1.24 //
   kulaśāsanahīnānāṃ $ saddarśanam akāṅkṣiṇām &	kula-SAsana-hInAnAm $ sat-darSanam akAFkziNAm &
