   prathamas+sargas+	praTama-s+sarga-s+
   atha mālyavatas+prasthe kākutsthasya viyoginaḥ &	aTa mAlyavata-s+prasTe kAkutsTasya viyoginaH &
   durnivārāśrusaṃvegas+jagāma jaladāgamaḥ // Rc_1.1 //	durnivAra-aSru-saMvega-s+jagAma jalada-AgamaH // Rt-_1.1 //
   śaśāma vṛṣṭis+meghānām+utsaṅge tasya bhūbhṛtaḥ &	SaSAma vRzwi-s+meGAnAm-+utsaFge tasya BUBRtaH &
   virarāma na rāmasya dhārāsantatis+aśruṇaḥ // Rc_1.2 //	virarAma na rAmasya DArA-santatis+aSruNaH // Rt-_1.2 //
   itas+tatas+pariṇatim+bheje barhiṇakūjitam &	itas+tatas+-pariNatim+Beje barhiNa-kUjitam &
   hā priye rājaputri+iti na rāmaparidevitam // Rc_1.3 //	hA priye rAja-putri+-iti na rAma-paridevitam // Rt-_1.3 //
   kā+api+abhikhyā virajasos+sūryācandramasos+abhūt &	kA+api-+aBiKyA virajasos+-sUryAcandramasos+aBUt &
   dāśarathyos+tathā+eva+āsīt+ayogopahatā ruciḥ // Rc_1.4 //	dASaraTyos+taTA-+eva+AsIt+a-yoga-upahatA ruciH // Rt-_1.4 //
   nirmalendu nabhas+reje vikacābjam+babhau saraḥ &	nirmala-indu naBas+reje vikaca-abjam+baBO saraH &
   param+paryaśruvadanau mamlaturbhrātarāvubhau // Rc_1.5 //	param+paryaSru-vadanO mamlatuH-BrAtarO=-uBO // Rt-_1.5 //
   smartavyakalikājālam+jajñe kuṭajakānanam &	smartavya-kalikA-jAlam-+jajQe kuwaja-kAnanam &
   āsīt+tathā+eva tu manas+rāmasya+utkalikākulam // Rc_1.6 //	AsIt+-taTA+A-iva tu manas+rAmasya+utkalikA-Akulam // Rt-_1.6 //
   prapede punar+udbhedas+śucinā kacchaketakaiḥ &	prapede punar-+udBedas+-SucinA kacCaketakEH &
   upakriyāyās+sadṛśam+na+ārebhe ravisūnunā // Rc_1.7 //	upakriyAyAs+-sadRSa-m+na+A-AreBe ravi-sUnunA // Rt-_1.7 //
   ākṛṣṭamālatīgandhas+siṣeve rāghavam+marut &	AkRzwa-mAlatI-ganDa-s+sizeve rAGavam+marut &
   ānītamaithilīvārtas+tam+ārtam+na tu mārutiḥ // Rc_1.8 //	AnIta-mETilI-va-Arta-s+tam+A-Arta-m+na tu mArutiH // Rt-_1.8 //
   rāmāya pūrāpagamavyaktoddeśās+cakāśire &	rAmAya pUrApa-gama-vyakta-uddeSa-as+cakASire &
   āste+asmāsu na sītā+iti śaṃsantyas+iva nimnagāḥ // Rc_1.9 //	Aste+asmAsu na sItA+-iti SaMsanti-as+iva nimnagAH // Rt-_1.9 //
   yadārdravirahas+rāmas+prāpitas+prāṇasaṃśayam &	yadArdra-viraha-s+rAmas+-prApita-s+prANa-saMSayam &
   nūnam+tena+anutāpena jagmus+jaladarājayaḥ // Rc_1.10 //	nUnam+tena-+anutApena jagmu-s+jalada-rAjayaH // Rt-_1.10 //
   dyaus+muktameghāvaraṇā savitarkonmukham+muhuḥ &	dyOs+mukta-meGa-AvaraNA sa-vitarka-unmuKam-+muhur &
   yayāce sārasarutais+vicāram+iva rāghavam // Rc_1.11 //	yayAce sArasa-rutA-es+vicAram-+iva rAGavam // Rt-_1.11 //
   diśas+dadṛśire tena stenam+tam+parimārgatā &	diSas+da-dRSire tena stena-m+tam+parimArga-tA &
   mārgadānāparādhinyas+gatās+dūram+bhayāt+iva // Rc_1.12 //	mArgadAna-aparADinyas+gata-as+-dUram-+BayAt+iva // Rt-_1.12 //
   tasya+ākṛtiviśeṣasya viśeṣāt+kaṣṭam+īdṛśam &	tasya+A-AkRti-viSezasya viSeza-at+kazwam+IdRSam &
   kacchās+kāśacchalāt+ūhus+iti+iva palitāgamam // Rc_1.13 //	kacCAs+kA-Sa=-CalAt+Uhu-s+iti+-iva palita-Agamam // Rt-_1.13 //
   paśyantyās+iva kaṣṭām+tām+avasthām+maithilīpateḥ &	paSyanti-As+iva kazwAm+-tAm+avasTAm-+mETilIpateH &
   śuṣkapaṅkacayavyājāt+vidadre hṛdayam+bhuvaḥ // Rc_1.14 //	Suzka-paFka-caya-vyAjAt+vidadre hRdayam-+BuvaH // Rt-_1.14 //
   vṛṣṭivicchedajātena tānavena+asamāptinā &	vRzwi-vicCeda-jAtena tAnavena+a-samAptinA &
   prapedire jaladharās+tasya sabrahmacāritām // Rc_1.15 //	prapedire jalaDara-As+tasya sa-brahmacAritAm // Rt-_1.15 //
   yayau virahasaṃvartas+padminīrājahaṃsayoḥ &	yayO viraha-saMvartas+-padminI-rAjahaMsayoH &
   apāraduḥkhārṇavayos+na sītārāmabhadrayoḥ // Rc_1.16 //	apAra-duHKa-arNava-yos+na sItArAm-aBadrayoH // Rt-_1.16 //
   śāntanirjharajhātkāradhārās+śikhariṇas+babhuḥ &	SAnta-nirJara-JAtkAra-DArAs+-SiKariNa-s+baBuH &
   rāmasya viśadālāpaśuśrūṣānibhṛtās+iva // Rc_1.17 //	rAmasya viSada-AlApa-SuSrUzA-niBRta-As+ivaH // Rt-_1.17 //
   tasya cakrus+camatkāram+vyatītasamayās+api &	tasya cakru-s+camatkAram-+vyatIta-samayAs+api &
   smitābhamukulodbhedās+kadambavanarājayaḥ // Rc_1.18 //	smita-ABa-mukula-udBeda-as+-kadamba-vana-rAjayaH // Rt-_1.18 //
   adṛśyanta puras+tena khelās+khañjanapaṅktayaḥ &	adRSyanta puras+tena KelA-s+KaQjana-paFktayaH &
   asmaryanta ca niśvasya priyānayanavibhramāḥ // Rc_1.19 //	asmaryanta ca niSvasya priya-Anayana-viBramAH // Rt-_1.19 //
   abravīt+atha kālajñas+tatkālapratipattaye &	abravIt-+aTa kAla-jQas+-tad-kAla-pratipattaye &
   praṇamya lakṣmaṇas+rāmam+rāmāvirahaniḥsaham // Rc_1.20 //	praNamya lakzmaNa-s+rAmam-+rAmA-viraha-niHsaham // Rt-_1.20 //
   jātam+vibhātam+amalam+paśya prāvṛṇṇiśā gatā &	jAtam-+viBAtam-+amalam-+paSya prAvRNNiSA gatAH &
   utsāhakamalasya+ayam+vikāsāvasaras+tava // Rc_1.21 //	utsAha-kamalasya+ayam-+vikAsa-avasara-s+tavaH // Rt-_1.21 //
   ucchrayam+tīrataravas+raves+ūrjam+abhīṣavaḥ &	ucCraya-m+tIratara-vas+raves+Urjam-+aBIzavaH &
   madam+gopatayas+gṛhṇanti+abhiyogam+jigīṣavaḥ // Rc_1.22 //	madam+gopatayas+-gRhNanti-+aBiyogam+jigIzavaH // Rt-_1.22 //
   prasīda dīyatām+karṇas+kūjadbhis+kurarais+amī &	prasIda dIyatAm-+karNa-s+kUjadBis+kura-rEs+amI &
   prārthayanti+iva saṃcāram+taṭās+kardamadurgatāḥ // Rc_1.23 //	prArTayanti+-iva saMcAram-+tawAs+-kardama-durgatAH // Rt-_1.23 //
   bhuvi bhāsvadabhīṣūṇām+tvadiṣūṇām+ca śatruṣu &	Buvi BAsvat-aBIzUNAm+tu-adizUNAm-+ca Satruzu &
   ayam+sampatitum+kālas+sa duṣkālas+ativāhitaḥ // Rc_1.24 //	ayam+-sampatitum-+kAlas+sa duzkAla-s+ativAhitaH // Rt-_1.24 //
   sudūronnataparyantās+tīryante saṃkramais+iva &	su-dUra-unnata-paryanta-as+tIryante saMkrama-es+ivaH &
   analpagādhās+saritas+tarubhis+pūrapātitaiḥ // Rc_1.25 //	analpagADAs+-sarita-s+taruBi-s+pUra-pAtitEH // Rt-_1.25 //
   āviṣkṛtaviśuddhibhyām+nadyas+sumahilās+iva &	AvizkRta-viSudDiByAm-+nadyas+-su-mahilAs+iva &
   kulābhyām+iva kūlābhyām+āpatsu+api cakāsati // Rc_1.26 //	kulAByAm-+iva kUlAByAm-+Apatsu+api cakAsati // Rt-_1.26 //
   jalajānām+sumanasām+vayasām+jalasevinām &	jala-jAnAm-+su-manasA-am+vayasAm+jala-sevinAm &
   asya pratijalādhāram+sāmagryam+avalokyate // Rc_1.27 //	asya pratijala-ADAram-+sAm-agryam-+avalokyate // Rt-_1.27 //
   yuyutsārabhasotkhātasaritkhātakarodhasaḥ &	yuyutsAraBasa-utKAta-sarit-KAtaka-roDasaH &
   kukudmantas+madakalās+kalayanti jaganti+adhaḥ // Rc_1.28 //	kukudmanta-s+mada-kalAs+kalayanti jaganti-+aDas // Rt-_1.28 //
   viśveśa kuru viśvāsam+āvartante na te ghanāḥ &	viSveSa kuru viSvAsam-+a-Avartante na te GanAH &
   amī śyāmalayanti+āśās+śukās+śālivanonmukhāḥ // Rc_1.29 //	amI SyAmalayanti+ASAs+-SukAs+-SAli-vana-unmuKAH // Rt-_1.29 //
   mṛgās+samprati śāleyam+sampannam+sampatanti+amī &	mRgAs+-samprati SAleyam-+sampannam-+sampatanti-+amI &
   sāketam+adhitiṣṭhantam+arthinas+tvām+iva+unmukhāḥ // Rc_1.30 //	sa-aketam+aDitizWantam-+arTina-s+tvAm+i-va+unmuKAH // Rt-_1.30 //
   kāryadik+gṛhyatām+kā+api kim+ārya sthīyate vṛthā &	kArya-dik+gRhya-tAm+kA+-api kim-+Arya sTIyate vRTA &
   evam+eva+ayam+asmākam+iṣṭas+api kim+upaiṣyati // Rc_1.31 //	evam-+eva-+ayam-+asmAkam-+izwa-s+api kim-+upEzyati // Rt-_1.31 //
   vijayāya bhavāsīnas+mayi+arpitavapurbharaḥ &	vijayAya Bava-AsInas+mayi-+arpita-vapuH-BaraH &
   mūrcchānuvalanavyastas+prastaras+tyajyatām+ayam // Rc_1.32 //	mUrcCA-anuvalana-vyastas+prastara-s+tyajyatAm-+ayam // Rt-_1.32 //
   pratīṣṭopatyakāsāladalāgrajalabindavaḥ &	pratIzwa-upatya-kAsa-Ala-dala-agra-jala-bindavaH &
   sāryantām+kṣaṇam+uddhūya sthagitāṃsataṭās+jaṭāḥ // Rc_1.33 //	sAryantAm+kzaNam-+udDUya sTagita-aMsa-tawa-as+-jawAH // Rt-_1.33 //
   muhūrtam+kriyatām+ārya kapolavirahī karaḥ &	muhUrtam-+kriyatAm-+Arya kapola-virahI karaH &
   vyuṣitas+valkalagranthis+aṃsāt+unmocyatām+ayam // Rc_1.34 //	vyuzita-s+valkala-granTi-s+aMsAt+-unmocya-tAm-+ayam // Rt-_1.34 //
   itas+vitatya dīyantām+iṣavas+klinnayantraṇāḥ &	itas+vitatya dIyantAm+iza-vas+-klinna-yantraNAH &
   nirmuktārdrajaraccailam+ādattām+āyatam+dhanuḥ // Rc_1.35 //	nirmukta-Ardra-jarat-cElam+a-adattAm-+Ayatam-+DanuH // Rt-_1.35 //
   itas+avatīryatām+prāsthāt+asvāsthyam+idam+ujjhyatām &	itas+avatIrya-tAm+prAsTAt+a-sva-asTyam-+idam-+ujJyatAm &
   jahi+iṣubhis+daśagrīvam+daśadigvedhaśodhitaiḥ // Rc_1.36 //	jahi-+izuBi-s+da-SagrIva-m+daSadi-gveDa-SoDitEH // Rt-_1.36 //
   ṛjus+ādīyatām+panthās+kāryakanthā garīyasī &	Rju-s+AdIyatAm-+panTa-As+kArya-kanTA garIyasI &
   utsāryatām+idam+dūram+tamas+kiṃkāryatāmayam // Rc_1.37 //	utsAryatAm-+idam-+dUram-+tamas+-kiMkArya-tAm-ayam // Rt-_1.37 //
   āryāyās+śivam+eva+asti śatrus+nihatas+eva te &	Arya-AyAs+Sivam-+eva+asti Satru-s+nihata-s+A-iva te &
   alam+dattvā+avasādāya trailokyaśaraṇam+vapuḥ // Rc_1.38 //	alam-+dattva-a+avasAdAya trElokya-SaraNam-+vapuH // Rt-_1.38 //
   rākṣasāpaśadas+kas+asau tvayi sajyaśarāsane &	rAkzasa-apaSat-as+kas+asO tvayi sajya-Sara-Asane &
   anena te+avasādena dūram+āropitas+punaḥ // Rc_1.39 //	anena te+avasAdena dUram-+Aropita-s+punar // Rt-_1.39 //
   aśruvegais+pramīlābhis+vilāpais+akhilas+sa te &	aSru-vega-es+pramIlA-aBis+vilApa-es+aKila-s+sa te &
   āmṛṣṭadehayātrasya māsas+prauṣṭhapadas+gataḥ // Rc_1.40 //	AmRzwa-deha-yAtrasya mAsa-s+prOzWapada-s+gataH // Rt-_1.40 //
   kriyatām+adhunā+utsāhas+cintyatām+nidhanam+dviṣaḥ &	kriyatAm-+aDunA+-utsAhas+cintya-tAm+niDanam+dvizaH &
   kas+svabāhusahāyānām+mahatām+ātmanigrahaḥ // Rc_1.41 //	kas+-sva-bAhu-sahAyAnAm-+mahatAm+a-Atma-nigrahaH // Rt-_1.41 //
   bhadram+bhādrapadacchedacchinnābhrājinarajjave &	Badram+BAdrapada=-Ceda=-Cinna-aBra-ajina-rajjave &
   tubhyam+puruṣanāgāya nirvighnatarase+adhunā // Rc_1.42 //	tuByam-+puruza-nAgAya nirviGnatarase+aDunA // Rt-_1.42 //
   prasīda kuru bhūyas+api dehayātrām+yathā tathā &	prasIda kuru BUyas+api deha-yAtrAm-+yaTA taTA &
   anullaṅghitavijñaptis+lakṣmaṇas+avarajeṣu te // Rc_1.43 //	anullaFGita-vijQapti-s+lakzmaNa-s+avara-jezu te // Rt-_1.43 //
   agādham+dhairyam+āryasya triṣu lokeṣu gīyate &	agADam+DEH-yam+A-Aryasya trizu lokezu gIyate &
   janamātrocitas+kas+ayam+ākalpakaparigrahaḥ // Rc_1.44 //	jana-mAtra-ucita-s+ka-s+ayam+A-kalpaka-parigrahaH // Rt-_1.44 //
   aropaśamitodagrajāmadagnyāgnitejasaḥ &	ara-upaSamita-udagra-jAmadagnya-agni-tejasaH &
   pratīcchati śarāsāram+tava+ārya ruṣitasya kaḥ // Rc_1.45 //	pratIcCati SarAsAram-+tava-+Arya ruzitasya kaH // Rt-_1.45 //
   svakṛtyabhārasannyāsī yāvat+ittham+viṣīdasi &	sva-kRtya-BAra-sannyAsI yAvat-+itTam-+vizIdasi &
   tāvat+antakadaṃṣṭrāṇām+arātis+atithis+na te // Rc_1.46 //	tAvat-+antaka-daMzwrANAm-+arAti-s+atiTi-s+na te // Rt-_1.46 //
   ātatāyī sa vijñātas+jīvati+āryā+iti ca śrutam &	AtatAyI sa vijQAta-s+jIvati+AryA+-iti ca Srutam &
   prāptas+yātrāsahas+kālas+kālakṣepasya kas+guṇaḥ // Rc_1.47 //	prApta-s+yAtrA-sahas+-kAla-s+kAla-kzepasya kas+guNaH // Rt-_1.47 //
   na jñāyate param+vyaktam+ares+māyāvinas+padam &	na jQAyate param+-vyaktam+ares+-mAyA-vinas+padam &
   tanmārgaṇam+ca suhṛdā sugrīveṇa pratiśrutam // Rc_1.48 //	tad-mArgaNam-+ca suhRdA sugrIveNa pratiSrutam // Rt-_1.48 //
   diṅmukhāhūtavikhyātakapiyūthas+kapīśvaraḥ &	diFmuKa-AhUta-viKyAta-kapi-yUTa-s+kapi-ISvaraH &
   kṣaṇāt+nūnam+asau+āryapādamūle patiṣyati // Rc_1.49 //	kzaNAt+-nUnam+a-sO+a-Arya-pAda-mUle patizyati // Rt-_1.49 //
   śālipiṅgamahīpṛṣṭhaspardhayā+iva bhaviṣyati &	SAli-piFga-mahI-pRzWa-sparDayA-a+iva Bavizyati &
   raṃhasviharisaṃghātasampātakapilam+nabhaḥ // Rc_1.50 //	raMhasvi-hari-saMGAta-sampAta-kapilam-+naBaH // Rt-_1.50 //
   teṣām+āroṣarucirais+acirāt+mukhamaṇḍalaiḥ &	tezAm-+Aroza-rucira-es+a-cirAt+muKa-maNxalEH &
   drakṣyate taruṇādityaśatacchannam+iva+ambaram // Rc_1.51 //	drakzyate taruNa-Aditya-Sata=-Cannam-+iva+ambaram // Rt-_1.51 //
   aho dīptis+aho kāntis+aho śīlam+aho balam &	aho dIpti-s+aho kAnti-s+aho SIlam-+aho balam &
   aho śaktis+aho bhaktis+aho prajñā hanūmataḥ // Rc_1.52 //	aho Sakti-s+ahaH Bakti-s+aho prajQA hanUmataH // Rt-_1.52 //
   pragalbhena+apramattena tena+abhyantaramantriṇā &	pragalBena+apramattena tena-+aByantara-mantriNA &
   nūnam+asmatkṛte svaptum+sugrīvāya na dīyate // Rc_1.53 //	nUnam-+asmad-kRte svaptum-+sugrIvAya na dIyate // Rt-_1.53 //
   sa ca pratyupakārāya tvarayati+enam+ādṛtaḥ &	sa ca pratyupakArAya tvarayati-+enam+AdRtaH &
   dhruvam+buddhivayovṛddhas+sacivas+jāmbavān+api // Rc_1.54 //	Druvam+budDi-vayaH-vRdDa-s+saciva-s+jAmbavAn-+api // Rt-_1.54 //
   tat+evam+hetunā kena vānarendras+vilambate &	tat+evam+hetunA kena vAnara-indra-s+vilambate &
   na+asau kṛtaghnasya bhavet+guṇavadbhṛtyasaṃgrahaḥ // Rc_1.55 //	na+asO kRtaGnasya Bavet-+-guNavat-BRtya-saMgrahaH // Rt-_1.55 //
   āgantavyam+dhruvam+tena mārgitā+āryā pravṛttinā &	Agantavyam-+Druvam+tena mArgita-A+AryA pravRttinA &
   prapannaparakṛtyānām+atyuṣṇas+hi samudyamaḥ // Rc_1.56 //	prapanna-para-kRtyAnAm-+ati-uzNa-s+hi samudyamaH // Rt-_1.56 //
   tvatprasādāptasambhogasukhasaṃmīlitena vā &	tvad-prasAda-Apta-samBoga-suKa-saMmIlitena vA &
   na tena+amūs+dadṛśire diśas+proṣitakālikāḥ // Rc_1.57 //	na tena-+amUs+da-dRSire diSas+-prozita-kAlikAH // Rt-_1.57 //
   kiyacciram+punar+asau tasya na śrutim+eṣyati &	kiyat-ciram+punar+asO tasya na Srutim-+ezyati &
   krīḍātaṭākahaṃsānām+ninādas+madamūrchitaḥ // Rc_1.58 //	krIxA-tawAka-haMsa-anAm+ninAda-s+mada-mUrCitaH // Rt-_1.58 //
