   Nāṭakacandrikā	NAwaka-candrikA
   śrī-śrī-kṛṣṇa-caitanya-candrāya namaḥ |	SrI--SrI-kRzNa--cEtanya-candrAya namaH |
   vīkṣya bharata-muni-śāstraṃ rasapūrvasudhākaraṃ ca ramaṇīyam |	vIkzya Barata--muni-SAstram rasa-pUrva-suDA-karam ca ramaNIyam |
   lakṣaṇam ati-saṃkṣepād vilikhyate nāṭakasyedam // RNc_1 //	lakzaNam ati-saMkzepAt viliKyate nAwakasya-idam // RNt-_1 //
   nātīva-saṅgatatvād bharata-muner mata-virodhāc ca |	na-atIva--saFgata-tvAt Barata--muneH mata--viroDAt ca |
   sāhitya-darpaṇīyā na gṛhītā prakriyā prāyaḥ // RNc_2 //	sAhitya-darpaNIyA na gRhItA prakriyA prAyas // RNt-_2 //
   divyena divyādivyena tathā'divyena vā yutam |	divyena divya-adivyena taTA-adivyena vA yutam |
   dhīreṇāḍhyam udāttena kṛṣṇaś ca lalitena ca // RNc_3 //	DIreNa-AXyam udAttena kRzNaH ca lalitena ca // RNt-_3 //
   śṛṅgāra-vīrānyatara-mukhyaṃ ramye'nivṛttayuk |	SRFgAra-vIrA-anyatara--muKyam ramye-anivRtta-yuj |
   prastāvanānta-sambandhaṃ sandhi-sandhy-aṅga-saṅgatam // RNc_4 //	prastAvana-anta--sambanDam sanDi--sanDi--aFga--saFgatam // RNt-_4 //
   sandhyantaraikaviṃśatyā ṣaṭ-triṃśad-bhūṣaṇair yutam |	sanDi-antara-ekaviMSatyA zaw-triMSat--BUzaNEH yutam |
   patākā-sthānakair yuktam athopekṣepakais tathā // RNc_5 //	patAkA--sTAnakEH yuktam aTa-upekzepakEH taTA // RNt-_5 //
   bhāṣāvidhāna-saṃyuktaṃ satkāvya-guṇa-garbhitam |	BAzA-viDAna--saMyuktam sat-kAvya--guNa--garBitam |
   nāṭakaṃ doṣa-rahitaṃ sarvāmanda-pradāyakam // RNc_6 //	nAwakam doza--rahitam sarvAmanda-pradAyakam // RNt-_6 //
   tatra nāyakaḥ --	tatra nAyakaH --
   svayaṃ prakaṭitaiśvaryo divyaḥ kṛṣṇādir īritaḥ |	svayam prakawita-ESvaryaH divyaH kRzNa-AdiH IritaH |
   divyo'pi nara-ceṣṭatvād divyādivyo raghūdvahaḥ // RNc_7 //	divyaH-api nara--cezwa-tvAt divya-AdivyaH raGu-udvahaH // RNt-_7 //
   adivyo dharma-putrādir eṣu kṛṣṇo guṇādhikaḥ |	adivyaH Darma-putra-AdiH ezu kRzNaH guNa-aDikaH |
   nāyakānāṃ guṇāḥ sarve yatra sarva-vidhāḥ smṛtāḥ // RNc_8 //	nAyakAnAm guNAH sarve yatra sarva-viDAH smRtAH // RNt-_8 //
   lālityaudattyayor atra vyaktā śobhābharo'dhikaḥ |	lAlityOdattyayoH atra vyaktA SoBA-BaraH-aDikaH |
   tenaiṣa nāyako yuktaḥ śṛṅgārottara-nāṭake // RNc_9 //	tena-eza nAyakaH yuktaH SRFgAra-uttara-nAwake // RNt-_9 //
   yat-paroḍhopapatyos tu gauṇatvaṃ kathitaṃ budhaiḥ |	yat--paroXa-upapatyoH tu gONa-tvam kaTitam buDEH |
   tat tu kṛṣṇaṃ ca gopīś ca vineti pratipāditam // RNc_10 //	tat tu kRzNam ca gopIH ca vinA-iti pratipAditam // RNt-_10 //
   tathā coktam rasa-vilāse (sudeva-kṛte) --	taTA ca-uktam rasa-vilAse (sudeva--kRte) --
   neṣṭā yad aṅgini rase kavibhiḥ paroḍhā	na-izwA yat aFgini rase kaviBiH paroXA
   tad gokulāmbuja-dṛśāṃ kulam antareṇa |	tat gokula-ambuja-dRSAm kulam antareNa |
   āśaṃsayā rasa-vidher avatārikāṇāṃ	ASaMsayA rasa-viDeH avatArikANAm
   kaṃsāriṇā rasika-maṇḍala-śekhareṇa // RNc_11 //	kaMsAriNA rasika--maNxala--SeKareNa // RNt-_11 //
   atha rasāḥ --	aTa rasAH --
   rasāḥ śṛṅgāra-vīrādyā jñeyā rasa-sudhārṇave |	rasAH SRFgAra-vIra-AdyAH jQeyAH rasa-suDA-arNave |
   anye hāsyādayaḥ kāryā asminn aṅgatayā budhaiḥ // RNc_12 //	anye hAsya-AdayaH kAryAH asmin aFgatayA buDEH // RNt-_12 //
   athetivṛttam --	aTa-iti-vRttam --
   itivṛttaṃ bhavet khyātaṃ k ptaṃ miśram iti tridhā |	itivRttam Bavet KyAtam k ptam miSram iti triDA |
