   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   ... ṇī mūtramalādikānāṃ jātā janitrīva harītakī nṛṇām // 5 //	... NI mUtra-mala-AdikAnAm jAtA janitrI-iva harItakI nRNAm // 5 //
   grīṣme tulyaguḍāṃ sasaindhavayutāṃ meghāc ca varṣāgame	grIzme tulya-guxAm sa-sEnDava-yutAm meGAt ca varza-Agame
   tulyāṃ śarkarayā śaradyamalayā (śuṇṭhyā) yuñjayāt tuṣārāgame /	tulyAm SarkarayA Saradi-amalayA (SuNWyA) yuQjayAt tuzAra-Agame /
   pippalyā śiśire vasantasamaye kṣaudreṇa saṃyojitā	pippalyA SiSire vasanta-samaye kzOdreNa saMyojitA
   rājan bhakṣa (bhuṅkṣva) harītakīm iva rujo naśyantu te śatravaḥ // 6 //	rAjan BakzaH (BuFkzva) harItakIm iva rujaH naSyantu te SatravaH // 6 //
   avyāyāmaratā vasantasamaye grīṣme vyavāyapriyāḥ	avyAyAma-ratAH vasanta-samaye grIzme vyavAya-priyAH
   saktāḥ prāvṛṣi palvalāmbhasi nave kūpodake dveṣiṇaḥ /	saktAH prAvRzi palvala-amBasi nave kUpa-udake dveziNaH /
   kaṭvamloṣṇaratāḥ śaraddadhibhujo hemantanidrālasāḥ	kawu-amla-uzNa-ratAH Sarad-daDi-BujaH hemanta-nidrA-alasAH
   śītāmbhaḥparigāhinas tu śiśire naśyantu te śatravaḥ // 7 //	SIta-amBaH-parigAhinaH tu SiSire naSyantu te SatravaH // 7 //
   atha pānīyavargaḥ	aTa pAnIya-vargaH
   svādu pākarasaṃ śītaṃ tridoṣaśamanaṃ tathā /	svAdu pAka-rasam SItam tridoza-Samanam taTA /
   pavitram atipathyaṃ ca gaṅgāvāri manoharam // 8 //	pavitram atipaTyam ca gaFgA-vAri manoharam // 8 //
   proktaṃ svādu svaccham atyantarucyaṃ pathyaṃ pākyaṃ pācanaṃ pāpahāri /	proktam svAdu svacCam atyanta-rucyam paTyam pAkyam pAcanam pApa-hAri /
   tṛṣṇāmohadhvaṃsanaṃ cātimedhyaṃ prajñāṃ dhatte vāri bhāgīrathīyam // 9 //	tRzNA-moha-DvaMsanam ca-atimeDyam prajQAm Datte vAri BAgIraTIyam // 9 //
   itigāṅgaṃ /	itigAFgam /
   (Ap 2)	(Ap 2)
   tasmāt kiṃcid gurutaraṃ svādu pittāpahaṃ param /	tasmAt kiMcid gurutaram svAdu pitta-apaham param /
   vātalaṃ vahnijananaṃ rūkṣaṃ ca yamunājalam // 10 //	vAtalam vahni-jananam rUkzam ca yamunA-jalam // 10 //
   iti yāmunam /	iti yAmunam /
   atisvacchaṃ praśastaṃ ca śītalaṃ laghu lekhanam /	ati-svacCam praSastam ca SItalam laGu leKanam /
   pittaśleṣmapraśamanaṃ nārmadaṃ sarvarogajit // 11 //	pitta-Slezma-praSamanam nArmadam sarva-roga-jit // 11 //
   iti nārmadaṃ	iti nArmadam
   kaṇḍūkuṣṭhapraśamanaṃ vahnisaṃdīpanaṃ param /	kaNxU-kuzWa-praSamanam vahni-saMdIpanam param /
   pācanaṃ vātapittaghnaṃ vāri godāvarībhavam // 12 //	pAcanam vAta-pitta-Gnam vAri godAvarI-Bavam // 12 //
   pittārtiraktārtisamīrahāri kuṣṭhādiduṣṭāmayadoṣahāri /	pitta-Arti-rakta-Arti-samIra-hAri kuzWa-Adi-duzwa-Amaya-doza-hAri /
   pathyaṃ paraṃ dīpanapāpahāri godāvarīvāri tṛṣānivāri // 13 //	paTyam param dIpana-pApa-hAri godAvarI-vAri tRzA-anivAri // 13 //
   iti godāvaryāḥ /	iti godAvaryAH /
   rūkṣaṃ ca śītalaṃ vāri vātaraktaprakopanam /	rUkzam ca SItalam vAri vAta-rakta-prakopanam /
   kiñcil laghutaraṃ svādu kṛṣṇaveṇyās samudbhavam // 14 //	kiQcid laGutaram svAdu kRzNaveNyAH samudBavam // 14 //
   iti kṛṣṇaveṇyāḥ /	iti kRzNaveNyAH /
   kāverīsalilaṃ pathyamāmaghnaṃ balavarṇakṛt /	kAverI-salilam paTyam-Ama-Gnam bala-varNa-kRt /
   āgneyam atiśītaṃ ca dadrukuṣṭhaviṣāpaham // 15 //	Agneyam atiSItam ca dadru-kuzWa-viza-apaham // 15 //
   iti kāveryāḥ /	iti kAveryAH /
   tridoṣaśamanaṃ pathyaṃ svādu hṛdyaṃ ca jīvanam /	tridoza-Samanam paTyam svAdu hRdyam ca jIvanam /
   bhramaghnaṃ ca pipāsāghnaṃ divyaṃ vāri manoharam // 16 //	Brama-Gnam ca pipAsA-Gnam divyam vAri manoharam // 16 //
   iti akālajaladaṃ /	iti akAla-jaladam /
   madhyamāntaradigjātāḥ laghvyo doṣatrayāpahāḥ /	maDyama-antara-digjAtAH laGvyaH dozatraya-apahAH /
   dakśiṇeyā mahānadyaḥ pittaśleṣmavināśanāḥ //	dakSiNeyAH mahA-nadyaH pitta-Slezma-vinASanAH //
   (Ap 3)	(Ap 3)
   pathyāś cottaradigjātā laghvyo doṣatrayāpahāḥ /	paTyAH ca-uttara-diS-jAtAH laGvyaH dozatraya-apahAH /
   pūrvadeśodbhavā nadyaḥ sadyo vātakaphāpahāḥ /	pUrva-deSa-udBavAH nadyaH sadyas vAta-kaPa-apahAH /
   paścimāḥ pittalotsargāḥ kaphavātavināśanāḥ // 17 //	paScimAH pittala-utsargAH kaPa-vAta-vinASanAH // 17 //
   iti saṃkṣepataḥ proktā nadyaḥ sūkṣmāś ca saṃprati /	iti saMkzepataH proktAH nadyaH sUkzmAH ca saMprati /
   sāmudram udakaṃ visraṃ sakṣāraṃ sarvadoṣakṛt // 18 //	sAmudram udakam visram sa-kzAram sarva-doza-kRt // 18 //
   acakṣuṣyaṃ madatplīhagulmodāvartanāśanam /	acakzuzyam madat-plIha-gulma-udAvarta-nASanam /
   atha aṣṭavidhajalalakṣaṇam /	aTa azwaviDa-jala-lakzaNam /
   divyādīnāṃ pravakṣyāmi guṇadoṣān vicārataḥ // 19 //	divya-AdInAm pravakzyAmi guNa-dozAn vicArataH // 19 //
   divyāntarikṣaṃ nādeyaṃ kaupaṃ caudeyasārasam /	divya-antarikzam nAdeyam kOpam ca-Odeya-sArasam /
