   REFERENCE SYSTEM:	RA-eFA-eRENCE SYSTEM:
   ārcika | prapāṭhaka | ardha | daśati | verse | line	Arcika | prapAWakaH | arDaH | daSati | verse | line
   1 1 1 01 01 a	1 1 1 01 01 a
   sāmaveda saṃhitā	sAmaveda saMhitA
   kauthuma śākhā	kOTuma SAKA
   pūrvārcikaḥ	pUrva-arcikaH
   chanda ārcikaḥ	CandaH ArcikaH
   āgneyaṃ kāṇḍam	Agneyam kANxam
   prathamaḥ prapāṭhakaḥ . prathamo 'rdhaḥ	praTamaH prapAWakaH . praTamaH arDaH
   1 1 1 0101a agna ā yāhi vītaye gṛṇāno havyadātaye .	1 1 1 0101a agne A yAhi vItaye gRNAnaH havya-dAtaye .
   1 1 1 0101c ni hotā satsi barhiṣi .. 1	1 1 1 0101d ni hotA satsi barhizi .. 1
   1 1 1 0101a tvamagne yajñānāṃ hotā viśveṣāṃ hitaḥ .	1 1 1 0101a tvam-agne yajQAnAm hotA viSvezAm hitaH .
   1 1 1 0102c devebhirmānuṣe jane .. 2	1 1 1 0102c deveBiH-mAnuze jane .. 2
   1 1 1 0103a agniṃ dūtaṃ vṛṇīmahe hotāraṃ viśvavedasam .	1 1 1 0103a agnim dUtam vRNImahe hotAram viSva-vedasam .
   1 1 1 0103c asya yajñasya sukratum .. 3	1 1 1 0103c asya yajQasya sukratum .. 3
   1 1 1 0104a agnirvṛtrāṇi jaṅghanaddraviṇasyurvipanyayā .	1 1 1 0104a agniH-vRtrANi jaFGanat-draviNasyuH-vipanyayA .
   1 1 1 0104c samiddhaḥ śukra āhutaḥ .. 4	1 1 1 0104c samidDaH SukraH AhutaH .. 4
   1 1 1 0105a preṣṭhaṃ vo atithiṃ stuṣe mitramiva priyam .	1 1 1 0105a prezWam vaH atiTim stuze mitram-iva priyam .
   1 1 1 0105c agne rathaṃ na vedyam .. 5	1 1 1 0105c agne raTam na vedyam .. 5
   1 1 1 0106a tvaṃ no agne mahobhiḥ pāhi viśvasyā arāteḥ .	1 1 1 0106a tvam naH agne mahoBiH pAhi viSvasyAH arAteH .
   1 1 1 0106c uta dviṣo martyasya .. 6	1 1 1 0106c uta dvizaH martyasya .. 6
