   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   caitanyaṃ sarvagaṃ sarvaṃ sarvabhūtaguhāśayam /	cEtanyam sarvagam sarvam sarva-BUta-guhA-ASayam /
   yat sarvaviṣayātītaṃ tasmai sarvavide namaḥ // SamUpad_I,1.1 //	yat sarva-vizaya-atItam tasmE sarva-vide namaH // SamUpat-_I,1.1 //
   samāpayya kriyāḥ sarvā dārāgnyādhānapūrvikāḥ /	samApayya kriyAH sarvAH dAra-agni-ADAna-pUrvikAH /
   brahmavidyām athedānīṃ vaktuṃ vedaḥ pracakrame // SamUpad_I,1.2 //	brahma-vidyAm aTa-idAnIm vaktum vedaH pracakrame // SamUpat-_I,1.2 //
   karmāṇi dehayogārthaṃ dehayoge priyāpriye /	karmANi deha-yoga-arTam deha-yoge priya-apriye /
   dhruve syātāṃ tato rāgo dveṣaś caiva tataḥ kriyāḥ // SamUpad_I,1.3 //	Druve syAtAm tatas rAgaH dvezaH ca-eva tatas kriyAH // SamUpat-_I,1.3 //
   dharmādharmau tato 'jñasya dehayogas tathā punaḥ	Darma-aDarmO tatas ajQasya deha-yogaH taTA punar-
   evaṃ nityapravṛtto 'yaṃ saṃsāraś cakravad bhṛśam // SamUpad_I,1.4 //	evam nitya-pravRttaH ayam saMsAraH cakra-vat BRSam // SamUpat-_I,1.4 //
   ajñānaṃ tasya mūlaṃ syād iti taddhānam iṣyate /	ajQAnam tasya mUlam syAt iti tat-hAnam izyate /
   brahmavidyāta ārabdhā tato niḥśreyasaṃ bhavet // SamUpad_I,1.5 //	brahma-vidyAtaH ArabDA tatas niHSreyasam Bavet // SamUpat-_I,1.5 //
   vidyaivājñānahānāya na karmāpratikūlataḥ /	vidyA-eva-ajQAnahAnAya na karma-apratikUlataH /
   nājñānasyāprahāṇe hi rāgadveṣakṣayo bhavet // SamUpad_I,1.6 //	na-ajQAnasya-aprahANe hi rAga-dveza-kzayaH Bavet // SamUpat-_I,1.6 //
   rāgadveṣakṣayābhāve karma doṣodbhavaṃ dhruvam /	rAga-dveza-kzaya-aBAve karma doza-udBavam Druvam /
   tasmān niḥśreyasārthāya vidyaivātra vidhīyate // SamUpad_I,1.7 //	tasmAt niHSreyasa-arTAya vidyA-eva-atra viDIyate // SamUpat-_I,1.7 //
   nanu karma tathā nityaṃ kartavyaṃ jīvane sati /	nanu karma taTA nityam kartavyam jIvane sati /
   vidyāyāḥ sahakāritvaṃ mokṣaṃ prati hi tad vrajet // SamUpad_I,1.8 //	vidyAyAH sahakAri-tvam mokzam prati hi tat vrajet // SamUpat-_I,1.8 //
