   ātmabhāvarakṣā ṣaṣṭhaḥ paricchedaḥ |	Atma-BAva-rakzA zazWaH paricCedaH |
   uktaṃ niṣphalasyandavarjanaṃ |	uktam nizPala-syanda-varjanam |
   katham etat sidhyed ity āha |	kaTam etat siDyet iti Aha |
   etat sidhyet sadā smṛtyêti ||	etat siDyet sadA smRti-êti ||
   dvādaśêmāḥ smṛtayo niṣphalasyandavarjanayā saṃvartante |	dvAdaSêmAH smRtayaH nizPala-syanda-varjanayA saMvartante |
   yad uta |	yat uta |
   tathāgatâjñânatikramânupālanavipākagauravasmṛtiḥ |	taTAgatâ-jQânati-kramânupAlana-vipAka-gOrava-smRtiH |
   sarvakāyasya niścalasvabhāvatāpratiṣṭhitatânusmṛtiḥ |	sarva-kAyasya niScala-svaBAvatA-pratizWita-tânu-smRtiH |
   sati satvârthe yad aṅgam anupayogi tad	sati satu-ârTe yat aFgam anupayogi tat-
   dṛḍhatarasmṛtyapekṣāniścalamādhyachandaparâpattīkṛtaṃ	dRXatara-smRti-apekzA-niScala-mADya-Canda-parâpattIkRtam
   sarvadhīraceṣṭāsmṛtiḥ |	sarva-DIra-cezwA-smRtiH |
   na câsya bhayôtsavâdisaṃbandhasaṃbhrame 'ṅgamuktasmṛtiḥ |	na ca-asya Bayôt-savâdi-saMbanDa-saMBrame aFga-mukta-smRtiH |
   īryāpathacatuṣkâkṣepanirūpaṇasmṛtiḥ |	IryA-paTa-catuzkâkzepa-nirUpaNa-smRtiH |
   antarântarā cêryāpathavikopârakṣaṇârtham īryāpathasaṃpadavalokanasmṛtiḥ |	antarântarA cêryA-paTavikopâra-kzaNârTam IryA-paTa-saMpad-avalokana-smRtiH |
   bhāṣaṇakāle câtiprasādâuddhatyasaṃrambha pakṣapātâdivaśād	BAzaNa-kAle câti-prasAdâudDatya-saMramBa pakza-pAtâ-divaSAt-
   atimātrâprāsādikahastapādaśiromukhavikāraniyamanasmṛtiḥ |	atimAtrâ-prAsAdika-hasta-pAda-SiraH-muKa-vikAra-niyamana-smRtiH |
   yaḥ śrotā vaktavyaḥ sa yāvanmātreṇa dhvaninârthaṃ jānāti |	yaH SrotA vaktavyaH sa yAvat-mAtreNa DvaninârTam jAnAti |
   tadanatirekeṇa svareṇa bhāṣaṇasmṛtir anyatra parâśaṅkādoṣasaṃbhavāt |	tad-anatirekeNa svareNa BAzaNa-smRtiH anyatra parâSaFkA-doza-saMBavAt |
   aśikṣitajanasamāgamasaṅkaṭe svacittataccittaprasādanâditātparyasmṛtiḥ |	aSikzita-jana-samAgama-saFkawe sva-citta-tad-citta-prasAdanâditAtparya-smRtiH |
   cittamattadvipasya śamathastambhe nityabaddhasmṛtiḥ |	citta-matta-dvipasya SamaTa-stamBe nitya-badDa-smRtiH |
   muhur muhuś ca cittâvasthāpratyavekṣaṇāsmṛtiḥ |	muhur muhur ca cittâvasTA-pratyavekzaNa-asmRtiH |
   mahājanasaṃpātaṃ prāyo 'nyakāryatyāgenâpi yathôktasmṛtirakṣātātparyasmṛtir	mahAjana-saMpAtam prAyas anya-kArya-tyAgenâpi yaTôkta-smRti-rakzAtAtparyasmRtiH-
   iti ||	iti ||
   [ Bendall ed p119 ---> ]	[ Bet-dalt ed p119 ---> ]
   evam etābhiḥ smṛtibhir niṣphalasyandanavarjanaṃ sidhyati |	evam etABiH smRtiBiH nizPala-syandana-varjanam siDyati |
   sā ca smṛtis tīvrâdarād bhavet |	sA ca smRtiH tIvrâdarAt Bavet |
   tatrâdaraḥ kāryeṣu	tatrâdaraH kAryezu
   [ Cambridge MS f61b ---> ]	[ Cambridge M f61B ---> ]
   sarvabhāvenâbhimukhyam |	sarva-BAvenâBimuKyam |
   avajñāpratipakṣaḥ |	avajQA-pratipakzaH |
   ayaṃ câdaraḥ śamathamāhātmyaṃ jñātvā tātparyeṇa jāyate |	ayam câdaraH SamaTa-mAhAtmyam jQAtvA tAtparyeNa jAyate |
   kas tāvad ayaṃ śamo nāma |	kaH tAvat ayam SamaH nAma |
   yâryâkṣayamatisūtre śamathôktaḥ ||	yâryâ-kzayam-ati-sUtre SamaTôktaH ||
   tatra katamā śamathâkṣayatā |	tatra katamA SamaTâ-kzayatA |
   yā cittasya śāntir upaśāntir avikṣepakendriyasaṃyamaḥ |	yA cittasya SAntiH upaSAntiH avikzepaka-indriya-saMyamaH |
   anuddhatatā |	anudData-tA |
   anunnahanatâcapalatâcañcalatā saumyatā guptatā	anunnahana-tâca-palatâ-caQcala-tA sOmya-tA gupta-tA
   karmaṇyatâjāneyatâikâgratâikârāmatā saṃgaṇikāvarjanatā vivekaratiḥ	karmaNi-atâ-jAneyatâikâgratâikârAmatA saMgaNikA-varjana-tA viveka-ratiH
   kāyavivekaś cittâvibhramo 'raṇyamukhamanasikāratâlpêcchatā |	kAya-vivekaH cittâ-viBramaH araNya-muKa-manasikAra-tâlpê=-CatA |
   yāvad īryāpathaguptiḥ kālajñatā samayajñatā mātrajñatā muktijñatā |	yAvat IryA-paTa-guptiH kAla-jQa-tA samayajQa-tA mAtra-jQa-tA mukti-jQa-tA |
   subharatā supoṣatêtyādi ||	suBaratA su-pozatêtyAdi ||
   kiṃ punar asya śamasya māhātmyaṃ yathābhūtajñānajananaśaktiḥ |	kim punar asya Samasya mAhAtmyam yaTABUta-jQAna-janana-SaktiH |
   yasmāt samāhito yathābhūtaṃ prajānātîty avadan muniḥ ||	yasmAt samAhitaH yaTABUtam prajAnAtîti avadat muniH ||
   yathôktaṃ dharmasaṃgītau |	yaTôktam Darma-saMgItO |
   samāhitamanaso yathābhūtadarśanaṃ bhavati |	samAhita-manasaH yaTABUta-darSanam Bavati |
   yathābhūtadarśino bodhisatvasya satveṣu mahākaruṇā pravartate |	yaTABUta-darSinaH boDisatvasya satvezu mahA-karuNA pravartate |
   evaṃ câsya bhavati |	evam ca-asya Bavati |
   idaṃ mayā samādhimukhaṃ sarvadharmayathābhūtadarśanaṃ ca sarvasatvānāṃ	idam mayA samADi-muKam sarva-Darma-yaTA-BUta-darSanam ca sarva-satvAnAm
   niṣpādayitavyaṃ |	nizpAdayitavyam |
   sa tayā mahākaruṇayā saṃcodyamāno 'dhiśīlam adhicittam adhiprajñaṃ ca	sa tayA mahA-karuNayA saMcodyamAnaH aDiSIlam aDicittam aDiprajQam ca
   śikṣāṃ paripūryāṃ caturāṃ samyaksaṃbodhim abhisaṃbudhyate |	SikzAm paripUryAm caturAm samyaksaMboDim aBisaMbuDyate |
   tasmān mayā śīlasusthitanâprakampenâśithilena bhavitavyam iti |	tasmAt mayA SIla-susTitanâ-prakampenâSiTilena Bavitavyam iti |
   idaṃ śamathamāhātmyam ātmanaḥ pareṣāṃ cânantâpāyâdiduḥkhasamatikramânanta	idam SamaTa-mAhAtmyam AtmanaH parezAm cânantâ-pAyâdiduHKa-samatikramânanta
   laukikalokôttarasukhasaṃpatprakarṣapāraprāptyātmakam avagamya	lOkika-lokôttara-suKa-saMpad-prakarza-pAra-prApti-Atmakam avagamya
   tadabhilāṣeṇâtāpo bhāvayitavyaḥ |	tad-aBilAzeNâtApaH BAvayitavyaH |
   ādīptagṛhântagatenêva śītalajalâbhilāṣiṇā |	AdIpta-gRhânta-gatenêva SItala-jalâBilAziNA |
   tena tīvrâdaro bhavati śikṣāsu |	tena tIvrâdaraH Bavati SikzAsu |
   tenâpi smṛtir upatiṣṭhati |	tenâpi smRtiH upatizWati |
   upasthitasmṛtir niṣphalaṃ varjayati |	upasTita-smRtiH nizPalam varjayati |
   [ Bendall ed p120 ---> ]	[ Bet-dalt ed p120 ---> ]
   yaś ca niṣphalaṃ varjayati tasyânarthā na saṃbhava-	yaH ca nizPalam varjayati tasyânarTAH na saMBava-
   [ Cambridge MS f62a ---> ]	[ Cambridge M f62aH ---> ]
   nti |	nti |
   tasmād ātmabhāvaṃ rakṣitukāmena smṛtimūlam anviṣya nityam upasthitasmṛtinā	tasmAt Atma-BAvam rakzitu-kAmena smRti-mUlam anvizya nityam upasTita-smRtinA
   bhavitavyaṃ ||	Bavitavyam ||
   atâivôgraparipṛcchāyāṃ gṛhiṇaṃ bodhisatvam adhikṛtyôktaṃ |	atâiu-ôgra-paripRcCAyAm gRhiNam boDisatvam aDikRti-ôktam |
   surāmaireyamadyapramādasthānāt prativiratena bhavitavyam	surA-mEreya-madya-pramAda-sTAnAt prativiratena Bavitavyam
   amattenânunmattenâcapalenâcañcalenâsaṃbhrāntenâmukhareṇânunnaḍenânuddhatenôpasthitismṛtisaṃprajanyenêti	amattenânunmattenâcapalenâcaQcalenâsaMBrAntenâmuKareNâ-nud-naxenânudDatenôpasTiti-smRti-saMprajanyenêti
   atrâiva ca pravrajitabodhisatvam adhikṛtyôktaṃ	atrâiva ca pravrajita-boDisatvam aDikRti-ôktam
   smṛtisaṃprajanyasyâvikṣepêti ||	smRti-saMprajanyasyâvikzepêti ||
   tatra smṛtiḥ āryaratnacūḍasūtre 'bhihitā |	tatra smRtiH Arya-ratna-cUxa-sUtre aBihitAH |
   yayā smṛtyā sarvakleśānāṃ prādurbhāvo na bhavati |	yayA smRtyA sarva-kleSAnAm prAdurBAvaH na Bavati |
   yayā smṛtyā sarvamārakarmaṇām avatāraṃ na dadāti |	yayA smRtyA sarva-mAra-karmaNAm avatAram na dadAti |
   yayā smṛtyôtpathe vā kumārge vā na patati |	yayA smRtyôt-paTe vA kumArge vA na patati |
   yayā smṛtyā dauvārikabhūtayā sarveṣām akuśalānāṃ cittacaitasikānāṃ	yayA smRtyA dOvArika-BUtayA sarvezAm akuSalAnAm citta-cEtasikAnAm
   dharmāṇām avakāśaṃ dadātîyam ucyate samyaksmṛtir iti ||	DarmANAm avakASam dadAtîyam ucyate samyak-smRtiH iti ||
   saṃprajanyaṃ tu prajñāpāramitāyām uktaṃ |	saMprajanyam tu prajQApAramitAyAm uktam |
   caraṃś carāmîti prajān-ti |	caran carAmîti prajAn-ti |
   sthitaḥ sthito 'smîti prajānāti |	sTitaH sTitaH asmîti prajAnAti |
   śayanaḥ śayitêti prajānāti |	SayanaH Sayitêti prajAnAti |
   niṣaṇṇo niṣaṇṇo 'smîti prajānāti |	nizaNNaH nizaNNaH asmîti prajAnAti |
   yathā yathā câsyaḥ [[DOUBT]] kāyaḥ sthito bhavati tathā tathâiva prajānāti	yaTA yaTA câsyaH [[DOUBT]] kAyaH sTitaH Bavati taTA taTâiva prajAnAti
   pe||	pe||
   so 'tikrāman vā pratikrāman vā saṃprajānaṃś cārī bhavati |	saH atikrAman vA pratikrAman vA saMprajAnan cArI Bavati |
   ālokite vilokite saṃmiñjite prasārite saṃghāṭīpaṭṭapātracīvaradhāraṇe |	Alokite vilokite saMmiQjite prasArite saMGAwI-pawwa-pAtra-cIvara-DAraNe |
   aśite pīte khādite nidrāklamaprativinodane āgate gate sthite niṣaṇṇe supte	aSite pIte KAdite nidrA-klama-prativinodane Agate gate sTite nizaNNe supte
   jāgarite bhāṣite tuṣṇībhāve pratisaṃlayane saṃprajānaṃś cārī bhavatîti ||	jAgarite BAzite tuzNIBAve pratisaMlayane saMprajAnan cArI Bavatîti ||
   [ Bendall ed p121 ---> ]	[ Bet-dalt ed p121 ---> ]
   śīlaṃ hi samādhisaṃvartanīyaṃ ||	SIlam hi samADi-saMvartanIyam ||
   yathôktaṃ candrapradīpasūtre |	yaTôktam candra-pradIpa-sUtre |
   kṣipraṃ samādhiṃ labhate niraṅgaṇaṃ |	kzipram samADim laBate niraFgaNam |
   viśuddhaśīle 'sminn ānuśaṃsêti ||	viSudDa-SIle asmin AnuSaMsêti ||
   ato 'vagamyate ye kecit samādhihetavaḥ prayogās te śīlântargatêti |	atas avagamyate ye kecid samADi-hetavaH prayogAH te SIlântargatêti |
   tasmāt samādhyarthi-	tasmAt samADi-arTi-
   [ Cambridge MS f62b ---> ]	[ Cambridge M f62B ---> ]
   nā smṛtisaṃprajanyaśīlena bhavitavyaṃ |	nA smRti-saMprajanya-SIlena Bavitavyam |
   tathā śīlârthinâpi samādhau yatnaḥ kāryaḥ tatrâiva sūtre vacanāt |	taTA SIlârTin-âpi samADO yatnaH kAryaH tatrâ-iva sUtre vacanAt |
   dhyānânuśaṃseṣu hi paṭhyate |	DyAnânuSaMsezu hi paWyate |
   nâsau bhoti anācāro ācāro supratiṣṭhitaḥ |	nâsO Boti anAcAraH AcAraH su-pratizWitaH |
   gocare carate yogī vivarjeti agocaraṃ ||	gocare carate yogI vivarja-iti agocaram ||
   niṣparidāhavihārī guptêndriyasaṃvṛta |	nizparidAha-vihArI guptêndriya-saMvRtaH |
   iti ||	iti ||
   etābhyāṃ ca śīlasamādhibhyām anyonyasaṃvardhanakarābhyāṃ	etAByAm ca SIla-samADiByAm anyonya-saMvarDana-karAByAm
   cittakarmapariniṣpattiḥ etāvatī cêyaṃ bodhisatvaśikṣā yad uta	citta-karma-parinizpattiH etAvatI cêyam boDisatva-SikzA yat uta
   cittaparikarma |	citta-parikarma |
   etanmūlatvāt sarvasatvârthānāṃ ||	etad-mUla-tvAt sarva-satvârTAnAm ||
   uktaṃ hy āryaratnameghe |	uktam hi Arya-ratna-meGe |
   cittapūrvaṅgamāś ca sarvadharmāḥ |	citta-pUrvaFgamAH ca sarva-DarmAH |
   citte parijñāte sarvadharmāḥ parijñātā bhavanti |	citte parijQAte sarva-DarmAH parijQAtAH Bavanti |
   api tu	api tu
   cittena nīyate lokaḥ cittaṃ cittaṃ na paśyati |	cittena nIyate lokaH cittam cittam na paSyati |
   cittena cīyate karma śubhaṃ vā yadi vâśubham ||	cittena cIyate karma SuBam vA yadi vâSuBam ||
   cittaṃ bhramate 'lātavat |	cittam Bramate alAta-vat |
   cittaṃ bhramate turaṅgavat |	cittam Bramate turaFga-vat |
   cittaṃ dahate devâgnivat |	cittam dahate devâgni-vat |
   [ Bendall ed p122 ---> ]	[ Bet-dalt ed p122 ---> ]
   cittaṃ harate mahâmbuvat ||	cittam harate mahâmbu-vat ||
   sâivaṃ vyupaparīkṣamāṇaś citte sûpasthitasmṛtir viharati na cittasya vaśaṃ	sâivam vyupaparIkzamANaH citte sûpasTita-smRtiH viharati na cittasya vaSam
   gacchati |	gacCati |
