   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   RKS adhyāya 1	RKH aDyAya 1
   majjanamātaṅgagaṇḍacyutamadamadirāmodamattālijālam /	majjana mAtaFga gaNxa cyuta mada madirA Amoda mattAli jAlam /
   snānaiḥ siddhāṅganānāṃ kucayugavigalatkuṅkumāsaṅgapiṅgam // RKS_1.1 //	snAnEH sidDa aFganAnAm kuca yuga vigalat kuFkuma AsaFga piFgam // RKH _1.1 //
   sāyaṃ prātarmunīnāṃ kuśakusumacayācchannatīrasthanīram /	sAyam prAtar munInAm kuSa kusuma cayAt Canna tIra sTa nIram /
   pāyādvo narmadāmbhaḥ karikarabhakarākrāntarahastaraṅgam // RKS_1.2 //	pAyAt vaH narmadA amBaH kari kara Bakara Akra anta rahasta raFgam // RKH _1.2 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   himavacchikhare ramye siddhagandharvasevite /	himavat SiKare ramye sidDa ganDarva sevite /
   yakṣavidyādharākīrṇe nānāgaṇasamanvite // RKS_1.3 //	yakza vidyADara AkIrNe nAnA gaNa samanvite // RKH _1.3 //
   brahmaviṣṇusurāḥ sarve skandanandigaṇeśvarāḥ /	brahma vizNu surAH sarve skanda nandi gaNa ISvarAH /
   candrādityau grahaiḥ sārdhaṃ nakṣatradhruvamaṇḍalam // RKS_1.4 //	candra AdityO grahEH sArDam nakzatra Druva maNxalam // RKH _1.4 //
   vāyuśca varuṇaścaiva kubero 'tha yamastathā /	vAyuH ca varuNaH ca eva kuberaH aTa yamaH taTA /
   indrādyā devatās sarve gandharvagaṇa eva ca // RKS_1.5 //	indra AdyAH devatAH sarve ganDarva gaNaH eva ca // RKH _1.5 //
   brāhmyādyā mātaraśca ṛṣayaśca tapodhanāḥ /	brAhmI AdyAH mAtaraH ca RzayaH ca tapoDanAH /
   mūrtimantaśca tīrthāni caṇḍabhṛṅgimahābalāḥ // RKS_1.6 //	mUrtimantaH ca tIrTAni caNxa BRFgi mahA balAH // RKH _1.6 //
   dānavāsuradaityāśca piśācā bhūtarākṣasāḥ /	dAnava asura dEtyAH ca piSAcAH BUta rAkzasAH /
   sūryakoṭisamaprakhyaṃ maṇimāṇikyaśobhitam // RKS_1.7 //	sUrya kowi sama praKyam maNi mANikya SoBitam // RKH _1.7 //
   ratnavaidūryasopānavāpīkūpasahasrakam /	ratna vEdUrya sopAnavApI kUpa sahasrakam /
   padmanīlotpalopetaṃ nānāvṛkṣasamanvitam // RKS_1.8 //	padma nIlotpala upetam nAnA vRkza samanvitam // RKH _1.8 //
   kāmyakāmaphalair vṛkṣaiḥ puṣpitaiḥ phalitair yutam /	kAmya kAma PalEH vRkzEH puzpitEH PalitEH yutam /
   haṃsakāraṇḍavākīrṇaṃ cakravākopakūjitam // RKS_1.9 //	haMsa kAraNxava AkIrNam cakravAka upakUjitam // RKH _1.9 //
   kokakokilasaṃghuṣṭaṃ nānāpakṣisamākulam /	koka kokila saMGuzwam nAnA pakzi samAkulam /
   sthānaṃ sarve harasyāpuḥ siddhaiśca parisevitam // RKS_1.10 //	sTAnam sarve harasyApuH sidDEH ca parisevitam // RKH _1.10 //
   tatrāsīnaṃ mahādevaṃ śaṅkaraṃ lokaśaṅkaram /	tatra AsInam mahAdevam SaFkaram loka SaFkaram /
   stuvantaḥ ke 'pi deveśaṃ kecin nṛtyanti cāgrataḥ // RKS_1.11 //	stuvantaH ke api deveSam kecid nRtyanti ca agratas // RKH _1.11 //
   divyasiṃhāsanāsīnam umayā sahitaṃ haram /	divya siMhAsana AsInam umayA sahitam haram /
   teṣāṃ madhye samutthāya skando vacanam abravīt // RKS_1.12 //	tezAm maDye samutTAya skandaH vacanam abravIt // RKH _1.12 //
   kṛtāñjalipuṭo bhūtvā sāṣṭāṅgaṃ praṇipatya ca /	kRta aQjali puwaH BUtvA sa azwAFgam praNipatya ca /
   sṛṣṭisaṃhārakarttāraṃ surāsuranamaskṛtam // RKS_1.13 //	sRzwi saMhAra karttAram sura asura namaskRtam // RKH _1.13 //
   brahmaviṣṇvindravaradaṃ bhaktānāṃ bhaktavatsalam /	brahma vizNu indra vara dam BaktAnAm Bakta vatsalam /
   tryambakasitakaṇṭhāya jñātājñātasvarūpiṇe // RKS_1.14 //	tryambaka sita kaNWAya jQAta ajQAta svarUpiNe // RKH _1.14 //
   īśvarāyāvināśāya gajacarmāvaguṇṭhine /	ISvarAya avinASAya gaja carma avaguNWine /
   kapālamālābharaṇadvīpicarmadharāya ca // RKS_1.15 //	kapAla mAlA ABaraNa dvIpi carma DarAya ca // RKH _1.15 //
   bhasmoddhūlitadehāya namaste 'stu pinākine /	Basma udDUlita dehAya namaH te astu pinAkine /
   anantānantarūpāya kālāya parameṣṭhine // RKS_1.16 //	ananta ananta rUpAya kAlAya paramezWine // RKH _1.16 //
   sadyo vāmas tathā ghoras tatpuruṣāya te namaḥ /	sadyas vAmaH taTA GoraH tatpuruzAya te namaH /
   īśānāya pareśāya sadāśiva namo 'stu te // RKS_1.17 //	ISAnAya para ISAya sadASiva namaH astu te // RKH _1.17 //
   ṛgyajuḥ sāmarūpāya atharvāya namo 'stu te /	Rc yajuH sAma rUpAya aTarvAya namaH astu te /
   namaḥ kālāgnirūpāya sarvalokanivāsine // RKS_1.18 //	namaH kAlAgni rUpAya sarva loka nivAsine // RKH _1.18 //
   namaḥ kāntārddhadehāya varṣiṣṭhāya ca te namaḥ /	namaH kAnta ardDa dehAya varzizWAya ca te namaH /
   oṃ namaḥ śivāya rūpāya bhīmāya bhavarūpiṇe // RKS_1.19 //	om namaH SivAya rUpAya BImAya Bava rUpiNe // RKH _1.19 //
   śivāya bhavarūpāya bhīmarūpakapardine /	SivAya Bava rUpAya BIma rUpa kapardine /
   tvayā vyāptaṃ jagat sarvaṃ trailokyaṃ sacarācaram // RKS_1.20 //	tvayA vyAptam jagat sarvam trElokyam sa carAcaram // RKH _1.20 //
   jihvācāpalyabhāvena khedito 'si mayā prabho /	jihvA cApalya BAvena KeditaH asi mayA praBo /
   kṣamasva mama īśāna ajñānāñjñānato 'pi vā // RKS_1.21 //	kzamasva mama ISAnaH ajQAnAn jQAnataH api vA // RKH _1.21 //
   īśvara uvāca:	ISvaraH uvAca:
   varaṃ vṛṇīṣva bhadraṃ te stavenānena suvrata /	varam vRNIzva Badram te stavena anena suvrata /
   dadāmi te na sandeho varaṃ manasi kāṅkṣitam // RKS_1.22 //	dadAmi te na sandehaH varam manasi kAFkzitam // RKH _1.22 //
   skanda uvāca:	skandaH uvAca:
   yadi tuṣṭo 'si me deva varaṃ dātumamecchasi /	yadi tuzwaH asi me deva varam dAtumama icCasi /
   uttare tu diśābhāge harmyā hemamayāḥ śubhāḥ // RKS_1.23 //	uttare tu diSA BAge harmyAH hema mayAH SuBAH // RKH _1.23 //
   saptabhaumāstu vistīrṇahemaprākāratoraṇāḥ /	sapta BOmAH tu vistIrNa hema prAkAra toraNAH /
   nānāmaṇisamuktādyā vajravaidūryamaṇḍitāḥ // RKS_1.24 //	nAnA maNi samukta AdyAH vajra vEdUrya maNxitAH // RKH _1.24 //
   tatraiva madhurā vāṇī veṇuvīṇāḥ sahasraśaḥ /	tatra eva maDurAH vANI veNu vINAH sahasraSas /
   prekṣaṇīyair nṛtyagītair divyakāntimanoharaiḥ // RKS_1.25 //	prekzaNIyEH nRtya gItEH divya kAnti manoharEH // RKH _1.25 //
   kasyaitāni gṛhāṇīti meroruttarataḥ śiva /	kasya etAni gRhANi iti meroH uttaratas Siva /
   tvatprasādāt tu pṛcchāmi paraṃ kautūhalaṃ hi me // RKS_1.26 //	tvad prasAdAt tu pRcCAmi param kOtUhalam hi me // RKH _1.26 //
   īśvara uvāca:	ISvaraH uvAca:
   śṛṇu skanda suraśreṣṭha kathyamānaṃ nibodha me /	SRNu skanda suraSrezWa kaTyamAnam niboDa me /
   bhṛgusthāne pure ye vai rāhusūrvyasamāgame // RKS_1.27 //	BRgu sTAne pure ye vE rAhu sUrvya samAgame // RKH _1.27 //
   kurukṣetre prabhāse ca mokṣe rudrapade tathā /	kurukzetre praBAse ca mokze rudra pade taTA /
   kedārakṣetrake sthāne rudre kanakhale tathā // RKS_1.28 //	kedAra kzetrake sTAne rudre kanaKale taTA // RKH _1.28 //
   bhairave lalitākṣetre śiva dhyātvā ca putraka /	BErave lalita akzetre Siva DyAtvA ca putrakaH /
   ye pṛtāḥ śivanadyāṃ tu śivadhyānaparāyaṇā // RKS_1.29 //	ye pRtAH SivanadyAm tu Siva DyAna parAyaNAH // RKH _1.29 //
   teṣāṃ gṛhāṇi ramyāṇi svayaṃ karmaphalārjitaiḥ /	tezAm gRhANi ramyANi svayam karma Pala arjitEH /
   saptabhaumair gṛhair divyair vastrabhogāś ca puṣkalāḥ // RKS_1.30 //	sapta BOmEH gRhEH divyEH vastra BogAH ca puzkalAH // RKH _1.30 //
   dattāni ca mayaiteṣāṃ harmyabhogasukhāni ca /	dattAni ca mayA etezAm harmya Boga suKAni ca /
   skanda uvāca:	skandaH uvAca:
