   akriyāpi kriyā tathā SRtp_192b	akriyA-api kriyA taTA SRtp_192b
   agṛhītārthabhedasya SRtp_228c	agRhIta-arTa-Bedasya SRtp_228c
   aghorahṛdayo vāma- SRtp_282a	aGora-hRdayaH vAma SRtp_282a
   aṅgāni karaṇāni ca SRtp_132b	aFgAni karaNAni ca SRtp_132b
   acidastīti cetanam SRtp_140b	acit-asti-iti cetanam SRtp_140b
   acintyamahimā yathā SRtp_194b	acintya-mahimA yaTA SRtp_194b
   ajaḍatvācca yat punaḥ SRtp_196b	ajaxa-tvAt-ca yat punar SRtp_196b
   ajño janturanīśo 'yam SRtp_151c	ajQaH jantuH-anISaH ayam SRtp_151c
   aṇutvea sati kartṛtvād SRtp_62a	aNu-tvea sati kartR-tvAt SRtp_62a
   aṇuvaiṣamyadarśanāt SRtp_50b	aNu-vEzamya-darSanAt SRtp_50b
   aṇūnāmarthadarśane SRtp_259d	aNUnAm-arTa-darSane SRtp_259d
   aṇūnāmavikāro 'pi SRtp_314c	aNUnAm-avikAraH api SRtp_314c
   aṇūnāmeva bandhanāt SRtp_241d	aNUnAm-eva banDanAt SRtp_241d
   aṇūnāṃ malahetukaḥ SRtp_247b	aNUnAm mala-hetukaH SRtp_247b
   aṇoreva na sarveṣām SRtp_249c	aNoH-eva na sarvezAm SRtp_249c
   atadrūpāpi tadrūpa- SRtp_242c	atat-rUpA-api tad-rUpa SRtp_242c
   ato 'dhvānaḥ kalādayaḥ SRtp_89b	atas aDvAnaH kalA-AdayaH SRtp_89b
   ato na māyopādānaṃ SRtp_48c	atas na mAyA-upAdAnam SRtp_48c
   ato nāyaṃ pṛthak śakteḥ SRtp_133c	atas na-ayam pRTak SakteH SRtp_133c
   ato bandhastayormataḥ SRtp_249d	atas banDaH-tayoH-mataH SRtp_249d
   ato vimuktāḥ sarvajñā SRtp_257c	atas vimuktAH sarvajQA SRtp_257c
   ato hetubalākrāntāḥ SRtp_225a	atas hetu-bala-AkrAntAH SRtp_225a
   atra ca trīṇi tattvāni SRtp_114c	atra ca trINi tattvAni SRtp_114c
   advayeti niṣedho 'pi SRtp_219a	advaya-iti nizeDaH api SRtp_219a
   advaitakṣapaṇakṣamaiḥ SRtp_222d	advEta-kzapaNa-kzamEH SRtp_222d
   adhikāramalopetās SRtp_27a	aDikAra-mala-upetAH SRtp_27a
   adhikāro nivartate SRtp_77d	aDikAraH nivartate SRtp_77d
   adhitiṣṭhati kāraṇam SRtp_117d	aDitizWati kAraNam SRtp_117d
   adhiṣṭhātṛtayā bhedam SRtp_288a	aDizWAtR-tayA Bedam SRtp_288a
   adhvanaḥ ṣaḍapi kramāt SRtp_123b	aDvanaH zaz-api kramAt SRtp_123b
   adhvā yuktyaviśeṣataḥ SRtp_144d	aDvA yukti-aviSezataH SRtp_144d
   adhvaitatprāpyate ṣoḍhā SRtp_6c	aDva-etat-prApyate zoXA SRtp_6c
   anantaphaladāyinām SRtp_321b	ananta-Pala-dAyinAm SRtp_321b
   anantasyārthadarśane SRtp_47b	anantasya-arTa-darSane SRtp_47b
   anantaḥ kṣobhako mataḥ SRtp_47d	anantaH kzoBakaH mataH SRtp_47d
   anantaḥ parameśvaraḥ SRtp_28d	anantaH parameSvaraH SRtp_28d
   anantāṇḍasya ṣaḍ bahiḥ SRtp_91d	ananta-aNxasya zaw bahis SRtp_91d
   anantenāpi śabdānu- SRtp_66c	anantena-api Sabda-anu SRtp_66c
   ananyāpi tathā śambhor SRtp_303c	ananyA-api taTA SamBoH SRtp_303c
