   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   prathamaḥ paricchedaḥ	praTamaH paricCedaH
   śṛṅgārī girijānane sakaruṇo ratyāṃ pravīraḥ smare	SRFgArI girija-Anane sa-karuNaH ratyAm pravIraH smare
   bībhatso'sthibhir utphaṇī ca bhayakṛn mūrtyādbhutas tuṅgayā /	bIBatsaH-asTiBiH utPaNI ca Baya-kRt mUrtyA-adButaH tuFgayA /
   raudro dakṣavimardane ca hasakṛn nagnaḥ praśāntaś cirād	rOdraH dakza-vimardane ca hasakRt nagnaH praSAntaH cirAt-
   itthaṃ sarvarasāśrayaḥ paśupatir bhūyāt satāṃ bhūtaye // ST_1.1 //	itTam sarva-rasa-ASrayaH paSupatiH BUyAt satAm BUtaye // ST_1.1 //
   ākhyātanāmaracanācaturasrasandhi	AKyAta-nAma-racanA-caturasra-sanDi-
   sadvāgalaṅkṛtiguṇaṃ sarasaṃ suvṛttam /	sat-vAc-alaFkRti-guNam sarasam su-vRttam /
   āseduṣām api divaṃ kavipuṅgavānāṃ	AseduzAm api divam kavi-puFgavAnAm
   tiṣṭhaty akhaṇḍam iha kāvyamayaṃ śarīram // ST_1.2 //	tizWati aKaNxam iha kAvya-mayam SarIram // ST_1.2 //
   kāvye śubhe'pi racite khalu no khalebhyaḥ	kAvye SuBe-api racite Kalu no KaleByaH
   kaścid guṇo bhavati yadyapi sampratīha /	kaScid guNaH Bavati yadi-api samprati-iha /
   kṛpāṃ tathāpi sujanārtham idaṃ yataḥ kiṃ	kRpAm taTA-api su-jana-arTam idam yatas kim
   yūkābhayena paridhānavimokṣaṇaṃ syāt // ST_1.3 //	yUkA-aBayena pariDAna-vimokzaNam syAt // ST_1.3 //
   sānandapramadākaṭākṣaviśikhair yeṣāṃ na bhinnaṃ mano	sa-Ananda-pramadA-kawAkza-viSiKEH yezAm na Binnam manaH-
   yaiḥ saṃsārasamudrapātavidhur eṣv anyeṣu potayitam /	yEH saMsAra-samudra-pAta-viDuH ezu anyezu potayitam /
   yair niḥsīmasarasvatīvilasitaṃ dvitraiḥ padaiḥ saṃhṛtaṃ	yEH niHsIma-sarasvatI-vilasitam dvitrEH padEH saMhRtam
   teṣām apy upari sphuranti matayaḥ kasyāpi puṇyātmanaḥ // ST_1.4 //	tezAm api upari sPuranti matayaH kasya-api puNya-AtmanaH // ST_1.4 //
   prāyo nāṭyaṃ prati proktā bharatādyai rasasthitiḥ /	prAyas nAwyam prati proktA Barata-AdyEH rasa-sTitiH /
   yathāmati mayāpy eṣā kāvyaṃ prati nigadyate // ST_1.5 //	yaTAmati mayA-api ezA kAvyam prati nigadyate // ST_1.5 //
   yāminīvendunā muktā nārīva ramaṇaṃ vinā /	yAminI-iva-indunA muktA nArI-iva ramaNam vinA /
   lakṣmīr iva ṛte tyāgān no vāṇī bhāti nīrasā // ST_1.6 //	lakzmIH iva Rte tyAgAt naH vANI BAti nIrasAH // ST_1.6 //
   satyaṃ santi gṛhe gṛhe sukavayo yeṣāṃ vacaś cāturī	satyam santi gRhe gRhe sukavayaH yezAm vacaH ca-aturI
   sve harmye kulakanyakeva labhate jātair guṇair gauravam /	sve harmye kula-kanyakA-iva laBate jAtEH guNEH gOravam /
   duṣprāpaḥ sa tu ko'pi kovidapatir yad vāgrasagrāhiṇāṃ	duzprApaH sa tu kaH-api kovida-patiH yat vAc-rasa-grAhiNAm
   puṇyastrīva kalākalāpakuśalā cetāṃsi hartuṃ kṣamā // ST_1.7 //	puNya-strI-iva kalA-kalApa-kuSalA cetAMsi hartum kzamA // ST_1.7 //
   tasmād yatnena kartavyaṃ kāvyaṃ rasanirantaram /	tasmAt yatnena kartavyam kAvyam rasa-nirantaram /
   anyathā śāstravid goṣṭhyāṃ tat syād udvegadāyakam // ST_1.8 //	anyaTA SAstra-vid gozWyAm tat syAt udvega-dAyakam // ST_1.8 //
   śṛṅgārahāsyakaruṇā raudravīrabhayānakāḥ /	SRFgAra-hAsya-karuNAH rOdra-vIra-BayAnakAH /
   bībhatsādbhutaśāntāś ca nava kāvye rasāḥ smṛtāḥ // ST_1.9 //	bIBatsa-adButa-SAntAH ca nava kAvye rasAH smRtAH // ST_1.9 //
   ratir hāsaś ca śokaś ca krodhotsāhau bhayaṃ tathā /	ratiH hAsaH ca SokaH ca kroDa-utsAhO Bayam taTA /
   jugupsāvismayaśamāḥ sthāyibhāvāḥ prakīrtitāḥ // ST_1.10 //	jugupsA-vismaya-SamAH sTAyi-BAvAH prakIrtitAH // ST_1.10 //
   nirvedo'tha tathā glāniḥ śaṅkāsūyā madaḥ śramaḥ /	nirvedaH-aTa taTA glAniH SaFkA-asUyA madaH SramaH /
   ālasyaṃ caiva dainyaṃ ca cintā moho dhṛtiḥ smṛtiḥ // ST_1.11 //	Alasyam ca-eva dEnyam ca cintA mohaH DRtiH smRtiH // ST_1.11 //
   vrīḍā capalatā harṣa āvego jaḍatā tathā /	vrIxA capala-tA harzaH AvegaH jaxa-tA taTA /
   garvo viṣāda autsukyaṃ nidrāpasmāra eva ca // ST_1.12 //	garvaH vizAdaH Otsukyam nidrA-apasmAraH eva ca // ST_1.12 //
   suptaṃ prabodho'marṣaś cāpy avahitthā tathogratā /	suptam praboDaH-amarzaH ca-api avahitTA taTA-ugra-tA /
   matir vyādhis tathonmādas tathā maraṇam eva ca // ST_1.13 //	matiH vyADiH taTA-unmAdaH taTA maraNam eva ca // ST_1.13 //
   trāsaś caiva vitarkaś ca vijñeyā vyabhicāriṇaḥ /	trAsaH ca-eva vitarkaH ca vijQeyAH vyaBicAriNaH /
   trayastriṃśad ime bhāvāḥ prayānti ca rasasthitim // ST_1.14 //	trayastriMSat ime BAvAH prayAnti ca rasa-sTitim // ST_1.14 //
   stambhaḥ svedo'tha romāñcaḥ svarabhaṅgo'tha vepathuḥ /	stamBaH svedaH-aTa romAQcaH svaraBaFgaH-aTa vepaTuH /
   vaivarṇyam aśru pralaya ity aṣṭau sāttvikāḥ smṛtāḥ // ST_1.15 //	vEvarNyam aSru pralayaH iti azwO sAttvikAH smRtAH // ST_1.15 //
   bhāvā evātisampannāḥ prayānti rasatām amī /	BAvAH eva-ati-sampannAH prayAnti rasa-tAm amI /
   yathā dravyāṇi bhinnāni madhurādirasātmanām // ST_1.16 //	yaTA dravyANi BinnAni maDura-Adi-rasa-AtmanAm // ST_1.16 //
   sambhavanti yathā vṛkṣe puṣpapatraphalādayaḥ /	samBavanti yaTA vRkze puzpa-patra-Pala-AdayaH /
   tadvad rase'pi rucirā viśeṣā bhāvarūpiṇaḥ // ST_1.17 //	tadvat rase-api rucirAH viSezAH BAva-rUpiNaH // ST_1.17 //
   prāyo naikarasaṃ kāvyaṃ kiñcid atropalabhyate /	prAyas na-eka-rasam kAvyam kiQcid atra-upalaByate /
   bāhulyena bhaved yas tu sa tadvṛttyā nigadyate // ST_1.18 //	bAhulyena Bavet yaH tu sa tad-vRttyA nigadyate // ST_1.18 //
   kaiśikyārabhaṭī caiva sātvatī bhāratī tathā /	kESikI-AraBawI ca-eva sAtvatI BAratI taTA /
   catasro vṛttayo jñeyā rasāvasthānasūcakāḥ // ST_1.19 //	catasraH vRttayaH jQeyAH rasa-avasTAna-sUcakAH // ST_1.19 //
   dharmād artho'rthataḥ kāmaḥ kāmāt sukhaphalodayaḥ /	DarmAt arTaH-arTataH kAmaH kAmAt suKa-Pala-udayaH /
   sādhīyān eṣa tatsiddhyai śṛṅgāro nāyako rasaḥ // ST_1.20 //	sADIyAn eza tad-sidDyE SRFgAraH nAyakaH rasaH // ST_1.20 //
   ceṣṭā bhavati puṃnāryor yā ratyutthātiriktayoḥ /	cezwA Bavati puMnAryoH yA rati-utTAti-riktayoH /
   saṃyogo vipralambhaś ca śṛṅgāro dvividho mataḥ // ST_1.21 //	saMyogaH vipralamBaH ca SRFgAraH dviviDaH mataH // ST_1.21 //
   saṃyuktyoś ca saṃyogo vipralambho viyuktayoḥ /	saMyuktyoH ca saMyogaH vipralamBaH viyuktayoH /
   pracchannaś ca prakāśaś ca punar eṣa dvidhā yathā // ST_1.22 //	pracCannaH ca prakASaH ca punar eza dviDA yaTA // ST_1.22 //
   madanakuñjarakumbhataṭopame	madana-kuQjara-kumBa-tawa-upame
   stanayuge paritaḥ sphuritāṅgulim /	stana-yuge paritas sPurita-aFgulim /
   sakarajakṣatavāmam api priyā	sakara-ja-kzata-vAmam api priyA
   dayitapāṇim amanyata dakṣiṇam // ST_1.22a //	dayita-pANim amanyata dakziNam // ST_1.22aH //
   santaptaḥ smrasaṃniveśavivaśaiḥ śvāsair muhuḥ pañcamo	santaptaH smra-saMniveSa-vivaSEH SvAsEH muhur paQcamaH-
   dgārāvartibhir āpatadbhir abhitaḥ siktaś ca netrāmbubhiḥ /	dgArAvartiBiH ApatadBiH aBitas siktaH ca netra-ambuBiH /
   etasyāḥ priyaviprayogavidhuras tyaktvādharo rāgitāṃ	etasyAH priya-viprayoga-viDuraH tyaktvA-aDaraH rAgitAm
   sampraty uddhatavahnivāriviṣamaṃ manye vrataṃ sevate // ST_1.22b //	samprati udData-vahni-vAri-vizamam manye vratam sevate // ST_1.22B //
   kānte vicitrasuratakramabaddharāge	kAnte vicitra-surata-krama-badDa-rAge
   saṅketake'pi mṛgaśāvakalocanāyāḥ /	saFketake-api mRga-SAvaka-locanAyAH /
   tatkūjitaṃ kim api yena tadīyatalpaṃ	tat-kUjitam kim api yena tadIya-talpam
   nālpaiḥ parītam anuśabditalāvakaughaiḥ // ST_1.22c // (Skm 1116)	na-alpEH parItam anu-Sabdita-lAvaka-oGEH // ST_1.22t // (Skm 1116)
   kiñcid vakritakaṇṭhakandaladalatpīnastanāvartana	kiQcid vakrita-kaNWa-kandaladalat-pIna-stana-Avartana
   vyāyāṃ citakañcukaṃ mṛgadṛśas tasyās tadālokitam /	vyAyAm cita-kaQcukam mRga-dRSaH tasyAH tad-Alokitam /
   vācas tāś ca vidagdhabhāvacaturāḥ sphārībhavan manmathā	vAcaH tAH ca vidagDa-BAva-caturAH sPArIBavat manmaTA
   haṃho mānasa kiṃ smarasy abhimatāḥ siddhyanti puṇyaiḥ kriyāḥ // ST_1.22d	haMho mAnasa kim smarasi aBimatAH sidDyanti puNyEH kriyAH // ST_1.22d
   tyāgī kulīnaḥ kuśalo rateṣu	tyAgI kulInaH kuSalaH ratezu
   kalpaḥ kalāvit taruṇo dhanāḍhyaḥ /	kalpaH kalA-vid taruNaH Dana-AXyaH /
   bhavyaḥ kṣamāvān subhago'bhimānī	BavyaH kzamAvAn suBagaH-aBimAnI
   strīṇām abhīṣṭas tv iha nāyakaḥ syāt // ST_1.23 //	strINAm aBIzwaH tu iha nAyakaH syAt // ST_1.23 //
   tasyānukūladakṣiṇaśaṭhadhṛṣṭā ittham atra catvāraḥ /	tasya-anukUla-dakziNa-SaWa-DRzwAH itTam atra catvAraH /
   bhedāḥ kriyayocyante tadudāhṛtayaś ramaṇīyāḥ // ST_1.24 //	BedAH kriyayA-ucyante tat-udAhRtayaH ramaNIyAH // ST_1.24 //
   atiraktatayā nāryā sadā tyaktaparāṅganaḥ /	ati-rakta-tayA nAryA sadA tyakta-para-aFganaH /
   sītāyāṃ rāmavat so'yam anukūlaḥ smṛto yathā // ST_1.25 //	sItAyAm rAma-vat saH-ayam anukUlaH smRtaH yaTA // ST_1.25 //
   asmākaṃ sakhi vāsasī na rucire graiveyakaṃ nojjvalaṃ	asmAkam saKi vAsasI na rucire grEveyakam na-ujjvalam
   no vaktrā gatir uddhataṃ na hasitaṃ naivāsti kaścin madaḥ /	naH vaktrA gatiH udDatam na hasitam na-eva-asti kaScid madaH /
   kiṃ tv anye'pi janā vadanti subhago'py asyāḥ priyo nānyato	kim tu anye-api janAH vadanti suBagaH-api asyAH priyaH na-anyatas-
   dṛṣṭiṃ niḥkṣipatīti viśvam iyatā manyāmahe duḥkhitam // ST_1.25a //	dRzwim niHkzipati-iti viSvam iyatA manyAmahe duHKitam // ST_1.25aH //
   yo gauravaṃ bhayaṃ prema sadbhāvaṃ pūrvayoṣiti /	yaH gOravam Bayam prema sadBAvam pUrva-yoziti /
   na muñcaty anyacitto'pi jñeyo'sau dakṣiṇo yathā // ST_1.26 //	na muQcati anya-cittaH-api jQeyaH-asO dakziNaH yaTA // ST_1.26 //
   saivāsya praṇatis tad eva vacanaṃ tā eva kelikriyā	sA-eva-asya praNatiH tat eva vacanam tAH eva keli-kriyA
   bhītiḥ saiva tad eva narmamadhuraṃ pūrvānurāgocitam /	BItiH sA-eva tat eva narma-maDuram pUrva-anurAga-ucitam /
   kāntasyāpriyakāriṇīti bhavatī taṃ vakti doṣābilaṃ	kAntasya-apriya-kAriNI-iti BavatI tam vakti doza-abilam
   kiṃ syād ittham aharniśaṃ sakhi mano dolāyate cintayā // ST_1.26a //	kim syAt itTam aharniSam saKi manaH dolAyate cintayA // ST_1.26aH //
   priyaṃ vakti puro'nyatra vipriyaṃ kurute bhṛśam /	priyam vakti puras-anyatra vipriyam kurute BRSam /
   jñātāparādhaceṣṭaś ca kuṭilo'sau śaṭho yathā // ST_1.27 //	jQAta-aparADa-cezwaH ca kuwilaH-asO SaWaH yaTA // ST_1.27 //
   sahajatarale āvāṃ tāvadbahuśrutiśālinau	sahaja-tarale AvAm tAvat-bahu-Sruti-SAlinO
   punar iha yuvāṃ satyaṃ śiṣṭaṃ tad atra kṛtāgasi /	punar iha yuvAm satyam Sizwam tat atra kRta-Agasi /
   praṇayini punar yuktaṃ rantuṃ na veti batāvayo	praNayini punar yuktam rantum na vA-iti bata-Avayo
   rdhruvam upagate karṇau praṣṭuṃ kuraṅgadṛśau dṛśau // ST_1.27a //	rDruvam upagate karNO prazwum kuraFga-dRSO dRSO // ST_1.27aH //
   api ca	api ca
   kopāt kiñcid upānato'pi rabhasād ākṛṣya keśeṣv alaṃ	kopAt kiQcid upAnataH-api raBasAt AkRzya keSezu alam
   nītvā mohanamandiraṃ dayitayā hāreṇa bahvā dṛḍham /	nItvA mohana-mandiram dayitayA hAreNa bahvA dRXam /
   bhūyo yāsyasi tadgṛhān iti muhuḥ kaṇṭhāruddhākṣaraṃ	BUyas yAsyasi tad-gRhAn iti muhur kaNWa-arudDa-akzaram
   jalpantyā śravaṇotpalena sukṛtī kaścid rahas tāḍyate // ST_1.27b // (Amaru	jalpantyA SravaNa-utpalena sukRtI kaScid rahaH tAxyate // ST_1.27B // (Amaru
   9, Daś 2.19)	9, Das 2.19)
   niḥśaṅkaḥ kṛtadoṣo'pi vilakṣas tarjito'pi no /	niHSaFkaH kRta-dozaH-api vilakzaH tarjitaH-api naH /
   mithyāvāgdṛṣṭadoṣo'pi dhṛṣṭo'sau kathito yathā // ST_1.28 //	miTyA-AvAc-dRzwa-dozaH-api DRzwaH-asO kaTitaH yaTA // ST_1.28 //
   jalpantyāḥ paruṣaṃ ruṣā mama balāc cumbaty asāv ānanaṃ	jalpantyAH paruzam ruzA mama balAt cumbati asO Ananam
   mṛdgātyāśu karaṃ kareṇa bahuśaḥ santāḍyamāno'pi san /	mRd-gAti-a-ASu karam kareNa bahuSas santAxyamAnaH-api san /
   ālīnāṃ purato dadhāti śirasā pādaprahārāṃs tato	AlInAm puratas daDAti SirasA pAda-prahArAn tatas-
   no jāne sakhi sāmprataṃ praṇayien kupyāmi tasmai katham // ST_1.28a //	naH jAne saKi sAmpratam praNayiet kupyAmi tasmE kaTam // ST_1.28aH //
   (Skm 888)	(Skm 888)
   api ca	api ca
   dhik tvām dhūrta gatatrapa praṇayinī saiva tvayārādhyatāṃ	Dik tvAm DUrta gata-trapa praNayinI sA-eva tvayA-ArADyatAm
   yasyāḥ pādatalāhatiṃ tava hṛdi vyākhyāty asau yāvakaḥ /	yasyAH pAda-tala-Ahatim tava hRdi vyAKyAti asO yAvakaH /
   ity ukto'pi na nāma muñcati yadā pādāv ayaṃ durjano	iti uktaH-api na nAma muQcati yadA pAdO ayam durjanaH-
   mithyāvādavicakṣaṇaḥ kim aparaṃ kuryāṃ vayasye tadā // ST_1.28b //	miTyA-vAda-vicakzaNaH kim aparam kuryAm vayasye tadA // ST_1.28B //
   gūḍhamantraḥ śucir vāgmī bhakto narmavicakṣaṇaḥ /	gUXa-mantraH SuciH vAgmI BaktaH narma-vicakzaNaH /
   syān narmasacivas tasya kupitasstrīprasādakaḥ // ST_1.29 //	syAt narma-sacivaH tasya kupitaH-strI-prasAdakaH // ST_1.29 //
   pīṭhamardo viṭaś ceti vidūṣaka iti tridhā /	pIWamardaH viwaH ca-iti vidUzakaH iti triDA /
   sa bhavet prathamas tatra nāyikānāyakānugaḥ // ST_1.30 //	sa Bavet praTamaH tatra nAyikA-nAyaka-anugaH // ST_1.30 //
   ekavidyo viṭaḥ proktaḥ krīḍāprāyo vidūṣakaḥ /	eka-vidyaH viwaH proktaH krIxA-prAyaH vidUzakaH /
   svavapurveṣabhāṣābhir hāsyakārī ca narmavit // ST_1.31 //	sva-vapuH-veza-BAzABiH hAsya-kArI ca narma-vid // ST_1.31 //
   eṣāṃ prabandhaviṣayo vyavahāraḥ prāyaśo bhavet pracuraḥ /	ezAm prabanDa-vizayaH vyavahAraH prAyaSas Bavet pracuraH /
   pratyekam udāhṛtas tathāpi kāścin nigadyante // ST_1.32 //	pratyekam udAhRtaH taTA-api kAScid nigadyante // ST_1.32 //
   vimuñcāmuṃ mānaṃ saphalaya vacaḥ sādhu suhṛdāṃ	vimuQca-amum mAnam saPalaya vacaH sADu suhRdAm
   mudhā santāpena glapayasi kim aṅgaṃ smarabhuvā /	muDA santApena glapayasi kim aFgam smara-BuvA /
   priyaṃ pādaprāntapraṇatam adhunā mānaya bhṛśaṃ	priyam pAda-prAnta-praNatam aDunA mAnaya BRSam
   na mugdhe pretyetuṃ prabhavati gataḥ kālahariṇaḥ // ST_1.32a //	na mugDe pretyetum praBavati gataH kAla-hariNaH // ST_1.32aH //
   praṇayini bhṛśaṃ tasmin mānaṃ manasvini mā kṛthāḥ	praNayini BRSam tasmin mAnam manasvini mA kRTAH
   kim aparam ito yuktāyuktair vinā hy amunā tava /	kim aparam itas yukta-ayuktEH vinA hi amunA tava /
   ayam api bhavet sampraty api kṣayānalasaṃnibhaḥ	ayam api Bavet samprati api kzaya-anala-saMniBaH
   sarasavisinīkandacchedacchavir mṛgalāñchanaḥ // ST_1.32b //	sarasa-visinI-kanda=-Ceda=-CaviH mRga-lAQCanaH // ST_1.32B //
   dūrāt kandalitair hṛdi pravitataiḥ kaṇṭhe luṭhadbhir haṭhād	dUrAt kandalitEH hRdi pravitatEH kaNWe luWadBiH haWAt-
   vaktre saṅkaṭanāsikātaralitair niryadbhir atyūṣmabhiḥ /	vaktre saFkawa-nAsikA-taralitEH niryadBiH ati-UzmaBiH /
   niḥśvāsaiḥ pṛthumanmathotthadavathur vyaktaṃ tavāvedito	niHSvAsEH pRTu-manmaTa-utTa-davaTuH vyaktam tava-AveditaH-
   mthyālambitasauṣṭhavena kim ataḥ kopena kāntaṃ prati // ST_1.32c //	mTyA-Alambita-sOzWavena kim atas kopena kAntam prati // ST_1.32t //
