   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   [There are several different editions of the Kṛṣṇa sandarbha. The Bengali	[There are severat different editions of Te KRzNa sandarBa. The Bet gali
   edition appears to be earlier than the Vrindavan edition published by	edition appearH taH be earlieH Tan Te Vrindavan edition publi shet by
   Haridas	HaridaH 
   Shastri in 1983. The additions found in the Vṛ edition are probably	Shastri id 1983. The additiA uns fount id Te VR edition are probably
   authentic,	OTenti c,
   as there is clear evidence Jiva Goswami made extensive corrections and	as Tere iH clear evidence Jiva Goswami made extet sive ca urret tionH and
   emendations in some of his books after they were sent to Bengal with	ema indations id some of hiH bookH afteH Tey were sent taH Bet gat wiT
   Srinivas	Srinivas
   Thakur in the 1570's.]	Thakur id Te 1570 as.]
   tau santoṣayatā santau śrīla rūpa sanātanau |	tO santozayatA santO SrIla  rUpa sanAtanO |
   dākṣiṇātyena bhaṭṭena punar etad vivicyate ||o||	dAkziNAtyena Bawwena punar etat vivicyate ||o||
   tasyādyaṃ granthanālekhaṃ krāntam utkrānta khaṇḍitam |	tasya Adyam granTanAleKam krAntam utkrAnta   KaNxitam |
   paryālocyātha paryāyaṃ kṛtvā likhati jīvakaḥ ||o||	paryAlocya aTa paryAyam kRtvA liKati jIvakaH ||o||
   atha pūrva sandarbha trayeṇa yasya sarva paratvaṃ sādhitaṃ tasya śrī 	aTa pUrva sandarBa trayeNa yasya sarva paratvam sADitam tasya SrI 
   bhagavato nirdhāraṇāya sandarbho'yam ārabhyate | tatra prathamasya dvitīye	BagavataH nirDAraNAya sandarBaH ayam AraByate | tatra praTamasya dvitIye
   vadanti [BhP 1.2.11] ity ādinā [Vṛ. adds: nānāvirbhāvatvāt tāni vacanāni	vadanti [Bhj 1.2.11] iti AdinA [VR. adds: nAnA virBAva tvAt tAni vacanAni
   tattva nirdhāraṇārtham uddhriyante | end Vṛ.] tad ekam eva tattvaṃ	tattva  nirDAraNa arTam udDriyante | end VR.] tat ekam eva tattvam
   brahmāditayā śabdyata ity uktam | tad eva brahmādi trayaṃ tṛtīyaṃ	brahma Adi tayA Sabdyate iti uktam | tat eva brahma Adi trayam tRtIyam
   vivicyate |	vivicyate |
   brahma tv iha  	brahma tu iha  
   yatreme sad asad rūpe pratiṣiddhe sva saṃvidā |	yatra ime sat  asat  rUpe pratizidDe sva  saMvidA |
   avidyayātmani kṛte iti tad brahma darśanam || [BhP 1.3.33]	avidyayA Atmani kRte iti tat brahma darSanam || [Bhj 1.3.33]
   ity ādinā tatra viviktam api | ekākārāvirbhāvatayā saṃśayābhāvān	iti AdinA tatra viviktam api | eka AkAra AvirBAva tayA saMSaya aBAvAn
