   akāraṃ hyātmasambhavam Stk_2.6d	akAram hi-Atma-samBavam Stc-_2.6d
   akārākṣarajaṃ viduḥ Stk_22.8b	akAra-akzara-jam viduH Stc-_22.8b
   agnikāryavidhiṃ kramāt Stk_6.1b	agni-kArya-viDim kramAt Stc-_6.1b
   agniṃ srotasi saṃyojya Stk_21.5a	agnim srotasi saMyojya Stc-_21.5a
   agnīṣomātmakaṃ sarvaṃ Stk_12.3a	agnIzoma-Atmakam sarvam Stc-_12.3a
   aghorasteja ityukto Stk_22.12c	aGoraH-tejaH iti-uktaH Stc-_22.12c
   aghoraṃ ca makārajam Stk_22.8d	aGoram ca makAra-jam Stc-_22.8d
   aghoraḥ sāmavedaḥ syād Stk_22.14a	aGoraH sAmavedaH syAt Stc-_22.14a
   aghoro rudradaivatya Stk_22.15c	aGoraH rudra-dEvatya Stc-_22.15c
   aṅkurākāravatsthitā Stk_12.1d	aFkura-AkAra-vat-sTitA Stc-_12.1d
   aṅkurāstatra nirgatāḥ Stk_10.1d	aFkurAH-tatra nirgatAH Stc-_10.1d
   aṅguṣṭhaṃ cāpyapaścimam Stk_1.17d	aFguzWam ca-api-apaScimam Stc-_1.17d
   acireṇaiva kālena Stk_12.5c	acireNa-eva kAlena Stc-_12.5c
   ajñātvaitāni tattvāni Stk_8.5a	ajQAtvA-etAni tattvAni Stc-_8.5a
   aṇimādiguṇaiśvaryaṃ Stk_15.2c	aNima-Adi-guNa-ESvaryam Stc-_15.2c
   aṇimādiprasādhane Stk_19.12b	aNima-Adi-prasADane Stc-_19.12b
   ataḥ parataraṃ nāsti Stk_20.8e	atas parataram na-asti Stc-_20.8e
   ataḥ paraṃ pravakṣyāmi Stk_3.1a	atas param pravakzyAmi Stc-_3.1a
   ataḥ paraṃ pravakṣyāmi Stk_6.1a	atas param pravakzyAmi Stc-_6.1a
   ataḥ paraṃ pravakṣyāmi Stk_7.1a	atas param pravakzyAmi Stc-_7.1a
   ataḥ paraṃ pravakṣyāmi Stk_16.1a	atas param pravakzyAmi Stc-_16.1a
   ataḥ paraṃ pravakṣyāmi Stk_21.1a	atas param pravakzyAmi Stc-_21.1a
   atha dīkṣāṃ pravakṣyāmi Stk_8.1a	aTa dIkzAm pravakzyAmi Stc-_8.1a
   atharvaḥ puruṣaḥ smṛtaḥ Stk_22.14b	aTarvaH puruzaH smRtaH Stc-_22.14b
   athātaḥ sampravakṣyāmi Stk_1.4a	aTa-atas sampravakzyAmi Stc-_1.4a
   athātaḥ sampravakṣyāmi Stk_13.1a	aTa-atas sampravakzyAmi Stc-_13.1a
   adyāpi saṃśayo deva Stk_17.1a	adya-api saMSayaH deva Stc-_17.1a
   adhastācchiṣyamātmānaṃ Stk_22.3c	aDastAt-Sizyam-AtmAnam Stc-_22.3c
   adhastāvadvyavasthitaḥ Stk_20.2b	aDas-tAvat-vyavasTitaH Stc-_20.2b
   adhimāsamṛṇaṃ cāpi Stk_11.3c	aDimAsam-RNam ca-api Stc-_11.3c
   adhimāso vijṛmbhikā Stk_11.4b	aDimAsaH vijRmBikA Stc-_11.4b
   adhivāsaṃ tataḥ kṛtvā Stk_7.2a	aDivAsam tatas kRtvA Stc-_7.2a
   adhonādasya kṣīṇasya Stk_19.9a	aDas-nAdasya kzINasya Stc-_19.9a
   adhomukhamavasthitam Stk_11.15d	aDomuKam-avasTitam Stc-_11.15d
   anagnijvalanaṃ caiva Stk_21.1c	anagni-jvalanam ca-eva Stc-_21.1c
   anagnijvalane hitam Stk_21.4d	anagni-jvalane hitam Stc-_21.4d
   anantaṃ cāntagaṃ kuryāt Stk_5.2a	anantam ca-antagam kuryAt Stc-_5.2a
   anirdiṣṭamasaṃjñaṃ ca Stk_8.29c	anirdizwam-asaMjQam ca Stc-_8.29c
   anuktaṃ yadbhavetkiṃcit Stk_7.11a	anuktam yat-Bavet-kiMcid Stc-_7.11a
   anugṛhṇāti vai śivaḥ Stk_13.22b	anugRhNAti vE SivaH Stc-_13.22b
   anuccāryamasandigdhaṃ Stk_19.12c	anuccAryam-asan-digDam Stc-_19.12c
   anuccāryaṃ prakīrtitam Stk_19.9d	anuccAryam prakIrtitam Stc-_19.9d
   anujñāto 'bhiṣiktaśca Stk_9.5e	anujQAtaH aBiziktaH-ca Stc-_9.5e
   anusvāravivarjitam Stk_1.10d	anusvAra-vivarjitam Stc-_1.10d
   anusvāro bhavennetraṃ Stk_1.10a	anusvAraH Bavet-netram Stc-_1.10a
   antarjalagatāḥ sattvāste Stk_1.7a	antar-jala-gatAH sattvAH-te Stc-_1.7a
   antasthaṃ taṃ vijānīyād Stk_19.9c	antasTam tam vijAnIyAt Stc-_19.9c
   antasthaḥ sarvataḥ sthitaḥ Stk_20.2d	antasTaH sarvatas sTitaH Stc-_20.2d
   antaḥkaraṇavinyāso Stk_2.1a	antaHkaraNa-vinyAsaH Stc-_2.1a
   anyathā tu pṛthakpṛthak Stk_8.28b	anyaTA tu pRTak-pRTak Stc-_8.28b
   anyathā naiva mucyante Stk_8.22a	anyaTA na-eva mucyante Stc-_8.22a
   apānayatyapānastu Stk_10.9a	apAnayati-apAnaH-tu Stc-_10.9a
   apānastena kīrtitaḥ Stk_10.9d	apAnaH-tena kIrtitaH Stc-_10.9d
   apāno rātrirucayte Stk_11.8b	apAnaH rAtriH-ucayte Stc-_11.8b
   api nityaṃ bruvanti tam Stk_1.7b	api nityam bruvanti tam Stc-_1.7b
   abdamekaṃ sa jīvati Stk_18.3b	abdam-ekam sa jIvati Stc-_18.3b
   abhimantrya yathākramam Stk_4.1d	aBimantrya yaTAkramam Stc-_4.1d
   abhimantrya sakṛtsakṛt Stk_3.2d	aBimantrya sakRt-sakRt Stc-_3.2d
   abhiṣekaṃ tu kārayet Stk_9.4b	aBizekam tu kArayet Stc-_9.4b
   abhiṣekaṃ tu pañcabhiḥ Stk_4.4b	aBizekam tu paQcaBiH Stc-_4.4b
   abhiṣekaṃ purā kṛtvā Stk_3.7a	aBizekam purA kRtvA Stc-_3.7a
   abhiṣekaṃ pravakṣyāmi Stk_9.1a	aBizekam pravakzyAmi Stc-_9.1a
   amā caiva tṛtīyakā Stk_11.6d	amA ca-eva tRtIyakA Stc-_11.6d
   amṛtaṃ yatparaṃ vatsa Stk_8.23a	amRtam yat-param vatsa Stc-_8.23a
   amṛtaṃ sarvatomukham Stk_12.5b	amRtam sarvatomuKam Stc-_12.5b
   amṛtaṃ sādhakottamaḥ Stk_12.2d	amRtam sADaka-uttamaH Stc-_12.2d
   ayane savyāsavye dvau puṭakau yugmato viṣuvadāhuḥ Stk_10.23/a	ayane sa-vyAsavye dvO puwakO yugmataH vizuvat-AhuH Stc-_10.23/a
   ayute dve sahasraṃ tu Stk_11.10a	ayute dve sahasram tu Stc-_11.10a
   arghyaṃ dattvā tu mantrasya Stk_16.8c	arGyam dattvA tu mantrasya Stc-_16.8c
   arcanaṃ ca tataḥ kuryād Stk_8.17a	arcanam ca tatas kuryAt Stc-_8.17a
