   Stūpa-lakṣaṇa-kārikā-vivecanaṃ	StUpa-lakzaNa--kArikA--vivecanam
   including	including
   prakīrṇaka-caitya-lakṣaṇaṃ	prakIrNaka-cEtya--lakzaNam
   Ārya-Lokottaravādino yat kṛtir	Ārya--Loka-uttara-vAdinaH yat kRtiH-
   Ācārya-bhadravyūhasya	ĀcArya--Badra-vyUhasya
   Slkv p. 208	Slku p. 208
   siddhaṃ namo buddhāya ||	sidDam namaH budDAya ||
   Slkv §1	Slku §1
   prakīrṇakavinaye proktaṃ yal lokottaravādināṃ |	prakIrNaka-vinaye proktam yat loka-uttara-vAdinAm |
   yac cānyeṣāṃ nikāyānāṃ sūtrādau stūpalakṣaṇaṃ || 1 ||	yat ca-anyezAm nikAyAnAm sUtra-AdO stUpa-lakzaNam || 1 ||
   darśitaṃ lokanāthena stokaṃ stokaṃ kvacit kvacit |	darSitam lokanATena stokam stokam kvacid kvacid |
   Slkv p. 209	Slku p. 209
   sarvan tan setum iveha bhadravyūhena kathyate || 2 ||	sarvan tat setum iva-iha Badra-vyUhena kaTyate || 2 ||
   abhigamye bhuvo bhāge vāstuśuddhe 'pratiṣṭhite |	aBigamye BuvaH BAge vAstu-SudDe apratizWite |
   na khabaddhaunnate snigdhe sthāne śucini kārayet || 3 ||	na Ka-badDOnnate snigDe sTAne Sucini kArayet || 3 ||
   yojanocchrek'; eka nirdiṣṭaṃ parikṣepo 'rdhayojanaḥ |	yojana-ucCrek-a; eka nirdizwam parikzepaH arDa-yojanaH |
   krośavistārā vedikā prakīrṇavinayoditaṃ || 4 ||	kroSa-vistArAH vedikA prakIrNa-vinaya-uditam || 4 ||
   pariṇāhena kumbhasya stūpam ucce prakīrtitaṃ |	pariNAhena kumBasya stUpam ucce prakIrtitam |
   tad aṃśena tu nemy ādi yāvad yaṣṭiśiraṃ kramāt || 5 ||	tat aMSena tu nemi Adi yAvat yazwi-Siram kramAt || 5 ||
   caturasrā bhaven nemir adhastātaḥ tad ardhena |	catur-asrA Bavet nemiH aDas-tAtaH tat arDena |
   pramāṇena karaṇḍasya anubandhena cāpi kā || 6 ||	pramANena karaNxasya anubanDena ca-api kA || 6 ||
   karaṇḍasyāṣṭabhāgena adho neminimarjanaṃ |	karaNxasya-azwa-BAgena aDas nemi-nimarjanam |
   udakodgamane yāvad ā śuddher cco bhuvaḥ smṛtāḥ || 7 ||	udaka-udgamane yAvat A SudDeH ccaH BuvaH smRtAH || 7 ||
   aṣṭabhāgonnataṃ - - kāryeṇa nemi mātrataḥ |	azwa-BAga-unnatam   kAryeNa nemi mAtrataH |
