   Svayambhu Purāṇa	SvayamBu PurANa
   prathama adhyāya	praTamaH aDyAya
   svayambhūdharmadhātusamutpatti nidānakathā	svayamBU-Darma-DAtu-samutpatti nidAna-kaTA
   om namaḥ śrī dharmadhātuvāgīśvarāya sarva buddhadharmabodhisattvebhyaḥ /	om namaH SrI DarmaDAtu-vAgISvarAya sarva budDa-Darma-boDisattveByaH /
   śrīmatā yena saddharmastrailoke saṃprakāśitaḥ /	SrImatA yena sadDarmaH-trEloke saMprakASitaH /
   śrīghanaṃ taṃ mahābuddhaṃ vandeka'haṃ śaraṇāśritaḥ // SvayambhuP_1.1 //	SrIGanam tam mahAbudDam vandeka-aham SaraNa-ASritaH // SvayamBuj-_1.1 //
   natvā trijagadīśānaṃ dharmadhātujinālayaṃ /	natvA trijagat-ISAnam DarmaDAtu-jina-Alayam /
   tatsvayambhūsamuddeśaṃ vakṣāmi śṛṇutādarāt // SvayambhuP_1.2 //	tad-svayamBU-samuddeSam vakzAmi SRNuta-AdarAt // SvayamBuj-_1.2 //
   śraddhayā yaḥ śṛṇotīmāṃ svayambhūtpattisatkathāṃ /	SradDayA yaH SRNoti-imAm svayamBUt-patti-sat-kaTAm /
   pariśuddhatrikāyāḥ sa bodhisattvo bhaved dhruvaṃ // SvayambhuP_1.3 //	pariSudDa-trikAyAH sa boDisattvaH Bavet Druvam // SvayamBuj-_1.3 //
   tadyathā bhūtpurābhijñaḥ jayaśrī sugatātmajaḥ /	tat-yaTA BUt-pura-aBijQaH jaya-SrI sugata-AtmajaH /
   bodhimaṇḍavihāre sa bijahāra sasāṃdhikaḥ // SvayambhuP_1.4 //	boDimaNxa-vihAre sa bijahAra sa-sAMDikaH // SvayamBuj-_1.4 //
   tatra jineśvaro nāma bodhisattva mahāmatiḥ /	tatra jineSvaraH nAma boDisattva mahAmatiH /
   śraddhayā śaraṇaṃ gatvā jayaśrīyaṃ upāśrayet // SvayambhuP_1.5 //	SradDayA SaraNam gatvA jaya-SrIyam upASrayet // SvayamBuj-_1.5 //
   tadā dhīmānjayaśrīḥ sa sarvasattva hitārthavit /	tadA DImAn-jaya-SrIH sa sarva-sattva hita-arTa-vid /
   saddharmasamupādeṣṭuṃ sabhāsane samāśrayet // SvayambhuP_1.6 //	sadDarma-samupAdezwum saBAsane samASrayet // SvayamBuj-_1.6 //
   tatra sarve mahāsattvā bodhisattvā jinātmajāḥ /	tatra sarve mahAsattvAH boDisattvAH jina-AtmajAH /
   arhanto bhikṣavaścāpi brahmacāriṇaḥ śrāvakāḥ // SvayambhuP_1.7 //	arhantaH BikzavaH-ca-api brahmacAriNaH SrAvakAH // SvayamBuj-_1.7 //
   bhikṣuṇyo brahmacāriṇyo bratinaścāpyupāsakāḥ /	BikzuNyaH brahmacAriNyaH bratinaH-ca-api-upAsakAH /
   upāsikāstathānye 'pi gṛhasthaśca mahājanāḥ // SvayambhuP_1.8 //	upAsikAH-taTA-anye api gRhasTaH-ca mahAjanAH // SvayamBuj-_1.8 //
   brāhmaṇāstirthīkāścāpi yatayaśca tapasvinaḥ /	brAhmaNAH-tirTIkAH-ca-api yatayaH-ca tapasvinaH /
   rājāno mantriṇomātyāḥ sainyādhipatiśca paurikāḥ // SvayambhuP_1.9 //	rAjAnaH mantriNaH-mAtyAH sEnya-aDipatiH-ca pOrikAH // SvayamBuj-_1.9 //
   grāmyā janapadāścāpi tathānyavāsino janāḥ /	grAmyAH janapadAH-ca-api taTA-anya-vAsinaH janAH /
   tatsaddharmāmṛtaṃ pātuṃ śraddhayā samupāgatāḥ // SvayambhuP_1.10 //	tad-sadDarma-amRtam pAtum SradDayA samupAgatAH // SvayamBuj-_1.10 //
   tatra sabhāsanāsīnaṃ tamarhataṃ jayaśrīyaṃ /	tatra saBAsana-AsInam tam-arhatam jaya-SrIyam /
   abhyarcya sādaraṃ natvā tatsabhāyāṃ yathākramaṃ // SvayambhuP_1.11 //	aByarcya sa-Adaram natvA tad-saBAyAm yaTAkramam // SvayamBuj-_1.11 //
   kṛtāṃjalipuṭāḥ sarve parivṛtya samantataḥ /	kRta-aMjali-puwAH sarve parivRtya samantataH /
   puraskṛtya samudvikṣya samāśrayan samāhitāḥ // SvayambhuP_1.12 //	puraskRtya samudvikzya samASrayan samAhitAH // SvayamBuj-_1.12 //
   tān sarvān samupāsīnān saddharma śravaṇotsukān /	tAn sarvAn samupAsInAn sadDarma SravaNa-utsukAn /
   dṛṣṭvā jinaśrī bodhisattvaḥ samutthitaḥ // SvayambhuP_1.13 //	dRzwvA jina-SrI boDisattvaH samutTitaH // SvayamBuj-_1.13 //
   udvahannuttarāsaṃgaṃ sāṃjali samupāśritaḥ /	udvahan=-uttarAsaMgam sAMjali samupASritaH /
   jānubhyāṃ bhūtale dhṛtvā sampaśyannevamavravīt // SvayambhuP_1.14 //	jAnuByAm BU-tale DRtvA sampaSyan=-evam-avravIt // SvayamBuj-_1.14 //
   bhadantoharṣamicchāmi carituṃ bodhisaṃvaraṃ /	BadantaH-harzam-icCAmi caritum boDi-saMvaram /
   tadādau kiṃ vrataṃ dhṛtvā saṃcareya samāhitaḥ // SvayambhuP_1.15 //	tad-AdO kim vratam DRtvA saMcareya samAhitaH // SvayamBuj-_1.15 //
   tad bhavān samupādisya sarvānasmān prabodhayan /	tat BavAn samupAdisya sarvAn-asmAn praboDayan /
   bodhimārge samāyujya cārayituṃ śubherhati // SvayambhuP_1.16 //	boDi-mArge samAyujya cArayitum SuBeH-hati // SvayamBuj-_1.16 //
   iti saṃprārthitaṃ tena śrutvā ca sugatātmajaḥ /	iti saMprArTitam tena SrutvA ca sugata-AtmajaH /
   jayaśrīstaṃ mahāsattvaṃ sabhāmantraivamādiśat // SvayambhuP_1.17 //	jaya-SrIH-tam mahAsattvam saBA-mantra-evam-AdiSat // SvayamBuj-_1.17 //
   śṛṇu vatsāsti te vāṃchā sambodhisaṃvare yadi /	SRNu vatsa-asti te vA-aMCA samboDi-saMvare yadi /
   yathākramaṃ pravakṣāmi saṃbodhivratasādhanaṃ // SvayambhuP_1.18 //	yaTAkramam pravakzAmi saMboDi-vrata-sADanam // SvayamBuj-_1.18 //
   yo vāṃchā tatra saṃsāre carituṃ bodhisaṃvaraṃ /	yaH vA-aMCA tatra saMsAre caritum boDi-saMvaram /
   sa ādau śaraṇaṃ gatvā sadguruṃ samupāśrayeta // SvayambhuP_1.19 //	saH AdO SaraNam gatvA sat-gurum samupASrayeta // SvayamBuj-_1.19 //
   tadupadeśamāsādya yathāvidyi samāhitaḥ // SvayambhuP_1.20 //	tat-upadeSam-AsAdya yaTA-vidyi samAhitaH // SvayamBuj-_1.20 //
   tīrthe snātvā viśuddhātmā triratnaśaraṇaṃ gatāḥ /	tIrTe snAtvA viSudDa-AtmA tri-ratna-SaraNam gatAH /
   yathāvidhi samabhyarcya saṃbodhi nihitāśayaḥ // SvayambhuP_1.21 //	yaTAviDi samaByarcya saMboDi nihita-ASayaH // SvayamBuj-_1.21 //
   upoṣadhaṃvratamādhāya samācarejjagaddhite /	upozaDaMvratam-ADAya samAcaret-jagat-hite /
   evaṃ yaścarate nityaṃ saṃbodhimānasaḥ sudhīḥ // SvayambhuP_1.22 //	evam yaH-carate nityam saMboDi-mAnasaH suDIH // SvayamBuj-_1.22 //
   pariśuddha trikāyaḥ sa bodhisattve bhaved /	pariSudDa tri-kAyaH sa boDisattve Bavet /
   bodhisattvo mahāsattvaḥ sarvvasattva hitārthabhṛt // SvayambhuP_1.23 //	boDisattvaH mahAsattvaH sarvu-asattva hita-arTa-BRt // SvayamBuj-_1.23 //
   kramātsaṃbodhi saṃbhāraṃ saṃpūrayet samāhitaḥ /	kramAt-saMboDi saMBAram saMpUrayet samAhitaH /
   etatpuṇyābhiyuktātmācaturbrahma vihāradhṛk // SvayambhuP_1.24 //	etat-puNya-aBiyukta-AtmA-catur-brahma vihAra-DRk // SvayamBuj-_1.24 //
   niḥkleśo nirjjayanmārona saṃbodhiḥ samavāpnuyāt // SvayambhuP_1.25 //	niHkleSaH nirjjayat-mArona saMboDiH samavApnuyAt // SvayamBuj-_1.25 //
   evaṃ sarvatra lokeṣu saddharma saṃprakāśayan /	evam sarvatra lokezu sadDarma saMprakASayan /
   samāpya saugataṃkārya sunirvṛtimavāpnuyāt // SvayambhuP_1.26 //	samApya sOgataMkArya su-nirvRtim-avApnuyAt // SvayamBuj-_1.26 //
   tato 'rhaṃ sugato bhūtvā sarvvānsattvānpravodhayan /	tatas arham sugataH BUtvA sarvvAn-sattvAn-pravoDayan /
   bodhimārge pratiṣṭhāpya saṃvṛttau saṃpracārayet // SvayambhuP_1.27 //	boDi-mArge pratizWApya saMvRttO saMpracArayet // SvayamBuj-_1.27 //
   evaṃ sarve 'pi saṃbuddhāḥ yetītā apyanāgatāḥ /	evam sarve api saMbudDAH yeti-itAH api-anAgatAH /
   varttamānāśca te hayetad vratapuṇya vipākataḥ // SvayambhuP_1.28 //	varttamAnAH-ca te hayetat vratapuNya vipAkataH // SvayamBuj-_1.28 //
   bodhiprāpya jinā āsanbhaviṣyanti bhavantyapi /	boDi-prApya jinAH Asan-Bavizyanti Bavanti-api /
   evaṃ sarve mahāsattvā bodhisattvā jinātmajāḥ // SvayambhuP_1.29 //	evam sarve mahAsattvAH boDisattvAH jina-AtmajAH // SvayamBuj-_1.29 //
   arhanto 'pi thā sarve pariśuddhatrimaṇḍalāḥ /	arhantaH api TA sarve pariSudDa-tri-maNxalAH /
   bodhiṃ prāpya sunirvāṇaṃ yātā yāsyanti yāntyataḥ // SvayambhuP_1.30 //	boDim prApya su-nirvANam yAtAH yAsyanti yAnti-atas // SvayamBuj-_1.30 //
   evaṃ yūyaṃ parijñāya yadecchatha sunivṛtiṃ /	evam yUyam parijQAya yadA-icCaTa su-nivRtim /
   triratnaśaraṇaṃ gatvā saṃcaradhvamidaṃ vrataṃ // SvayambhuP_1.31 //	tri-ratna-SaraNam gatvA saMcaraDvam-idam vratam // SvayamBuj-_1.31 //
   iti tena samādiṣṭaṃ śrutvā sa sugatātmajaḥ /	iti tena samAdizwam SrutvA sa sugata-AtmajaH /
   jineśvaraṃ tamarhantaṃ sampaśyannevamavravīt // SvayambhuP_1.32 //	jineSvaram tam-arhantam sampaSyan=-evam-avravIt // SvayamBuj-_1.32 //
   bhadanta śrotumichāmi tad vratasthānamuttamaṃ /	Badanta Srotum-iCAmi tat vrata-sTAnam-uttamam /
   etad vrataṃ caretkutra taddeśaṃ samupādiśat // SvayambhuP_1.33 //	etat vratam caret-kutra tad-deSam samupAdiSat // SvayamBuj-_1.33 //
   iti saṃprārthite tena jayaśrīḥ sa mahāmatiḥ /	iti saMprArTite tena jaya-SrIH sa mahAmatiH /
