   tattvamīmāṃsā /	tattva-mImAMsA /
   sukhaikaviṣayā bhūtānāṃ pravṛttiḥ / sukhaṃ ca sati duḥkhahetāvasambhavati	suKa-eka-vizayA BUtAnAm pravRttiH / suKam ca sati duHKa-hetO=-a-samBavati
   / ato bhavati duḥkhābhighātake jijñāsā sā ca tattvajñānāt /	/ atas Bavati duHKa-aBiGAtake jijQAsA sA ca tattva-jQAnAt /
   atastattvamatra nirūpyate / nanu trividhaṃ duḥkham	atas-tattvam-atra nirUpyate / nanu triviDam duHKam
   ādhyātmikamādhidaivikamādhibhautikaṃ ca / tatrādhyātmikaṃ dvividhaṃ	ADyAtmi-kam-ADidEvikam-ADiBOtikam ca / tatra-ADyAtmikam dviviDam
   śārīraṃ mānasañca / śārīraṃ vātapittaśleṣmaṇāṃ vaiṣamyanimittaṃ mānasaṃ	SArIram mAnasaQca / SArIram vAta-pitta-SlezmaNAm vEzamya-nimittam mAnasam
   kāmakrodhādinibandhanam / ādhibhautikaṃ mānuṣapaśupakṣyādinimittam /	kAma-kroDa-Adi-nibanDanam / ADiBOtikam mAnuza-paSu-pakzi-Adi-nimittam /
   ādhidaivikaṃ yakṣarākṣasagrahādyāveśanibandhanam / teṣāṃ caiṣāṃ	ADidEvikam yakza-rAkzasa-graha-Adi-AveSa-nibanDanam / tezAm ca-ezAm
   laukikairevopāyaiḥ pratīkāraḥ śakyate / tathā hi śārīrasyauṣadhādibhiḥ	lOkikEH-eva-upAyEH pratIkAraH Sakyate / taTA hi SArIrasya-OzaDa-AdiBiH
   mānasasya manojñastrīpānabhojanavastrālaṅkārādiprāptyā ādhibhautikasya	mAnasasya manojQa-strI-pAna-Bojana-vastra-alaFkAra-Adi-prAptyA ADiBOtikasya
   nītiśāstrābhyāsasusthānopaveśādinā ādhidaivikasya maṇimantrādyupayogeneti	nIti-SAstra-aByAsa-su-sTAna-upaveSa-AdinA ADidEvikasya maNi-mantra-Adi-upayogena-iti
   sukara upāyaḥ tattvajñānaṃ tvanekajanmaraparābhyāsasādhyam / tathā ca	sukaraH upAyaH tattva-jQAnam tu-aneka-janmara-para-aByAsa-sADyam / taTA ca
   laukikānāmābhāṇakaḥ /	lOkikAnAm-ABANakaH /
   akke cenmadhu vindeta kimarthaṃ parvataṃ vrajet /	akke ced-maDu vindeta kim-arTam parvatam vrajet /
   iṣṭasyārthasya saṃprāptau ko vidvān yatnamācaret // iti /	izwasya-arTasya saMprAptO kaH vidvAn yatnam-Acaret // iti /
   akke gṛhakoṇe / maivam / na hyetairupāyaiḥ sarvameva duḥkhaṃ nivartate /	akke gRha-koNe / mA-evam / na hi-etEH-upAyEH sarvam-eva duHKam nivartate /
   nivṛttaṃ punarnotpadyate / yadyapi śāstrīyamapi	nivRttam punar-na-utpadyate / yadi-api SAstrIyam-api
   ahorātramāsavarṣādisādhyamupāyāntaraṃ sukaraṃ śrūyate apāma somamamṛtā	ahorAtra-mAsa-varza-Adi-sADyam-upAya-antaram sukaram SrUyate apAma somam-amRtA
   abhūmeti tathāpi etadapi laukikopāyatulyameva / tathāhi somayāgaḥ	aBUma-iti taTA-api etat-api lOkika-upAya-tulyam-eva / taTA-hi soma-yAgaH
   paśuvadhādisādhanatvānna viśeṣataḥ śuddhaḥ / akṛte hi tadvadhaprāyaścitte	paSu-vaDa-Adi-sADana-tvAt-na viSezataH SudDaH / akRte hi tad-vaDa-prAyaScitte
   svargādigatyanantaraṃ paripacyate eva tadduḥkham / na ca na	svarga-Adi-gati-anantaram paripacyate eva tad-duHKam / na ca na
   hiṃsyātsarvābhūtānīti sāmānyaśāstrabhya viśeṣaśāstreṇāgnīṣomīyaṃ	hiMsyAt-sarva-aBUtAni-iti sAmAnya-SAstraByaH viSeza-SAstreNa-agnIzomIyam
   paśumālabhetetyanena bādhaḥ śaṅkyaḥ bhinnaviṣayatvena	paSum-AlaBeta-iti-anena bADaH SaFkyaH Binna-vizaya-tvena
   bādhyabādhakabhāvāsambhavāt agnīṣomīyaṃ paśumālabheteti vākyena hi	bADya-bADaka-BAvA-samBavAt agnIzomIyam paSum-AlaBeta-iti vAkyena hi
   vadhasya kratūpakārakatvameva bodhyate na tu puruṣapratyavāyābhāvaḥ / evaṃ	vaDasya kratu-upakAraka-tvam-eva boDyate na tu puruza-pratyavAya-aBAvaH / evam
   svargāderanityatvamapi sattve sati kāryatvādanumīyate / tathā ca śrutirapi	svarga-AdeH-anitya-tvam-api sattve sati kAryatvAt-anumIyate / taTA ca SrutiH-api
   na karmaṇā na prajayā dhanena tyāgenaikenāmṛtatvamānaśuḥ /	na karmaNA na prajayA Danena tyAgena-ekena-amRta-tva-mAnaSuH /
