   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   akṣobhyaṃ paripūjayet ToT_1.4d	akzoByam paripUjayet ToT_1.4d
   akṣobhyaṃ pūjayedadhaḥ ToT_4.35b	akzoByam pUjayet-aDas ToT_4.35b
   akṣobhyaḥ parikīrtitaḥ ToT_1.6d	akzoByaH parikIrtitaH ToT_1.6d
   agnijāyā mahāvidyā ToT_6.19c	agnijAyA mahAvidyA ToT_6.19c
   aṅganyāsaṃ tataḥ kṛtvā ToT_3.44a	aFganyAsam tatas kRtvA ToT_3.44a
   aṅganyāsaṃ tataḥ kṛtvā ToT_3.54a	aFganyAsam tatas kRtvA ToT_3.54a
   aṅganyāsaṃ maheśāni ToT_4.42a	aFganyAsam maheSAni ToT_4.42a
   aṅgapūjāṃ ca kālyādīn ToT_3.75c	aFga-pUjAm ca kAlI-AdIn ToT_3.75c
   aṅgulīvyāpakanyāsau ToT_3.73a	aFgulI-vyApaka-nyA-asO ToT_3.73a
   aṅgulyekena kiṃ mānaṃ ToT_7.10c	aFgulI-ekena kim mAnam ToT_7.10c
   aṅgulyekena deveśi ToT_7.11a	aFgulI-ekena deveSi ToT_7.11a
   aṅguṣṭhādi maheśāni ToT_3.4a	aFguzWa-Adi maheSAni ToT_3.4a
   ata eva mahākālo ToT_1.22a	atas eva mahAkAlaH ToT_1.22a
   ata eva maheśāni ToT_1.6c	atas eva maheSAni ToT_1.6c
   ata eva maheśāni ToT_1.9a	atas eva maheSAni ToT_1.9a
   ata eva maheśāni ToT_5.10a	atas eva maheSAni ToT_5.10a
   ata eva maheśāni ToT_5.40c	atas eva maheSAni ToT_5.40c
   ata eva maheśāni ToT_6.14c	atas eva maheSAni ToT_6.14c
   ata eva maheśāni ToT_7.20c	atas eva maheSAni ToT_7.20c
   ata eva sa pāpiṣṭhaḥ ToT_5.38a	atas eva sa pApizWaH ToT_5.38a
   atalaṃ parikīrtitam ToT_7.35b	atalam parikIrtitam ToT_7.35b
   atalaṃ vitalaṃ caiva ToT_2.8a	atalam vitalam ca-eva ToT_2.8a
   atastārā prakīrtitā ToT_6.42b	atas-tArA prakIrtitAH ToT_6.42b
   ataḥ sā kuṇḍalī devī ToT_8.21c	atas sA kuNxalI devI ToT_8.21c
   atisnehena deveśi ToT_6.57a	atisnehena deveSi ToT_6.57a
   atroktamācaredatra ToT_4.45a	atra-uktam-Acaret-atra ToT_4.45a
   atha pārśve tathā carme ToT_8.4a	aTa pArSve taTA carme ToT_8.4a
   atha vakṣye mahāvidyā- ToT_6.21a	aTa vakzye mahAvidyA ToT_6.21a
   athavā nijanāsāgre ToT_9.22a	aTavA nija-nAsA-agre ToT_9.22a
   athavā parameśāni ToT_9.25a	aTavA parameSAni ToT_9.25a
   atha ṣaḍakṣarasyāsya ToT_6.23a	aTa zaz-akzarasya-asya ToT_6.23a
   athātaḥ sampravakṣyāmi ToT_5.32c	aTa-atas sampravakzyAmi ToT_5.32c
   athātaḥ sampravakṣyāmi ToT_10.4a	aTa-atas sampravakzyAmi ToT_10.4a
   athānyat sampravakṣyāmi ToT_2.17c	aTa-anyat sampravakzyAmi ToT_2.17c
   adyetyādi samuccārya ToT_3.34c	adya-ityAdi samuccArya ToT_3.34c
   adhikaṃ parikīrtitam ToT_7.9d	aDikam parikIrtitam ToT_7.9d
   anantarūpiṇī durgā ToT_8.18c	ananta-rUpiNI durgA ToT_8.18c
   anākulena deveśi ToT_10.2a	anAkulena deveSi ToT_10.2a
   anāhate mahāpadme ToT_7.28c	anAhate mahApadme ToT_7.28c
   anāhate mahāpadme ToT_9.30c	anAhate mahApadme ToT_9.30c
   anuccāryaṃ tadeva syād ToT_6.13c	anuccAryam tat-eva syAt ToT_6.13c
   anena manunā devi ToT_3.45c	anena manunA devi ToT_3.45c
