   prastāvanā /	prastAvanA /
   asminbharatakhaṇḍe khalvadyāvadhi bahavaḥ saṃskṛtagranthāḥ saṃśodhya	asmin-Barata-KaNxe Kalu-adya-avaDi bahavaH saMskRta-granTAH saMSoDya
   mudraṇadvārā prākāśyaṃ nītāstatra tatra paṇḍitaprakāṇḍaiḥ /	mudraNa-dvArA prAkASyam nItAH-tatra tatra paNxita-prakANxEH /
   tathāpi katicana prājīnāḥ prabandhāḥ prakāśanārhā api pustakakośeṣveva	taTA-api katicana prAjInAH prabanDAH prakASana-arhAH api pustaka-koSezu-eva
   nilīnā vartante /	nilInAH vartante /
   teṣāmanyatamo 'yaṃ kāvyālaṅkārasaṃgrahākhyaḥ prabandho yo 'dya mahatā	tezAm-anyatamaH ayam kAvya-alaFkAra-saMgraha-AKyaH prabanDaH yaH adya mahatA
   prayatnena sahṛdayahṛdayavanodāya prakāśyate /	prayatnena sahRdaya-hRdaya-vana-udAya prakASyate /
   asya kāvyālaṅkārasaṅgrahagranthasya praṇetā udbhaṭabhaṭṭaḥ /	asya kAvya-alaFkAra-saFgraha-granTasya praNetA udBawa-BawwaH /
   udbhaṭabhaṭṭasya bhaṭṭodbhaṭaudbhaṭācāryaḥ	udBawa-Bawwasya Bawwa-udBawa-OdBawa-AcAryaH
   ityāpi nāmollekho granthāntareṣu dṛśyate /	ityA-api nAma-ulleKaH granTa-antarezu dRSyate /
   udbhaṭabhaṭṭa kaśmīreṣu jayāpīḍaḥ bhūpasya sabhāpatirāsīditi	udBawa-Bawwa kaSmIrezu jayA-pIxaH BUpasya saBA-patiH-AsIt-iti
   kalhaṇavaracatarājataraṅgiṇīgranthādavagamyate /	kalhaNa-vara-cata-rAja-taraFgiNI-granTAt-avagamyate /
   jayāpīḍanṛpatirājyakālastu khrista 779 varṣamārabhya 813	jaya-ApIxa-nRpati-rAjya-kAlaH-tu KriH-te 779 varzam-AraBya 813
   varṣaparyantamāsīditi jñāyate /	varza-paryantam-AsIt-iti jQAyate /
   atastatsabhāpaterudbhaṭabhaṭṭasyāpi jīvitasamayaḥ sa eveti viduṣāṃ	atas-tad-saBA-pateH-udBawa-Bawwasya-api jIvita-samayaH saH eva-iti viduzAm
   nirṇayaḥ /	nirNayaH /
   udbhaṭācāryeṇa kumārasaṃbhavākhyaṃ kāvyaṃ tathā	udBawa-AcAryeNa kumArasaMBava-AKyam kAvyam taTA
   bhāmahakṛtālaṅkāragranthasya vivaraṇaṃ ca viracitamāsīditi jñāyate /	BAmaha-kRta-alaFkAra-granTasya vivaraNam ca viracitam-AsIt-iti jQAyate /
   atra pramāṇaṃ tu asyāṃ laghuvṛttau "anena granthakṛtā	atra pramANam tu asyAm laGu-vRttO "anena granTa-kRtA
   khoparacitakumārasaṃbhavaikadeśo 'tra udāharaṇatvenopanyastaḥ"pṛ0 15 iti	Ka-uparacita-kumAra-saMBava-eka-deSaH atra udAharaNa-tvena-upanyastaH"pR0 15 iti
   "viśeṣoktalakṣaṇe ca bhāmahavivaraṇe bhaṭṭodbhaṭena ekadeśaśbada evaṃ	"viSeza-ukta-lakzaNe ca BAmaha-vivaraNe Bawwa-udBawena eka-deSaH-badaH evam
   vyākhyātaḥ"pṛ0 13 iti ca pratīhārendurājasyoktiḥ /	vyAKyAtaH"pR0 13 iti ca pratIhAra-indu-rAjasya-uktiH /
   kāvyālaṅkārasāralaghuvṛtteḥ praṇetā śrīpratahārendurājastu	kAvya-alaFkAra-sAra-laGu-vRtteH praNetA SrI-pratahAra-indu-rAjaH-tu
   koṅkaṇadeśavāstavyaḥ kaśmīreṣu	koFkaNa-deSa-vAstavyaH kaSmIrezu
   mīmāṃsākhyākaraṇatarkasāhityaśāstrapāraṃgatabhaṭṭaśrīmukulādadhītaśāstraśceti	mImAMsA-AKyAkaraNa-tarka-sAhitya-SAstra-pAraMgata-Bawwa-SrI-mukulAt-aDIta-SAstraH-ca-iti
   asyā laghuvṛtteḥ prārambhopasaṃhārayoḥ sthitābhyāṃ nimnalikhitapadyābhyāṃ	asyAH laGu-vRtteH prAramBa-upasaMhArayoH sTitAByAm nimna-liKita-padyAByAm
   sphuṭaṃ bhavati /	sPuwam Bavati /
   "vidvadagryānmukulakādadhigamya vivicyate /	"vidvat-agryAt-mukulakAt-aDigamya vivicyate /
   pratīhārendurājena kāvyālaṅkārasaṃgrahaḥ //	pratIhAra-indu-rAjena kAvya-alaFkAra-saMgrahaH //
