   śrīḥ	SrIH
   nyāyakusumāñjalau dvitīyastabakaḥ //	nyAya-kusuma-aQjalO dvitIya-stabakaH //
   [ku.2.201]	[ku.2.201]
   tadevaṃ sāmānyataḥ	tat-evam sAmAnyatas-
   (70)siddhe alaukike hatau- tatsādhanenāvaśyaṃ	(70)-sidDe alOkike hatO tad-sADanena-avaSyam
   bhavitavyam /	Bavitavyam /
   na ca tacchakyamasmadādibhirdraṣṭum /	na ca tat-Sakyam-asmad-AdiBiH-drazwum /
   na cādṛṣṭena vyavahāraḥ- tato lokottaraḥ sarvānubhāvī sambhāvyate /	na ca-adRzwena vyavahAraH tatas loka-uttaraH sarva-anuBAvI samBAvyate /
   [ku.2.202] (71)nanu nityanirdeṣavedadvārako yogakarmasiddhasarvajñadvārako	[ku.2.202] (71)nanu nitya-nirdeza-veda-dvArakaH yoga-karma-sidDa-sarvajQa-dvAra-kaH-
   vā dharmasampradāyaḥ syāt /	vA Darma-sampradAyaH syAt /
   kiṃ parameśvarakalpanayeti cet- (72)atrocyate- pramāyāḥ paratantratvāt	kim parameSvara-kalpanayA-iti cet (72)atra-ucyate pramAyAH paratantra-tvAt
   sargapralayasambhavāt /	sarga-pralaya-samBavAt /
   (73)tadanyasminnanāśvāsānna vidhāntarasambhavaḥ //1 //	(73)tad-anyasmin=-anASvAsAt-na viDa-antara-samBavaH //1 //
   [ku.2.203] tathā hi...pramājñānahetvatiriktahetvadhīnā kāryatve sati	[ku.2.203] taTA hi...-pramA-jQAna-hetu-atirikta-hetu-aDInA kAryatve sati
   tadviśeṣatvāt apramāvat /	tad-viSeza-tvAt apramAvat /
   yadi ca tāvanmātrādhīnā bhavet, apramāpi pramaiva bhavet /	yadi ca tAvat-mAtra-aDInA Bavet, apramA-api pramA-eva Bavet /
   asti hi tatra jñānahetuḥ /	asti hi tatra jQAna-hetuH /
   anyathā jñānamapi sā na syāt /	anyaTA jQAnam-api sA na syAt /
   [ku.2.204] jñānatve 'pyatiriktadoṣānupraveśādaprameti cet- evaṃ tarhi	[ku.2.204] jQAna-tve api-atirikta-doza-anupraveSAt-apramA-iti cet evam tarhi
   doṣābhāvamadhikamāsādya pramāpi jāyeta; niyamena tadapekṣaṇāt /	doza-aBAvam-aDikam-AsAdya pramA-api jAyeta; niyamena tad-apekzaNAt /
   astu doṣābhāvo 'dhikaḥ, bhāvastu neṣyata iti cet- bhavedapyevam, yadi	astu doza-aBAvaH aDikaH, BAvaH-tu na-izyate iti cet Bavet-api-evam, yadi
   niyamena doṣairbhāvarūpaireva bhavitavyam /	niyamena dozEH-BAva-rUpEH-eva Bavitavyam /
   na tvevam; viśeṣādarśanāderabhāvasyāpi doṣatvāt /	na tu-evam; viSeza-adarSana-AdeH-aBAvasya-api doza-tvAt /
   kathamanyathā tataḥ saṃśayaviparyayau? tatastadabhāvo bhāva eveti kathaṃ	kaTam-anyaTA tatas saMSaya-viparyayO? tatas-tad-aBAvaH BAvaH eva-iti kaTam
   sa neṣyate? [ku.2.205] syādetat- śabde tāvat vipralipsādayo bhāvā eva	sa na-izyate? [ku.2.205] syAt-etat Sabde tAvat vipralipsA-AdayaH BAvAH eva
   doṣāḥ /	dozAH /
   tatastadabhāve svata eva śābdī prameti cet- na- anumānādau	tatas-tad-aBAve svatas eva SAbdI pramA-iti cet na anumAna-AdO
   liṅgaviparyāsādīnāṃ (74)bhāvānāmapi doṣatve tadabhāvamātreṇa	liFga-viparyAsa-AdInAm (74)BAvAnAm-api doza-tve tad-aBAva-mAtreNa
   pramānutpatteḥ /	pramAnutpatteH /
   "anyatra yathātathāstu /	"anyatra yaTAtaTA-astu /
   śabde tu vipralipsādyabhāve vaktṛguṇāpekṣā nāstī'ti cenna- guṇābhāve	Sabde tu vipralipsA-Adi-aBAve vaktR-guNa-apekzA na-astI-ati ced-na guNa-aBAve
   tadapramāṇyasya vaktṛdoṣāpekṣā nāstīti viparyayasyāpi (75)tulyatvāt /	tad-apramANyasya vaktR-doza-apekzA na-asti-iti viparyayasya-api (75)tulya-tvAt /
   aprāmāṇyaṃ prati doṣāṇāmanvayavyatirekau sta iti cenna- prāmāṇyaṃ pratyapi	aprAmANyam prati dozANAm-anvaya-vyatirekO staH iti ced-na prAmANyam pratyapi
   guṇānāṃ tayoḥ sattvāt /	guNAnAm tayoH sattvAt /
