   śrīḥ //	SrIH //
   śrīmate śrīnivāsaparabrahmaṇe namaḥ //	SrImate SrI-nivAsa-para-brahmaNe namaH //
   nyāyakusumāñjalau pañcamastabakaḥ //	nyAya-kusuma-aQjalO paQcama-stabakaH //
   nanvīśvare pramāṇopapattau satyāṃ sarvametadevaṃ syāt /	nanu-ISvare pramANa-upapattO satyAm sarvam-etat-evam syAt /
   tadeva tu na paśyāma iti cet- nahyeṣa sthāṇoraparādhaḥ yadenamandho na	tat-eva tu na paSyAmaH iti cet na-hi-eza sTANoH-aparADaH yat-enam-anDaH na
   paśyati /	paSyati /
   tathāhi- kāryā'yojanadhṛtyādeḥ padāt pratyayataḥ śruteḥ /	taTA-hi kAryA-ayojana-DRtya-AdeH padAt pratyayataH SruteH /
   vākyāt saṅkhyāviśeṣācca sādhyo viśvavidavyayaḥ //1 //	vAkyAt saFKyA-viSezAt-ca sADyaH viSva-vid-avyayaH //1 //
   [ku.5.602] kṣityādi kartṛpūrvakaṃ kāryatvāditi- na bādho 'syopajīvyatvāt	[ku.5.602] kziti-Adi kartR-pUrvakam kAryatvAt-iti na bADaH asya-upajIvya-tvAt
   pratibandho na durbalaiḥ /	pratibanDaH na durbalEH /
   siddhyasiddhyorvirodho no nāsiddhiranibandhanā //2 //	sidDi-asidDyoH-viroDaH naH na-asidDiH-anibanDanAH //2 //
   [ku.5.603] tathāhi- atra ye śarīraprasaṅgamudghāṭayanti, kasteṣāmāśayaḥ?	[ku.5.603] taTA-hi atra ye SarIra-prasaFgam-udGAwayanti, kaH-tezAm-ASayaH?
   kimīśvaraṃ pakṣayitvā kartṛtvāccharīritvam; tataḥ (atha)	kim-ISvaram pakzayitvA kartR-tvAt-SarIri-tvam; tatas (aTa)
   śarīravyāvṛtterakartṛtvam; atha kṣityādikameva pakṣayitvā	SarIra-vyAvRtteH-akartR-tvam; aTa kziti-Adikam-eva pakzayitvA
   kāryatvāccharīrikartṛkatvam; yadvā śarīrājanyatvādakāryatvam; tata eva	kAryatvAt-SarIri-kartRka-tvam; yat-vA SarIra-ajanya-tvAt-akArya-tvam; tatas eva
   vākartṛkatvam; paravyāptistambhanārthaṃ viparītavyāptyupadarśanamātraṃ	vAkartRka-tvam; para-vyApti-stamBana-arTam viparIta-vyApti-upadarSana-mAtram
   veti? tatra prathamadvitīyayorāśrayāsiddhibādhāpasiddhāntapratijñāvirodhāḥ	veti? tatra praTama-dvitIyayoH-ASraya-asidDi-bADApa-sidDAnta-pratijQA-viroDAH
   tṛtīye tu vyāptau satyāṃ nedamaniṣṭam; asatyāntu na prasaṅgaḥ /	tRtIye tu vyAptO satyAm na-idam-anizwam; asatya-antu na prasaFgaH /
   caturthe bādhānekāntau (229) /	caturTe bADAn-ekAntO (229) /
   pañcametvasamarthaviśeṣaṇatvam /	paQcametu-asamarTa-viSezaNa-tvam /
   ṣaṣṭhe 'pināgṛhyamāṇaviśeṣayā vyāptyā bādhaḥ /	zazWe apinA-gRhyamANa-viSezayA vyAptyA bADaH /
   na cāgṛhyamāṇāviśeṣayā (230) vyāptyā gṛhyamāṇaviśeṣāyāḥ satpratipakṣatvam	na ca-agRhyamANA-viSezayA (230) vyAptyA gRhyamANa-viSezAyAH sat-pratipakza-tvam
   asti ca kāryatvavyāpteḥ pakṣadharmatāparigraho viśeṣaḥ /	asti ca kAryatva-vyApteH pakza-Darma-tA-parigrahaH viSezaH /
   kartāśarīrī, viparīto na karteti cānayostadvirahaḥ /	kartA-aSarIrI, viparItaH na kartA-iti ca-anayoH-tad-virahaH /
   [ku.5.604] nanu yad buddhimaddhetukaṃ taccharīhetukamiti niyame	[ku.5.604] nanu yat budDimat-hetukam tat-SarI-hetukam-iti niyame
   yaccharīrahetukaṃ na bhavati tad buddhimaddhetukamapi na bhavatīti	yat-SarIra-hetukam na Bavati tat budDimat-hetukam-api na Bavati-iti
   viryayaniyamopi syāt /	viryaya-niyamopi syAt /
   tathāca pakṣadharmatāpi labhyata iti cenna- gaganādeḥsapakṣabhāgasyāpi	taTA-ca pakza-Darma-tA-api laByate iti ced-na gagana-AdeH-sa-pakza-BAgasya-api
   sambhavātkevalavyatirekitvānupapatteḥ /	samBavAt-kevala-vyatirekitva-anupapatteH /
   anvaye tu viśeṣaṇāsāmarthyāt /	anvaye tu viSezaNA-sAmarTyAt /
   hetuvyāvṛttimātrameva hi tatra kartṛvyāvṛttivyāptam; na tu	hetu-vyAvRtti-mAtram-eva hi tatra kartR-vyAvRtti-vyAptam; na tu
   śarīrarūpahetuvyāvṛttirityuktam /	SarIra-rUpa-hetu-vyAvRttiH-iti-uktam /
   vyāptaśca pakṣadharma upayujyate, na tvanyo 'tiprasaṅgāt /	vyAptaH-ca pakza-DarmaH upayujyate, na tu-anyaH ati-prasaFgAt /
   etena tadvyāpakarahitatvāditi sāmānyopasaṃhārasyāsiddhatvamuktaṃ	etena tad-vyApaka-rahita-tvAt-iti sAmAnya-upasaMhArasya-asidDa-tvam-uktam
   veditavyam /	veditavyam /
   nahi yadvyāvṛttiryadabhāve 'nvayavyatirekābhyāmupasaṃhartumaśakyā,	na-hi yat-vyAvRttiH-yat-aBAve anvaya-vyatirekAByAm-upasaMhartum-aSakyA,
   tattasya vyāpakaṃ nāmeti /	tat-tasya vyApakam nAma-iti /
   [ku.5.605] viśeṣavirodhastu viśeṣasiddhau sahopalambhena tadasiddhau	[ku.5.605] viSeza-viroDaH-tu viSeza-sidDO saha-upalamBena tad-asidDO
   mithodharmiparihārānupalambhena nirasto nāśaṅkāmapyadhirohatīti /	miTas-Darmi-parihAra-anupalamBena nirastaH na-ASaFkAm-api-aDirohati-iti /
   [ku.5.606] syādetat- asti tāvat kāryasyāvāntaraviśeṣaḥ	[ku.5.606] syAt-etat asti tAvat kAryasya-avAntara-viSezaH
   yataḥśarīrikartṛkatvamanumīyate /	yatas-SarIri-kartRka-tvam-anumIyate /
   tathāca tatprayuktāmeva vyāptamupajīvetkāryatvasāmānyamiti syāt- na syāt-	taTA-ca tad-prayuktAm-eva vyAptam-upajIvet-kArya-tva-sAmAnyam-iti syAt na syAt--
   nahi viśeṣostīti sāmānyamaprayojakam /	na-hi viSeza-usti-iti sAmAnyam-aprayojakam /
   tathāsati saurabhakaṭutvanīlimādiviśeṣe (231) sati na	taTA-asati sOraBa-kawu-tva-nIlim-Adi-viSeze (231) sati na
   dhūmasāmānyamagniṅgamayet /	DUma-sAmAnyam-agniFga-mayet /
