   Abhidharmadīpaḥ	ABiDarma-dIpaH
   vibhāṣāprabhāvṛttisahitaḥ /	viBAzA-praBA-vRtti-sahitaH /
   prathamo 'dhyāyaḥ / prathamaḥ pādaḥ /	praTamaH aDyAyaH / praTamaH pAdaH /
   yo duḥkhahetuvyupaśāntimārgaṃ pradarśayāmāsa narāmarebhyaḥ /	yaH duHKa-hetu-vyupaSAnti-mArgam pradarSayAmAsa nara-amareByaH /
   taṃ satpathajñaṃ praṇipatya buddhaṃ śāstraṃ kariṣyāmyabhidharmadīpam //	tam sat-paTa-jQam praNipatya budDam SAstram karizyAmi-aBiDarma-dIpam //
   sattvādyananyathābhāve vyaktābhāvaḥ prasajyate /	sattva-Adi-ananyaTA-aBAve vyakta-aBAvaH prasajyate /
   tadvikārādvikāritvaṃ prakṛtestadabhedataḥ // [2] //	tad-vikArAt-vikAri-tvam prakRteH-tad-aBedataH // [2] //
   na karma svakatotsargāt jñavyaktātmakatā malāḥ /	na karma sva-kata-utsargAt jQa-vyakta-Atmaka-tAH malAH /
   prākpakṣe muktyabhāvaśca dvitīye 'nye 'pyupaplavāḥ // [3] //	prAk-pakze mukti-aBAvaH-ca dvitIye anye api-upaplavAH // [3] //
   rūpaskandho hi netrādyā daśāyatanadhātavaḥ /	rUpa-skanDaH hi netra-AdyAH daSa-Ayatana-DAtavaH /
   dharmasaṃjñe trayaskandhāḥ sāvijñaptirdhruvatrayāḥ // [4] //	Darma-saMjQe traya-skanDAH sa-avijQaptiH-Druva-trayAH // [4] //
   manaḥsaṃjñakamanyo 'pi saptavijñānadhātavaḥ /	manaH-saMjQakam-anyaH api sapta-vijQAna-DAtavaH /
   āyadvāraṃ hyāyatanaṃ dhāturgotraṃ nirucyate // [5] //	Aya-dvAram hi-Ayatanam DAtuH-gotram nirucyate // [5] //
   yogarūpyānukūlyāderdvādaśāyatanīṃ muniḥ /	yoga-rUpya-AnukUlI-AdeH-dvAdaSa-AyatanIm muniH /
   buddhyādyekatvadhīhānyai dhātūṃścāṣṭādaśoktavān // [6] //	budDi-Adi-ekatvaDI-ha-anyE DAtUn=-ca-azwAdaSa-uktavAn // [6] //
   ṣaṇṇāmanyo nyatantratvātkāraṇaṃ yaddhi tanmanaḥ /	zaNNAm-anyaH nyatantra-tvAt-kAraNam yat-hi tat-manaH /
