   Vajravidāraṇī	VajravidAraNI
   namo bhagavatya āryamahāvajravidāraṇāyai / namo buddhāya //	namaH BagavatyaH Arya-mahA-vajra-vidAraNAyE / namaH budDAya //
   evaṃ mayā śrutam ekasmin samaye bhagavān vajreṣu viharati sma /	evam mayA Srutam ekasmin samaye BagavAn vajrezu viharati sma /
   sarvaśarīraṃ vajramayam adhiṣṭhāya vajrapāṇiś ca buddhānubhāvena	sarva-SarIram vajra-mayam aDizWAya vajrapANiH ca budDa-anuBAvena
   vajrasamādhiṃ samāpannam* / tato vajrapāṇir buddhānubhāvena	vajra-samADim samApannam* / tatas vajrapANiH budDa-anuBAvena
   sarvabuddhādhiṣṭhānāc ca sarvabodhisatvādhiṣṭhānāc ca mahākrodhasaṃbhūtaṃ	sarva-budDa-aDizWAnAt ca sarva-boDisatva-aDizWAnAt ca mahA-kroDa-saMBUtam
   vajrasārapadaṃ bhāṣate sma //	vajra-sAra-padam BAzate sma //
   acchedyam abhedyaṃ satyadṛḍhasthiraṃ sarvatā pratihataṃ	acCedyam aBedyam satya-dRXa-sTiram sarvatA pratihatam
   sarvasatvavidāraṇakaraṃ sarvasatvasādhanakaraṃ sarvavidyācchedanakaraṃ	sarva-satva-vidAraNa-karam sarva-satva-sADana-karam sarva-vidyA-A=-Cedana-karam
   sarvavidyāstambhanakaraṃ sarvakarmavidhvaṃsanakaraṃ	sarva-vidyA-stamBana-karam sarva-karma-viDvaMsana-karam
   sarvakarmavidāraṇakaraṃ sarvagrahotsādanakaraṃ sarvagrahavimokṣaṇakaraṃ	sarva-karma-vidAraNa-karam sarva-graha-utsAdana-karam sarva-graha-vimokzaNa-karam
   sarvabhūtāpakarṣaṇakaraṃ sarvavidyāmantrakarāyanakaram asiddhānāṃ	sarva-BUta-apakarzaNa-karam sarva-vidyA-mantra-karAyana-karam asidDAnAm
   siddhakaraṃ siddhānāṃ cāpi vināśanakaraṃ sarvakarmapadaṃ sarvasatvānāṃ	sidDa-karam sidDAnAm ca-api vinASana-karam sarva-karma-padam sarva-satvAnAm
