   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   1.1-3.7 (sadhanasamuddesa)	1.1-3.7 (saDana-samuddesa)
   based on the edition by Wilhelm Rau, Wiesbaden 1977	baset on Te edition bi Wilhelm RO, Wiesbadet 1977
   Input by Somadeva Vasudeva 2002	In-pud bi Somadeva VasudevaH 2002
   PADA-INDEX	PADA-I-iNDa-eX
   akṛtrimo hi saṃbandho Vp_2.369c	akRtrimaH hi saMbanDaH Vp_2.369c
   akṛtsnaviṣayābhāsaṃ Vp_3,3.54a	akRtsna-vizaya-ABAsam Vp_3,3.54a
   akramas tu vitatyeva Vp_2.19c	akramaH tu vitati-a-iva Vp_2.19c
   akramaḥ kramarūpeṇa Vp_1.49c	akramaH krama-rUpeNa Vp_1.49c
   akrame kramanirbhāse Vp_2.33c	akrame krama-nirBAse Vp_2.33c
   akṣāṇāṃ tantriṇāṃ tantram Vp_2.466a	akzANAm tantriNAm tantram Vp_2.466a
   akṣādiṣu yathā bhinnā Vp_2.465a	akza-Adizu yaTA BinnA Vp_2.465a
   akṣādīnām iva prāhur Vp_2.409c	akza-AdInAm iva prAhuH Vp_2.409c
   agṛhītāvadhau śabde Vp_2.95c	agRhIta-avaDO Sabde Vp_2.95c
   agṛhītāḥ prakāśakāḥ Vp_1.57d	agRhItAH prakASakAH Vp_1.57d
   agnidattas tu yo 'gniḥ syāt Vp_2.282a	agnidattaH tu yaH agniH syAt Vp_2.282a
   agniśabdanibandhanaḥ Vp_1.61b	agni-Sabda-nibanDanaH VB-_1.61b
   agniśabdas tathaivāyam Vp_1.61a	agni-SabdaH taTA-eva-ayam Vp_1.61a
   agniśabdābhidheyayā Vp_1.61d	agni-Sabda-aBiDeyayA Vp_1.61d
   agniśrutyaiti saṃbandham Vp_1.61c	agniSrutyA-eti saMbanDam Vp_1.61c
   agnisomādayaḥ śabdā Vp_2.281a	agni-soma-AdayaH SabdAH Vp_2.281a
   agniḥ prakāśadāhābhyām Vp_2.477c	agniH prakASa-dAhAByAm Vp_2.477c
   agnyartham upapāditam Vp_2.300b	agni-arTam upapAditam Vp_2.300b
   aghoṣā ca pravartate Vp_1.164b	aGozA ca pravartate Vp_1.164b
   aṅgatvena pratītānāṃ Vp_3,1.59a	aFga-tvena pratItAnAm Vp_3,1.59a
   aṅgānām aprayojakam Vp_2.81b	aFgAnAm aprayojakam Vp_2.81b
   aṅgīkṛte tu keṣāṃ cit Vp_2.416a	aFgIkRte tu kezAm cit Vp_2.416a
   aṅgopāṅganibandhanāḥ Vp_1.10b	aFga-upAFga-nibanDanAH Vp_1.10b
