   PADA MARKERS	PADAH MARKERS
   For a four-pada verse:	FoH a fouH--pada verse:
   For a six-pada verse:	FoH a six-pada verse:
   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   sarvajñāya namaskṛtya $ dravyāṇāṃ gūḍhavācinām &	sarvajQAya namaskRtya $ dravyANAm gUXa-vAcinAm &
   aṣṭāṅgasaṃgrahoktānāṃ % nighaṇṭur abhidhīyate // VAnigh_1 //	azwAFga-saMgraha-uktAnAm % niGaNwuH aBiDIyate // Va-aniG_1 //
   vidārīpañcāṅgulavṛścikālī- $ vṛścīvadevāhvayaśūrpaparṇyaḥ &	vidArI-paQcAFgula-vRScikAlI $ vRScIvat-evAhvaya-SUrpaparNyaH &
   kaṇḍūkarī jīvanāhvasvasaṃjñe % dve pañcake gopasutā tripādī // VAnigh_2 //	kaNxUkarI jIvanAhva-su-a-saMjQe % dve paQcake gopa-sutA tripAdI // Va-aniG_2 //
   vidāryādir ayaṃ hṛdyo $ bṛṃhaṇo vātapittahā &	vidArI-AdiH ayam hRdyaH $ bRMhaNaH vAta-pitta-hA &
   śoṣagulmāṅgamardordhva- % śvāsakāsaharo gaṇaḥ // VAnigh_3 //	Soza-gulma-aFgamarda-UrDva % SvAsa-kAsa-haraH gaNaH // Va-aniG_3 //
   vidārī gajavājīṣṭā $ vṛṣagandhekṣugandhikā &	vidArI gaja-vAjIzwA $ vRzaganDA-ikzuganDikA &
   śṛgālikā puṣpavallī % śuklakandā palāśikā // VAnigh_4 //	SRgAlikA puzpavallI % SuklakandA palASikAH // VAniG_4 //
   kṣīrekṣuvallīgandhānyā $ kṣīraśuklā payasvinī &	kzIra-ikzuvallI-ganDA-anyA $ kzIraSuklA payasvinI &
   vallīpalāśikā kṣīra- % vidārī śreṣṭhakandakaḥ // VAnigh_5 //	vallI-palASikA kzIra % vidArI SrezWakandakaH // VAniG_5 //
   pañcāṅgulo vardhamānaś $ citro gandharvahastakaḥ &	paQcAFgulaH varDamAnaH $ citraH ganDarvahastakaH &
   uruvūkas tathairaṇḍa % āmaṇḍo vātanāśanaḥ // VAnigh_6 //	uruvUkaH taTA-eraNxa % AmaNxaH vAta-nASanaH // Va-aniG_6 //
   raktairaṇḍo dvitīyas tu $ vyāghro vyāghratalopamaḥ &	raktEraNxaH dvitIyaH tu $ vyAGraH vyAGra-tala-upamaH &
   nakrāhidaṃṣṭrikā kolī % vṛścikāly uṣṭradhūmakaḥ // VAnigh_7 //	nakra-ahi-daMzwrikA kolI % vRScikAlI uzwra-DUmakaH // VAniG_7 //
   kāleyī dhūmrapattroṣṭrā $ viśalyā sarpadaṃṣṭrikā &	kAleyI DUmra-pattra-uzwrA $ viSalyA sarpa-daMzwrikA &
   punarnavā varṣaketuḥ % vṛścīvaḥ śvetamūlakaḥ // VAnigh_8 //	punarnavA varzaketuH % vRScIvaH SvetamUlakaH // VAniG_8 //
   varṣābhūḥ dīrghapattrā ca $ vikasas tu kaṭhillakaḥ &	varzABUH dIrGapattrA ca $ vikasaH tu kaWillakaH &
   sunāḍiko raktapuṣpo % viśākho maṇḍalacchadaḥ // VAnigh_9 //	sunAxikaH raktapuzpaH % viSAKaH maNxala=-CadaH // Va-aniG_9 //
   sahadevā mahāgandhā $ devagandhā balāhvayā &	sahadevAH mahAganDA $ devaganDA bala-AhvayA &
   gāṅgerukī nāgabalā % kharabandhā niśāhvayā // VAnigh_10 //	gAFgerukI nAgabalA % KarabanDAH niSAhvayA // Va-aniG_10 //
   viśvadevā jhaṣā kālā $ tathā cāśvagavedhukā &	viSvadevA JazA kAlAH $ taTA ca-aSvagaveDukAH &
   mudgaparṇī sahā sūpya- % parṇī mārjāragandhikā // VAnigh_11 //	mudgaparNI sahA sUpya % parNI mArjAraganDikA // Va-aniG_11 //
   kākamudgā kṣudrarasā $ cāsrapittaharā sarā &	kAkamudgA kzudra-rasA $ ca-asrapitta-harA sarAH &
   piśācī siṃhavinnā ca % māṣaparṇī mahāsahā // VAnigh_12 //	piSAcI siMhavinnA ca % mAzaparNI mahAsahAH // Va-aniG_12 //
   markaṭī cātmaguptā ca $ kaṇḍūkṛt kapikacchurā &	markawI ca-AtmaguptA ca $ kaNxU-kRt kapikacCurA &
   vṛṣyabījā galekaṇḍū- % karī śārdulavigrahā // VAnigh_13 //	vRzya-bIjA galekaNxU % karI SArdula-vigrahAH // Va-aniG_13 //
   phaṇijihvāparṇy abhīruḥ $ pīvarīndīvarī varī &	PaNijihvA-aparNI aBIruH $ pIvarI-indIvarI varI &
   sūkṣmapattrā dvīpiśatruḥ % śatamūlī śatāvarī // VAnigh_14 //	sUkzmapattrA dvIpi-SatruH % SatamUlI SatAvarI // Va-aniG_14 //
   kākolī kavarī vīrā $ dhvāṅkṣolī kṣīraśuklikā &	kAkolI kavarI vIrA $ DvAFkzolI kzIraSuklikA &
   jīvantī jīvanī jīvā % śākaśreṣṭhā sumaṅgalā // VAnigh_15 //	jIvantI jIvanI jIvAH % SAkaSrezWA sumaFgalAH // Va-aniG_15 //
   payasyā payasī poṭa- $ galā jñeyārkapuṣpikā &	payasyA payasI powa $ galA jQeya-arkapuzpikA &
   jīvakaḥ kūrcanibhas tu % vṛṣāṇī vṛṣabho vṛṣaḥ // VAnigh_16 //	jIvakaH kUrca-niBaH tu % vRzANI vRzaBaH vRzaH // Va-aniG_16 //
   pṛśniparṇī pṛthakparṇī $ dhāvanī kalaśī guhā &	pRSniparNI pRTakparNI $ DAvanI kalaSI guhA &
   śṛgālavinnā lāṅgūlī % sthirā kroṣṭukapucchikā // VAnigh_17 //	SRgAlavinnA lAFgUlI % sTirA krozwukapucCikA // Va-aniG_17 //
   vidārigandhāṃśumatī $ śālaparṇī sthirā dhruvā &	vidAriganDA-aMSumatI $ SAlaparNI sTirA DruvAH &
   triparṇy atiguhā saumyā % mahākṣī tanvikā matā // VAnigh_18 //	triparNI atiguhA sOmyA % mahAkzI tanvikA matAH // Va-aniG_18 //
   vyāghrī nidigdhikā kṣudrā $ drāvaṇī kaṇṭakārikā &	vyAGrI nidigDikA kzudrA $ drAvaNI kaNwakArikAH &
   siṃhā ca kṣudravārttākī % bṛhatī bahuputrikā // VAnigh_19 //	siMhA ca kzudravArttAkI % bRhatI bahuputrikAH // Va-aniG_19 //
   vārttākī hiṅgulī siṃhī $ bhāṇṭākī duṣpradharṣiṇī &	vArttAkI hiFgulI siMhI $ BANwAkI duzpraDarziNI &
   gokaṇṭako gokṣurakaḥ % śvadaṃṣṭrā ca trikaṇṭakaḥ // VAnigh_20 //	gokaNwakaH gokzurakaH % SvadaMzwrA ca trikaNwakaH // Va-aniG_20 //
   kanyā gopī kṛṣṇavallī $ sārivā phāṇijihvikā &	kanyA gopI kRzNavallI $ sArivA PANijihvikA &
   sugandhimūlā bhadrā ca % sugandhā gopavally api // VAnigh_21 //	suganDimUlA BadrA ca % suganDA gopavallI api // Va-aniG_21 //
   haṃsapādī raktapādī $ tripādī kīṭamārikā &	haMsapAdI raktapAdI $ tripAdI kIwamArikA &
   dhṛtarāṣṭrapadī caiva % mṛtamandātiparṇikā // VAnigh_22 //	DRtarAzwra-padI ca-eva % mRta-manda-atiparNikAH // Va-aniG_22 //
   sārivośīrakāśmarya- $ madhūkaśiśiradvayam &	sArivA-uSIra-kASmarya $ maDUka-SiSira-dvayam &
   yaṣṭī paruṣakaṃ hanti % dāhapittāsratṛḍjvarān // VAnigh_23 //	yazwI paruzakam hanti % dAha-pittAsra-tRz-jvarAn // Va-aniG_23 //
   sārivādigaṇaṃ vakṣye $ purā proktā tu sārivā &	sArivAdi-gaNam vakzye $ purA proktA tu sArivA &
   vīraṇyābhayalāmajja- % kośīram amṛṇālakam // VAnigh_24 //	vIraNi-ABaya-lAmajja % koSIram amRNAlakam // Va-aniG_24 //
   vīraṃ vīraṇamūlaṃ ca $ bahumūlaṃ raṇapriyā &	vIram vIraNa-mUlam ca $ bahu-mUlam raNa-priyA &
