   Vāhaṭa: Aṣṭāṅganighaṇṭu	VAhawa: Azwa-aFga-niGaNwu
   akṛṣṭapacyo nīvāraḥ VAnigh_334a	akRzwa-pacyaH nIvAraH VAniG_334a
   akṣaḥ kaliḥ karṣaphalo VAnigh_51a	akzaH kaliH karzaPalaH VAniG_51a
   akṣāhvaṃ kṛṣṇasaṃjñakam VAnigh_293b	akzAhvam kRzNa-saMjQakam VAniG_293b
   akṣoḍaḥ parvatīyaś ca VAnigh_249c	akzoxaH parvatIyaH ca Va-aniG_249c
   agadaṃ ca bhiṣagjitam VAnigh_343b	agadam ca Bizagjitam VAniG_343b
   agadaṃ ca bhiṣagjitam VAnigh_405b	agadam ca Bizagjitam VAniG_405b
   agastiko munināmā VAnigh_250c	agastikaH muni-nAmA VAniG_250c
   aṅkolo girikolaś ca VAnigh_243c	aFkolaH girikolaH ca Va-aniG_243c
   aṅgārakaḥ kujo bhaumo VAnigh_388a	aFgArakaH kujaH BOmaH VAniG_388a
   ajaṭā bahupattrā ca VAnigh_208c	ajawA bahupattrA ca Va-aniG_208c
   ajamodā kharāhvā ca VAnigh_40c	ajamodA KarAhvA ca Va-aniG_40c
   ajākṣī lomaparṇī ca VAnigh_234a	ajAkzI lomaparNI ca Va-aniG_234a
   ajākṣī vraṇanāśinī VAnigh_214a	ajAkzI vraNa-nASinI VAniG_214a
   ajājī jīrakaṃ mātā VAnigh_33c	ajAjI jIrakam mAtA Va-aniG_33c
   ajo harir vāsudevo VAnigh_397c	ajaH hariH vAsudevaH VAniG_397c
   añjanaṃ phalinī māṃsī VAnigh_56a	aQjanam PalinI mAMsI Va-aniG_56a
   añjanaṃ yāmunaṃ tathā VAnigh_57b	aQjanam yAmunam taTA VAniG_57b
   aṭṭahāsaḥ śaṅkhaśuklā VAnigh_321c	awwahAsaH SaFKa-SuklAH Va-aniG_321c
   adhicchattrā kumbhayoniḥ VAnigh_251a	aDicCattrA kumBayoniH VAniG_251a
   adhicchattrā gautamasthā VAnigh_252a	aDicCattrA gOtama-sTA VAniG_252a
   adhomukhā tv avākpuṣpī VAnigh_226c	aDomuKA tu avAkpuzpI Va-aniG_226c
   adhyaṇḍekṣurakaḥ sthūla- VAnigh_238a	aDyaNxekzurakaH sTUla Va-aniG_238a
   anantā dīrghamūlā ca VAnigh_159c	anantA dIrGamUlA ca Va-aniG_159c
   anilo māruto vāyuḥ VAnigh_377a	anilaH mArutaH vAyuH VAniG_377a
   annasāro raso rakta- VAnigh_373a	annasAraH rasaH rakta Va-aniG_373a
   anyat karparikā tutthaṃ VAnigh_291c	anyat karparikA tutTam Va-aniG_291c
   anyā tu sumahākandā VAnigh_205c	anyA tu su-mahA-kandA VAniG_205c
   anyeṣāṃ tu tathā brāhmī VAnigh_196c	anyezAm tu taTA brAhmI Va-aniG_196c
   apāmārgaḥ śaikharikaḥ VAnigh_125c	apAmArgaH SEKarikaH VAniG_125c
   abjo jaivātṛkaḥ somo VAnigh_387a	ap-jaH jEvAtRkaH somaH Va-aniG_387a
   abhrakaṃ pārvatībījaṃ VAnigh_290c	aBrakam pArvatI-bIjam Va-aniG_290c
   ambaṣṭhādau smṛtāmbaṣṭhā VAnigh_164a	ambazWa-AdO smRta-ambazWAH VAniG_164a
   ambaṣṭhā madhukaṃ namaskarī VAnigh_155a	ambazWA maDukam namaskarI VAniG_155a
   ambaṣṭhā sthāpanī vīrā VAnigh_35c	ambazWA sTApanI vIrAH VAniG_35c
   ayam arkādiko vargaḥ VAnigh_122a	ayam arka-AdikaH vargaH VAniG_122a
   ayorajo loharajas VAnigh_309c	ayaH-rajaH loha-rajaH Va-aniG_309c
   aravindaṃ kuśeśayam VAnigh_59b	aravindam kuSeSayam VAniG_59b
   arkādau tu sadāpuṣpā VAnigh_123a	arka-AdO tu sadA-puzpA VAniG_123a
   arkālakau nāgadantī viśalyā VAnigh_121a	arka-alakO nAgadantI viSalyA VAniG_121a
   arśoghnaś cākhukandaś ca VAnigh_280a	arSoGnaH ca-AKukandaH ca Va-aniG_280a
   alaktā mālyaśephālī VAnigh_318a	alaktA mAlya-SePAlI Va-aniG_318a
   avanī bhūtadhātrī ca VAnigh_382a	avanI BUtaDAtrI ca Va-aniG_382a
   avantisomo dhānyāmlam VAnigh_331a	avantisomaH DAnyAmlam VAniG_331a
   aśoko vigataśokaḥ VAnigh_119a	aSokaH vigata-SokaH VAniG_119a
   aśmantako 'mlayoniś ca VAnigh_215a	aSmantakaH amla-yoniH ca Va-aniG_215a
   aśmabhedī śilābhedī VAnigh_107a	aSmaBedI SilABedI VAniG_107a
   aśmarīśarkarāmūtra- VAnigh_104c	aSmarI-SarkarA-mUtra Va-aniG_104c
   aśvatthaḥ pippalo bodhiś VAnigh_171c	aSvatTaH pippalaH boDiH VAniG_171c
   aṣṭāṅgasaṃgrahoktānāṃ VAnigh_1c	azwAFga-saMgraha-uktAnAm VAniG_1c
   asanatiniśabhūrjaśvetavāhaprakīryā VAnigh_79a	asana-tiniSa-BUrja-SvetavAha-prakIryA VAniG_79a
   asanādir vijayate VAnigh_80a	asana-AdiH vijayate VAniG_80a
   asanādau pītasāraḥ VAnigh_81a	asana-AdO pItasAraH VAniG_81a
   asthisārastathā majjā VAnigh_375c	asTisAraH-taTA majjA Va-aniG_375c
   ahimāro 'rimedas tu VAnigh_230c	ahimAraH ari-medaH tu Va-aniG_230c
   aṃśumālī trayītanuḥ VAnigh_385b	aMSumAlI trayI-tanuH VAniG_385b
   ākhūndurur mūṣakaś ca VAnigh_364a	AKu-unduruH mUzakaH ca Va-aniG_364a
   āghoṭako brahmaphalo VAnigh_233c	AGowakaH brahmaPalaH VAniG_233c
   āḍhakī tuvarī proktā VAnigh_340a	AXakI tuvarI proktA VAniG_340a
   āḍhyavātaṃ śiraḥśūlaṃ VAnigh_91c	AXyavAtam SiraH-SUlam Va-aniG_91c
   āmaṇḍo vātanāśanaḥ VAnigh_6d	AmaNxaH vAta-nASanaH VAniG_6d
   āmaṃ śalāṭusaṃjñaṃ tu VAnigh_404a	Amam SalAwu-saMjQam tu Va-aniG_404a
   āmātīsāranāśanau VAnigh_150b	Ama-atIsAra-nASanO VAniG_150b
   āmraś cūtaś cāvatalaḥ VAnigh_174a	AmraH cUtaH ca-avatalaH VAniG_174a
   āmlāyano rājasairyaḥ VAnigh_319a	AmlAyanaH rAjasEryaH VAniG_319a
   āyur vedī gadāntakaḥ VAnigh_406d	AyuH vedI gadAntakaH VAniG_406d
   āragvadhādir jayati VAnigh_69a	AragvaDAdiH jayati VAniG_69a
   āragvadhendrayavapāṭalikākatiktā- VAnigh_68a	AragvaDA-indrayava-pAwali-kAka-tiktA VAniG_68a
   āragvadho rājavṛkṣaḥ VAnigh_70a	AragvaDaH rAjavRkzaH VAniG_70a
   āranālaṃ ca kāñjikam VAnigh_331b	AranAlam ca kAQjikam VAniG_331b
   ārāmaśītalo devo VAnigh_227a	ArAma-SItalaH devaH VAniG_227a
   ārevato vyādhighātaḥ VAnigh_70c	ArevataH vyADiGAtaH VAniG_70c
   āvartakī carmaraṅgā VAnigh_247c	AvartakI carmaraFgAH VAniG_247c
   āśīviṣo viṣadharaś VAnigh_360c	ASIvizaH vizaDaraH Va-aniG_360c
   āśvineyau ca tāv ubhau VAnigh_408b	ASvineyO ca tO uBO VAniG_408b
   āsurī sarṣapo rājī VAnigh_37c	AsurI sarzapaH rAjI Va-aniG_37c
   ikṣvālikā tu kākekṣuḥ VAnigh_237a	ikzu-AlikA tu kAkekzuH VAniG_237a
   iṅgudas tiktamañjā ca VAnigh_128c	iFgudaH tiktamaQjA ca Va-aniG_128c
   indindiraś cañcarīkaḥ VAnigh_368c	indindiraH caQcarIkaH Va-aniG_368c
   indirā lokamātā mā VAnigh_400c	indirAH loka-mAtA mA VAniG_400c
   indīvaraṃ kuvalayaṃ VAnigh_60c	indIvaram kuvalayam Va-aniG_60c
   indravāruṇikā caindrī VAnigh_197c	indravAruNikA ca-EndrI Va-aniG_197c
   īśvaraḥ śarvaḥ īśānaḥ VAnigh_392a	ISvaraH SarvaH ISAnaH VAniG_392a
   īśvarī nāgadamanī VAnigh_226a	ISvarI nAgadamanI VAniG_226a
   ukṣān aḍvān balīvardaḥ VAnigh_372a	ukzAn axvAn balIvardaH VAniG_372a
   ugrakāṇḍaḥ kāravallī VAnigh_276a	ugra-kANxaH kAravallI VAniG_276a
   ugraḥ kapardī śrīkaṇṭhaḥ VAnigh_393c	ugraH kapardI SrIkaNWaH VAniG_393c
   uccaṭā caṭakā jñeyā VAnigh_238c	uccawA cawakA jQeyAH VAniG_238c
   uḍu nakṣatramṛkṣaṃ bhaṃ VAnigh_390a	uxu nakzatram-Rkzam Bam Va-aniG_390a
   utkaṭā sūkṣmapatrā ca VAnigh_107c	utkawA sUkzma-patrA ca Va-aniG_107c
   udakīryo naktamālaḥ VAnigh_75a	udakIryaH naktamAlaH VAniG_75a
   udaṅghā kapijaṅghā tu VAnigh_366c	udaFGA kapijaFGA tu Va-aniG_366c
   udīcyaṃ bālakaṃ jalam VAnigh_183b	udIcyam bAlakam jalam VAniG_183b
   udumbaracchadā hasti- VAnigh_193c	udumbara=-CadA hasti Va-aniG_193c
   udumbaraḥ kṛmiphalaḥ VAnigh_172a	udumbaraH kRmiPalaH VAniG_172a
   uddālakastu jūrṇāhvo VAnigh_336c	uddAlakaH-tu jUrNAhvaH VAniG_336c
   udvegajananas tīkṣṇaḥ VAnigh_135a	udvega-jananaH tIkzNaH VAniG_135a
   unmattako mātulako VAnigh_239a	unmattakaH mAtulakaH Va-aniG_239a
   upakulyā kaulanāmā VAnigh_31c	upakulyA kOla-nAmA VAniG_31c
   upendra indrāvarajaś VAnigh_399c	upendraH indrAvarajaH Va-aniG_399c
   upodakam upodī ca VAnigh_261a	upodakam upodI ca Va-aniG_261a
   ubhātasī rudrapattrī VAnigh_245c	uBAtasI rudrapattrI Va-aniG_245c
   umā kātyāyanī gaurī VAnigh_396c	umA kAtyAyanI gOrI VAniG_396c
   uruvūkas tathairaṇḍa VAnigh_6c	uruvUkaH taTA-eraNxa Va-aniG_6c
   urvāruḥ karkaṭī proktā VAnigh_256c	urvAruH karkawI proktA VAniG_256c
   ulūko vāyasāristu VAnigh_353c	ulUkaH vAyasAriH-tu Va-aniG_353c
   ūṣakas tutthakaṃ hiṅgu VAnigh_98a	UzakaH tutTakam hiFgu VAniG_98a
   ūṣakādau tu vṛṣako VAnigh_99a	Uzaka-AdO tu vRzakaH Va-aniG_99a
   ūṣo niḥsārakaḥ siṃho VAnigh_99c	UzaH niHsArakaH siMhaH VAniG_99c
   ṛṣir damanako dānto VAnigh_322a	RziH damanakaH dAntaH VAniG_322a
   ekadṛṣṭiś cātmaghoṣaḥ VAnigh_355a	eka-dRzwiH ca-Atma-GozaH VAniG_355a
   ebhir viṃśatibhiḥ kaphāmayaharaḥ kṛṣṇādiko 'yaṃ gaṇaḥ VAnigh_30d	eBiH viMSatiBiH kaPa-Amaya-haraH kRzNa-AdikaH ayam gaNaH VAniG_30d
   elavālukam aileyaṃ VAnigh_119c	elavAlukam Eleyam Va-aniG_119c
   elā tu drāviḍī tutthā VAnigh_41a	elA tu drAvixI tutTAH Va-aniG_41a
   elā tu drāviḍī proktā VAnigh_62a	elA tu drAvixI proktA VAniG_62a
   elādike pūrvam uktā VAnigh_181a	elA-Adike pUrvam uktAH VAniG_181a
   elādiko vātakaphau VAnigh_180a	elA-AdikaH vAta-kaPO Va-aniG_180a
   elā pāṭhā jājī kaṭvaṅgaphalājamodasiddhārthavacāḥ VAnigh_143/b	elA pAWA jAjI kawvaFga-Pala-ajamoda-sidDArTa-vacAH VAniG_143/b
   elāyugmaturuṣkakuṣṭhaphalinīmāṃsījaladhyāmakaṃ VAnigh_179a	elA-yugma-turuzka-kuzWa-PalinI-mAMsI-jalaDyAmakam Va-aniG_179a
   eṣa rodhrādiko nāma VAnigh_114a	eza roDra-AdikaH nAma VAniG_114a
   airāvatamukhapriyau VAnigh_272d	ErAvata-muKa-priyO VAniG_272d
   ojastu dhātusāraḥ syāt VAnigh_376c	ojaH-tu DAtusAraH syAt Va-aniG_376c
   otur biḍālo mārjāro VAnigh_366a	otuH bixAlaH mArjAraH VAniG_366a
   oṣadhīśo niśāpatiḥ VAnigh_386d	ozaDISaH niSApatiH VAniG_386d
   auṣadhaṃ bheṣajaṃ pathyam VAnigh_343a	OzaDam Bezajam paTyam VAniG_343a
   auṣadhaṃ bheṣajaṃ pathyam VAnigh_405a	OzaDam Bezajam paTyam VAniG_405a
   kakudmān gopatir vṛṣaḥ VAnigh_371d	kakudmAn gopatiH vRzaH VAniG_371d
   kakubhaḥ phālgunāhvayaḥ VAnigh_82d	kakuBaH PAlguna-AhvayaH VAniG_82d
   kakubhāṇḍā phalottamā VAnigh_257d	kakuBANxA PalottamA VAniG_257d
   kakkolakaṃ kośaphalaṃ VAnigh_300c	kakkolakam koSa-Palam Va-aniG_300c
   kaṅkuṣṭhas tīkṣṇadugdhikā VAnigh_197b	kaFkuzWaH tIkzNa-dugDikA VAniG_197b
   kaṅguḥ saṃdhyanthisaṃbandhī VAnigh_335c	kaFguH saMDi-anTi-saMbanDI Va-aniG_335c
   kacchurā paṇihārī ca VAnigh_165c	kacCurA paNihArI ca Va-aniG_165c
   kaṭaṃbharā mahāśvetā VAnigh_127c	kawaMBarAH mahA-SvetAH VAniG_127c
   kaṭukaṃ kaṭukīphalam VAnigh_301b	kawukam kawukI-Palam VAniG_301b
   kaṭukā kṣatriyātmajā VAnigh_259b	kawukA kzatriya-AtmajA VAniG_259b
   kaṭukālāmbunī tumbā- VAnigh_241c	kawukAla-ambunI tumbA VAniG_241c
   kaṭukā śakulādanī VAnigh_38d	kawukA SakulAdanI VAniG_38d
   kaṭukośātakī kṣveḍā VAnigh_241a	kawukoSAtakI kzvexAH VAniG_241a
   kaṭutrayam ihocyate VAnigh_342b	kawutrayam iha-ucyate VAniG_342b
   kaṭphalaṃ katakāt phalāt VAnigh_48b	kawPalam katakAt PalAt VAniG_48b
   kaṭvaṅgaṃ kamalodbhavaṃ rajaḥ VAnigh_155d	kawu-aFgam kamalodBavam rajaH VAniG_155d
   kaṭvaṅgo 'ralutiktakaḥ VAnigh_147b	kawvaFgaH aralu-tiktakaH VAniG_147b
   kaṭhinaṃ tutthakaṃ dvedhā VAnigh_100a	kaWinam tutTakam dveDA Va-aniG_100a
   kaṇṭakaḥ kokilākṣakaḥ VAnigh_238b	kaNwakaH kokilAkzakaH VAniG_238b
   kaṇṭakāḍhyaś ca kubjakaḥ VAnigh_321b	kaNwakAXyaH ca kubjakaH VAniG_321b
   kaṇṭhīravaś ca vijñeyaḥ VAnigh_347a	kaNWIravaH ca vijQeyaH VAniG_347a
   kaṇḍūkarī jīvanāhvasvasaṃjñe VAnigh_2c	kaNxUkarI jIvanAhvasu-a-saMjQe VAniG_2c
   kaṇḍūkṛt kapikacchurā VAnigh_13b	kaNxU-kRt kapikacCurA VAniG_13b
   katakasya phalaṃ kātyaṃ VAnigh_53c	katakasya Palam kAtyam Va-aniG_53c
   kattṛṇaḥ kāṇḍatiktakaḥ VAnigh_73b	kattRNaH kANxatiktakaH VAniG_73b
   kadaraḥ khadiraḥ sāraḥ VAnigh_83c	kadaraH KadiraH sAraH VAniG_83c
   kanyā gopī kṛṣṇavallī VAnigh_21a	kanyA gopI kRzNavallI VAniG_21a
   kanyā sthūladalā ca sā VAnigh_278b	kanyA sTUladalA ca sA VAniG_278b
   kapicūtaḥ kapītanaḥ VAnigh_173b	kapi-cUtaH kapItanaH VAniG_173b
   kapitthapattrī jharasī VAnigh_135c	kapitTapattrI JarasI VAniG_135c
   kapittho 'tha dadhitthaś ca VAnigh_267c	kapitTaH aTa daDitTaH ca Va-aniG_267c
   kapilā reṇukā kauntī VAnigh_36c	kapilA reNukA kOntI Va-aniG_36c
   kapilā śiṃśapā kṛṣṇa- VAnigh_84c	kapilA SiMSapA kRzNa VAniG_84c
   kapiḥ plavaṃgaplavaga- VAnigh_350a	kapiH plavaMga-plavaga Va-aniG_350a
   kapotacaraṇā naṭī VAnigh_274d	kapotacaraNA nawI VAniG_274d
   kapotavaṅkā varadā VAnigh_112c	kapotavaFkA vara-dAH VAniG_112c
   kaphamedoviṣāpahaḥ VAnigh_122b	kaPa-medaH-viza-apahaH VAniG_122b
   kaphaṃ kaṇḍūṃ pramehaṃ ca VAnigh_69c	kaPam kaNxUm prameham ca Va-aniG_69c
   kaphaḥ śleṣmā ca picchilaḥ VAnigh_378b	kaPaH SlezmA ca picCilaH VAniG_378b
   kamalā śrīr haripriyā VAnigh_400b	kamalA SrIH haripriyA VAniG_400b
   kampillako rañjanako VAnigh_200a	kampillakaH raQjanakaH Va-aniG_200a
   karañjas tīravṛkṣakaḥ VAnigh_216d	karaQjaH tIravRkzakaH VAniG_216d
   karañjo lājapuṣpakaḥ VAnigh_75b	karaQjaH lAjapuzpakaH VAniG_75b
   karaṇḍaphalakaś ca saḥ VAnigh_268d	karaNxaPalakaH ca saH VAniG_268d
   karabhī rucirā smṛtā VAnigh_228b	karaBiH rucirA smRtA VAniG_228b
   karabho dīrghagaś coṣṭraḥ VAnigh_345c	karaBaH dIrGagaH ca-uzwraH Va-aniG_345c
   karamardī kṣīraphalā VAnigh_270c	karamardI kzIraPalAH Va-aniG_270c
   karambhaḥ karkaśo yugma- VAnigh_112a	karamBaH karkaSaH yugma Va-aniG_112a
   karavīro 'śvamārastu VAnigh_317c	karavIraH aSvamAraH-tu Va-aniG_317c
   karāmlāḥ karamardakaḥ VAnigh_271b	kara-amlAH karamardakaH VAniG_271b
   karīraḥ kīcako mṛtyu- VAnigh_216a	karIraH kIcakaH mRtyu VAniG_216a
   karī śārdulavigrahā VAnigh_13d	karI SArdula-vigrahAH VAniG_13d
   kareṇur hastinī smṛtā VAnigh_344b	kareNuH hastinI smRtA VAniG_344b
   karkandhūḥ kāṣṭhakṛt kolī VAnigh_176c	karkanDUH kAzWa-kRt kolI Va-aniG_176c
   karkandhūḥ hrasvabadarī VAnigh_221c	karkanDUH hrasva-badarI VAniG_221c
   kardamaḥ paṅkajambālau VAnigh_378c	kardamaH paFkajambAlO Va-aniG_378c
   karparaṃ barhikaṇṭakam VAnigh_100b	karparam barhikaNwakam VAniG_100b
   karpūraṃ himanāmakam VAnigh_299b	karpUram hima-nAmakam VAniG_299b
   karmasākṣī jagaccakṣur VAnigh_385a	karma-sAkzI jagaccakzuH VAniG_385a
   karśanīyā sitā tathā VAnigh_336b	karSanIyA sitA taTA VAniG_336b
   kalabho vāraṇo dantī VAnigh_343c	kalaBaH vAraNaH dantI Va-aniG_343c
   kalambī vallyupodakaḥ VAnigh_261d	kalambI vallI-upodakaH VAniG_261d
   kalaśīkuṭajodbhavāḥ VAnigh_149d	kalaSI-kuwaja-udBavAH VAniG_149d
   kalāpī meghanādinī VAnigh_353b	kalApI meGanAdinI VAniG_353b
   kalikā jālakaś caiva VAnigh_403a	kalikA jAlakaH ca-eva Va-aniG_403a
   kaliṅgakas tv indrayavo VAnigh_71a	kaliFgakaH tu indrayavaH Va-aniG_71a
   kalyāṇalocano jñeyo VAnigh_210c	kalyANa-locanaH jQeyaH VAniG_210c
   kaśerukaḥ sugandhiś ca VAnigh_316c	kaSerukaH suganDiH ca Va-aniG_316c
   kaṣāyaṃ madhur āhvayam VAnigh_88d	kazAyam maDuH Ahvayam VAniG_88d
   kaṣāhvāvartakī smṛtā VAnigh_196b	kazAhvAvartakI smRtA VAniG_196b
   kastūrī darpasaṃjñakaḥ VAnigh_298b	kastUrI darpa-saMjQakaH VAniG_298b
   kākajaṅghā dhvāṅkṣajaṅghā VAnigh_283c	kAkajaFGA DvAFkzajaFGAH VAniG_283c
   kākajambvalpasasyakā VAnigh_172d	kAka-jambu-alpa-sasyakAH VAniG_172d
   kākamācī gucchaphalā VAnigh_32a	kAkamAcI gucCaPalAH VAniG_32a
   kākamācī gūḍhaphalā VAnigh_137a	kAkamAcI gUXa-PalAH VAniG_137a
   kākamudgā kṣudrarasā VAnigh_12a	kAkamudgA kzudra-rasAH VAniG_12a
   kākastu karaṭo 'riṣṭaḥ VAnigh_354a	kAkaH-tu karawaH arizwaH Va-aniG_354a
   kākākhyaṃ hrasvamutpalam VAnigh_315d	kAka-AKyam hrasvam-utpalam VAniG_315d
   kākādanī pītatailā VAnigh_126a	kAkAdanI pIta-tElA VAniG_126a
   kākāhis toyasarpakaḥ VAnigh_359d	kAkAhiH toya-sarpakaH VAniG_359d
   kākāhvā mācikāpi ca VAnigh_137b	kAkAhvA mAcikA-api ca VAniG_137b
   kākotpalaṃ tu kākotthaṃ VAnigh_315c	kAkotpalam tu kAkotTam Va-aniG_315c
   kākodumbarikā phalguḥ VAnigh_217c	kAkodumbarikA PalguH VAniG_217c
   kākolī kavarī vīrā VAnigh_15a	kAkolI kavarI vIrAH VAniG_15a
   kākolī cavikā cavyaṃ VAnigh_32c	kAkolI cavikA cavyam Va-aniG_32c
