   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   atha saṃjñāprakaraṇam	aTa saMjQA-prakaraNam
   halantyam // VLk_1 = P_1,3.3 //	halantyam // VLk-_1  P_1,3.3 //
   upadeśe 'ntyaṃ halitsyāt / upadeśa ādyoccāraṇam / sūtreṣvadṛṣṭaṃ padaṃ	upadeSe antyam halitsyAt / upadeSaH Adya-uccAraNam / sUtrezu-adRzwam padam
   sūtrāntarādanuvartanīyaṃ sarvatra //	sUtra-antarAt-anuvartanIyam sarvatra //
   adarśanaṃ lopaḥ // VLk_2 = P_1,1.60 //	adarSanam lopaH // VLk-_2  P_1,1.60 //
   prasaktasyādarśanaṃ lopasaṃjñaṃ syāt /	prasaktasya-adarSanam lopa-saMjQam syAt /
   tasya lopaḥ // VLk_3 = P_1,3.9 //	tasya lopaH // VLk-_3  P_1,3.9 //
   tasyeto lopaḥ syāt / ṇādayo 'ṇādyarthāḥ /	tasya-itas lopaH syAt / Na-AdayaH aNAdi-arTAH /
   ādirantyena sahetā // VLk_4 = P_1,1.71 //	AdiH-antyena sa-hetAH // VLk-_4  P_1,1.71 //
   antyenetā sahati ādirmadhyagānāṃ svasya ca saṃjñā syāt yathāṇiti a i u	antyena-itA sahati AdiH-maDya-gAnAm svasya ca saMjQA syAt yaTA-aNiti a i u
   varṇānāṃ saṃjñā / evamac hal alityādayaḥ //	varNAnAm saMjQA / evam-at hal alitya-AdayaH //
   ūkālo 'jjhrasvadīrghaplutaḥ // VLk_5 = P_1,2.27 //	UkAlaH ajJra-sva-dIrGa-plutaH // VLk-_5  P_1,2.27 //
   uśca ūśca ū3śca vaḥ; vāṃ kālo yasya so 'c kramād hrasvadīrghaplutasaṃjñaḥ	uH-ca UH-ca U3H-ca vaH; vAm kAlaH yasya saH ad kramAt hrasva-dIrGa-pluta-saMjQaH
   syāt / sa pratyekamudāttādi bhedena tridhā /	syAt / sa pratyekam-udAtta-Adi Bedena triDA /
   uccairudāttaḥ // VLk_6 = P_1,2.29 //	uccEs-udAttaH // VLk-_6  P_1,2.29 //
   nīcairanudāttaḥ // VLk_7 = P_1,2.30 //	nIcEs-anudAttaH // VLk-_7  P_1,2.30 //
   samāhāraḥ svaratiḥ // VLk_8 = P_1,2.31 //	samAhAraH sva-ratiH // VLk-_8  P_1,2.31 //
   sa navavidho 'pi pratyekamanunāsikatvānanunāsikatvābhyāṃ dvidhā //	sa navaviDaH api pratyekam-anunAsika-tva-ananunAsika-tvAByAm dviDA //
   mukhanāsikāvacano 'nunāsikaḥ // VLk_9 = P_1,2.8 //	muKa-nAsikA-vacanaH anunAsikaH // VLk-_9  P_1,2.8 //
   mukhasahatināsikayoccāryamāṇo varṇo 'nunāsikasaṃjñaḥ syāt / tadittham - a	muKa-sahati-nAsikayA-uccAryamANaH varNaH anunAsika-saMjQaH syAt / tat-itTam  a
   i u ṛ eṣāṃ varṇānāṃ pratyekamaṣṭādaśa bhedāḥ / ḷvarṇasya dvādaśa, tasya	i u R ezAm varNAnAm pratyekam-azwAdaSa BedAH / ?varNasya dvAdaSa, tasya
   dīrghābhāvāt / ecāmapi dvādaśa, teṣāṃ hrasvābhāvāt //	dIrGa-aBAvAt / ecAm-api dvAdaSa, tezAm hrasva-aBAvAt //
   tulyāsyaprayatnaṃ savarṇam // VLk_10 = P_1,1.8 //	tulya-Asya-prayatnam savarNam // VLk-_10  P_1,1.8 //
   tālvādisthānamābhyantaraprayatnaścetyetaddvayaṃ yasya yena tulyaṃ	tAlu-Adi-sTAnam-AByantara-prayatnaH-ca-iti-etat-dvayam yasya yena tulyam
   tanmithaḥ savarṇasaṃjñaṃ syāt / (ṛḷvarṇayormithaḥ sāvarṇyaṃ vācyam) /	tat-miTaH savarNa-saMjQam syAt / (R?varNayoH-miTas sAvarNyam vAcyam) /
   akuhavisarjanīyānāṃ kaṇṭhaḥ / icuyaśānāṃ tālu / ṛṭuraṣāṇāṃ mūrdhā /	akuha-visarjanIyAnAm kaNWaH / icu-yaSAnAm tAlu / Rwu-razANAm mUrDA /
   ḷtulasānāṃ dantāḥ / upūpadhmānīyānāmoṣṭhau / ñamaṅaṇanānāṃ nāsikā ca /	?tulasAnAm dantAH / upUpaDmAnIyAnAm-ozWO / Qam-aFaNanAnAm nAsikA ca /
   edaitoḥ kaṇṭha tālu / odautoḥ kaṇṭhoṣṭam / vakārasya dantoṣṭham /	eda-etoH kaNWa tAlu / odOtoH kaNWa-uzwam / vakArasya dantozWam /
   jihvāmūlīyasya jihvāmūlam / nāsikānusvārasya / yatno dvidhā - ābhyantaro	jihvA-mUlIyasya jihvA-mUlam / nAsikA-anusvArasya / yatnaH dviDA  AByantaraH-
   bāhyaśca / ādyaḥ pañcadhā - spṛṣṭeṣatspṛṣṭeṣadvivṛtavivṛtasaṃvṛta bhedāt /	bAhyaH-ca / AdyaH paQcaDA  spRzwA-Izat-spRzwa-Iza-dvivRta-vivRta-saMvRta BedAt /
   tatra spṛṣṭaṃ prayatanaṃ sparśānām / īṣatspṛṣṭamantaḥsthānām /	tatra spRzwam prayatanam sparSAnAm / Izat-spRzwam-antar-sTAnAm /
   īṣadvivṛtamūṣmaṇām / vivṛtaṃ svarāṇām / hrasvasyāvarṇasya prayoge saṃvṛtam	Izat-vivRtam-UzmaNAm / vivRtam svarANAm / hrasvasya-avarNasya prayoge saMvRtam
   / prakriyādaśāyāṃ tu vivṛtameva / bāhyaprayatnastvekādaśadhā - vivāraḥ	/ prakriyA-daSAyAm tu vivRtam-eva / bAhya-prayatnaH-tu-ekAdaSaDA  vivAraH
   saṃvāraḥ śvāso nādo ghoṣo 'ghoṣo 'lpaprāṇomahāprāṇa udātto 'nudāttaḥ	saMvAraH SvAsaH nAdaH GozaH aGozaH alpa-prANaH-mahAprANaH udAttaH anudAttaH
   svaratiśceti / kharo vivārāḥ śvāsā aghoṣāśca / haśaḥ saṃvārā nādā ghoṣāśca	sva-ratiH-ca-iti / KaraH vivArAH SvAsAH aGozAH-ca / haSaH saMvArAH nAdAH GozAH-ca
   / vargāṇāṃ prathamatṛtīyapañcamā yaṇaścālpaprāṇāḥ / vargāṇāṃ	/ vargANAm praTama-tRtIya-paQcamAH yaNaH-ca-alpa-prANAH / vargANAm
   dvitīyacaturthau śalaśca mahāprāṇāḥ / kādayo māvasānāḥ sparśāḥ / yaṇo	dvitIya-caturTO SalaH-ca mahA-prANAH / ka-AdayaH mA-avasAnAH sparSAH / yaNaH-
   'ntaḥsthāḥ / śala ūṣmāṇaḥ / acaḥ svarāḥ / -ka-kha iti kakhābhyāṃ	antar-sTAH / SalaH UzmANaH / acaH svarAH / -ka-KaH iti kaKAByAm
   pragardhavisargasadṛśo jihvāmūlīyaḥ / -pa-pha iti paphābhyāṃ	pragarDa-visarga-sadRSaH jihvA-mUlIyaH / -pa-PaH iti paPAByAm
   prāgardhavisargasadṛśa upadhmānīyaḥ / aṃ aḥ ityacaḥ parāvanusvāravisargau	prAc-arDa-visarga-sadRSaH upaDmAnIyaH / am aH iti-acaH parO=-anu-svAra-visargO
   aṇuditsavarṇasya cāpratyayaḥ // VLk_11 = P_1,1.69 //	aNu-ditsavarNasya ca-apratyayaH // VLk-_11  P_1,1.69 //
   pratīyate vidhīyata iti pratyayaḥ / avidhīyamāno 'ṇudicca savarṇasya	pratIyate viDIyate iti pratyayaH / aviDIyamAnaH aNu-dit-ca savarNasya
   saṃjñā syāt / atraivāṇ pareṇa ṇakāreṇa / ku cu ṭu tu pu ete uditaḥ /	saMjQA syAt / atra-evAN pareNa NakAreNa / ku cu wu tu pu ete uditaH /
   tadevam - a ityaṣṭādaśānāṃ saṃjñā / tathekārokārau / ṛkārastriṃśataḥ /	tat-evam  aH iti-azwAdaSAnAm saMjQA / taTA-IkAra-ukArO / RkAraH-triMSataH /
   evaṃ ḷkāro 'pi / eco dvādaśānām / anunāsikānanunāsikabhedena yavalā	evam ?kAraH api / ecaH dvAdaSAnAm / anunAsikA-ananunAsika-Bedena yavalA
   dvidhā; tenānanunāsikāste dvayordvayossaṃjñā /	dviDA; tena-ananunAsikAH-te dvayoH-dvayossaMjQA /
   paraḥ saṃnikarṣaḥ saṃhatā // VLk_12 = P_1,1.109 //	paraH saMnikarzaH saMhatAH // VLk-_12  P_1,1.109 //
   virṇānāmatiśayitaḥ saṃnidhiḥ saṃhatāsiṃjñaḥ syāt //	virNAnAm-atiSayitaH saMniDiH saMhatA-siMjQaH syAt //
   halo 'nantarāḥ saṃyogaḥ // VLk_13 = P_1,1.7 //	halaH anantarAH saMyogaH // VLk-_13  P_1,1.7 //
   ajbhiravyavahatā haliḥ saṃyogasaṃjñāḥ syuḥ //	ajBiH-avyavahatA haliH saMyoga-saMjQAH syuH //
   suptiṅantaṃ padam // VLk_14 = P_1,4.14 //	suptiFantam padam // VLk-_14  P_1,4.14 //
   subantaṃ tiṅantaṃ ca padasaṃjñaṃ syāt //	subantam tiFantam ca pada-saMjQam syAt //
   iti saṃjñāprakaraṇam	iti saMjQA-prakaraNam
   athācsandhiḥ	aTa-acsanDiH
   iko yaṇaci // VLk_15 = P_6,1.77 //	ikaH yaNaci // VLk-_15  P_6,1.77 //
   ikaḥ sthāne yaṇ syādaci saṃhitāyāṃ viṣaye / sudhī upāsya iti sthite //	ikaH sTAne yaN syAt-aci saMhitAyAm vizaye / suDI upAsyaH iti sTite //
   tasminniti nirdiṣṭe pūrvasya // VLk_16 = P_1,1.66 //	tasmin=-iti nirdizwe pUrvasya // VLk-_16  P_1,1.66 //
   saptamīnirdeśena vidhīyamānaṃ kāryaṃ varṇāntareṇāvyavahatisya pūrvasya	saptamI-nirdeSena viDIyamAnam kAryam varNa-antareNa-avyavahatisya pUrvasya
   bodhyam //	boDyam //
   sthāne 'ntaratamaḥ // VLk_17 = P_1,1.50 //	sTAne antaratamaH // VLk-_17  P_1,1.50 //
   prasaṅge sati sadṛśatama ādeśaḥ syāt / sudhy upāsya iti jāte //	prasaFge sati sadRSatamaH AdeSaH syAt / suDi upAsyaH iti jAte //
   anaci ca // VLk_18 = P_8,4.47 //	anaci ca // VLk-_18  P_8,4.47 //
   acaḥ parasya yaro dve vā sto na tvaci / iti dhakārasya dvitvena sudhdhy	acaH parasya yaraH dve vA staH na tvaci / iti DakArasya dvi-tvena suDDy
   upāsya iti jāte //	upAsyaH iti jAte //
   jhalāṃ jaś jhaśi // VLk_19 = P_8,4.53 //	JalAm jaH JaSi // VLk-_19  P_8,4.53 //
   spaṣṭam / iti pūrvadhakārasya dakāraḥ //	spazwam / iti pUrvaDakArasya dakAraH //
   saṃyogāntasya lopaḥ // VLk_20 = P_8,2.23 //	saMyoga-antasya lopaH // VLk-_20  P_8,2.23 //
   saṃyogāntaṃ yatpadaṃ tadantasya lopaḥ syāt //	saMyoga-antam yat-padam tad-antasya lopaH syAt //
   alo 'ntyasya // VLk_21 = P_1,1.52 //	alaH antyasya // VLk-_21  P_1,1.52 //
   ṣaṣṭhīnirdiṣṭā'ntyasyāla ādeśaḥ syāt / iti yalope prāpte - (yaṇaḥ	zazWI-nirdizwA-antyasya-alaH AdeSaH syAt / iti yalope prApte  (yaNaH
   pratiṣedho vācyaḥ) / suddhyupāsyaḥ / maddhariḥ / dhātraśaḥ / lākṛtiḥ //	pratizeDaH vAcyaH) / sudDi-upAsyaH / mad-hariH / DAtraSaH / lAkRtiH //
   eco 'yavāyāvaḥ // VLk_22 = P_6,1.78 //	ecaH ayavAyAvaH // VLk-_22  P_6,1.78 //
   ecaḥ kramāday av āy āv ete syuraci //	ecaH kramAdai au Ay O ete syuraci //
   yathāsaṃkhyamanudeśaḥ samānām // VLk_23 = P_1,3.10 //	yaTA-saMKya-manu-deSaH samAnAm // VLk-_23  P_1,3.10 //
   samasaṃbandhī vidhiryathāsaṃkhyaṃ syāt / haraye / viṣṇave / nāyakaḥ /	sama-saMbanDI viDiH-yaTAsaMKyam syAt / haraye / vizNave / nAyakaH /
   pāvakaḥ //	pAvakaH //
