   (Vvs_3)	(VvH-_3)
   māhāyāne traidhātukaṃ vijñaptimātraṃ vyavasthāpyate | cittamātraṃ bho	mAhAyAne trEDAtukam vijQaptimAtram vyavasTApyate | cittamAtram Bo
   jinaputrā yad uta traidhātukam iti sūtrāt | cittaṃ mano vijñānaṃ vijñaptiś	jinaputrAH yat uta trEDAtukam iti sUtrAt | cittam manaH vijQAnam vijQaptiH-
   ceti paryāyāḥ | cittam atra sasaṃprayogam abhipretaṃ | matram ity	ca-iti paryAyAH | cittam atra sa-saMprayogam aBipretam | matram iti-
   arthapratiṣedhārthaṃ |	arTa-pratizeDa-arTam |
   vijñaptimātram evedam asadarthāvabhāsanāt |	vijQapti-mAtram eva-idam asat-arTa-avaBAsanAt |
   yadvat taimirikasyāsat keśoṇḍukādidarśanaṃ || 1 ||	yadvat tEmirikasya-asat keSoNxuka-Adi-darSanam || 1 ||
   atra codyate | kaścid artho nāsti /	atra codyate | kaScid arTaH na-asti /
   na deśakālaniyamaḥ saṃtānāniyamo na ca |	na deSa-kAla-niyamaH saMtAna-aniyamaH na ca |
   na ca kṛtyakriyā yuktā vijñaptir yadi nārthataḥ || 2 ||	na ca kRtya-kriyA yuktA vijQaptiH yadi na-arTataH || 2 ||
   kim uktaṃ bhavati | yadi vinā rūpādyarthena rūpādivijñaptir utpadyate na	kim uktam Bavati | yadi vinA rUpa-Adi-arTena rUpa-Adi-vijQaptiH utpadyate na
   rūpādyarthāt | kasmāt kvacid deśa utpadyate na sarvatra | tatraiva ca deśe	rUpa-Adi-arTAt | kasmAt kvacid deSaH utpadyate na sarvatra | tatra-eva ca deSe
   kadācid utpadyate na sarvadā | taddeśakālapratiṣṭhitānāṃ sarveṣāṃ	kadAcid utpadyate na sarvadA | tad-deSa-kAla-pratizWitAnAm sarvezAm
   saṃtānāniyama utpadyate na kevalam ekasya | yathā taimirikāṇāṃ saṃtāne	saMtAna-aniyamaH utpadyate na kevalam ekasya | yaTA tEmirikANAm saMtAne
   keśādyābhāso nānyeṣāṃ | kasmād yat taimirikaiḥ keśabhramarādi dṛśyate tena	keSa-Adi-ABAsaH na-anyezAm | kasmAt yat tEmirikEH keSa-Bramara-Adi dRSyate tena
   keśādikriyā na kriyate na ca tad anyair na kriyate | yad	keSa-Adi-kriyA na kriyate na ca tat anyEH na kriyate | yat-
   annapānavastraviṣāyudhādi svapne dṛśyate tenānnādikriyā na kriyate na ca	anna-pAna-vastra-viza-AyuDa-Adi svapne dRSyate tena-anna-Adi-kriyA na kriyate na ca
   tad anyair na kriyate | gandharvanagareṇāsattvān nagarakriyā na kriyate na	tat anyEH na kriyate | ganDarvanagareNa-asattvAt nagara-kriyA na kriyate na
   ca tad anyair na kriyate | tasmād asadabhāvāvabhāsane deśakālaniyamaḥ	ca tat anyEH na kriyate | tasmAt asat-aBAva-avaBAsane deSa-kAla-niyamaH
   saṃtānāniyamaḥ kṛtyakriyā ca na yujyate | na khalu na yujyate | yasmāt |	saMtAna-aniyamaH kRtya-kriyA ca na yujyate | na Kalu na yujyate | yasmAt |
   deśādiniyamaḥ siddhaḥ svapnavat	deSa-Adi-niyamaH sidDaH svapna-vat-
   svapna iva svapnavat | kathaṃ tāvat | svapne vināpy arthena kvacid eva	svapnaH iva svapna-vat | kaTam tAvat | svapne vinA-api arTena kvacid eva
   deśe kiṃcid bhramarārāmastrīpurūṣādikaṃ dṛśyate na sarvatra | tatraiva ca	deSe kiMcid Bramara-ArAma-strI-purUza-Adikam dRSyate na sarvatra | tatra-eva ca
   deśe kadācid dṛśyate na sarvakālam iti siddho vināpy arthena	deSe kadAcid dRSyate na sarvakAlam iti sidDaH vinA-api arTena
   deśakālaniyamaḥ |	deSa-kAla-niyamaH |
   pretavat punaḥ |	preta-vat punar |
   saṃtānāniyamaḥ	saMtAna-aniyamaH
   (Vvs_4)	(VvH-_4)
   siddha iti vartate | pretānām iva pretavat | kathaṃ siddhaḥ samaṃ |	sidDaH iti vartate | pretAnAm iva preta-vat | kaTam sidDaH samam |
   sarvaiḥ pūyanadyādidarśane || 3 ||	sarvEH pUyanadI-Adi-darSane || 3 ||
   pūyapūrṇā nadī pūyanadī | ghṛtaghaṭavat | tulyakarmavipākāvasthā hi pretāḥ	pUya-pUrNA nadI pUya-nadI | GRta-Gawa-vat | tulya-karma-vipAka-avasTAH hi pretAH
   sarve 'pi pūyapūrṇāṃ nadīṃ paśyanti naika eva | yathā pūyapūrṇām evaṃ	sarve api pUya-pUrNAm nadIm paSyanti na-ekaH eva | yaTA pUya-pUrNAm evam
   mūtrapurīṣādipūrṇāṃ daṇḍāsidharaiś ca puruṣair adhiṣṭhitām ity	mUtra-purIza-Adi-pUrNAm daNxa-asi-DarEH ca puruzEH aDizWitAm iti-
   ādigrahaṇena | evaṃ saṃtānāniyamo vijñaptinām asaty apy arthe siddhaḥ ||	Adi-grahaNena | evam saMtAna-aniyamaH vijQaptinAm asati api arTe sidDaH ||
   svapnopaghātavat kṛtyakriyā	svapna-upaGAta-vat kRtya-kriyA
   siddha iti veditavyaṃ | yathā svapne dvayasamāpattim antareṇa	sidDaH iti veditavyam | yaTA svapne dvaya-samApattim antareNa
   śukravisargalakṣaṇaḥ svapnopaghātaḥ | evaṃ tāvad anyānyair dṛṣṭāntair	Sukra-visarga-lakzaNaH svapna-upaGAtaH | evam tAvat anya-anyEH dRzwAntEH-
   deśakālaniyamādicatuṣṭayaṃ siddhaṃ |	deSa-kAla-niyama-Adi-catuzwayam sidDam |
   narakavat punaḥ |	naraka-vat punar |
   sarvaṃ	sarvam
   siddham iti veditavyaṃ | narakeṣv iva narakavat | kathaṃ siddhaṃ |	sidDam iti veditavyam | narakezu iva naraka-vat | kaTam sidDam |
   narakapālādidarśane taiś ca bādhane || 4 ||	naraka-pAla-Adi-darSane tEH ca bADane || 4 ||
   yathā hi narakeṣu nārakāṇāṃ narakapālādidarśanaṃ deśakālaniyamena siddhaṃ	yaTA hi narakezu nArakANAm naraka-pAla-Adi-darSanam deSa-kAla-niyamena sidDam
   | śvavāyasāyasaparvatādyāgamanagamanadarśanaṃ cety ādigrahaṇena | sarveṣāṃ	| Sva-vAyasAyasa-parvata-Adi-Agamana-gamana-darSanam ca-iti Adi-grahaNena | sarvezAm
   ca naikasyaiva taiś ca tadbādhanaṃ siddham asatsv api narakapālādiṣu	ca na-ekasya-eva tEH ca tad-bADanam sidDam asatsu api naraka-pAla-Adizu
   samānasvakarmavipākādhipatyāt | tathānyatrāpi sarvam etad	samAna-sva-karma-vipAka-ADipatyAt | taTA-anyatra-api sarvam etat-
   deśakālaniyamādicatuṣtayaṃ siddham iti veditavyaṃ ||	deSa-kAla-niyama-Adi-catuztayam sidDam iti veditavyam ||
   kiṃ punaḥ kāraṇaṃ narakapālās te ca śvāno vāyasāś ca sattvā neṣyante |	kim punar kAraNam naraka-pAlAH te ca SvAnaH vAyasAH ca sattvAH na-izyante |
   ayogāt | na hi te nārakā yujyante | tathaiva tadduḥkhāpratisaṃvedanāt |	ayogAt | na hi te nArakAH yujyante | taTA-eva tad-duHKa-apratisaMvedanAt |
   parasparaṃ yātayatām ime nārakā ime narakapālā iti vyavasthā na syāt |	parasparam yAtayatAm ime nArakAH ime naraka-pAlAH iti vyavasTA na syAt |
   tulyākṛtipramāṇabalānāṃ ca parasparaṃ yātayatāṃ na tathā bhayaṃ syāt |	tulya-AkRti-pramANa-balAnAm ca parasparam yAtayatAm na taTA Bayam syAt |
   dāhaduḥkhaṃ ca pradīptāyām ayomayyāṃ bhūmāv asahamānāḥ kathaṃ tatra parān	dAha-duHKam ca pradIptAyAm ayaH-mayyAm BUmO asahamAnAH kaTam tatra parAn
   yātayeyuḥ | anārakāṇāṃ vā narake kutaḥ saṃbhavaḥ | kathaṃ tāvat tiraścāṃ	yAtayeyuH | anArakANAm vA narake kutas saMBavaH | kaTam tAvat tiraScAm
   svargasaṃbhavaḥ | evaṃ narakeṣu tiryakpretaviśeṣāṇāṃ narakapālādīnāṃ	svarga-saMBavaH | evam narakezu tiryak-preta-viSezANAm naraka-pAla-AdInAm
   saṃbhavaḥ syāt |	saMBavaH syAt |
   tiraścāṃ saṃbhavaḥ svarge yathā na narake tathā |	tiraScAm saMBavaH svarge yaTA na narake taTA |
   na pretānāṃ yatas tajjaṃ duḥkhaṃ nānubhavanti te || 5 ||	na pretAnAm yatas tad-jam duHKam na-anuBavanti te || 5 ||
   ye hi tiryañcaḥ svarge saṃbhavanti te tadbhājanalokasukhasaṃvartanīyena	ye hi tiryaQcaH svarge saMBavanti te tad-BAjana-loka-suKa-saMvartanIyena
   karmaṇā tatra saṃbhūtās tajjaṃ sukhaṃ pratyanubhavanti | na caiva	karmaNA tatra saMBUtAH tad-jam suKam pratyanuBavanti | na ca-eva
   narakapālādayo nārakaṃ duḥkhaṃ pratyanubhavanti | tasmān na tiraścāṃ	naraka-pAla-AdayaH nArakam duHKam pratyanuBavanti | tasmAt na tiraScAm
   saṃbhavo yukto nāpi pretānāṃ ||	saMBavaH yuktaH na-api pretAnAm ||
   teṣāṃ tarhi (Vvs_5) nārakāṇāṃ karmabhis tatra bhūtaviśeṣāḥ saṃbhavanti	tezAm tarhi (VvH-_5) nArakANAm karmaBiH tatra BUta-viSezAH saMBavanti
   varṇākṛtipramāṇabalaviśiṣṭā ye narakapālādisaṃjñāṃ pratilabhante | tathā	varNa-AkRti-pramANa-bala-viSizwAH ye naraka-pAla-Adi-saMjQAm pratilaBante | taTA
   ca pariṇamanti | yad dvidhāṃ hastavikṣepādikriyāṃ kurvanto dṛśyante	ca pariNamanti | yat dviDAm hasta-vikzepa-Adi-kriyAm kurvantaH dRSyante
   bhayotpādanārthaṃ | yathā meṣākṛtayaḥ parvatā āgacchanto gacchanto	Baya-utpAdana-arTam | yaTA meza-AkRtayaH parvatAH AgacCantaH gacCantaH-
   'yaḥśālmalīvane ca kaṇṭakā adhomukhībhavanta ūrddhvamukhībhavantaś ceti |	ayaH-SAlmalI-vane ca kaNwakAH aDomuKIBavantaH UrdDva-muKIBavantaH ca-iti |
   na te na saṃbhavanty eva |	na te na saMBavanti eva |
   yadi tatkarmabhis tatra bhūtānāṃ saṃbhavas tathā |	yadi tad-karmaBiH tatra BUtAnAm saMBavaH taTA |
   iṣyate pariṇāmaś ca kiṃ vijñānasya neṣyate || 6 ||	izyate pariNAmaH ca kim vijQAnasya na-izyate || 6 ||
   vijñānasyaiva tatkarmabhis tathā pariṇāmaḥ kasmān neṣyate kiṃ punar	vijQAnasya-eva tad-karmaBiH taTA pariNAmaH kasmAt na-izyate kim punar-
   bhūtāni kalpyante ||	BUtAni kalpyante ||
   api ca |	api ca |
   karmaṇo vāsanānyatra phalam anyatra kalpyate |	karmaNaH vAsanA-anyatra Palam anyatra kalpyate |
   tatraiva neṣyate yatra vāsanā kiṃ nu kāraṇaṃ || 7 ||	tatra-eva na-izyate yatra vAsanA kim nu kAraNam || 7 ||
   yena hi karmaṇā nārakāṇāṃ tatra tādṛśo bhūtānāṃ saṃbhavaḥ kalpyate	yena hi karmaNA nArakANAm tatra tAdRSaH BUtAnAm saMBavaH kalpyate
   pariṇāmaś ca tasya karmaṇo vāsanā teṣāṃ vijñānasaṃtānasaṃniviṣṭā nānyatra	pariNAmaH ca tasya karmaNaH vAsanA tezAm vijQAna-saMtAna-saMnivizwAH na-anyatra
   | yatraiva ca vāsanā tatraiva tasyāḥ phalaṃ tādṛśo vijñānapariṇāmaḥ kiṃ	| yatra-eva ca vAsanA tatra-eva tasyAH Palam tAdRSaH vijQAna-pariNAmaH kim
   neṣyate | yatra vāsanā nāsti tatra tasyāḥ phalaṃ kalpyata iti kim atra	na-izyate | yatra vAsanA na-asti tatra tasyAH Palam kalpyate iti kim atra
   kāraṇaṃ ||	kAraNam ||
   āgamaḥ kāraṇaṃ | yadi vijñānam eva rūpādipratibhāsaṃ syān na rūpādiko	AgamaH kAraNam | yadi vijQAnam eva rUpa-Adi-pratiBAsam syAt na rUpa-AdikaH-
   'rthas tadā rūpādyāyatanāstitvaṃ bhagavatā noktaṃ syāt | akāraṇam etad	arTaH tadA rUpa-Adi-Ayatana-astitvam BagavatA na-uktam syAt | akAraNam etat-
   yasmāt |	yasmAt |
   rūpādyāyatanāstitvaṃ tadvineyajanaṃ prati |	rUpa-Adi-Ayatana-astitvam tat-vineya-janam prati |
   abhiprāyavaśād uktam upapādukasattvavat || 8 ||	aBiprAya-vaSAt uktam upapAduka-sattva-vat || 8 ||
   yathāsti sattva upapāduka ity uktaṃ bhagavatā abhiprāyavaśāc	yaTA-asti sattvaH upapAdukaH iti uktam BagavatA aBiprAya-vaSAt-
   cittasaṃtatyanucchedam āyatyām abhipretya |	citta-saMtati-anucCedam AyatyAm aBipretya |
   nāstīha sattva ātmā vā dharmās tv ete sahetukāḥ	na-asti-iha sattvaH AtmA vA DarmAH tu ete sa-hetukAH
   iti vacanāt | evaṃ rūpādyāyatanāstitvam apy uktaṃ bhagavatā	iti vacanAt | evam rUpa-Adi-Ayatana-astitvam api uktam BagavatA
   taddeśanāvineyajanam adhikṛtyety ābhiprāyikaṃ tad vacanaṃ ||	tad-deSanA-vineya-janam aDikRtya-iti ABiprAyikam tat vacanam ||
   ko 'tra abhiprāyaḥ |	kaH atra aBiprAyaH |
   yataḥ svabījād vijñaptir yadābhāsā pravartate |	yatas sva-bIjAt vijQaptiH yadABAsA pravartate |
   dvividhāyatanatvena te tasyā munir abravīt || 9 ||	dviviDa-Ayatana-tvena te tasyAH muniH abravIt || 9 ||
   kim uktaṃ bhavati | rūpapratibhāsā vijñaptir yataḥ svabījāt	kim uktam Bavati | rUpa-pratiBAsA vijQaptiH yatas sva-bIjAt-
   pariṇāmaviśeṣaprāptād utpadyate tac ca bījaṃ yat pratibhāsā ca sā te tasyā	pariNAma-viSeza-prAptAt utpadyate tat ca bIjam yat pratiBAsA ca sA te tasyAH-
   vijñapteś cakṣūrūpāyatanatvena (Vvs_6) yathākramaṃ bhagavān abravīt | evaṃ	vijQapteH cakzu-Uru-upAyatana-tvena (VvH-_6) yaTAkramam BagavAn abravIt | evam
   yāvat spraṣṭavyapratibhāsā vijñaptir yataḥ svabījāt pariṇāmaviśeṣaprāptād	yAvat sprazwavya-pratiBAsA vijQaptiH yatas sva-bIjAt pariNAma-viSeza-prAptAt-
   utpadyate tac ca bījaṃ yat pratibhāsā ca sā te tasyā	utpadyate tat ca bIjam yat pratiBAsA ca sA te tasyAH-
   kāyaspraṣṭavyāyatanatvena yathākranaṃ bhagavān abravīd ity ayam abhiprāyaḥ	kAya-sprazwa-vya-Ayatana-tvena yaTAkranam BagavAn abravIt iti ayam aBiprAyaH
   evaṃ punar abhiprāyavaśena deśayitvā ko guṇāḥ |	evam punar aBiprAya-vaSena deSayitvA kaH guNAH |
   tathā pudgalanairātmyapraveśo hi	taTA pudgala-nErAtmya-praveSaH hi
   tathā hi deśyamāne pudgalanairātmyaṃ praviśanti | dvayād vijñānaṣaṭkaṃ	taTA hi deSyamAne pudgala-nErAtmyam praviSanti | dvayAt vijQAna-zawkam
   pravartate | na tu kaścid eko draṣṭāsti na yāvan mantety evaṃ viditvā ye	pravartate | na tu kaScid ekaH drazwA-asti na yAvat mantA-iti evam viditvA ye
