   prathamo vilāsaḥ	praTamaH vilAsaH
   camatkāracandrikā viśveśvarakavicandraviracitā prathamo vilāsaḥ	camatkAra-candrikA viSveSvara-ka-vi-candra-viracitA praTamaH vilAsaH
   vāgdevī vadane mama sphuratu yā dhvanyātmanollāsinī varṇavyaktimupāgatā ca	vAgdevI vadane mama sPuratu yA DvanyAtmanA-ullAsinI varNa-vyaktim-upAgatA ca
   tadanu sthānaprayatnādibhiḥ /	tadanu sTAna-prayatna-AdiBiH /
   bhāvānāṃ padasaṃjñayā vidadhatī tredhā samullekhanāny ānandānanusaṃdadhāti	BAvAnAm pada-saMjQayA vidaDatI treDA samulleKanAni AnandAn-anusaMdaDAti
   viduṣāṃ prāptā mahāvākyatām // Ckc_1.1 //	viduzAm prAptAH mahA-vAkyatAm // Ckd-_1.1 //
   ramyockayarthatanūjjvalā rasamayaprāṇā guṇollāsinī	ramya-uckayarTa-tanu-ujjvalA rasa-maya-prANAH guNa-ullAsinI
   cetorajjakarītivṛttikalitā pākaṃ vayo bibhratī /	cetaH-rajjakarIti-vRtti-kalitA pAkam vayaH biBratI /
   nānālaṅkaraṇojjvalā rasavatī sarvatra nirdeṣatāṃ śayyāmañcati kāminīva	nAnA-laFkaraNa-ujjvalA rasavatI sarvatra nirdeza-tAm SayyAm-aQcati kAminI-iva
   kavitā kasyāpi puṇyātmanaḥ // Ckc_1.2 //	kavi-tA kasya-api puNya-AtmanaH // Ckd-_1.2 //
   kṛtirabhimatakṛticaturā yadi caturodāttanāyakaguṇodārā /	kRtiH-aBimata-kRti-caturA yadi catura-udAtta-nAyaka-guNa-udArAH /
   iti lajñaṇakṛtiratnaṃ racaye śrīsiṅganṛpaguṇodāharaṇam // Ckc_1.3 //	iti lajQaNa-kRti-ratnam racaye SrI-siFga-nRpa-guNa-udAharaNam // Ckd-_1.3 //
   loke rāghavapāṇḍavādbhutakathāgandhānusaṃdhāyinau tau granthāviba	loke rAGava-pANxava-adButa-kaTA-ganDa-anusaMDAyinO tO granTa-aviba
   tanmunipraṇihitau śrīsiṅgabhūpāśrayaḥ /	tad-muni-praNihitO SrI-siFga-BUpa-ASrayaH /
   yāyādādaraṇīyatāṃ kṛtadhiyāṃ grantho 'yamasmatkṛto nāhaṃ yadyapi tādṛśo	yAyAdAdaraNIya-tAm kRta-DiyAm granTaH ayam-asmad-kRtaH na-aham yadi-api tAdRSaH-
   'smyayamasau rājā hi tādṛgguṇaḥ // Ckc_1.4 //	asmi-ayam-asO rAjA hi tAdRgguNaH // Ckd-_1.4 //
   nṛṇāṃ vidhau ca nāthe ca śikṣā kāvyaprayojanam /	nRNAm viDO ca nATe ca SikzA kAvya-prayojanam /
   śikṣa ca sacamatkāraṃ bodhitā sthiratāṃ bhajet // Ckc_1.5 //	Sikza ca sa-camatkAram boDitA sTira-tAm Bajet // Ckd-_1.5 //
   camatkārastu viduṣāmānandaparivāhakṛt /	camatkAraH-tu viduzAm-Ananda-parivAha-kRt /
   guṇaṃ rītiṃ rasaṃ vṛttiṃ pākaṃ śayyāmalaṅkṛtīm // Ckc_1.6 //	guNam rItim rasam vRttim pAkam SayyAm-alaFkRtIm // Ckd-_1.6 //
   saptaitāni camatkārakāraṇaṃ bruvate budhāḥ /	sapta-etAni camatkAra-kAraNam bruvate buDAH /
   guṇādīnāṃ vākyaśobhākṛtau sādharmyayogataḥ // Ckc_1.7 //	guNa-AdInAm vAkya-SoBA-kRtO sADarmya-yogataH // Ckd-_1.7 //
   ekāṅgataiva kāvyasya kathitā kubjakādibhiḥ /	eka-aFga-tA-eva kAvyasya kaTitA kubjaka-AdiBiH /
   guṇabhūṣārasānyatra trīṇyaṅgānyāha bhojarāṭ // Ckc_1.8 //	guNa-BUzA-rasAni-atra trINi-aFgAni-Aha Boja-rAj // Ckd-_1.8 //
   saptāṅgasaṅgataṃ kāvyaṃ sāmrājyamiva bhāsate /	sapta-aFga-saFgatam kAvyam sAmrAjyam-iva BAsate /
   lakṣyate taditaṃ sāṅgaṃ mayā kṛtadhiyāṃ mude // Ckc_1.9 //	lakzyate tat-itam sa-aFgam mayA kRta-DiyAm mude // Ckd-_1.9 //
   atrālaṅkaraṇe bhavantu sudhiyaḥ snigdhā iti prārthanā vyarthā	atra-alaFkaraNe Bavantu suDiyaH snigDAH iti prArTanA vyarTA
   yadbharatādibhaktiṣu matiryeṣāṃ talasparśinī /	yat-Barata-Adi-Baktizu matiH-yezAm tala-sparSinI /
   te sārajñatayaiva bibhrati mudaṃ ye saṃśayenāsphuṭā- ste sandehanivṛttaye	te sArajQa-tayA-eva biBrati mudam ye saMSayena-asPuwA ste sandeha-nivRttaye
   hṛdi dhaiyaṃ kartuṃ yatante svayam // Ckc_1.10 //	hRdi DEyam kartum yatante svayam // Ckd-_1.10 //
   vāgarthau sacamatkārau kāvyaṃ kāvyavido viduḥ /	vAc-arTO sa-camatkArO kAvyam kAvya-vidaH viduH /
   vākchabda iti paryāyau vāgbhirarthaḥ śivaḥ smṛtaḥ // Ckc_1.11 //	vAc-SabdaH iti paryAyO vAgBiH-arTaH SivaH smRtaH // Ckd-_1.11 //
   sā vāka tredhā smṛtā varṇāḥ padaṃ vākyamiti kramāt /	sA vAka treDA smRtAH varNAH padam vAkyam-iti kramAt /
   akārādihakārāntā varṇāḥ syurmātṛkāhvayāḥ // Ckc_1.12 //	akAra-Adi-hakAra-antAH varNAH syuH-mAtRkA-AhvayAH // Ckd-_1.12 //
   alpaprāṇā mahāprāṇā iti te ddevidhā matāḥ /	alpa-prANAH mahA-prANAH iti te ddeviDA matAH /
   budhāstatra mahāprāṇānāhurūṣmacatuṣṭayam // Ckc_1.13 //	buDAH-tatra mahA-prANAn-AhuH-Uzma-catuzwayam // Ckd-_1.13 //
   vargeṣu samavarṇāśva savarṇaṃ kecidīrate /	vargezu sama-varNa-aSva savarNam kecid-Irate /
   alpaprāṇāstu śeṣāḥsyuḥ śasāvapi paraiḥ smṛtau // Ckc_1.14 //	alpa-prANAH-tu SezAH-syuH SasO=-api parEH smRtO // Ckd-_1.14 //
   ubhayo te 'pi kathitā snigdhā rūkṣā iti dbidhā /	uBayo te api kaTitA snigDAH rUkzAH iti dbiDA /
   alpaprāṇāḥ sajātī yairyuktāḥ snigdhā iti smṛtāḥ // Ckc_1.15 //	alpa-prANAH sa-jAtI yEH-yuktAH snigDAH iti smRtAH // Ckd-_1.15 //
   svai ranyairvā mahāprāṇā yuktā rūkṣāḥ paraiḥ punaḥ /	svEH ranyEH-vA mahA-prANAH yuktAH rUkzAH parEH punar /
   alpaprāṇāśva kathitā rūkṣā yaralavairyutāḥ // Ckc_1.16 //	alpa-prANASva kaTitAH rUkzAH yara-lavEH-yutAH // Ckd-_1.16 //
   sānusvāratayā snaigdhyaṃ yānti rūkṣā api kvacit /	sa-anusvAra-tayA snEgDyam yAnti rUkzAH api kvacid /
   bhedo jñeyastasya saṃkhyāvandyavandhyādike budhaiḥ // Ckc_1.17 //	BedaH jQeyaH-tasya saMKyA-vandya-vanDya-Adike buDEH // Ckd-_1.17 //
   yathocitamime varṇā rasāderupayoginaḥ /	yaTocitam-ime varNAH rasa-AdeH-upayoginaH /
   nyastā kāvyamukhe varṇāstatta ddaivatamūrtayaḥ // Ckc_1.18 //	nyastA kAvya-muKe varNAH-tat-ta ddEvata-mUrtayaH // Ckd-_1.18 //
   kartuḥ kārayituḥ śrautuḥ kalpayanti śubhāśubhe /	kartuH kArayituH SrOtuH kalpayanti SuBa-aSuBe /
   akāraḥ prītidāyī syānniṣedhe tu viparyayaḥ // Ckc_1.19 //	akAraH prIti-dAyI syAt-nizeDe tu viparyayaH // Ckd-_1.19 //
