   sāṅkhyasāraḥ /	sAFKya-sAraH /
   pūrvabhāgaḥ /	pUrva-BAgaH /
   prathamaḥ paricchedaḥ /	praTamaH paricCedaH /
   mahadākhyaḥ svayambhūryo jagadaṅkura īśvaraḥ /	mahat-AKyaH svayamBUryaH jagat-aFkuraH ISvaraH /
   sarvātmane namastasmai viṣṇave sarvajiṣṇave // ViSs_1,1.1 //	sarvAtmane namaH-tasmE vizNave sarva-jizNave // ViSH-_1,1.1 //
   sāṅkhyakārikayā leśādātmatattvaṃ vivecitam /	sAFKya-kArikayA leSAt-Atma-tattvam vivecitam /
   sāṅkhyasāraviveko 'to vijñānena prapañcyate // ViSs_1,1.2 //	sAFKya-sAra-vivekaH atas vijQAnena prapaQcyate // ViSH-_1,1.2 //
   prāyaḥ saṅkalitā sāṅkhyaprakriyā kārikāgaṇe /	prAyas saFkalitA sAFKya-prakriyA kArikA-gaNe /
   sā 'to 'tra varṇyate leśāt tadanuktāṃśamātrataḥ // ViSs_1,1.3 //	sA atas atra varNyate leSAt tad-anukta-aMSa-mAtrataH // ViSH-_1,1.3 //
   sāṅkhyabhāṣye prakṛtyādeḥ svarūpaṃ vistarān mayā /	sAFKya-BAzye prakRti-AdeH svarUpam vistarAt mayA /
   proktaṃ tasmāt tadapyatra saṅkṣepādeva vakṣyate // ViSs_1,1.4 //	proktam tasmAt tat-api-atra saFkzepAt-eva vakzyate // ViSH-_1,1.4 //
        ātmānātmavivekasākṣātkārāt kartṛtvādyakhilābhimānanivṛttyā	AtmA-anAtma-viveka-sAkzAtkArAt kartR-tva-Adi-aKila-aBimAna-nivRttyA
   tatkāryarāgadveṣadharmādharmādyanutpādāt pūrvotpannakarmaṇāṃ	tad-kArya-rAga-dveza-Darma-aDarma-Adi-anutpAdAt pUrva-utpanna-karmaNAm
   cāvidyārāgādisahakāryucchedarūpadānena vipākānārambhakatvāt	ca-avidyA-rAga-Adi-saha-kAri-ucCeda-rUpa-dAnena vipAka-anAramBaka-tvAt-
   prārabdhasamāptyanantaraṃ punarjanmābhāvena	prArabDa-samApti-anantaram punar-janma-aBAvena
   trividhaduḥkhātyantanivṛttirūpo mokṣo bhavatīti śrutismṛtiḍiṇḍimaḥ / tatra	triviDa-duHKa-atyanta-nivRtti-rUpaH mokzaH Bavati-iti Sruti-smRti-xiNximaH / tatra
   śrutayaḥ / athākāmayamāno yo 'kāmo niṣkāmo na tasya prāṇā utkrāmantīhaiva	SrutayaH / aTa-akAmayamAnaH yaH akAmaH nizkAmaH na tasya prANAH utkrAmanti-iha-eva
   samavalīyante /	samavalIyante /
   ātmānaṃ cedvijānīyādayamastīti pūruṣaḥ /	AtmAnam ced-vijAnIyAt-ayam-asti-iti pUruzaH /
   kimicchan kasya kāmāya śarīramanusañcaret //	kim-icCan kasya kAmAya SarIram-anusaQcaret //
   yadā sarve pramucyante kāmā ye 'sya hṛdi śritāḥ /	yadA sarve pramucyante kAmAH ye asya hRdi SritAH /
   atha martyo 'mṛto bhavatyatra brahma samaśnute //	aTa martyaH amRtaH Bavati-atra brahma samaSnute //
   kāmān yaḥ kāmayate manyamānaḥ	kAmAn yaH kAmayate manyamAnaH
   sa karmabhirjāyate tatra tatra /	sa karmaBiH-jAyate tatra tatra /
   paryāptakāmasya kṛtātmanastu	paryApta-kAmasya kRtAtmanaH-tu
   ihaiva sarve pravilīyanti kāmāḥ //	iha-eva sarve pravilIyanti kAmAH //
