   (Matsumura 186)	(MatsumuraH 186)
   uddānam* //	uddAnam* //
   sāketena hi kasyacid vitaritaṃ marditaṃ (276r1 = GBM 6.864) ca kālena	sAketena hi kasyacid vitaritam marditam (276r1  GBm 6.864) ca kAlena
   pudgalo mātṛkāpadāny akṛtena viṃśatiḥ karaṇīyena dvādaśikā	pudgalaH mAtRkA-padAni akRtena viMSatiH karaNIyena dvAdaSikA
   (Matsumura 187)	(MatsumuraH 187)
   sāketena varṣopagatā śāstur darśanakāmyayā .	sAketena varza-upagatA SAstuH darSana-kAmyayA .
   kardame uṣṇena klāntānāṃ cīvaraṃ tatra sammatam* // //	kardame uzNena klAntAnAm cIvaram tatra sammatam* // //
   Kaṭhina-v 1. buddho bhagavāṃ śrāvastyāṃ varṣā upagato jetavane	KaWina-u 1. budDaH BagavAm SrAvastyAm varzAH upagataH jetavane
   'nāthapiṇḍadasyārāme / tena khalu samayena saṃbahulā bhikṣavaḥ sākete	anATapiNxadasya-ArAme / tena Kalu samayena saMbahulA BikzavaH sAkete
   varṣopagatās trayāṇāṃ vārṣikāṇāṃ māsānām atyayāt kṛtacīvarā	varza-upagatAH trayANAm vArzikANAm mAsAnAm atyayAt kRta-cIvarA
   niṣṭhitacīvarāḥ samādāya pātracīvaraṃ bahutṛṇe bahukardame uṣṇena	nizWita-cIvarAH samAdAya pAtra-cIvaram bahu-tRNe bahu-kardame uzNena
   klāmyantaḥ svedaparyākulīkṛtaśarīrā yena śrāvastīṃ tena cārikāṃ carantaḥ	klAmyantaH sveda-paryAkulIkRta-SarIrAH yena SrAvastIm tena cArikAm carantaH
   śrāvastīm anuprāptāḥ atha saṃbahulā bhikṣavaḥ pātracīvaraṃ pratiśamayya	SrAvastIm anuprAptAH aTa saMbahulA BikzavaH pAtra-cIvaram pratiSamayya
   pādau prakṣālya yena bhagavāṃs tenopasaṃkrāntā upasaṃkramya bhagavataḥ	pAdO prakzAlya yena BagavAn tena-upasaMkrAntAH upasaMkramya BagavataH
   pādau śirasā vanditvā ekānte niṣaṇṇāḥ	pAdO SirasA vanditvA ekAnte nizaNNAH
   (Matsumura 188)	(MatsumuraH 188)
   Kaṭhina-v 2. dharmatā khalu buddhā bhagavanta āgantukān bhikṣūn anayā	KaWina-u 2. DarmatA Kalu budDAH BagavantaH AgantukAn BikzUn anayA
   pratisaṃmodanayā pratisaṃmodante / kuto yūyaṃ bhikṣava etarhy āgacchata :	pratisaMmodanayA pratisaMmodante / kutas yUyam BikzavaH etarhi AgacCata :
   kutra vā stha varṣā uṣitā iti pratisaṃmodate bhagavān āgantukān bhikṣūn	kutra vA sTa varzAH uzitAH iti pratisaMmodate BagavAn AgantukAn BikzUn
   anayā pratisaṃmodanayā sukhaṃ sparśaṃ varṣā nayā kuto yūyaṃ bhikṣava	anayA pratisaMmodanayA suKam sparSam varzA nayA kutas yUyam Bikzava
   etarhy āgacchatha kutra vā stha varṣā uṣitāḥ te kathayaṃti sāketād vayaṃ	etarhi AgacCaTa kutra vA sTa varzAH uzitAH te kaTayaMti sAketAt vayam
   bhadant'; etarhy āgacchāma sākete vā sma varṣā uṣitāḥ kaccid yūyaṃ	Badant-a; etarhi AgacCAma sAkete vA sma varzAH uzitAH kaccit yUyam
   bhikṣavaḥ sākete sukhaṃ sparśaṃ varṣā uṣitā na vā stha klāntāḥ piṇḍakena	BikzavaH sAkete suKam sparSam varzAH uzitAH na vA sTa klAntAH piNxakena
   tathyaṃ vayaṃ bhadanta (Matsumura 189) sāketa sukhaṃ sparśaṃ varṣā uṣitā	taTyam vayam Badanta (MatsumuraH 189) sAketa suKam sparSam varzA uzitA
   na vā smaḥ klāntāḥ piṇḍakenāpi tu vayaṃ samādāya pātracīvaraṃ bahutṛṇe	na vA smaH klAntAH piNxakena-api tu vayam samAdAya pAtra-cIvaram bahu-tRNe
   bahukardame uṣṇena klāmyantaḥ svedaparyākulīkṛtaśarīrā janapadacārikāṃ	bahu-kardame uzNena klAmyantaH sveda-paryAkulIkRta-SarIrAH janapada-cArikAm
   carantaḥ kṛcchreṇehānuprāptāḥ	carantaH kRcCreNa-iha-anuprAptAH
   Kaṭhina-v 3. bhagavān saṃlakṣayati / klāmyanti bata me śrāvakāḥ samādāya	KaWina-u 3. BagavAn saMlakzayati / klAmyanti bata me SrAvakAH samAdAya
   pātracīvaraṃ bahutṛṇe bahukardame uṣṇena klāmyanti	pAtra-cIvaram bahu-tRNe bahu-kardame uzNena klAmyanti
   svedaparyākulīkṛtaśarīrā janapadacārikāṃ caranto yanv ahaṃ bhikṣūṇāṃ	sveda-paryAkulIkRta-SarIrAH janapada-cArikAm carantaH yanu aham BikzUNAm
   sparśavihārārthaṃ dātrīṇāṃ ca deyadharmaparibhogārthaṃ bhikṣūṇāṃ kaṭhinam	sparSa-vihAra-arTam dAtrINAm ca deya-Darma-pariBoga-arTam BikzUNAm kaWinam
   anujānīyaṃ / yasmāt paṃcānuśaṃsāḥ kaṭhināstare na daśāhaparamaṃ na	anujAnIyam / yasmAt paMca-anuSaMsAH kaWina-Astare na daSa-Aha-paramam na
   māsaparamaṃ na rātrivipravāsāḥ sāntarottareṇa cīvareṇa janapadacārikāṃ	mAsa-paramam na rAtri-vipra-vAsAH sa-antara-uttareNa cIvareNa janapada-cArikAm
   (Matsumura 190) prakramaṇaṃ yāvadaptaṃ vikalpitacīvaradhāraṇam iti / apare	(MatsumuraH 190) prakramaNam yAvat-aptam vikalpita-cIvara-DAraNam iti / apare
   'pi paṃcānuśaṃsāḥ / na gaṇabhojanaṃ na (Matsumura 191) paraṃparabhojanaṃ	api paMca-anuSaMsAH / na gaNa-Bojanam na (MatsumuraH 191) paraMpara-Bojanam
