   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   Pāṇḍ-v § 0.1 (288v1 = GBM 889) // vastūddānam* //	PANx-u § 0.1 (288v1  GBm 889) // vastu-uddAnam* //
   pāṇḍulohitakānāṃ vastū pudgalānāṃ tathaiva ca Ś	pANxu-lohitakAnAm vastU pudgalAnAm taTA-eva ca Ś
   atha pārivāsikānāṃ poṣadhasthāpanena ca Ś	aTa pArivAsikAnAm pozaDa-sTApanena ca Ś
   śayanāsanam adhikaraṇaṃ saṃghabhedaś ca paścimam* //	Sayana-Asanam aDikaraNam saMGa-BedaH ca paScimam* //
   Pāṇḍ-v § 0.2 // paṇḍulohitakavastūddānam* //	PANx-u § 0.2 // paNxu-lohitaka-vastu-uddAnam* //
   pāṇḍulohitānāṃ tarjanīyaṃ śreyakasya ca nigarhaṇīyam* /	pANxu-lohitAnAm tarjanIyam Sreyakasya ca nigarhaNIyam* /
   aśvakapunarvasukānāṃ pravāsam uttaraḥ pratisaṃhare //	aSvaka-punarvasukAnAm pravAsam uttaraH pratisaMhare //
   adarśanāyaṃ chandasas tathaivāpratikaraṇā /	adarSana-ayam CandasaH taTA-eva-apratikaraNAH /
   ariṣṭapāpīkādṛṣṭir udāyipaṃcakarmakaḥ // //	arizwa-pApIkA-dRzwiH udAyipaMcakarmakaH // //
   Pāṇḍ-v § 1.1 buddho bhagavāṃ śrāvastyāṃ viharati jetavane	PANx-u § 1.1 budDaH BagavAm SrAvastyAm viharati jetavane
   anāthapiṇḍadasyārāme / tena khalu samayena śrāvastyāṃ pāṇḍulohitakā	anATapiNxadasya-ArAme / tena Kalu samayena SrAvastyAm pANxu-lohitakA
   bhikṣavaḥ prativasanti kalahakārakā bhaṇḍanakārakā vigrahakārakā	BikzavaH prativasanti kalaha-kArakA BaNxana-kArakA vigraha-kArakA
   vivādakārakā ādhikaraṇikāḥ / te saṃghe 'bhīkṣṇam adhikaraṇāny utpādayanti	vivAda-kArakAH ADikaraNikAH / te saMGe aBIkzNam aDikaraNAni utpAdayanti
   yena saṃghaḥ kalahajāto viharati bhaṇḍanajāto vigṛhīto vivādam āpannaḥ /	yena saMGaH kalaha-jAtaH viharati BaNxana-jAtaH vigRhItaH vivAdam ApannaH /
   etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / kuruta	etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / kuruta
   yūyaṃ bhikṣavaḥ pāṇḍulohitakānāṃ bhikṣūṇāṃ kalahakārakāṇāṃ	yUyam BikzavaH pANxu-lohitakAnAm BikzUNAm kalaha-kArakANAm
