   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
   atha ko 'yaṃ rasa ityucyate  	aTa kaH ayam rasaH iti ucyate  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) vākyaṃ rasātmakabhityuktatvādrasaṃ nirūpayituṃ	(vi, ka) vAkyam rasa Atmaka Biti ukta tvAt rasam nirUpayitum
   pṛcchati  atheti /	pRcCati  aTa iti /
        Locanā:	LocanA:
         (lo, a) rasasvarūpaṃ nirūpayitukāmastasyāvasarapraptatvaṃ	(lo, a) rasa svarUpam nirUpayitu kAmaH tasya avasara prapta tvam
   darśayannāha  atheti /	darSayan= Aha  aTa iti /
        atha  kāvyasvarūpanirūpaṇānantaraṃ koyaṃ raso yadātmakaṃ vākyaṃ	aTa   kAvya sva rUpa nirUpaNa anantaram koyam rasaH yad Atmakam vAkyam
   kāvyamityarthaḥ /	kAvyam iti arTaH /
        ityapekṣāyāmucyate  tatsvarūpaṃ nirūpyate /	iti apekzAyAm ucyate   tad svarUpam nirUpyate /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vibhāvenānubhāvena vyaktaḥ saṃcāriṇā tathā /	viBAvena anuBAvena vyaktaH saMcAriNA taTA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (kha) vibhāvo ratyāderālambanoddīpanakāraṇadūyam /	(Ka) viBAvaH rati AdeH Alambana uddIpana kAraNa dUyam /
        anubhāvastasya kāryam /	anuBAvaH tasya kAryam /
        sañcārī vyabhicārī, nirvedādirūpaḥ kāryaviśeṣaḥ /	saQcArI vyaBicArI, nirveda Adi rUpaH kArya viSezaH /
        tasya pṛthagupādānaṃ ca govṛṣanyāyāt prāśastyārtham, praśastyaṃ ca	tasya pRTak upAdAnam ca go vRza nyAyAt prASastya arTam, praSastyam ca
   ratyādeḥ śīghrapratipādakatvāt /	rati AdeH SIGra pratipAdaka tvAt /
        yadyapi vibhāvāditrayasya militasyaiva rasahetutā vakṣyate, tathāpi	yadi api viBAva Adi trayasya militasya eva rasa hetu tA vakzyate, taTA api
   yatra śloke militā na santi tatraikenānyavyañjane vyabhicāriṇāmanyāpekṣayā	yatra Sloke militAH na santi tatra ekena anya vyaQjane vyaBicAriNAm anya apekzayA
   śīghravyañjakatvabhityetaddvārā rasasyāpi śīghrapratipādakatvaṃ bodhyam /	SIGra vyaQjaka tva Biti etat dvArA rasasya api SIGra pratipAdaka tvam boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rasatāmeti ratyādiḥ sthāyībhāvaḥ sacetasām // VisSd_3.1 //	rasa tAm eti rati AdiH sTAyIBAvaH sa cetasAm // VisSd _3.1 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (ga) ratyādiḥ sthāyī bhāvo rasatāmetītyanvayaḥ /	(ga) rati AdiH sTAyI BAvaH rasa tAm eti iti anvayaH /
        nanu rāmādivṛttī ratyādirvibhāvādibhirvyajyate /	nanu rAma Adi vRttiH rati AdiH viBAva AdiBiH vyajyate /
        tadvyañjanāvaśādeva rasāderasaṃlakṣyakramavyaṅgyaparibhāṣā, tataśca	tad vyaQjana avaSAt eva rasa AdeH asaMlakzya krama vyaFgya pariBAzA, tatas ca
   bhāvanopanītaḥ sa ratyādirvibhāvādiniṣṭhena svādanākhyavyāpāreṇa	BAvanA upanItaH sa rati AdiH viBAva Adi nizWena svAdana AKya vyApAreNa
   sāmājikaratyādyabhedenāropyamāṇaḥ svaprakāśānandatayā tathā pariṇamatīti	sAmAji karati Adi a Bedena AropyamANaH sva prakASa Ananda tayA taTA pariNamati iti
   pariṇāmavādasiddhāntena, tasya sāmājike rasatāprāptiḥ /	pariNAma vAda sidDAntena, tasya sAmAjike rasa tA prAptiH /
        evamevāgre vyaktirbhaviṣyati /	evam eva agre vyaktiH Bavizyati /
        Locanā:	LocanA:
        (lo, ā) vibhāvenetyādi  sacetasāṃ sahṛdayānāṃ ratyādiḥ sthāyībhāvaḥ /	(lo, A) viBAvena ityAdi  sacetasAM sa hRdayAnAm rati AdiH sTAyIBAvaH /
        bhāvyate vāsyate iti vyutpattyā anādivāsanāntarlona ityarthaḥ /	BAvyate vAsyate iti vyutpattyA anAdi vAsanA antar lonaH iti arTaH /
        taduktam   	tat uktam    
        "vāsanānādikālīnā yāsau hṛdi sacetasām /	"vAsanAnAdi kAlInA yA asO hRdi sa cetasAm /
        svasāmagrīṃ samāsādya vyaktā saiti rasātmatām" //	sva sAmagrIm samAsAdya vyaktA sEti rasa Atma tAm" //
        yadyapīha milito ratyādiḥ prapānakarasanyāyena carvyamāṇo	yadi api iha militaH rati AdiH prapAnaka rasa nyAyena carvyamANaH 
   'khaṇḍasvarūpo rasaḥ, tathāpi lokaprasiddhimāsādya pratyabhijñānāt	aKaNxa svarUpaH rasaH, taTA api loka prasidDim AsAdya pratyaBijQAnAt 
   sthāyibhāvo rasatāmeti /	sTAyi BAvaH rasa tAm eti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vibhāvādayo vakṣyante /	viBAva AdayaH vakzyante /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, i) ityuktaṃ vivṛṇoti vibhāvādaya iti /	(lo, i) iti uktam vivRNoti viBAva AdayaH iti /
        vakṣyate ihaiva paricchede /	vakzyate iha eva paricCede /
        sāmānyatastu  	sAmAnyatas tu  
        "kāraṇāni ca kāryāṇi sahakārīṇi yāni ca /	"kAraNAni ca kAryANi saha kArINi yAni ca /
        ratyādeḥ sthāyino loke tāni cennāṭyakāvyayoḥ /	rati AdeH sTAyinaH loke tAni ced nAwya kAvyayoH /
        vibhāvā anubhāvāśca kathyante vyabhicāriṇaḥ" //	viBAvAH anuBAvAH ca kaTyante vyaBicAriNaH" //
        tyuktaprakārāḥ /	tyukta prakArAH /
        daṇḍyādyairutkam   	daNxya AdyEH utkam   
        "vibhāvairanubhāvaiśca sāttvikairvyabhicāribhiḥ /	"viBAvEH anuBAvEH ca sAttvikEH vyaBicAriBiH /
        ānīya nītaḥ svādyatvaṃ sthāyibhāvo rasaḥ smṛtaḥ" //	AnIya nItaH svAdya tvam sTAyi BAvaH rasaH smRtaH" //
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sāttvikāścānubhāvarūpatvāt na pṛthaguktāḥ /	sAttvikAH ca anuBAva rUpa tvAt na pRTak uktAH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) nanu sāttvikabhāvo 'pi rasādivyañjakaḥ, sa kathaṃ nokta	(vi, Ga) nanu sAttvika BAvaH api rasa Adi vyaQjakaH, sa kaTam na ukta
   ityata āha   sāttvikāśceti /	iti atas Aha    sAttvikAH ca iti /
        te cāgre vakṣyante /	te ca agre vakzyante /
        Locanā:	LocanA:
        (lo, ī) tatkathamatra lakṣaṇe	(lo, I) tat kaTam atra lakzaNe
   sāttvikānāmanupādānamityāśaṅkyāha  sāttvikāśceti /	sAttvikAnAm anupAdAnam iti ASaFkya aha   sAttvikAH ca iti /
        sāttvikāḥ stambhasvedādayaḥ /	sAttvikAH stamBa sveda AdayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vyakto dadhyādinyāyena rūpāntarapariṇato vyaktīkṛta eva raso na tu dīpena	vyaktaH daDi Adi nyAyena rUpa antara pariNataH vyaktIkRtaH eva rasaH na tu dIpena
   ghaṭa iva pūrvasiddho vyajyate /	GawaH iva pUrva sidDaH vyajyate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) pariṇāmavādasiddhāntaṃ darśayati   dadhyadinyāyeneti /	(vi, Fa) pariNAma vAda sidDAntam darSayati   daDyadi nyAyena iti /
        dugdhameva yathāmladravyayogād dadhyādirūpatayā pariṇamati;	dugDam eva yaTA amla dravya yogAt daDi Adi rUpa tayA pariNamati;
   tannyāyena rāmādiratyādireva vibhāvādiniṣṭhakhādanākhyavyāpāreṇa	tat nyAyena rAma AdiH ati AdiH eva viBAva Adi nizWa KAdana AKya vyApAreNa
   sāmājikaratyādau abhedenāropyamāṇaḥ svaprakāśānandatmakajñānarūpatayā	sAmAji karati AdO aBedena AropyamANaH sva prakASa Ananda tmaka jQAna rUpa tayA
   pariṇamatītyarthaḥ /	pariNamati iti arTaH /
        vyakta ityasyārthaṃ pariṇata ityantena darśayitvā, tādṛgavastha eva	vyaktaH iti asya arTam pariNataH iti antena darSayitvA, tAdRS avasTaH eva
   rasaḥ, natu atādṛgavastha iti pratipādayan punarāha   vyakto vyaktīkṛta	rasaH, na tu atAdRS avasTaH iti pratipAdayan punar Aha    vyaktaH vyaktIkRta
   eveti /	eva iti /
        idaṃ ca vyaktīkṛtarasāsvādākhyena vyāpāreṇa vibhāvādiniṣṭhena	idam ca vyaktIkRta rasa AsvAda AKyena vyApAreNa viBAva Adi nizWena
   vyañjanābhinnavyāpārāntareṇa rāmādiratyādyāropaviṣayasāmājikaratyādeḥ	vyaQjana aBinna vyApAra antareNa rAma AdiH ati Adya Aropa vizaya sAmAji karati AdeH
   svaprakāśānandarūpatayā viṣayīkaraṇamityagre vyaktirbhaviṣyati /	sva prakASa Ananda rUpa tayA vizayIkaraNam iti agre vyaktiH Bavizyati /
        Locanā:	LocanA:
        (lo, u) dadhyādīti   yathā dugdhaṃ dadhirūpeṇa pariṇamate ityarthaḥ /	(lo, u) daDi Adi iti    yaTA dugDam daDi rUpeNa pariNamate iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   taduktaṃ locanakāraiḥ  	tat uktam locana kArEH  
   "rasāḥ pratīyanta iti tvodanaṃ pacatītivad vyavahāraḥ" iti /	"rasAH pratIyante iti tu odanam pacati iti vat vyavahAraH" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) odanaṃ pacatītivaditi /	(vi, ca) odanam pacati iti vat iti /
        pākottaramevodanotpattestaṇḍulapākasyaiva tatropacāraḥ vyañjanayā,	pAka uttaram eva udana utpatteH taNxula pAkasya eva tatra upacAraH vyaQjanayA,
   ratyādipratīterevaṃ rase vyañjanayā pratītyupacāraḥ ityarthaḥ /	rati Adi pratIteH evam rase vyaQjanayA prati iti upacAraH iti arTaH /
        ayamupacāro mānasa eva; śābdastu nopacāraḥ /	ayam upacAraH mAnasaH eva; SAbdaH tu na upacAraH /
        kintu odanapadasya taṇḍule lakṣaṇeti bodhyam /	kintu odanapadasya taNxule lakzaNa iti boDyam /
        Locanā:	LocanA:
        (lo, ū) odanaṃ pacatītivat  na khalvodanaḥ pūrvasiddho vyajyate,	(lo, U) odanam pacati itivat  na Kalu odanaH pUrva sidDaH vyajyate,
   kintu pakvaḥ san odano bhavatīti tathāyamapi vyaktaḥ san raso	kintu pakvaH san odanaH Bavati iti taTA ayam api vyaktaH san rasaH 
   bhavatītyarthaḥ /	Bavati iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra ca ratyādipadopādānādeva prāpte sathāyitve punaḥ sthāyipadopādānaṃ	atra ca rati Adi pada upAdAnAt eva prApte saTAyi tve punar sTAyi pada upAdAnam
   ratyādīnāmapi rasāntaraṣvasthāyitvapratipādanārtham /	rati AdInAm api rasa antarazu asTAyi tva pratipAdana arTam /
   tataśca hāsakrodhādayaḥ śṛṅgāravīrādau vyabhicāriṇa eva /	tatas ca hAsa kroDa AdayaH SRFgAra vIra AdO vyaBicAriNaH eva /
   taduktam  	tat uktam  
