   navamaḥ paricchedaḥ	navamaH paricCedaH
   athoddeśakramaprāptamalaṅkāranirūpaṇaṃ bahuvaktavyatvenollaṅghya	aTa-uddeSa-krama-prAptam-alaFkAra-nirUpaNam bahu-vaktavya-tvena-ullaFGya
   rītimāha---	rItim-Aha---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ka) uddeśeti---guṇaālaṅkārarītaya ityuddeśe 'laṅkārasya	(vi, ka) uddeSa-iti---guNaa-alaFkAra-rItayaH iti-uddeSe alaFkArasya
   prāguddiṣṭatvena tadullaṅghayam ityarthaḥ /	prAk-uddizwa-tvena tad-ullaFGayam iti-arTaH /
        tadullaṅghane hetumāha---bahuvaktavyatveneti /	tad-ullaFGane hetum-Aha----bahu-vaktavya-tvena-iti /
        etena sūcīkaṭāhanyāyo darśitaḥ /	etena sUcI-kawAha-nyAyaH darSitaH /
        Locanā:	LocanA:
        (lo, a) idānīṃ rītiṃ nirūpayitukāmaḥ saṃgati karoti---athoddeśeti /	(lo, a) idAnIm rItim nirUpayitu-kAmaH saMgati karoti---aTa-uddeSa-iti /
        bahuvaktavyatvena ullaṅghyakamaṃ sūcīkaṭāhanyāyādityarthaḥ /	bahu-vaktavya-tvena ullaFGya-kamam sUcI-kawAha-nyAyAt-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   padasaṃghaṭanā rītiraṅgasaṃsthāviroṣavat /	pada-saMGawanAH rItiH-aFga-saMsTA-viroza-vat /
   upakartro rasādīnāṃ---	upakartraH rasa-AdIn-AM---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, kha) rasādīnāmityādipadāt samastāsaṃlakṣyakramaparigrahaḥ /	(vi, Ka) rasa-AdInAm-ityAdi-padAt samasta-asaMlakzya-krama-parigrahaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
