   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) athāvasareti /	(vi, ka) aTa avasara iti /
        uddeśyakramalaṅghanāt, na tu tatkramaprāptaniti bhāvaḥ /	uddeSya krama laFGanAt, na tu tad krama prAptaniti BAvaH /
        Locanā:	LocanA:
        (lo, a) idānīmalaṅkāraṃ nirūpayitukāmo 'vatārayati  atheti /	(lo, a) idAnIm alaFkAram nirUpayitu kAmaH avatArayati  aTa iti /
        alaṅkārānāhasvarūpato viśeṣataścetyarthaḥ /	alaFkAra AnAha svarUpataH viSezataH ca iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   athāvasaraprāptānalaṅkārānāha  	aTa avasara prAptAn alaFkAra An Aha  
   śabdārthayorasthirā yo dhrarmāḥ śobhātiśāyinaḥ /	Sabda arTayoH asTirAH yaH DrarmAH SoBA atiSAyinaH /
   rasādīnupakurvanto 'laṅkārāste 'ṅgadādivat // VisSd_10.1 //	rasa AdIn upakurvantaH alaFkArAH te aFgada Adi vat // VisSd _10.1 //
   yathā aṅgadādayaḥ śarīraśobhātiśāyinaḥ śarīriṇamupakurvanti,	yaTA aFgada AdayaH SarIra SoBA atiSAyinaH SarIriNam upakurvanti,
   tathānuprāsopamādayaḥ śabdārthaśobhātiśāyino rasāderupakārakāḥ /	taTA anuprAsa upama AdayaH Sabda arTa SoBA atiSAyinaH rasa AdeH upakArakAH /
   Locanā:	LocanA:
   (lo, ā) yatheti /	(lo, A) yaTA iti /
   śabdārthaśobhātiśāyitvamātreṇālaṅkāratvam /	Sabda arTa SoBA atiSAyi tva mAtreNa alaFkAra tvam /
   tathāhi rasādyadhyavasāyapṛthakyatnanivarttyasya	taTA hi rasa Adi aDyavasAya pRTakyatna nivartti asya
   yamakāderekarūpānubandhanavato 'nuprasāsyāsamīkṣya viniveśitasya	yamaka AdeH eka rUpa anubanDanavataH anuprasAsya asamIkzya viniveSitasya
   rūpakādeśca rasānupakāritvādalaṅkāratā /	rUpaka AdeH ca rasAn upakAri tvAt alaFkAra tA /
   yaduktaṃ dhvanikṛtā   	yat uktam Dvani kRtA   
   "yamakādinibandheṣu pṛthak yatno 'sya jāyate /	"yamaka Adi nibanDezu pRTak yatnaH asya jAyate /
   śaktasyāpi rasāṅgatvaṃ tasmādeṣāṃ na vidyate" //	Saktasya api rasAFga tvam tasmAt ezAm na vidyate" //
   śaktasyāpyasya kaveḥ /	Saktasya api asya kaveH /
   yamakaduṣkarādīnāṃ yathā   	yamaka duzkara AdInAm yaTA   
   "śṛṅgārasyāṅgino yatnādekarūpānubandhanāt /	"SRFgArasya aFginaH yatnAt eka rUpa anubanDanAt /
   sarveṣveva prabandheṣu nānuprāsaḥ prakāśakaḥ" //	sarvezu eva prabanDezu na anuprAsaH prakASakaH" //
   iti rūpakādeḥ samīkṣya niveśanaṃ ca tenaivoktam   	iti rUpaka AdeH samIkzya niveSanam ca tena eva uktam   
   "vivakṣātatparatvena nāṅgitvena kathañcana /	"vivakzA tatparatvena na aFgi tvena kaTaQcana /
   kāle ca grahaṇatyāgo nāti nirvahaṇaiṣitā //	kAle ca grahaNa tyAgaH na ati nirvahaNa ezitAH //
   nirvyūḍhāvapi cāṅgatve yatnena pratyavekṣaṇam /	nirvyUXO= api ca aFga tve yatnena pratyavekzaNam /
   rūpakāderalaṅkāravargasyāṅgatvasādhanam //	rUpaka AdeH alaFkAra vargasya aFga tva sADanam //
   iti //	iti //
   "kapole patrālī karatalanirodhena mṛditā nipīto niśvāsairayamamṛtahṛdyo	"kapole patra AlI kara tala niroDena mRditA nipItaH niSvAsEH ayam amRta hRdyo
   'dhararasaḥ /	aDara rasaH /
   muhuṛ kaṇṭhe laganaḥ taralayati bāṣpaḥ stanataṭaṃ priyo manyurjātastava	muhuR kaNWe laganaH taralayati bAzpaH stana tawam priyaH manyuH jAtaH tava
   niranurodhe ! na tu vayam" //	niranuroDe ! na tu vayam" //
   kapole gaṇḍasthale, patrālī patraracanā, karatalanirodhena	kapole gaNxa sTale, patra AlI patra racanA, kara tala niroDena
   pāṇitalapīḍanena, mṛditā pramṛṣṭā /	pANi tala pIxanena, mRditA pramRzwAH /
   niśvāsairamṛtahṛdyo 'mṛtavanmadhuro 'dhararasaḥ, nipītaḥ āhataḥ /	niSvAsEH amRta hRdyaH amRta vat maDuraH aDara rasaH, nipItaH AhataH /
