   // smṛtyadhyāyaḥ //	// smRti-aDyAyaH //
   // prathamamāhnikam //	// praTamam-Ahnikam //
   nyā. pa. śa. 49 atha smṛtirnirūpyate--- saṃskāramātrajaṃ jñānaṃ smṛtiḥ,	nyA. pa. Sa. 49 aTa smRtiH-nirUpyate-- saMskAra-mAtra-jam jQAnam smRtiH,
   iti tallakṣaṇam /	iti tad-lakzaNam /
   nanu smṛtirna pramāṇam, avidyamānaviṣayatvāt, ananubhūtitvāt,	nanu smRtiH-na pramANam, avidyamAna-vizaya-tva-at, ananuBUti-tva-at,
   bhramasambhavocceti cenna, smṛtimātrāprāmāṇyasya prathamāhnikre	Brama-samBava-ucca-iti ced-na, smRti-mAtrA-prAmANyasya praTama-ahnikre
   pratikṣiptatvāt, avādhitabāhyārthadarśanāt,	pratikzipta-tva-at, avADita-bAhya-arTa-darSanAt,
   atītānāgataviṣayānumānādibādhaprasaṅgāt, sarvalokavirodhāt, ananubhūte	atIta-anAgata-vizaya-anumAna-Adi-bADa-prasaFga-at, sarva-loka-viroDAt, ananuBUte
   arthāntarepi smṛtiprasaṅgāt, smṛterapi svaprakāśatvepi vedyākāre	arTa-antarepi smRti-prasaFgAt, smRteH-api sva-prakASa-tvepi vedya-AkAre
   saṃskārādisāpekṣatvāt /	saMskAra-Adi-sApekza-tvAt /
   na ca pūrvānubhavapuraskāreṇaiva grahaṇādaprāmāṇyamiti cenna, smṛtipramoṣe	na ca pUrva-anuBava-puraskAreNa-eva grahaNAt-aprAmANyam-iti ced-na, smRti-pramoze
   tadabhāvāt, pramāṇatayā saṃmatāyāṃ pratyabhijñāyāṃ bhāvācca /	tad-aBAvAt, pramANa-tayA saMmatAyAm pratyaBijQAyAm BAvAt-ca /
   paratantratvādapramāṇyamiti cenna, svahetupāratantryamātrasya	paratantra-tvAt-apramANyam-iti ced-na, sva-hetu-pAratantrya-mAtrasya
   sārvatrikatvāt, anubhavamūlatvasya pramāṇamūlatvasya ca	sArvatrika-tvAt, anuBava-mUla-tvasya pramANa-mUla-tvasya ca
   savikalpakādibhiranaikāntikatvāt, saṃskāramātrajanyatvasyāsādhāraṇatvāt,	sa-vikalpaka-AdiBiH-anEkAntika-tva-at, saMskAra-mAtra-janya-tvasya-asADAraNa-tvAt,
   svaviṣayaprakāśavyavahārayostu smṛterapi svatantratvāt /	sva-vizaya-prakASa-vyavahArayoH-tu smRteH-api svatantra-tvAt /
   icchādivadviṣayaniyamepi pāratantryamastīti cenna,	icCA-Adi-vat-vizaya-niyamepi pAratantryam-asti-iti ced-na,
   tadvadevājñānatvaprasaṅgāt; jñānameva hi svato viṣayapravaṇamicchasi; ata	tadvat-eva-ajQAna-tva-prasaFgAt; jQAnam-eva hi svatas vizaya-pravaNam-icCasi; ata
   eva hi nityayorapi riśvaracikīrṣāprayatnayorviṣaya niyamāya jñānāpekṣāṃ	eva hi nityayoH-api riSvara-cikIrzA-prayatnayoH-vizaya niyamAya jQAna-apekzAm
   brūṣe /	brUze /
   icchādīnāmapi svato viṣayaprāvaṇyaṃ jñānatvaṃ cāsmābhiḥ svīkṛtam /	icCA-AdInAm-api svatas vizaya-prAvaNyam jQAna-tvam ca-asmABiH svIkRtam /
   nanu saṃskāravaditi cenna, tasyāpi	nanu saMskAra-vat-iti ced-na, tasya-api
   svahetusamānaviṣayajñānotpādanaśaktasvabhāvatvāt /	sva-hetu-samAna-vizaya-jQAna-utpAdana-Sakta-svaBAva-tvAt /
   ato hetuniyataviṣayatvameva phalitam /	atas hetu-niyata-vizaya-tvam-eva Palitam /
   tacca anubhavepi samam /	tat-ca anuBavepi samam /
   tathā ca samānaviṣayānubhavajanyatvatadabhāvābhyāṃ smṛtyanubhavayoḥ	taTA ca samAna-vizaya-anuBava-janya-tva-tad-aBAvAByAm smRti-anuBavayoH
   pāratantryasvātantryavyavahāro mandānām /	pAratantrya-svAtantrya-vyavahAraH mandAnAm /
   svaprāmāṇyanirṇayādāvapi nānubhavāpekṣatvanirbandhaḥ,	sva-prAmANya-nirNaya-AdO=-api na-anuBava-apekza-tva-nirbanDaH,
   svaviṣayaprakāśanabādhavirahādibhisatatsiddheḥ,	sva-vizaya-prakASana-bADa-viraha-AdiBisatad-sidDeH,
   gṛhītamātragrāhitvasyāsādhāraṇatvāt /	gRhIta-mAtra-grAhi-tvasya-asADAraNa-tvAt /
   prābhākarāṇāmanumānādau naiyāyikādīnāṃ dhārāvāhikādau	prABAkarANAm-anumAna-AdO nEyAyika-AdInAm DArAvAhika-AdO
   yogasiddhasarvajñavādināṃ dvitīyayogapratyakṣādau	yoga-sidDa-sarvajQa-vAdinAm dvitIya-yoga-pratyakza-AdO
   keṣāñcidīśvaravādināmanityeśvarajñāne ca vyabhicārācca /	kezAQcid-ISvara-vAdinAm-anitya-ISvara-jQAne ca vyaBicArAt-ca /
   niṣprayojanatvādaprāmāṇyamiti cenna,	nizprayojana-tvAt-aprAmANyam-iti ced-na,
   tṛṇādiviṣayapratnayakṣādinānaikāntyāt, asiddheśca;smṛtyaiva hi jagatāṃ	tRNa-Adi-vizaya-pratna-yakza-Adi-nAna-ekAntyAt, asidDeH-ca;-smRtyA-eva hi jagatAm
   kṛtākṛtapratyavekṣaṇādisiddhiḥ; smṛtyaiva hi śabdānumānayoḥ pravṛtiḥ;	kRta-akRta-pratyavekzaNa-Adi-sidDiH; smRtyA-eva hi Sabda-anumAnayoH pravRtiH;
   parabhaktyādiniṣpattiśca /	para-Bakti-Adi-nizpattiH-ca /
   pūrvānubhuvasyaiva tāniprayojanānīticet, sarvajagadādikāraṇasya	pUrva-anuBuvasya-eva tAni-prayojana-Ani-iti-cet, sarva-jagat-Adi-kAraNasya
   brahmasaṃkalpasyaiva kiṃ na syuḥ ? /	brahma-saMkalpasya-eva kim na syuH ? /
   evaṃ cānubhavasyāpi na tatsiddhiḥ, tatkāraṇasyeti vaktuṃ śakyatvāt /	evam ca-anuBavasya-api na tad-sidDiH, tad-kAraNasya-iti vaktum Sakya-tvAt /
   yaduktaṃ prajñāparitrāṇe--- "jñātātmajñānarūpatvāt svaprameyaprahāṇataḥ /	yat-uktam prajQA-paritrANe-- "jQAta-Atma-jQAna-rUpa-tvAt sva-prameya-prahANataH /
   viṣayāvyabhicāritvepyaprāmāṇyaṃ smṛtermatam" //	vizaya-avyaBicAri-tvepya-prAmANyam smRteH-matam" //
   ityādi, tadapyanena parihṛtam /	ityAdi, tat-api-anena parihRtam /
   pramāṇavyavahārābhāvādaprāmāṇyamiti cenna,	pramANa-vyavahAra-aBAvAt-aprAmANyam-iti ced-na,
   pāmaravyavadvārābhāvasyānaikāntikatvāt, evaṃ parīkṣakavyavahāra	pAmara-vyavadvAra-aBAvasya-anEkAntika-tva-at, evam parIkzaka-vyavahAra
   bhāvasyāpi; vigītatvācca; sarvaparīkṣakavyavahārābhāvasya cāsiddheḥ;	BAvasya-api; vigIta-tvAt-ca; sarva-parIkzaka-vyavahAra-aBAvasya ca-asidDeH;
   mānamanoharādau vāgīśvarādibhistaprāmāṇyasyoktatvāt,	mAna-manohara-AdO vAc-ISvara-AdiBiH-ta-prAmANi-asya-ukta-tvAt,
   katipayaparīkṣakavyahārābhāvasya cātiprasañjakatvāt,	katipaya-parIkza-kavyahAra-aBAvasya ca-ati-prasaQjaka-tvAt,
   akṣapādādivyahārāvyavahārayorbṛhaspatyādivyavahāravadasmābhirnātīvādaraṇāt,	akzapAda-Adi-vyahAra-avi-avahArayoH-bRhaspati-Adi-vyavahAra-vat-asmABiH-na-atIva-AdaraNAt,
   indrapāṇinyādīnāṃ tu sarvasaṃpratipatterabādhāccādarāt, pārāśaryādīnāṃ	indra-pANini-AdInAm tu sarva-saMpratipatteH-abADAt-ca-AdarAt, pArASarya-AdInAm
   pramāṇaparigaṇanānadhikṛtatvena tadanukteraprayojakatvāt, āgamaḥ	pramANa-parigaNana-an-aDikRta-tvena tad-anuktera-prayojaka-tva-at, AgamaH
   pramāṇamityapi vyavahārābhāvāt /	pramANam-iti-api vyavahAra-aBAvAt /
   "pratyakṣaṃ cānumānaṃ ca śāstraṃ ca vividhāgamam /	"pratyakzam ca-anumAnam ca SAstram ca viviDa-Agamam /
   ityādiṣu ca pratyakṣādimūlasmṛteḥ pratyakṣādisamānacarcatvena	ityAdizu ca pratyakza-Adi-mUla-smRteH pratyakza-Adi-samAna-carca-tvena
   pṛthagvyavahārābhāvopapatteḥ /	pRTak-vyavahAra-aBAva-upapatteH /
   pramāṇahetukā smṛtiḥ pramāṇameva, avisaṃvādāt, iti /	pramANa-hetukA smRtiH pramANam-eva, avisaMvAda-at, iti /
   uktaṃ ca nyāyatattve smṛtyudāsīnabhedake caturthedhikaraṇe---	uktam ca nyAya-tattve smRti-udAsIna-Bedake caturTeDika-raNe---
   "apramāṇamūlatvaṃ tu ubhayorapi nāsti, vyabhicārābhāvenānadhigatārthaṃ	"a-pramANa-mUla-tvam tu uBayoH-api nAsti, vyaBicAra-aBAvena-anaDigata-arTam
   pramāṇamiti viśeṣaṇasyāyuktatvāt /	pramANam-iti viSezaNasya-ayukta-tvAt /
   pramite pramityanupapattiḥ kva dṛṣṭā ? /	pramite pramiti-anupapattiH kva dRzwA ? /
   smṛtau cet, pratijñaiva dṛṣṭāntaḥ syāt; jñānāntare cenna nujānāmi" ityādi	smRtO cet, pratijQA-eva dRzwAntaH syAt; jQAna-antare ced-na nujA-nAmi" ityAdi
   tattvaratnākare ca--- "yathārthaniścayo mānaṃ taddhetuśceti sūrayaḥ /	tattva-ratna-Akare ca-- "yaTArTa-niScayaH mAnam tat-hetuH-ca-iti sUrayaH /
   nātivyāptiḥ smṛtau vyāptiryathārthena hi sā pramā" //	na-ativyAptiH smRtO vyAptiH-yaTArTena hi sA pramA" //
   ityuktvā asyottarārdhavivaraṇepyuktam--- "anubhūtaviṣayāsaṃpramoṣaḥ	iti-uktvA asya-uttara-arDa-vivaraNa-ipi-uktam-- "anuBUta-vizaya-asaMpramozaH
   smṛtiḥ; yathā---sa ghaṭa ati /	smRtiH; yaTA---sa Gawa ati /
   nanu tāmapi vyāpnoti lakṣaṇamya ; satyam; tadvyāptau nātivyāptiḥ, tasyāpi	nanu tAm-api vyApnoti lakzaNamya ; satyam-; tad-vyAptO na-ati-vyAptiH, tasya-api
   lakṣyapakṣe nikṣepāt /	lakzya-pakze nikzepAt /
   "lakṣyālakṣye anālakṣya kṣipyate lakṣaṇaṃ katham /	"lakzya-alakzye anAlakzya kzipyate lakzaNam kaTam /
   lokadhīvyavahāraṃ hi lakṣyālakṣyāvadhi viduḥ" //	loka-DI-vI-avahAram hi lakzya-alakzya-avaDi viduH" //
   ityādi /	ityAdi /
   yattu--- "anubhavaḥ pramāṇam /	yat-tu-- "anuBavaH pramANam /
   smṛtivyatiriktaṃ jñānamanubhavaḥ" ityādinā smṛteraprāmāṇyamuktamiva	smRti-vyatiriktam jQAnam-anuBavaH" ityAdinA smRteH-aprAmANyam-uktam-iva
   śrīviṣṇucittaiḥ, tannūnaṃ paramatānvāroheṇa /	SrI-vizNu-cittEH, tat-nUnam para-ma-tA-anvAroheNa /
   ata eva hi taiḥ svataḥ prāmāṇyanirṇayadaśāyāmanyathā vyavahṛtam /	atas eva hi tEH svatas prAmANya-nirNaya-daSAyAm-anyaTA vyavahRtam /
   tathāhi--- "tasmāt siddhametat pramāṇānāṃ yathārthatvalakṣaṇaṃ prāmāṇyaṃ	taTA-hi-- "tasmAt sidDam-etat pramANAnAm yaTArTa-tva-lakzaNam prAmANyam
   guṇajñānānapekṣāt svapramāṇādevāvasīyate, svakīyāt kāraṇādeva jñāyata iti	guNa-jQAna-anapekzAt sva-pramANAt-eva-avasIyate, svakIyAt kAraNAt-eva jQAyate iti
   ca" iti /	ca" iti /
   tathā "arthatathātvaṃ guṇasaṃvādajñānānapekṣajñapti, tadabhāvepi	taTA "arTa-taTA-tvam guNa-saMvAda-jQAna-anapekza-jQapti, tad-aBAvepi
   jñāyamānatvāt" ityādau /	jQAyamAna-tva-at" ityAdO /
   "na ca hetorasiddhatvam; tathāhi--- rajatajñānasyārthatathātvaṃ nāma	"na ca hetoH-asidDa-tvam; taTA-hi-- rajata-jQAnasya-arTa-taTA-tvam nAma
   rajataviṣayatvam; taccāsati bādhake rajatagrāhiṇaiva jñānenāvagamyate"	rajata-vizaya-tvam; tat-ca-asati bADake rajata-grAhiNA-eva jQAnena-avagamyate"
   ityādi /	ityAdi /
   ato yathāvasthitavastuniścayātmakatvameva prāmāṇyaṃ pramāṇajñānānāmātmīyāt	atas yaTA-avasTita-vastu-niScaya-Atmaka-tvam-eva prAmANyam pramANa-jQAnAnAm-AtmIyAt-
   kāraṇājjñāyate, na guṇasaṃvādajñānamapekṣate, iti /	kAraNAt-jQAyate, na guNa-saMvAda-jQAnam-apekzate, iti /
   tathā pramāṇānāṃ yathāvasthitavastuniścayātmakatvameva prāmāṇyam /	taTA pramANAnAm yaTA-avasTita-vastu-niScaya-Atmaka-tvam-eva prAmANyam /
   tadābhāsayuktayaḥ pūrvapakṣiṇocyante /	tad-ABAsa-yuktayaH pUrva-pakziNa-ucyante /
   siddhāntepi vivekapradarśanameveti /	sidDAntepi viveka-pradarSanam-eva-iti /
   yadi cānubhava eva pramāṇam, tanna yuktamupayuktaṃ vā /	yadi ca-anuBavaH eva pramANam, tat-na yuktam-upayuktam vA /
   na ca sarvamanubhavaṃ pramāṇatayā vyavaharanti,	na ca sarvam-anuBavam pramANa-tayA vyavaharanti,
   pītaśaṅkhabhramādiṣvadarśanāt; nāpi sarvāṃ smṛtimapramāṇatayā,	pIta-SaFKa-Brama-Adizu-adarSana-at; na-api sarvAm smRtim-apramANa-tayA,
   pramāṇamūlasmṛtiṣu tadabhāvāt /	pramANa-mUla-smRtizu tad-aBAvAt /
   "agṛhītagrahaṇaśaktaṃ pramāṇam" iti varadaviṣṇumiśroktirapi	"a-gRhIta-grahaNa-Saktam pramANam" iti vara-da-vizNu-miSra-uktiH-api
   paramatānvāroheṇa netavyā /	para-ma-tA-anvAroheNa netavyAH /
   yattu āgamaprāmāṇye proktam--- "pramāṇāntaradṛṣṭārthaviṣayavyāpiśemuṣī /	yat-tu Agama-prAmANye proktam-- "pramANa-antara-dRzwa-arTa-vizaya-vyApiSemuzI /
   pramāṇameva tatpūrvaṃ na cet svārthaṃ vigāhate" //	pramANam-eva tat-pUrvam na ced sva-arTam vigAhate" //
   iti, idamapyanuvādavākyasyānyaparatayā svārthaprāmāṇyavyavacchedārtham;	iti, idam-api-anuvAda-vAkyasya-anya-para-tayA sva-arTa-prAmANya-vyavacCeda-arTam;
   anyathā smṛtipramoṣe pramuṣitatadaṃśe pūrvānubhavapuraskāreṇa	anyaTA smRti-pramoze pramuzita-tad-aMSe pUrva-anuBava-puraskAreNa
   svārthāvagāhanāsiddheḥ kathaṃ tatra smṛtitvanibandhanamaprāmāṇyaṃ	sva-arTa-avagAhana-asidDeH kaTam tatra smRti-tva-nibanDa-nam-aprAmANyam
   bhaviṣyati ? //	Bavizyati ? //
